"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UPL","02-Jul-2018","26-Jul-2018","625.9","629.85","614.5","624.75","623.4","624.75","2774","20718.58","13633200","-46800","        624.70"
"UPL","02-Jul-2018","30-Aug-2018","626.45","627.5","615","624.55","623.35","624.55","28","208.7","162000","7200","        624.70"
"UPL","02-Jul-2018","27-Sep-2018","0","0","0","618","0","635.75","0","0","0","0","        624.70"
"UPL","03-Jul-2018","26-Jul-2018","624","632.55","616.7","631.05","631.2","631.05","2220","16711.22","13390800","-242400","        630.25"
"UPL","03-Jul-2018","30-Aug-2018","618","631.1","618","630.4","631.1","630.4","21","157.85","166800","4800","        630.25"
"UPL","03-Jul-2018","27-Sep-2018","0","0","0","618","0","641.2","0","0","0","0","        630.25"
"UPL","04-Jul-2018","26-Jul-2018","632","634.85","620.4","627.1","626.5","627.1","2070","15556.27","13594800","204000","        624.20"
"UPL","04-Jul-2018","30-Aug-2018","631.9","631.9","620.85","625.05","625.05","625.05","18","135.01","177600","10800","        624.20"
"UPL","04-Jul-2018","27-Sep-2018","0","0","0","618","0","634.9","0","0","0","0","        624.20"
"UPL","05-Jul-2018","26-Jul-2018","626.25","633.5","621.8","623.85","625","623.85","1748","13178.37","13486800","-108000","        623.05"
"UPL","05-Jul-2018","30-Aug-2018","624.1","630.55","621.25","621.25","621.25","621.25","10","75.03","180000","2400","        623.05"
"UPL","05-Jul-2018","27-Sep-2018","0","0","0","618","0","633.6","0","0","0","0","        623.05"
"UPL","06-Jul-2018","26-Jul-2018","624.05","629.3","619.6","624.5","623.05","624.5","1904","14268.56","13526400","39600","        621.40"
"UPL","06-Jul-2018","30-Aug-2018","623.45","626.2","619.25","623.45","622.55","623.45","36","268.69","204000","24000","        621.40"
"UPL","06-Jul-2018","27-Sep-2018","0","0","0","618","0","631.8","0","0","0","0","        621.40"
"UPL","09-Jul-2018","26-Jul-2018","634","634","622.65","626.95","626.95","626.95","1825","13725.26","13702800","176400","        623.80"
"UPL","09-Jul-2018","30-Aug-2018","624.7","628","621.1","623.75","623.3","623.75","82","614.34","250800","46800","        623.80"
