"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UNIPHOS","02-May-2012","31-May-2012","118.1","121.85","117.95","120.75","120.5","120.75","1557","3758.66","5202000","-300000","        120.10"
"UNIPHOS","02-May-2012","28-Jun-2012","121.05","122.4","121.05","121.55","121.55","121.55","8","19.47","32000","0","        120.10"
"UNIPHOS","02-May-2012","26-Jul-2012","0","0","0","115.7","0","122.85","0","0","0","0","        120.10"
"UNIPHOS","03-May-2012","31-May-2012","121","127.8","120.7","126.8","127.5","126.8","1556","3885.08","4552000","-650000","        127.10"
"UNIPHOS","03-May-2012","28-Jun-2012","124.8","129","123.8","127.3","127.5","127.3","21","53.03","54000","22000","        127.10"
"UNIPHOS","03-May-2012","26-Jul-2012","0","0","0","115.7","0","130","0","0","0","0","        127.10"
"UNIPHOS","04-May-2012","31-May-2012","128","129.7","116.75","120.9","120.8","120.9","1967","4836.34","4598000","46000","        119.95"
"UNIPHOS","04-May-2012","28-Jun-2012","128.55","128.55","118.2","121.6","121.15","121.6","27","65.36","74000","20000","        119.95"
"UNIPHOS","04-May-2012","26-Jul-2012","0","0","0","115.7","0","122.65","0","0","0","0","        119.95"
"UNIPHOS","07-May-2012","31-May-2012","118.6","121.25","113.1","120.45","120.95","120.45","2846","6693.98","5276000","678000","        119.35"
"UNIPHOS","07-May-2012","28-Jun-2012","116","121","115","121","121","121","14","32.84","88000","14000","        119.35"
"UNIPHOS","07-May-2012","26-Jul-2012","0","0","0","115.7","0","121.95","0","0","0","0","        119.35"
"UNIPHOS","08-May-2012","31-May-2012","121.95","124.4","118.8","120.85","120","120.85","1166","2849.32","4894000","-382000","        120.80"
"UNIPHOS","08-May-2012","28-Jun-2012","122.8","124.05","120.1","121","120.25","121","9","21.91","94000","6000","        120.80"
"UNIPHOS","08-May-2012","26-Jul-2012","0","0","0","115.7","0","123.4","0","0","0","0","        120.80"
"UNIPHOS","09-May-2012","31-May-2012","119.5","120.2","114.85","117.2","117.35","117.2","557","1303.27","5000000","106000","        116.60"
"UNIPHOS","09-May-2012","28-Jun-2012","118.35","118.35","117.3","118.35","118.35","118.2","11","25.97","96000","2000","        116.60"
"UNIPHOS","09-May-2012","26-Jul-2012","0","0","0","115.7","0","119.05","0","0","0","0","        116.60"
