"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"VEDL","03-Jul-2017","27-Jul-2017","252.1","256.2","251.6","255.05","255.15","255.05","11430","101671.45","51065000","-238000","        254.30"
"VEDL","03-Jul-2017","31-Aug-2017","253.35","257.1","253.2","256.1","256.45","256.1","118","1054.84","430500","45500","        254.30"
"VEDL","03-Jul-2017","28-Sep-2017","0","0","0","255.35","0","258.3","0","0","0","0","        254.30"
"VEDL","04-Jul-2017","27-Jul-2017","256.85","260.15","253.8","256","255.8","256","14451","130016.86","52003000","938000","        255.25"
"VEDL","04-Jul-2017","31-Aug-2017","256.75","261.2","255.25","257.2","257","257.2","169","1525.59","514500","84000","        255.25"
"VEDL","04-Jul-2017","28-Sep-2017","260","260","260","260","260","259.25","1","9.1","3500","3500","        255.25"
"VEDL","05-Jul-2017","27-Jul-2017","256.7","262.65","255.4","262","262.15","262","11900","108249.73","50704500","-1298500","        261.40"
"VEDL","05-Jul-2017","31-Aug-2017","258","263.5","258","263.1","263.5","263.1","212","1937.25","556500","42000","        261.40"
"VEDL","05-Jul-2017","28-Sep-2017","0","0","0","260","260","265.45","0","0","3500","0","        261.40"
"VEDL","06-Jul-2017","27-Jul-2017","262.15","264.35","260.65","262.15","261.5","262.15","8997","82693.62","51194500","490000","        261.65"
"VEDL","06-Jul-2017","31-Aug-2017","262.2","265","262","262.95","262.85","262.95","102","941.72","626500","70000","        261.65"
"VEDL","06-Jul-2017","28-Sep-2017","263.2","263.2","263.2","263.2","263.2","265.65","1","9.21","7000","3500","        261.65"
"VEDL","07-Jul-2017","27-Jul-2017","260.65","262.2","257.65","258.55","258.65","258.55","8731","79453.98","52559500","1365000","        257.10"
"VEDL","07-Jul-2017","31-Aug-2017","262.3","263.15","259.3","259.8","259.85","259.8","112","1023.06","609000","-17500","        257.10"
"VEDL","07-Jul-2017","28-Sep-2017","262","262","262","262","262","260.95","1","9.17","10500","3500","        257.10"
"VEDL","10-Jul-2017","27-Jul-2017","262.15","262.6","258.5","261.25","261.2","261.25","4176","38177.55","51943500","-616000","        260.70"
"VEDL","10-Jul-2017","31-Aug-2017","261","263.5","260.45","262.2","262.5","262.2","38","348.37","640500","31500","        260.70"
"VEDL","10-Jul-2017","28-Sep-2017","262","262","262","262","262","264.5","1","9.17","14000","3500","        260.70"
"VEDL","11-Jul-2017","27-Jul-2017","262.55","265.35","257.55","258.65","259","258.65","10519","96438.85","51845500","-98000","        257.60"
"VEDL","11-Jul-2017","31-Aug-2017","263.85","266.5","259","259.85","260.25","259.85","163","1502.74","658000","17500","        257.60"
"VEDL","11-Jul-2017","28-Sep-2017","0","0","0","262","262","261.3","0","0","14000","0","        257.60"
"VEDL","12-Jul-2017","27-Jul-2017","260.05","262.5","259.05","261.4","262.05","261.4","6727","61361.05","52230500","385000","        259.90"
"VEDL","12-Jul-2017","31-Aug-2017","261","263.1","260.45","262.45","263.1","262.45","71","649.89","738500","80500","        259.90"
"VEDL","12-Jul-2017","28-Sep-2017","0","0","0","262","262","263.55","0","0","14000","0","        259.90"
"VEDL","13-Jul-2017","27-Jul-2017","262.8","264.5","257.7","264.05","263.9","264.05","9948","91215.09","52671500","441000","        263.05"
"VEDL","13-Jul-2017","31-Aug-2017","264.05","265.5","259.3","265.2","265","265.2","122","1122.16","791000","52500","        263.05"
"VEDL","13-Jul-2017","28-Sep-2017","260.65","266","260.65","265.35","266","265.35","4","36.98","21000","7000","        263.05"
"VEDL","14-Jul-2017","27-Jul-2017","264.45","264.85","260.1","262.95","262","262.95","7687","70646.97","50690500","-1981000","        262.30"
"VEDL","14-Jul-2017","31-Aug-2017","265.35","265.55","261.4","263.55","263","263.55","226","2084.8","1095500","304500","        262.30"
"VEDL","14-Jul-2017","28-Sep-2017","264.45","264.45","264","264","264","265.9","2","18.5","21000","0","        262.30"
"VEDL","17-Jul-2017","27-Jul-2017","265.1","270.2","263.65","269.6","269.7","269.6","10621","99582.22","51408000","717500","        269.45"
"VEDL","17-Jul-2017","31-Aug-2017","265.65","271.2","265.25","270.85","271","270.85","303","2856.19","1249500","154000","        269.45"
"VEDL","17-Jul-2017","28-Sep-2017","268.5","271","268.5","271","271","273","7","66.24","35000","14000","        269.45"
"VEDL","18-Jul-2017","27-Jul-2017","269.35","273.3","267.8","268.85","269","268.85","10200","96539.68","47432000","-3976000","        268.35"
"VEDL","18-Jul-2017","31-Aug-2017","271.4","274","269.15","270.25","270.2","270.25","531","5050.87","1501500","252000","        268.35"
"VEDL","18-Jul-2017","28-Sep-2017","0","0","0","271","271","271.8","2","19.16","31500","-3500","        268.35"
