"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SESAGOA","04-May-2009","28-May-2009","115.9","120.9","114","119.55","120","119.55","1617","5723.88","7305000","615000","        120.25"
"SESAGOA","04-May-2009","25-Jun-2009","118.8","119.75","115.75","119.3","119.75","119.3","24","84.68","57000","48000","        120.25"
"SESAGOA","04-May-2009","30-Jul-2009","116.5","116.5","116","116","116","121.9","4","13.94","12000","12000","        120.25"
"SESAGOA","05-May-2009","28-May-2009","120.95","124.55","119.6","121.5","121.3","121.5","1931","7062.37","7305000","0","        121.30"
"SESAGOA","05-May-2009","25-Jun-2009","120.1","124","120.05","120.05","120.05","122.3","14","51.32","75000","18000","        121.30"
"SESAGOA","05-May-2009","30-Jul-2009","120.2","122","120.2","122","122","122.95","5","18.11","27000","15000","        121.30"
"SESAGOA","06-May-2009","28-May-2009","121.5","125.5","116","118.85","120","118.85","1959","7142.91","7323000","18000","        119.70"
"SESAGOA","06-May-2009","25-Jun-2009","122.45","125.25","117.25","118.05","118.5","118.05","28","102.04","114000","39000","        119.70"
"SESAGOA","06-May-2009","30-Jul-2009","120","120","119.15","119.2","119.2","121.15","4","14.35","39000","12000","        119.70"
"SESAGOA","07-May-2009","28-May-2009","121.3","128.2","117.4","126.75","127.6","126.75","3955","14620.83","8310000","987000","        126.50"
"SESAGOA","07-May-2009","25-Jun-2009","119.85","126","117.4","125.3","126","125.3","20","72.9","123000","9000","        126.50"
"SESAGOA","07-May-2009","30-Jul-2009","125.9","125.9","125.9","125.9","125.9","125.9","1","3.78","42000","3000","        126.50"
"SESAGOA","08-May-2009","28-May-2009","127.9","133.75","125.7","130.55","131.1","130.55","8085","31455.82","8052000","-258000","        130.65"
"SESAGOA","08-May-2009","25-Jun-2009","128.85","132.95","125.5","130.05","130.15","130.05","36","139.9","138000","15000","        130.65"
"SESAGOA","08-May-2009","30-Jul-2009","130","130.2","126","128","128","132.2","26","100.53","42000","0","        130.65"
"SESAGOA","11-May-2009","28-May-2009","151.5","151.5","131.2","136.95","134.2","136.95","9469","38804.49","6807000","-1245000","        138.05"
"SESAGOA","11-May-2009","25-Jun-2009","131.2","140.65","131.2","135.95","133.05","135.95","72","294.2","195000","57000","        138.05"
"SESAGOA","11-May-2009","30-Jul-2009","135","137","135","137","137","139.55","5","20.43","57000","15000","        138.05"
"SESAGOA","12-May-2009","28-May-2009","135.85","139.15","130.4","138.15","137.9","138.15","3524","14222.22","6837000","30000","        138.95"
"SESAGOA","12-May-2009","25-Jun-2009","131.25","138","131.25","137.7","137.2","137.7","73","294.21","279000","84000","        138.95"
"SESAGOA","12-May-2009","30-Jul-2009","134.25","134.25","134.25","134.25","134.25","140.5","1","4.03","57000","0","        138.95"
"SESAGOA","13-May-2009","28-May-2009","137.75","138.5","133.8","135.75","135.55","135.75","1557","6348.68","6678000","-159000","        137.05"
"SESAGOA","13-May-2009","25-Jun-2009","135.55","136.5","133.5","134.85","135.1","134.85","24","97.25","309000","30000","        137.05"
"SESAGOA","13-May-2009","30-Jul-2009","0","0","0","134.25","134.25","138.6","0","0","57000","0","        137.05"
"SESAGOA","14-May-2009","28-May-2009","130.9","139","130.9","137.45","137.35","137.45","2135","8737.54","6822000","144000","        137.60"
"SESAGOA","14-May-2009","25-Jun-2009","130.55","137.5","130.55","137.1","137","137.1","38","154.48","339000","30000","        137.60"
"SESAGOA","14-May-2009","30-Jul-2009","135.5","135.5","135.5","135.5","135.5","139.1","1","4.07","60000","3000","        137.60"
"SESAGOA","15-May-2009","28-May-2009","138.6","147.05","137.5","144.5","144.3","144.5","2459","10615.39","6642000","-180000","        145.75"
"SESAGOA","15-May-2009","25-Jun-2009","142.6","146.3","142","143.95","144","143.95","45","194.22","357000","18000","        145.75"
"SESAGOA","15-May-2009","30-Jul-2009","0","0","0","135.5","135.5","147.3","0","0","60000","0","        145.75"
"SESAGOA","18-May-2009","28-May-2009","167.4","179.7","162","175.5","179.7","175.5","59","307.31","6594000","-48000","        168.30"
"SESAGOA","18-May-2009","25-Jun-2009","0","0","0","143.95","144","169.2","0","0","357000","0","        168.30"
"SESAGOA","18-May-2009","30-Jul-2009","0","0","0","135.5","135.5","170.05","0","0","60000","0","        168.30"
"SESAGOA","19-May-2009","28-May-2009","185","189","154.65","156.9","157.7","156.9","2876","14146.64","6330000","-264000","        156.35"
"SESAGOA","19-May-2009","25-Jun-2009","164","169.1","155.15","156.15","157.4","156.15","43","210.58","339000","-18000","        156.35"
"SESAGOA","19-May-2009","30-Jul-2009","0","0","0","135.5","135.5","157.95","0","0","60000","0","        156.35"
"SESAGOA","20-May-2009","28-May-2009","156","167.8","154.05","165","164.6","165","1469","7200.72","6033000","-297000","        165.35"
"SESAGOA","20-May-2009","25-Jun-2009","160.75","166.5","160.75","165","165","165","63","309.15","339000","0","        165.35"
"SESAGOA","20-May-2009","30-Jul-2009","0","0","0","135.5","135.5","166.95","0","0","60000","0","        165.35"
"SESAGOA","21-May-2009","28-May-2009","163.8","169.25","158.75","160.75","161.9","160.75","1438","7071.26","6096000","63000","        160.75"
"SESAGOA","21-May-2009","25-Jun-2009","165.25","167.7","159.05","160.25","160.4","160.25","51","250.48","369000","30000","        160.75"
"SESAGOA","21-May-2009","30-Jul-2009","0","0","0","135.5","135.5","162.35","0","0","60000","0","        160.75"
"SESAGOA","22-May-2009","28-May-2009","158","162.3","151.8","160.5","161.5","160.5","2413","11303.63","5571000","-525000","        160.25"
"SESAGOA","22-May-2009","25-Jun-2009","157","162.05","152","160.15","161.7","160.15","454","2112.51","1371000","1002000","        160.25"
"SESAGOA","22-May-2009","30-Jul-2009","0","0","0","135.5","135.5","161.8","0","0","60000","0","        160.25"
"SESAGOA","25-May-2009","28-May-2009","161.5","164.75","156.85","162.1","162.4","162.1","2126","10286.24","3747000","-1824000","        161.75"
"SESAGOA","25-May-2009","25-Jun-2009","159.75","165","157.15","162.9","162.4","162.9","923","4462.13","3240000","1869000","        161.75"
"SESAGOA","25-May-2009","30-Jul-2009","0","0","0","135.5","135.5","163.25","0","0","60000","0","        161.75"
"SESAGOA","26-May-2009","28-May-2009","163.5","164.65","150.25","153.85","154.7","153.85","1601","7591.74","3021000","-726000","        154.55"
"SESAGOA","26-May-2009","25-Jun-2009","162.75","164.9","150","153.35","154.15","153.35","801","3783.08","4302000","1062000","        154.55"
"SESAGOA","26-May-2009","30-Jul-2009","0","0","0","135.5","135.5","155.95","0","0","60000","0","        154.55"
"SESAGOA","27-May-2009","28-May-2009","158.55","168.4","158.1","166.2","166","166.2","2001","9911.3","2265000","-756000","        165.85"
"SESAGOA","27-May-2009","25-Jun-2009","159.3","168.45","158.15","166.6","166.7","166.6","889","4413.44","5379000","1077000","        165.85"
"SESAGOA","27-May-2009","30-Jul-2009","164.95","164.95","164.95","164.95","164.95","167.3","2","9.9","60000","0","        165.85"
"SESAGOA","28-May-2009","28-May-2009","167.4","168.25","158.75","163.3","163.3","163.35","1841","9034.4","744000","-1521000","        163.35"
"SESAGOA","28-May-2009","25-Jun-2009","168","168.5","159","164.1","163.7","164.1","1577","7744.1","6903000","1524000","        163.35"
"SESAGOA","28-May-2009","30-Jul-2009","163.55","163.55","162.95","163.25","162.95","163.25","2","9.8","60000","0","        163.35"
"SESAGOA","29-May-2009","25-Jun-2009","167.25","171","165.1","166.2","165.5","166.2","2955","14927.98","7482000","579000","        165.40"
"SESAGOA","29-May-2009","30-Jul-2009","168.5","168.5","165.05","167.85","167.85","166.85","49","245.14","183000","123000","        165.40"
"SESAGOA","29-May-2009","27-Aug-2009","0","0","0","165.35","0","167.45","0","0","0","0","        165.40"
"SESAGOA","01-Jun-2009","25-Jun-2009","168","172","165.25","170.2","169.9","170.2","2104","10688.72","7599000","117000","        169.70"
"SESAGOA","01-Jun-2009","30-Jul-2009","165.65","170.2","165.65","169.3","169.3","171.05","9","45.33","189000","6000","        169.70"
"SESAGOA","01-Jun-2009","27-Aug-2009","0","0","0","165.35","0","171.7","0","0","0","0","        169.70"
"SESAGOA","02-Jun-2009","25-Jun-2009","170.4","173.95","167.3","170.25","169.95","170.25","2831","14530.24","8370000","771000","        169.15"
"SESAGOA","02-Jun-2009","30-Jul-2009","170.6","172.5","165.25","170","170","170.55","22","111.81","195000","6000","        169.15"
"SESAGOA","02-Jun-2009","27-Aug-2009","0","0","0","165.35","0","171.2","0","0","0","0","        169.15"
"SESAGOA","03-Jun-2009","25-Jun-2009","171.85","173.7","165.5","167.4","166.5","167.4","3050","15566.05","9132000","762000","        166.35"
"SESAGOA","03-Jun-2009","30-Jul-2009","170.95","171.55","164.35","166.2","165","166.2","18","90.35","195000","0","        166.35"
"SESAGOA","03-Jun-2009","27-Aug-2009","0","0","0","165.35","0","168.3","0","0","0","0","        166.35"
"SESAGOA","04-Jun-2009","25-Jun-2009","166","166.15","162.1","163.9","164","163.9","1559","7671.64","9642000","510000","        162.90"
"SESAGOA","04-Jun-2009","30-Jul-2009","162.45","162.85","162.05","162.3","162.3","164.15","7","34.1","198000","3000","        162.90"
"SESAGOA","04-Jun-2009","27-Aug-2009","0","0","0","165.35","0","164.8","0","0","0","0","        162.90"
"SESAGOA","05-Jun-2009","25-Jun-2009","166","167.35","156.15","157.75","158","157.75","3298","16073.45","11133000","1491000","        156.85"
"SESAGOA","05-Jun-2009","30-Jul-2009","165","165","155","155.15","155","155.15","17","80.83","210000","12000","        156.85"
"SESAGOA","05-Jun-2009","27-Aug-2009","0","0","0","165.35","0","158.65","0","0","0","0","        156.85"
"SESAGOA","08-Jun-2009","25-Jun-2009","158.25","164.9","150.65","152.85","154.5","152.85","4527","21686.99","11685000","552000","        152.40"
"SESAGOA","08-Jun-2009","30-Jul-2009","160.6","161","149","149.5","150","149.5","5","23.44","213000","3000","        152.40"
"SESAGOA","08-Jun-2009","27-Aug-2009","0","0","0","165.35","0","154.05","0","0","0","0","        152.40"
"SESAGOA","09-Jun-2009","25-Jun-2009","152","178.3","151.35","175.8","176.85","175.8","8655","43570.22","12303000","618000","        175.30"
"SESAGOA","09-Jun-2009","30-Jul-2009","152","176","152","171.7","171.7","171.7","45","222.32","243000","30000","        175.30"
"SESAGOA","09-Jun-2009","27-Aug-2009","0","0","0","165.35","0","177.2","0","0","0","0","        175.30"
"SESAGOA","10-Jun-2009","25-Jun-2009","179.8","187.2","177.6","180.15","180.45","180.15","5943","32563.29","9888000","-2415000","        180.10"
"SESAGOA","10-Jun-2009","30-Jul-2009","184.5","184.5","175.35","178.2","178.9","178.2","28","151.7","240000","-3000","        180.10"
"SESAGOA","10-Jun-2009","27-Aug-2009","0","0","0","165.35","0","182","0","0","0","0","        180.10"
"SESAGOA","11-Jun-2009","25-Jun-2009","181.4","197.7","178","193.1","192.5","193.1","12344","69832.7","12858000","2970000","        192.15"
"SESAGOA","11-Jun-2009","30-Jul-2009","177.5","194.9","177.1","191.65","191.3","191.65","54","300.04","273000","33000","        192.15"
"SESAGOA","11-Jun-2009","27-Aug-2009","0","0","0","165.35","0","194.15","0","0","0","0","        192.15"
"SESAGOA","12-Jun-2009","25-Jun-2009","200.2","215.8","196","202.95","201.7","202.95","21425","133038.49","8808000","-4050000","        203.00"
"SESAGOA","12-Jun-2009","30-Jul-2009","198.9","213","197.45","201.55","200.75","201.55","148","909.98","396000","123000","        203.00"
"SESAGOA","12-Jun-2009","27-Aug-2009","0","0","0","165.35","0","205.05","0","0","0","0","        203.00"
"SESAGOA","15-Jun-2009","25-Jun-2009","200","211.35","199","202.9","203.7","202.9","6758","41695.35","9375000","567000","        203.10"
"SESAGOA","15-Jun-2009","30-Jul-2009","203.4","209.2","200.55","202.75","203.4","202.75","1056","6473.25","1281000","885000","        203.10"
"SESAGOA","15-Jun-2009","27-Aug-2009","203","203","203","203","203","205.1","3","18.27","9000","9000","        203.10"
"SESAGOA","16-Jun-2009","25-Jun-2009","199.5","205","195.15","201.5","200.75","201.5","4551","27326.67","9537000","162000","        200.90"
"SESAGOA","16-Jun-2009","30-Jul-2009","199","204.3","195.4","201.4","200.15","201.4","668","3997.03","1230000","-51000","        200.90"
"SESAGOA","16-Jun-2009","27-Aug-2009","0","0","0","203","203","202.8","0","0","9000","0","        200.90"
"SESAGOA","17-Jun-2009","25-Jun-2009","198.6","199.6","185.35","187.55","187.5","187.55","3253","18817.22","8331000","-1206000","        187.95"
"SESAGOA","17-Jun-2009","30-Jul-2009","198.15","199.25","185.6","188","188","188","521","3041.39","822000","-408000","        187.95"
"SESAGOA","17-Jun-2009","27-Aug-2009","0","0","0","203","203","189.7","0","0","9000","0","        187.95"
"SESAGOA","18-Jun-2009","25-Jun-2009","185.5","191","178.4","187.1","190","187.1","2408","13413.47","7800000","-531000","        186.80"
"SESAGOA","18-Jun-2009","30-Jul-2009","188.75","190.8","178.55","187.05","190","187.05","198","1104.68","699000","-123000","        186.80"
"SESAGOA","18-Jun-2009","27-Aug-2009","0","0","0","203","203","188.55","0","0","9000","0","        186.80"
"SESAGOA","19-Jun-2009","25-Jun-2009","191.9","195.4","183.6","189","189.15","189","2875","16440.37","8199000","399000","        188.00"
"SESAGOA","19-Jun-2009","30-Jul-2009","193","195.25","184.3","188.85","190.4","188.85","186","1063.05","765000","66000","        188.00"
"SESAGOA","19-Jun-2009","27-Aug-2009","0","0","0","203","203","189.75","0","0","9000","0","        188.00"
"SESAGOA","22-Jun-2009","25-Jun-2009","190","198","187.3","189.85","188.05","189.85","3860","22398.64","6861000","-1338000","        189.80"
"SESAGOA","22-Jun-2009","30-Jul-2009","192.15","198.05","187.75","190.15","188.15","190.15","752","4362.44","1182000","417000","        189.80"
"SESAGOA","22-Jun-2009","27-Aug-2009","0","0","0","203","203","191.5","0","0","9000","0","        189.80"
"SESAGOA","23-Jun-2009","25-Jun-2009","181.15","184.5","178.25","182","180.95","182","3492","19018.59","5622000","-1239000","        181.35"
"SESAGOA","23-Jun-2009","30-Jul-2009","184","184.5","178.5","181.05","180.3","181.05","1384","7533.74","2859000","1677000","        181.35"
