"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"WIPRO","01-Jul-2008","31-Jul-2008","424","438","401.6","406.95","409","406.95","4250","10916.48","5668800","167400","        414.75"
"WIPRO","01-Jul-2008","28-Aug-2008","435","435","401.05","403.4","401.05","403.4","17","42.39","16200","4200","        414.75"
"WIPRO","01-Jul-2008","25-Sep-2008","0","0","0","437","437","424.6","0","0","600","0","        414.75"
"WIPRO","02-Jul-2008","31-Jul-2008","412","440.95","412","434.85","434.85","434.85","3368","8733.68","5263800","-405000","        438.15"
"WIPRO","02-Jul-2008","28-Aug-2008","424.35","435","422","432.15","432.1","432.15","18","46.45","15000","-1200","        438.15"
"WIPRO","02-Jul-2008","25-Sep-2008","0","0","0","437","437","448.4","0","0","600","0","        438.15"
"WIPRO","03-Jul-2008","31-Jul-2008","429.4","429.9","418","419.85","418.7","419.85","2137","5415.19","5629200","365400","        430.30"
"WIPRO","03-Jul-2008","28-Aug-2008","419.05","421.95","418.95","421.95","421.95","436.8","4","10.07","17400","2400","        430.30"
"WIPRO","03-Jul-2008","25-Sep-2008","0","0","0","437","437","440.05","0","0","600","0","        430.30"
"WIPRO","04-Jul-2008","31-Jul-2008","424","431.75","415.5","421.6","420","421.6","1782","4518.26","5812200","183000","        427.65"
"WIPRO","04-Jul-2008","28-Aug-2008","415","422","412","412","412","434.05","9","22.58","15600","-1800","        427.65"
"WIPRO","04-Jul-2008","25-Sep-2008","0","0","0","437","437","437.3","0","0","600","0","        427.65"
"WIPRO","07-Jul-2008","31-Jul-2008","428","434.5","423.25","427.8","426.15","427.8","1614","4161.38","5908800","96600","        442.80"
"WIPRO","07-Jul-2008","28-Aug-2008","431","431","420.7","424.15","420.7","424.15","11","28.15","17400","1800","        442.80"
"WIPRO","07-Jul-2008","25-Sep-2008","0","0","0","437","437","452.4","0","0","600","0","        442.80"
"WIPRO","08-Jul-2008","31-Jul-2008","418.15","419.4","405.25","406.95","407.85","406.95","2367","5846.24","6400800","492000","        420.75"
"WIPRO","08-Jul-2008","28-Aug-2008","414","414.15","401","402.1","402.5","402.1","34","82.62","30000","12600","        420.75"
"WIPRO","08-Jul-2008","25-Sep-2008","0","0","0","437","437","430","0","0","600","0","        420.75"
"WIPRO","09-Jul-2008","31-Jul-2008","413.7","430","410","427.95","428","427.95","4374","11019.31","5971200","-429600","        434.40"
"WIPRO","09-Jul-2008","28-Aug-2008","410","424","407","422.8","424","422.8","127","316.1","72000","42000","        434.40"
"WIPRO","09-Jul-2008","25-Sep-2008","0","0","0","437","437","443.7","0","0","600","0","        434.40"
"WIPRO","10-Jul-2008","31-Jul-2008","428","439.1","422.1","428.85","429","428.85","2864","7386.68","5802600","-168600","        431.45"
"WIPRO","10-Jul-2008","28-Aug-2008","430","431.65","417.9","424","424","424","29","73.9","75600","3600","        431.45"
"WIPRO","10-Jul-2008","25-Sep-2008","430.5","430.5","430.5","430.5","430.5","440.6","1","2.58","1200","600","        431.45"
"WIPRO","11-Jul-2008","31-Jul-2008","439.7","443.5","400.2","404.4","405.1","404.4","4740","11736.87","5836800","34200","        412.20"
"WIPRO","11-Jul-2008","28-Aug-2008","420","420","396.6","399.7","400","399.7","135","327.88","126600","51000","        412.20"
"WIPRO","11-Jul-2008","25-Sep-2008","412","412","412","412","412","420.8","1","2.47","1800","600","        412.20"
"WIPRO","14-Jul-2008","31-Jul-2008","398.15","410.8","389.1","398.2","399","398.2","3172","7581.07","5473800","-363000","        403.10"
"WIPRO","14-Jul-2008","28-Aug-2008","390","405.95","386","394.1","395.5","394.1","71","167.31","136800","10200","        403.10"
"WIPRO","14-Jul-2008","25-Sep-2008","375.4","398.2","375.4","398.2","398.2","411.3","2","4.64","1800","0","        403.10"
"WIPRO","15-Jul-2008","31-Jul-2008","390","401.8","368","374.05","370","374.05","4354","10118.07","5539200","65400","        378.20"
"WIPRO","15-Jul-2008","28-Aug-2008","382.2","395","364","371.2","364","371.2","108","246.09","167400","30600","        378.20"
"WIPRO","15-Jul-2008","25-Sep-2008","381.2","381.2","370","373.75","377.5","373.75","3","6.77","3000","1200","        378.20"
"WIPRO","16-Jul-2008","31-Jul-2008","372.8","381.4","363","369.2","371.5","369.2","2613","5859.01","5362200","-177000","        370.30"
"WIPRO","16-Jul-2008","28-Aug-2008","372","376.45","360","364.8","366.95","364.8","53","117.23","173400","6000","        370.30"
"WIPRO","16-Jul-2008","25-Sep-2008","376.8","376.8","356.25","356.25","356.25","377.65","2","4.4","3000","0","        370.30"
"WIPRO","17-Jul-2008","31-Jul-2008","380.9","386","369","377.55","377.25","377.55","2907","6591.66","5090400","-271800","        380.20"
"WIPRO","17-Jul-2008","28-Aug-2008","379","379.9","370","372.95","373","372.95","40","89.63","181800","8400","        380.20"
"WIPRO","17-Jul-2008","25-Sep-2008","0","0","0","356.25","356.25","387.75","0","0","3000","0","        380.20"
"WIPRO","18-Jul-2008","31-Jul-2008","380","389","352.55","364.4","360.35","364.4","6002","13013.82","5119200","28800","        366.25"
"WIPRO","18-Jul-2008","28-Aug-2008","375","375","348.55","359.75","357","359.75","279","596.07","265800","84000","        366.25"
"WIPRO","18-Jul-2008","25-Sep-2008","357.85","359.5","355","355","355","355","4","8.58","5400","2400","        366.25"
"WIPRO","21-Jul-2008","31-Jul-2008","365.55","377.85","361.35","373.35","374.5","373.35","3597","8000.88","4488000","-631200","        373.05"
"WIPRO","21-Jul-2008","28-Aug-2008","362","373","357.15","369.2","370","369.2","153","336.77","270000","4200","        373.05"
"WIPRO","21-Jul-2008","25-Sep-2008","364.7","368","360.05","364.95","364.95","380","6","13.12","6000","600","        373.05"
"WIPRO","22-Jul-2008","31-Jul-2008","373","397.8","373","394.65","396.5","394.65","3051","7089.1","4228200","-259800","        394.80"
"WIPRO","22-Jul-2008","28-Aug-2008","376","390.95","370.55","389.4","390.95","389.4","210","480.83","266400","-3600","        394.80"
"WIPRO","22-Jul-2008","25-Sep-2008","367.8","367.8","367.8","367.8","367.8","402.05","1","2.21","5400","-600","        394.80"
"WIPRO","23-Jul-2008","31-Jul-2008","407.7","414","390","408.4","409","408.4","4084","9924.64","4082400","-145800","        407.85"
"WIPRO","23-Jul-2008","28-Aug-2008","403","411.25","387.3","407.45","408.5","407.45","390","943.38","289800","23400","        407.85"
"WIPRO","23-Jul-2008","25-Sep-2008","393","400","393","400","400","415.25","2","4.76","5400","0","        407.85"
"WIPRO","24-Jul-2008","31-Jul-2008","405","413.15","391.1","408.1","410","408.1","3351","8115.19","4236600","154200","        407.70"
"WIPRO","24-Jul-2008","28-Aug-2008","409","411","390.2","406.85","408.7","406.85","365","878.84","361800","72000","        407.70"
"WIPRO","24-Jul-2008","25-Sep-2008","396","406","396","406","406","415","4","9.65","5400","0","        407.70"
"WIPRO","25-Jul-2008","31-Jul-2008","400.05","421","399.95","407.7","408.85","407.7","3244","7987.07","4142400","-94200","        407.30"
"WIPRO","25-Jul-2008","28-Aug-2008","395.25","416.5","395.25","405.6","405","405.6","523","1277.31","543600","181800","        407.30"
"WIPRO","25-Jul-2008","25-Sep-2008","406.05","406.05","406","406","406","414.6","2","4.87","5400","0","        407.30"
"WIPRO","28-Jul-2008","31-Jul-2008","406","415","401.35","406.5","408.45","406.5","2373","5766.08","3600600","-541800","        407.80"
"WIPRO","28-Jul-2008","28-Aug-2008","405","409.55","399.5","403.8","404.4","403.8","809","1951.31","881400","337800","        407.80"
"WIPRO","28-Jul-2008","25-Sep-2008","406","406","397.35","397.35","397.35","414.7","2","4.82","4800","-600","        407.80"
"WIPRO","29-Jul-2008","31-Jul-2008","401","405.55","392","402.3","402.8","402.3","2579","6191.54","3228000","-372600","        402.65"
"WIPRO","29-Jul-2008","28-Aug-2008","400.1","401.75","387","397","398.5","397","1888","4488.01","1576200","694800","        402.65"
"WIPRO","29-Jul-2008","25-Sep-2008","391.4","399","383.3","396","396","396","4","9.42","5400","600","        402.65"
"WIPRO","30-Jul-2008","31-Jul-2008","406.7","426.75","406","423.5","426","423.5","2722","6815.86","2607000","-621000","        422.65"
"WIPRO","30-Jul-2008","28-Aug-2008","405","423.85","404","420.1","423.8","420.1","2496","6211.11","2147400","571200","        422.65"
"WIPRO","30-Jul-2008","25-Sep-2008","406.3","420","406.3","420","420","420","6","14.97","4200","-1200","        422.65"
"WIPRO","31-Jul-2008","31-Jul-2008","428","443.8","415","418.5","415.3","415.4","5439","14040.93","2328000","-279000","        415.40"
"WIPRO","31-Jul-2008","28-Aug-2008","426","438.5","408.05","414.25","409.55","414.25","4576","11616.62","3378600","1231200","        415.40"
"WIPRO","31-Jul-2008","25-Sep-2008","417.65","417.65","417.65","417.65","417.65","422.1","1","2.51","4800","600","        415.40"
"WIPRO","01-Aug-2008","28-Aug-2008","409","436","406","434.1","435.1","434.1","2778","7002.1","3714000","335400","        433.85"
"WIPRO","01-Aug-2008","25-Sep-2008","401","420","401","420","420","440.65","5","12.34","6000","1200","        433.85"
"WIPRO","01-Aug-2008","29-Oct-2008","0","0","0","426.2","0","444.9","0","0","0","0","        433.85"
"WIPRO","04-Aug-2008","28-Aug-2008","430","438","426.2","429.6","428.1","429.6","2106","5458.98","3644400","-69600","        431.45"
"WIPRO","04-Aug-2008","25-Sep-2008","427","430","425","425.5","425.5","425.5","10","25.62","9000","3000","        431.45"
"WIPRO","04-Aug-2008","29-Oct-2008","0","0","0","426.2","0","442.25","0","0","0","0","        431.45"
"WIPRO","05-Aug-2008","28-Aug-2008","426","451.1","421.15","448.6","447.55","448.6","3280","8600.46","4060200","415800","        447.55"
"WIPRO","05-Aug-2008","25-Sep-2008","424","443","424","443","443","454.05","17","43.99","11400","2400","        447.55"
"WIPRO","05-Aug-2008","29-Oct-2008","0","0","0","426.2","0","458.45","0","0","0","0","        447.55"
"WIPRO","06-Aug-2008","28-Aug-2008","452","462","447.35","453.85","455","453.85","2825","7702.96","4312800","252600","        453.10"
"WIPRO","06-Aug-2008","25-Sep-2008","446","458.4","445","450","450","450","12","32.46","12000","600","        453.10"
"WIPRO","06-Aug-2008","29-Oct-2008","0","0","0","426.2","0","464.2","0","0","0","0","        453.10"
"WIPRO","07-Aug-2008","28-Aug-2008","454","461.9","446.3","450","448","450","3200","8756.21","4502400","189600","        449.60"
"WIPRO","07-Aug-2008","25-Sep-2008","455.9","457","445.35","445.35","445.35","445.35","11","29.93","12600","600","        449.60"
"WIPRO","07-Aug-2008","29-Oct-2008","0","0","0","426.2","0","460.5","0","0","0","0","        449.60"
"WIPRO","08-Aug-2008","28-Aug-2008","447.5","451.5","435","438.4","437.75","438.4","2085","5522.6","4441800","-60600","        437.65"
"WIPRO","08-Aug-2008","25-Sep-2008","443.75","443.75","442","442","442","443.75","2","5.31","13200","600","        437.65"
"WIPRO","08-Aug-2008","29-Oct-2008","0","0","0","426.2","0","448.1","0","0","0","0","        437.65"
"WIPRO","11-Aug-2008","28-Aug-2008","446.9","446.9","432.25","443.95","443.3","443.95","2020","5331.61","4522200","80400","        442.70"
"WIPRO","11-Aug-2008","25-Sep-2008","442","442.2","432","441.05","440","441.05","15","39.45","17400","4200","        442.70"
"WIPRO","11-Aug-2008","29-Oct-2008","0","0","0","426.2","0","453.05","0","0","0","0","        442.70"
"WIPRO","12-Aug-2008","28-Aug-2008","445","451.7","430.25","433.5","433.55","433.5","2243","5931.61","4659000","136800","        433.30"
"WIPRO","12-Aug-2008","25-Sep-2008","439.1","446.2","430","433","433","433","66","173.86","34800","17400","        433.30"
"WIPRO","12-Aug-2008","29-Oct-2008","0","0","0","426.2","0","443.25","0","0","0","0","        433.30"
"WIPRO","13-Aug-2008","28-Aug-2008","430","438.3","428.5","434.65","436.5","434.65","1557","4059.51","4664400","5400","        432.65"
"WIPRO","13-Aug-2008","25-Sep-2008","429.5","436.35","429.5","432.65","432.65","432.65","27","70.33","44400","9600","        432.65"
"WIPRO","13-Aug-2008","29-Oct-2008","0","0","0","426.2","0","442.35","0","0","0","0","        432.65"
"WIPRO","14-Aug-2008","28-Aug-2008","434.1","443.65","428.3","430.6","429.75","430.6","2514","6573.6","4494000","-170400","        429.40"
"WIPRO","14-Aug-2008","25-Sep-2008","436","442","428.55","429.9","428.55","429.9","25","65.46","42600","-1800","        429.40"
"WIPRO","14-Aug-2008","29-Oct-2008","0","0","0","426.2","0","438.7","0","0","0","0","        429.40"
"WIPRO","18-Aug-2008","28-Aug-2008","436.8","440.7","431","434.8","435","434.8","1953","5108.77","4469400","-24600","        432.00"
"WIPRO","18-Aug-2008","25-Sep-2008","438.65","438.65","430","432.85","433.1","432.85","168","437.05","103800","61200","        432.00"
"WIPRO","18-Aug-2008","29-Oct-2008","0","0","0","426.2","0","441.05","0","0","0","0","        432.00"
"WIPRO","19-Aug-2008","28-Aug-2008","428.75","436","419.8","433.85","435.5","433.85","2332","6020.56","4279800","-189600","        432.45"
"WIPRO","19-Aug-2008","25-Sep-2008","428.3","434","427","431.75","434","431.75","651","1677.85","466800","363000","        432.45"
"WIPRO","19-Aug-2008","29-Oct-2008","0","0","0","426.2","0","441.4","0","0","0","0","        432.45"
"WIPRO","20-Aug-2008","28-Aug-2008","436","439","431","436.65","437.8","436.65","1408","3673.1","4262400","-17400","        433.65"
"WIPRO","20-Aug-2008","25-Sep-2008","436","437","429.5","435.05","435","435.05","495","1285.32","727800","261000","        433.65"
"WIPRO","20-Aug-2008","29-Oct-2008","0","0","0","426.2","0","442.55","0","0","0","0","        433.65"
"WIPRO","21-Aug-2008","28-Aug-2008","437.5","437.5","420","422.2","420.6","422.2","1869","4783.97","4076400","-186000","        421.05"
"WIPRO","21-Aug-2008","25-Sep-2008","431.05","431.05","420","420.3","420","420.3","210","537.13","817800","90000","        421.05"
"WIPRO","21-Aug-2008","29-Oct-2008","0","0","0","426.2","0","429.65","0","0","0","0","        421.05"
"WIPRO","22-Aug-2008","28-Aug-2008","419.8","423.05","411.45","417.8","416.5","417.8","2093","5251.68","3709200","-367200","        418.75"
"WIPRO","22-Aug-2008","25-Sep-2008","418.8","420.9","410.75","417.25","416.25","417.25","437","1092.26","1018800","201000","        418.75"
"WIPRO","22-Aug-2008","29-Oct-2008","0","0","0","426.2","0","427.3","0","0","0","0","        418.75"
"WIPRO","25-Aug-2008","28-Aug-2008","423","427.3","419.8","421.35","419.8","421.35","1089","2763.94","3512400","-196800","        420.00"
"WIPRO","25-Aug-2008","25-Sep-2008","423.6","424","418.7","420.2","420","420.2","491","1242.51","1243200","224400","        420.00"
"WIPRO","25-Aug-2008","29-Oct-2008","0","0","0","426.2","0","428.35","0","0","0","0","        420.00"
"WIPRO","26-Aug-2008","28-Aug-2008","419.65","432","419.6","430.9","432","430.9","2256","5807.16","3384000","-128400","        429.30"
"WIPRO","26-Aug-2008","25-Sep-2008","418","429.65","418","428.2","429.45","428.2","1457","3736.96","1587000","343800","        429.30"
"WIPRO","26-Aug-2008","29-Oct-2008","0","0","0","426.2","0","437.7","0","0","0","0","        429.30"
"WIPRO","27-Aug-2008","28-Aug-2008","430.2","434.7","425","426.35","427.5","426.35","1875","4819.25","2964600","-419400","        426.25"
"WIPRO","27-Aug-2008","25-Sep-2008","426","432.9","421.85","423.8","425.9","423.8","1193","3052.1","1902000","315000","        426.25"
"WIPRO","27-Aug-2008","29-Oct-2008","0","0","0","426.2","0","434.5","0","0","0","0","        426.25"
"WIPRO","28-Aug-2008","28-Aug-2008","426.35","432","407","413.7","413.9","414.1","3846","9767.6","1782600","-1182000","        414.10"
"WIPRO","28-Aug-2008","25-Sep-2008","422","429","407.4","413.65","413","413.65","4354","10957.02","2923200","1021200","        414.10"
"WIPRO","28-Aug-2008","29-Oct-2008","423","423","422","422","422","422.05","2","5.07","1200","1200","        414.10"
"WIPRO","29-Aug-2008","25-Sep-2008","420","435.45","418","434.1","434","434.1","1827","4686.54","3037800","114600","        432.40"
"WIPRO","29-Aug-2008","29-Oct-2008","419.95","432.5","419.95","432.5","432.5","432.5","9","22.94","4200","3000","        432.40"
"WIPRO","29-Aug-2008","27-Nov-2008","0","0","0","425.8","0","444.55","0","0","0","0","        432.40"
