"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"WIPRO","02-Nov-2015","26-Nov-2015","576.9","579","571.2","576.25","575.6","576.25","1786","10269.7","6076000","34000","        575.15"
"WIPRO","02-Nov-2015","31-Dec-2015","581.75","581.75","574.95","577.8","577.8","577.8","14","80.81","21000","7000","        575.15"
"WIPRO","02-Nov-2015","28-Jan-2016","0","0","0","585.3","0","585.35","0","0","0","0","        575.15"
"WIPRO","03-Nov-2015","26-Nov-2015","579.8","581","574","576.95","576.65","576.95","824","4752.64","6076000","0","        574.25"
"WIPRO","03-Nov-2015","31-Dec-2015","578.8","578.8","576.9","576.9","576.9","581","3","17.33","20000","-1000","        574.25"
"WIPRO","03-Nov-2015","28-Jan-2016","579","579","579","579","579","584.3","1","5.79","1000","1000","        574.25"
"WIPRO","04-Nov-2015","26-Nov-2015","580.9","580.9","573.5","574.95","575.3","574.95","909","5236.87","6070000","-6000","        573.05"
"WIPRO","04-Nov-2015","31-Dec-2015","580.05","580.05","576.75","577.8","576.85","577.8","19","109.9","18000","-2000","        573.05"
"WIPRO","04-Nov-2015","28-Jan-2016","0","0","0","579","579","583","0","0","1000","0","        573.05"
"WIPRO","05-Nov-2015","26-Nov-2015","573.9","576.45","571.5","573.1","573.5","573.1","1179","6765.88","6082000","12000","        570.85"
"WIPRO","05-Nov-2015","31-Dec-2015","575.85","578.25","575","576.25","576.25","576.25","25","144.26","33000","15000","        570.85"
"WIPRO","05-Nov-2015","28-Jan-2016","0","0","0","579","579","580.6","0","0","1000","0","        570.85"
"WIPRO","06-Nov-2015","26-Nov-2015","571.15","573.95","569.5","572.4","572.75","572.4","707","4043.21","6108000","26000","        569.95"
"WIPRO","06-Nov-2015","31-Dec-2015","573.5","576.45","573.5","574.65","575.1","574.65","11","63.21","39000","6000","        569.95"
"WIPRO","06-Nov-2015","28-Jan-2016","0","0","0","579","579","579.6","0","0","1000","0","        569.95"
"WIPRO","09-Nov-2015","26-Nov-2015","566.1","569.05","557.5","561.4","561.3","561.4","2318","12999.04","6158000","50000","        560.25"
"WIPRO","09-Nov-2015","31-Dec-2015","570","572","561","564.55","563.6","564.55","42","237.23","55000","16000","        560.25"
"WIPRO","09-Nov-2015","28-Jan-2016","561","561","561","561","561","569.35","1","5.61","2000","1000","        560.25"
"WIPRO","10-Nov-2015","26-Nov-2015","558.6","561.65","552.25","557.2","557.25","557.2","1789","9974.28","6169000","11000","        556.05"
"WIPRO","10-Nov-2015","31-Dec-2015","564.5","564.5","555.75","560.3","560.15","560.3","19","106.33","63000","8000","        556.05"
"WIPRO","10-Nov-2015","28-Jan-2016","0","0","0","561","561","565","0","0","2000","0","        556.05"
"WIPRO","11-Nov-2015","26-Nov-2015","558","558.35","555.15","556.75","556.8","556.75","163","907.93","6167000","-2000","        556.50"
"WIPRO","11-Nov-2015","31-Dec-2015","560","560","560","560","560","562.15","1","5.6","64000","1000","        556.50"
"WIPRO","11-Nov-2015","28-Jan-2016","0","0","0","561","561","565.35","0","0","2000","0","        556.50"
"WIPRO","13-Nov-2015","26-Nov-2015","553.95","555.55","551","551.6","551.25","551.6","762","4210.52","6215000","48000","        551.50"
"WIPRO","13-Nov-2015","31-Dec-2015","554.95","557.25","554.55","557.25","557.25","556.9","17","94.49","76000","12000","        551.50"
"WIPRO","13-Nov-2015","28-Jan-2016","0","0","0","561","561","560.05","0","0","2000","0","        551.50"
"WIPRO","16-Nov-2015","26-Nov-2015","548.55","557.75","542.4","554.35","555.65","554.35","1502","8279.25","6149000","-66000","        553.50"
"WIPRO","16-Nov-2015","31-Dec-2015","550.7","560.5","545.75","558.5","558.75","558.5","39","215.91","84000","8000","        553.50"
"WIPRO","16-Nov-2015","28-Jan-2016","0","0","0","561","561","561.75","0","0","2000","0","        553.50"
"WIPRO","17-Nov-2015","26-Nov-2015","554.2","557","551","555.75","555.75","555.75","2181","12068.1","5902000","-247000","        555.85"
"WIPRO","17-Nov-2015","31-Dec-2015","555.5","559.15","555","558.95","559","558.95","44","245.01","108000","24000","        555.85"
"WIPRO","17-Nov-2015","28-Jan-2016","555.55","556.75","555.55","556.75","556.75","564","2","11.12","4000","2000","        555.85"
"WIPRO","18-Nov-2015","26-Nov-2015","553.95","556.6","551.55","553.95","554","553.95","1636","9055.57","6341000","439000","        554.35"
"WIPRO","18-Nov-2015","31-Dec-2015","557","558.5","554.9","557.35","557.5","557.35","65","361.71","134000","26000","        554.35"
"WIPRO","18-Nov-2015","28-Jan-2016","554.75","554.85","553.9","553.9","553.9","562.35","5","27.73","8000","4000","        554.35"
"WIPRO","19-Nov-2015","26-Nov-2015","555.4","561.25","553.2","557.35","559.3","557.35","1731","9657.39","6205000","-136000","        556.75"
"WIPRO","19-Nov-2015","31-Dec-2015","558.75","564.25","557.75","560.7","561.6","560.7","163","915.56","204000","70000","        556.75"
"WIPRO","19-Nov-2015","28-Jan-2016","0","0","0","553.9","553.9","564.7","0","0","8000","0","        556.75"
"WIPRO","20-Nov-2015","26-Nov-2015","560.55","574","560.55","569","568.4","569","2392","13613.79","6306000","101000","        569.70"
"WIPRO","20-Nov-2015","31-Dec-2015","565","577","565","572.05","571.55","572.05","618","3536.76","417000","213000","        569.70"
"WIPRO","20-Nov-2015","28-Jan-2016","566.8","573","566.8","571.25","571.25","577.7","4","22.82","11000","3000","        569.70"
"WIPRO","23-Nov-2015","26-Nov-2015","569.95","575.7","567.5","570","570","570","3463","19844.1","5968000","-338000","        570.10"
"WIPRO","23-Nov-2015","31-Dec-2015","573","578.75","571.05","572.85","573.1","572.85","2617","15070.83","1968000","1551000","        570.10"
"WIPRO","23-Nov-2015","28-Jan-2016","574.8","576","574.8","576","576","577.75","2","11.51","13000","2000","        570.10"
"WIPRO","24-Nov-2015","26-Nov-2015","573.15","576.5","563.1","564.2","564","564.2","5048","28681.14","2916000","-3052000","        563.85"
"WIPRO","24-Nov-2015","31-Dec-2015","574.5","579.05","565.95","567","567.4","567","4352","24844.59","5000000","3032000","        563.85"
"WIPRO","24-Nov-2015","28-Jan-2016","575.65","575.65","568.8","570.35","570.35","571.3","6","34.25","15000","2000","        563.85"
"WIPRO","26-Nov-2015","26-Nov-2015","562.2","572.75","561.5","569.65","569.55","569.5","3192","18209.35","1050000","-1866000","        569.50"
"WIPRO","26-Nov-2015","31-Dec-2015","564.8","575.45","564.25","572.55","572.3","572.55","3520","20181.06","6739000","1739000","        569.50"
"WIPRO","26-Nov-2015","28-Jan-2016","574.05","574.05","571","571.65","571","571.65","5","28.61","16000","1000","        569.50"
"WIPRO","27-Nov-2015","31-Dec-2015","570.6","574","568.15","573.45","574","573.45","1715","9794.66","6826000","87000","        569.95"
"WIPRO","27-Nov-2015","28-Jan-2016","570.05","570.05","567.65","569.3","569.3","577.15","13","73.96","27000","11000","        569.95"
"WIPRO","27-Nov-2015","25-Feb-2016","0","0","0","580.05","0","580.4","0","0","0","0","        569.95"
"WIPRO","30-Nov-2015","31-Dec-2015","572.6","579.75","571","576.3","573.85","576.3","2576","14836.88","7172000","346000","        573.30"
"WIPRO","30-Nov-2015","28-Jan-2016","569.85","575.75","569.85","575.3","575.75","575.3","12","68.68","28000","1000","        573.30"
"WIPRO","30-Nov-2015","25-Feb-2016","0","0","0","580.05","0","583.5","0","0","0","0","        573.30"
"WIPRO","01-Dec-2015","31-Dec-2015","580.2","589.9","580.2","584.05","584","584.05","2771","16228.01","7169000","-3000","        581.95"
"WIPRO","01-Dec-2015","28-Jan-2016","581","587.3","581","583.5","583.5","588.85","16","93.53","29000","1000","        581.95"
"WIPRO","01-Dec-2015","25-Feb-2016","0","0","0","580.05","0","592.2","0","0","0","0","        581.95"
"WIPRO","02-Dec-2015","31-Dec-2015","584.75","587.7","578.3","579.35","579.55","579.35","1754","10209.37","7092000","-77000","        577.75"
"WIPRO","02-Dec-2015","28-Jan-2016","584.5","584.5","577","577","577","577","8","46.34","30000","1000","        577.75"
"WIPRO","02-Dec-2015","25-Feb-2016","0","0","0","580.05","0","587.8","0","0","0","0","        577.75"
"WIPRO","03-Dec-2015","31-Dec-2015","580.65","585.3","571.6","574.4","575.95","574.4","2562","14839.62","6945000","-147000","        572.55"
"WIPRO","03-Dec-2015","28-Jan-2016","583.7","583.7","575","575.8","575.8","579.1","14","81.02","34000","4000","        572.55"
"WIPRO","03-Dec-2015","25-Feb-2016","0","0","0","580.05","0","582.4","0","0","0","0","        572.55"
"WIPRO","04-Dec-2015","31-Dec-2015","573.25","573.3","565","571.6","572.1","571.6","1795","10207.32","6793000","-152000","        569.30"
"WIPRO","04-Dec-2015","28-Jan-2016","567","571.2","564.65","571.2","571.2","571.2","24","136.14","36000","2000","        569.30"
"WIPRO","04-Dec-2015","25-Feb-2016","570","570","570","570","570","578.95","1","5.7","1000","1000","        569.30"
"WIPRO","07-Dec-2015","31-Dec-2015","574","579.95","571","578.2","578.35","578.2","1457","8388.89","6844000","51000","        576.05"
"WIPRO","07-Dec-2015","28-Jan-2016","573.25","578.6","569.85","576.75","577","576.75","30","172.94","54000","18000","        576.05"
"WIPRO","07-Dec-2015","25-Feb-2016","0","0","0","570","570","585.5","0","0","1000","0","        576.05"
"WIPRO","08-Dec-2015","31-Dec-2015","576.5","579.7","567.75","569.65","568.55","569.65","1812","10395.26","6680000","-164000","        566.70"
"WIPRO","08-Dec-2015","28-Jan-2016","575.2","576.75","567.2","568.1","567.45","568.1","77","440.7","107000","53000","        566.70"
"WIPRO","08-Dec-2015","25-Feb-2016","0","0","0","570","570","575.85","0","0","1000","0","        566.70"
"WIPRO","09-Dec-2015","31-Dec-2015","569.45","575.85","565.1","567.1","567.8","567.1","2480","14162.18","6539000","-141000","        565.30"
"WIPRO","09-Dec-2015","28-Jan-2016","565.75","575.45","563.8","566.3","566.25","566.3","49","280.3","127000","20000","        565.30"
"WIPRO","09-Dec-2015","25-Feb-2016","0","0","0","570","570","574.3","0","0","1000","0","        565.30"
"WIPRO","10-Dec-2015","31-Dec-2015","567.5","571.5","562.4","567.85","567","567.85","1732","9813.83","6432000","-107000","        565.10"
"WIPRO","10-Dec-2015","28-Jan-2016","568","569.45","562.5","562.75","562.75","570.75","25","141.25","143000","16000","        565.10"
"WIPRO","10-Dec-2015","25-Feb-2016","0","0","0","570","570","574","0","0","1000","0","        565.10"
"WIPRO","11-Dec-2015","31-Dec-2015","565.05","568.45","562.6","567","566.7","567","1291","7297.34","6475000","43000","        565.90"
"WIPRO","11-Dec-2015","28-Jan-2016","563","564.4","563","563.05","563.05","571.45","7","39.45","147000","4000","        565.90"
"WIPRO","11-Dec-2015","25-Feb-2016","0","0","0","570","570","574.7","0","0","1000","0","        565.90"
"WIPRO","14-Dec-2015","31-Dec-2015","563.85","570.45","562","567.65","569.25","567.65","1658","9383.68","6325000","-150000","        567.05"
"WIPRO","14-Dec-2015","28-Jan-2016","564.8","567.85","562.5","566.85","567.85","566.85","30","169.36","155000","8000","        567.05"
"WIPRO","14-Dec-2015","25-Feb-2016","0","0","0","570","570","575.55","0","0","1000","0","        567.05"
"WIPRO","15-Dec-2015","31-Dec-2015","568.25","568.25","559","560.95","561.05","560.95","1855","10441.26","6430000","105000","        558.90"
"WIPRO","15-Dec-2015","28-Jan-2016","564.8","564.8","558.95","560.55","560.75","560.55","27","151.58","172000","17000","        558.90"
"WIPRO","15-Dec-2015","25-Feb-2016","0","0","0","570","570","567.15","0","0","1000","0","        558.90"
"WIPRO","16-Dec-2015","31-Dec-2015","556.35","560.85","555","557.35","558.45","557.35","2593","14469.55","6816000","386000","        554.95"
"WIPRO","16-Dec-2015","28-Jan-2016","556.55","559.65","555.5","556.05","556.25","556.05","114","634.88","231000","59000","        554.95"
"WIPRO","16-Dec-2015","25-Feb-2016","0","0","0","570","570","563.05","0","0","1000","0","        554.95"
"WIPRO","17-Dec-2015","31-Dec-2015","559.85","559.85","556","558.55","559","558.55","1761","9826.2","7267000","451000","        556.10"
"WIPRO","17-Dec-2015","28-Jan-2016","557.6","558.5","555.3","557.7","557.75","557.7","60","334.25","269000","38000","        556.10"
"WIPRO","17-Dec-2015","25-Feb-2016","0","0","0","570","570","564.1","0","0","1000","0","        556.10"
"WIPRO","18-Dec-2015","31-Dec-2015","555.9","559.75","551.65","556.45","554.5","556.45","2129","11859.29","7147000","-120000","        554.20"
"WIPRO","18-Dec-2015","28-Jan-2016","552.45","557.4","552.05","554.3","554","554.3","125","694.61","307000","38000","        554.20"
"WIPRO","18-Dec-2015","25-Feb-2016","0","0","0","570","570","562.05","0","0","1000","0","        554.20"
"WIPRO","21-Dec-2015","31-Dec-2015","554.45","561.1","550","557.1","558.5","557.1","1967","10936.2","7215000","68000","        555.85"
"WIPRO","21-Dec-2015","28-Jan-2016","554","559.2","549.8","556","557","556","111","615.22","319000","12000","        555.85"
"WIPRO","21-Dec-2015","25-Feb-2016","0","0","0","570","570","563.4","0","0","1000","0","        555.85"
"WIPRO","22-Dec-2015","31-Dec-2015","557","558.15","553.6","555.65","554.45","555.65","1433","7969.27","7182000","-33000","        555.45"
"WIPRO","22-Dec-2015","28-Jan-2016","554.9","556.8","552.55","554.05","553.5","554.05","245","1361.28","348000","29000","        555.45"
"WIPRO","22-Dec-2015","25-Feb-2016","0","0","0","570","570","562.85","0","0","1000","0","        555.45"
"WIPRO","23-Dec-2015","31-Dec-2015","558.55","559.1","554.55","556.95","557.9","556.95","985","5485.65","7096000","-86000","        556.30"
"WIPRO","23-Dec-2015","28-Jan-2016","557.05","557.05","553.1","555.1","555.5","555.1","188","1043.91","420000","72000","        556.30"
"WIPRO","23-Dec-2015","25-Feb-2016","0","0","0","570","570","563.6","0","0","1000","0","        556.30"
"WIPRO","24-Dec-2015","31-Dec-2015","559","560.9","555.6","557.15","557.4","557.15","1149","6411.54","7096000","0","        557.20"
"WIPRO","24-Dec-2015","28-Jan-2016","556.3","559","554","555.6","556","555.6","213","1184.87","514000","94000","        557.20"
"WIPRO","24-Dec-2015","25-Feb-2016","0","0","0","570","570","564.4","0","0","1000","0","        557.20"
"WIPRO","28-Dec-2015","31-Dec-2015","557.95","563.7","556.6","561.25","561.35","561.25","2670","14973.84","6408000","-688000","        561.45"
"WIPRO","28-Dec-2015","28-Jan-2016","555.25","561.5","555.25","558.9","558.95","558.9","1400","7819.87","1242000","728000","        561.45"
"WIPRO","28-Dec-2015","25-Feb-2016","564.9","564.9","564.9","564.9","564.9","568.25","1","5.65","2000","1000","        561.45"
"WIPRO","29-Dec-2015","31-Dec-2015","559.95","567.9","559","564.25","564.05","564.25","3668","20723.8","5057000","-1351000","        564.05"
"WIPRO","29-Dec-2015","28-Jan-2016","557.5","565.7","557.5","562.45","562.5","562.45","2707","15258.5","2820000","1578000","        564.05"
"WIPRO","29-Dec-2015","25-Feb-2016","0","0","0","564.9","564.9","570.8","0","0","2000","0","        564.05"
"WIPRO","30-Dec-2015","31-Dec-2015","564.55","567.7","556.65","558.85","558.75","558.85","2762","15592.24","4122000","-935000","        558.10"
"WIPRO","30-Dec-2015","28-Jan-2016","561.7","565.5","555.05","556.95","556.9","556.95","2358","13267.66","3974000","1154000","        558.10"
"WIPRO","30-Dec-2015","25-Feb-2016","562.15","562.15","562.15","562.15","562.15","564.65","1","5.62","2000","0","        558.10"
"WIPRO","31-Dec-2015","31-Dec-2015","560","561.65","557.2","559.35","559.85","559.9","3072","17207.67","2487000","-1635000","        559.90"
