"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ZEEL","01-Mar-2016","31-Mar-2016","378.05","394.3","375.55","392.05","392","392.05","3025","15272.14","9213100","161200","        391.45"
"ZEEL","01-Mar-2016","28-Apr-2016","380.2","392","380.2","389.9","389.9","396.65","14","70.14","11700","1300","        391.45"
"ZEEL","01-Mar-2016","26-May-2016","0","0","0","387.45","0","399.15","0","0","0","0","        391.45"
"ZEEL","02-Mar-2016","31-Mar-2016","396.85","401.25","391.1","398.85","399.5","398.85","2265","11659.16","9053200","-159900","        399.25"
"ZEEL","02-Mar-2016","28-Apr-2016","400.35","400.35","395.2","398","398","404.45","9","46.53","15600","3900","        399.25"
"ZEEL","02-Mar-2016","26-May-2016","0","0","0","387.45","0","407","0","0","0","0","        399.25"
"ZEEL","03-Mar-2016","31-Mar-2016","404.85","404.85","388.1","394.1","393.6","394.1","2030","10341.99","8944000","-109200","        394.45"
"ZEEL","03-Mar-2016","28-Apr-2016","395.4","397","390.8","396.4","396.65","396.4","13","66.67","20800","5200","        394.45"
"ZEEL","03-Mar-2016","26-May-2016","0","0","0","387.45","0","401.95","0","0","0","0","        394.45"
"ZEEL","04-Mar-2016","31-Mar-2016","395.15","397.4","390.15","394.05","394.9","394.05","1672","8566","8902400","-41600","        396.15"
"ZEEL","04-Mar-2016","28-Apr-2016","393.4","398","392.3","392.3","392.3","401.05","10","51.33","23400","2600","        396.15"
"ZEEL","04-Mar-2016","26-May-2016","0","0","0","387.45","0","403.55","0","0","0","0","        396.15"
"ZEEL","08-Mar-2016","31-Mar-2016","389.55","398.2","384","388.95","388.25","388.95","1671","8505.01","8630700","-271700","        390.70"
"ZEEL","08-Mar-2016","28-Apr-2016","395.8","399","387","390.95","391.4","390.95","10","51.08","24700","1300","        390.70"
"ZEEL","08-Mar-2016","26-May-2016","0","0","0","387.45","0","397.65","0","0","0","0","        390.70"
"ZEEL","09-Mar-2016","31-Mar-2016","385.95","394.8","385.9","393.75","393.5","393.75","1897","9668.58","8322600","-308100","        395.45"
"ZEEL","09-Mar-2016","28-Apr-2016","392","395.9","391","394.2","394.2","394.2","7","35.82","27300","2600","        395.45"
"ZEEL","09-Mar-2016","26-May-2016","0","0","0","387.45","0","402.4","0","0","0","0","        395.45"
"ZEEL","10-Mar-2016","31-Mar-2016","396.35","396.5","389.3","391.3","390","391.3","1023","5215.34","8204300","-118300","        391.75"
"ZEEL","10-Mar-2016","28-Apr-2016","396.15","396.15","392.1","393.55","392.1","393.55","18","92.15","24700","-2600","        391.75"
"ZEEL","10-Mar-2016","26-May-2016","0","0","0","387.45","0","398.6","0","0","0","0","        391.75"
"ZEEL","11-Mar-2016","31-Mar-2016","392.4","400.45","389.35","397.6","398.15","397.6","2335","12050.82","7956000","-248300","        398.60"
