"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ZEEL","02-May-2011","26-May-2011","136","138.6","134.15","137","137.05","137","822","2253.32","6710000","540000","        136.55"
"ZEEL","02-May-2011","30-Jun-2011","0","0","0","137.4","135.1","137.4","1","2.75","20000","2000","        136.55"
"ZEEL","02-May-2011","28-Jul-2011","0","0","0","138.25","0","139.55","0","0","0","0","        136.55"
"ZEEL","03-May-2011","26-May-2011","136.4","137.6","133","133.9","134.2","133.9","604","1634.4","6530000","-180000","        133.40"
"ZEEL","03-May-2011","30-Jun-2011","136.75","136.75","134.95","133.9","134.95","133.9","13","35.11","38000","18000","        133.40"
"ZEEL","03-May-2011","28-Jul-2011","0","0","0","138.25","0","136.35","0","0","0","0","        133.40"
"ZEEL","04-May-2011","26-May-2011","133.55","136","132.7","134.2","133.65","134.2","200","536.65","6622000","92000","        133.65"
"ZEEL","04-May-2011","30-Jun-2011","133.35","133.4","133.3","135","133.35","135","11","29.56","50000","12000","        133.65"
"ZEEL","04-May-2011","28-Jul-2011","0","0","0","138.25","0","136.6","0","0","0","0","        133.65"
"ZEEL","05-May-2011","26-May-2011","133.65","136.65","133.5","134","133.6","134","588","1584.91","6566000","-56000","        133.75"
"ZEEL","05-May-2011","30-Jun-2011","135.9","136.25","134.05","134.35","134.05","134.35","331","893.29","690000","640000","        133.75"
"ZEEL","05-May-2011","28-Jul-2011","0","0","0","138.25","0","136.7","0","0","0","0","        133.75"
"ZEEL","06-May-2011","26-May-2011","134.45","135.65","132.65","133.75","133.5","133.75","301","807.86","6540000","-26000","        133.00"
"ZEEL","06-May-2011","30-Jun-2011","134.3","135.9","133.55","134.15","134","134.15","57","153.19","790000","100000","        133.00"
"ZEEL","06-May-2011","28-Jul-2011","0","0","0","138.25","0","135.9","0","0","0","0","        133.00"
"ZEEL","09-May-2011","26-May-2011","133.5","134.7","132","133.75","133.6","133.75","233","621.66","6612000","72000","        132.90"
"ZEEL","09-May-2011","30-Jun-2011","133.25","135","133.25","134.2","133.85","134.2","46","123.12","874000","84000","        132.90"
"ZEEL","09-May-2011","28-Jul-2011","0","0","0","138.25","0","135.7","0","0","0","0","        132.90"
"ZEEL","10-May-2011","26-May-2011","134.2","134.2","132.15","133.35","133.75","133.35","322","857.2","6740000","128000","        132.50"
"ZEEL","10-May-2011","30-Jun-2011","134.6","134.6","132.95","133.65","133.45","133.65","126","336.1","1112000","238000","        132.50"
"ZEEL","10-May-2011","28-Jul-2011","0","0","0","138.25","0","135.25","0","0","0","0","        132.50"
"ZEEL","11-May-2011","26-May-2011","133.25","134.35","132.8","133.25","133.15","133.25","447","1192.76","6622000","-118000","        132.40"
