"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ZEEL","01-Nov-2016","24-Nov-2016","522.95","522.95","509.15","511.65","512.05","511.65","1860","12463.24","9947600","22100","        509.35"
"ZEEL","01-Nov-2016","29-Dec-2016","525","525","513","514.95","516.6","514.95","41","276.02","35100","-5200","        509.35"
"ZEEL","01-Nov-2016","25-Jan-2017","0","0","0","512.75","0","517.35","0","0","0","0","        509.35"
"ZEEL","02-Nov-2016","24-Nov-2016","506.55","507.25","500.85","503.6","503.7","503.6","1604","10495.29","10121800","174200","        500.90"
"ZEEL","02-Nov-2016","29-Dec-2016","510","510","505","506.1","507","506.1","23","151.31","33800","-1300","        500.90"
"ZEEL","02-Nov-2016","25-Jan-2017","510","510","510","510","510","508.7","1","6.63","1300","1300","        500.90"
"ZEEL","03-Nov-2016","24-Nov-2016","501.75","508.95","497","503.9","504.4","503.9","2175","14252.74","9865700","-256100","        503.25"
"ZEEL","03-Nov-2016","29-Dec-2016","511","511.5","500.95","505.75","506.6","505.75","28","184.69","39000","5200","        503.25"
"ZEEL","03-Nov-2016","25-Jan-2017","0","0","0","510","510","511","0","0","1300","0","        503.25"
"ZEEL","04-Nov-2016","24-Nov-2016","499","510.05","499","506.7","507.2","506.7","2604","17122.47","9623900","-241800","        506.15"
"ZEEL","04-Nov-2016","29-Dec-2016","508.45","512","504.6","510.3","509","510.3","42","277.93","42900","3900","        506.15"
"ZEEL","04-Nov-2016","25-Jan-2017","515","515","510","510","510","513.85","2","13.33","1300","0","        506.15"
"ZEEL","07-Nov-2016","24-Nov-2016","510.05","516.2","505","507.8","507.6","507.8","1957","13022.33","9443200","-180700","        507.40"
"ZEEL","07-Nov-2016","29-Dec-2016","512","517.5","509.5","511.2","509.5","511.2","28","186.97","40300","-2600","        507.40"
"ZEEL","07-Nov-2016","25-Jan-2017","514.85","520","514.85","515","515","514.8","3","20.15","1300","0","        507.40"
"ZEEL","08-Nov-2016","24-Nov-2016","510","511.9","502.55","506.9","507","506.9","1495","9852.39","9503000","59800","        505.20"
"ZEEL","08-Nov-2016","29-Dec-2016","514","514.7","506.3","509.15","510","509.15","43","284.75","61100","20800","        505.20"
"ZEEL","08-Nov-2016","25-Jan-2017","0","0","0","515","515","512.5","0","0","1300","0","        505.20"
"ZEEL","09-Nov-2016","24-Nov-2016","468.5","516","456.25","507.2","507.05","507.2","4059","26314.17","8886800","-616200","        506.15"
"ZEEL","09-Nov-2016","29-Dec-2016","459.6","518.8","459.6","511.8","512.2","511.8","112","735.02","65000","3900","        506.15"
"ZEEL","09-Nov-2016","25-Jan-2017","0","0","0","515","515","513.35","0","0","1300","0","        506.15"
"ZEEL","10-Nov-2016","24-Nov-2016","504.15","522.65","504.15","508.25","509","508.25","2684","17982.46","9129900","243100","        505.95"
"ZEEL","10-Nov-2016","29-Dec-2016","517.35","523.85","508.05","512.85","508.05","512.85","60","402.93","101400","36400","        505.95"
"ZEEL","10-Nov-2016","25-Jan-2017","520","522","515","515","515","515","4","27.03","5200","3900","        505.95"
"ZEEL","11-Nov-2016","24-Nov-2016","497.1","504.9","481.8","483.7","484.5","483.7","3594","22986.86","9474400","344500","        482.15"
"ZEEL","11-Nov-2016","29-Dec-2016","498.6","501.2","484.75","486.1","488","486.1","148","947.9","152100","50700","        482.15"
"ZEEL","11-Nov-2016","25-Jan-2017","503.9","503.9","503.9","503.9","503.9","488.75","1","6.55","6500","1300","        482.15"
"ZEEL","15-Nov-2016","24-Nov-2016","484","484","452.25","455.1","452.5","455.1","3489","20874.05","9526400","52000","        453.50"
"ZEEL","15-Nov-2016","29-Dec-2016","472","472","455.65","458.45","458.2","458.45","198","1196.66","178100","26000","        453.50"
"ZEEL","15-Nov-2016","25-Jan-2017","464.5","464.5","464.5","464.5","464.5","459.35","1","6.04","7800","1300","        453.50"
"ZEEL","16-Nov-2016","24-Nov-2016","462.05","481.95","460.65","475.45","475","475.45","3453","21142.86","9301500","-224900","        475.30"
"ZEEL","16-Nov-2016","29-Dec-2016","465.5","484.15","463.95","477.85","477.2","477.85","74","454.58","165100","-13000","        475.30"
"ZEEL","16-Nov-2016","25-Jan-2017","0","0","0","464.5","464.5","481.25","0","0","7800","0","        475.30"
"ZEEL","17-Nov-2016","24-Nov-2016","471.5","479.05","457.7","461","462.9","461","2427","14836","9245600","-55900","        459.00"
"ZEEL","17-Nov-2016","29-Dec-2016","474","481.05","460","463","465","463","242","1478.15","241800","76700","        459.00"
"ZEEL","17-Nov-2016","25-Jan-2017","0","0","0","464.5","464.5","464.6","0","0","7800","0","        459.00"
"ZEEL","18-Nov-2016","24-Nov-2016","464.1","464.15","442.9","446.45","447.95","446.45","2694","15856.54","9213100","-32500","        446.65"
"ZEEL","18-Nov-2016","29-Dec-2016","464.4","464.4","446.35","448.65","450","448.65","288","1699.53","380900","139100","        446.65"
"ZEEL","18-Nov-2016","25-Jan-2017","459.1","462","458","458","458","452.05","3","17.93","9100","1300","        446.65"
"ZEEL","21-Nov-2016","24-Nov-2016","446.5","454.95","430.5","434.25","436.5","434.25","3150","18008.71","8964800","-248300","        434.00"
"ZEEL","21-Nov-2016","29-Dec-2016","448.75","455.45","433.55","436.1","438","436.1","1084","6216.35","1092000","711100","        434.00"
"ZEEL","21-Nov-2016","25-Jan-2017","452.65","452.65","440","440","440","439","18","104.58","26000","16900","        434.00"
"ZEEL","22-Nov-2016","24-Nov-2016","435.9","450.45","435.9","449.1","448.65","449.1","3115","18045.35","8356400","-608400","        449.40"
"ZEEL","22-Nov-2016","29-Dec-2016","436.35","452.75","436.35","451.25","450","451.25","1170","6811.23","1569100","477100","        449.40"
"ZEEL","22-Nov-2016","25-Jan-2017","442.1","451","442.1","451","451","454.45","10","57.99","33800","7800","        449.40"
"ZEEL","23-Nov-2016","24-Nov-2016","446.35","462.6","439.15","456.95","455","456.95","6150","36006.86","4975100","-3381300","        457.10"
"ZEEL","23-Nov-2016","29-Dec-2016","451.05","464.45","441.65","458.5","457.5","458.5","3999","23510.85","4648800","3079700","        457.10"
"ZEEL","23-Nov-2016","25-Jan-2017","451","460","451","460","460","460","6","35.54","37700","3900","        457.10"
"ZEEL","24-Nov-2016","24-Nov-2016","457.55","457.55","437.4","438.75","439.15","439.1","5998","34702.52","2373800","-2601300","        439.10"
"ZEEL","24-Nov-2016","29-Dec-2016","458.9","460","440","441.5","443.9","441.5","6131","35604.46","8992100","4343300","        439.10"
"ZEEL","24-Nov-2016","25-Jan-2017","456","456.45","442.3","445.6","443.5","445.6","94","545.74","83200","45500","        439.10"
"ZEEL","25-Nov-2016","29-Dec-2016","443.5","451.95","433.7","440.6","439.65","440.6","3794","21912.27","9115600","123500","        439.50"
"ZEEL","25-Nov-2016","25-Jan-2017","445.45","452.6","436.95","441.9","441.95","441.9","45","260.64","102700","19500","        439.50"
"ZEEL","25-Nov-2016","23-Feb-2017","0","0","0","446.1","0","446.4","0","0","0","0","        439.50"
"ZEEL","28-Nov-2016","29-Dec-2016","443.3","462.9","441.15","458.75","457.05","458.75","3880","22872.41","9006400","-109200","        457.70"
