"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPORTS","EQ","01-Jan-2019","        387.70","        386.30","        390.90","        384.05","        390.60","        389.00","        386.49","    1233249","           476637886.80","      11481","     102905","          8.34"
"ADANIPORTS","EQ","02-Jan-2019","        389.00","        388.00","        388.95","        378.00","        381.00","        381.30","        383.82","    1506543","           578238777.70","      17571","     181941","         12.08"
"ADANIPORTS","EQ","03-Jan-2019","        381.30","        382.40","        385.30","        376.60","        376.95","        378.10","        380.35","    1902063","           723452495.85","      37419","     333534","         17.54"
"ADANIPORTS","EQ","04-Jan-2019","        378.10","        378.65","        383.95","        375.85","        383.50","        382.15","        380.40","    1669709","           635159730.45","      32438","     269743","         16.16"
"ADANIPORTS","EQ","07-Jan-2019","        382.15","        385.00","        386.95","        379.35","        379.75","        381.65","        382.81","    1260331","           482461376.10","      15401","     349389","         27.72"
"ADANIPORTS","EQ","08-Jan-2019","        381.65","        383.00","        383.00","        375.75","        379.10","        378.75","        378.56","    2154121","           815460619.70","      26982","     973157","         45.18"
"ADANIPORTS","EQ","09-Jan-2019","        378.75","        382.00","        382.00","        373.30","        376.35","        377.30","        377.79","    1166498","           440691778.05","      19034","     239515","         20.53"
"ADANIPORTS","EQ","10-Jan-2019","        377.30","        377.95","        381.80","        376.95","        380.00","        380.25","        379.92","    1286641","           488821290.95","      20679","     532279","         41.37"
"ADANIPORTS","EQ","11-Jan-2019","        380.25","        380.30","        381.00","        375.10","        375.60","        377.15","        377.52","    1829555","           690694640.70","      19532","    1117382","         61.07"
"ADANIPORTS","EQ","14-Jan-2019","        377.15","        377.00","        377.00","        372.40","        373.70","        374.45","        374.42","     927301","           347196028.95","      20836","     301336","         32.50"
"ADANIPORTS","EQ","15-Jan-2019","        374.45","        375.00","        386.00","        375.00","        385.00","        385.15","        381.04","    1965520","           748943448.60","      35959","     727502","         37.01"
"ADANIPORTS","EQ","16-Jan-2019","        385.15","        385.30","        390.70","        379.20","        389.65","        389.30","        384.21","    2847403","          1094002924.10","      39728","    1097063","         38.53"
"ADANIPORTS","EQ","17-Jan-2019","        389.30","        391.20","        395.45","        386.50","        393.60","        394.50","        391.45","    4156932","          1627216665.20","      45909","    1457422","         35.06"
"ADANIPORTS","EQ","18-Jan-2019","        394.50","        396.50","        399.95","        392.25","        398.70","        399.30","        397.03","    3617922","          1436421702.65","      46565","     916353","         25.33"
"ADANIPORTS","EQ","21-Jan-2019","        399.30","        397.50","        402.70","        392.10","        395.35","        396.20","        397.14","    2563705","          1018139465.95","      45927","     584155","         22.79"
"ADANIPORTS","EQ","22-Jan-2019","        396.20","        393.40","        394.70","        387.10","        390.50","        390.60","        390.86","    3328908","          1301135886.80","      61281","    1691316","         50.81"
"ADANIPORTS","EQ","23-Jan-2019","        390.60","        390.00","        392.00","        383.60","        384.50","        385.20","        387.52","    3653992","          1416007399.90","      55896","    1911180","         52.30"
"ADANIPORTS","EQ","24-Jan-2019","        385.20","        386.00","        386.50","        377.60","        381.50","        380.95","        380.84","    3633336","          1383726457.55","      56051","    2130627","         58.64"
"ADANIPORTS","EQ","25-Jan-2019","        380.95","        382.50","        383.75","        372.25","        374.45","        373.85","        379.48","    4760625","          1806550153.35","      74433","    2431635","         51.08"
"ADANIPORTS","EQ","28-Jan-2019","        373.85","        374.95","        375.35","        292.10","        327.00","        326.10","        334.66","   15177384","          5079192121.70","     157014","    3224177","         21.24"
"ADANIPORTS","EQ","29-Jan-2019","        326.10","        330.00","        354.60","        327.60","        345.50","        349.25","        341.20","    9816333","          3349298476.25","     137845","    2097792","         21.37"
"ADANIPORTS","EQ","30-Jan-2019","        349.25","        349.05","        349.05","        335.60","        338.00","        338.15","        341.69","    7672859","          2621726588.95","      89749","    4206510","         54.82"
"ADANIPORTS","EQ","31-Jan-2019","        338.15","        339.90","        341.70","        330.20","        338.00","        338.65","        335.14","    6403921","          2146216220.85","      77086","    3226495","         50.38"
"ADANIPORTS","EQ","01-Feb-2019","        338.65","        339.90","        346.80","        333.35","        339.05","        338.45","        340.52","    3119675","          1062315664.85","      45153","     908459","         29.12"
"ADANIPORTS","EQ","04-Feb-2019","        338.45","        337.25","        338.80","        329.05","        335.00","        335.65","        333.84","    4517829","          1508211406.40","      63073","    1892502","         41.89"
"ADANIPORTS","EQ","05-Feb-2019","        335.65","        333.10","        340.95","        330.75","        339.05","        339.80","        336.98","    3262960","          1099546918.50","      70328","     952469","         29.19"
"ADANIPORTS","EQ","06-Feb-2019","        339.80","        338.80","        341.80","        318.85","        329.15","        330.35","        330.99","    6687853","          2213641242.85","      87440","    1360489","         20.34"
