"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","01-Jan-2002","        273.95","        264.55","        272.45","        264.05","        265.00","        265.60","        266.76","       2571","              685830.60","-","       1503","         58.46"
"ASIANPAINT","EQ","02-Jan-2002","        265.60","        270.00","        273.00","        265.00","        268.00","        266.75","        267.62","       2334","              624632.65","-","       1607","         68.85"
"ASIANPAINT","EQ","03-Jan-2002","        266.75","        270.00","        275.50","        270.00","        273.00","        273.30","        274.55","       6670","             1831260.65","-","       5962","         89.39"
"ASIANPAINT","EQ","04-Jan-2002","        273.30","        276.00","        276.00","        270.00","        270.00","        270.70","        271.45","       2170","              589037.90","-","       1408","         64.88"
"ASIANPAINT","EQ","07-Jan-2002","        270.70","        273.70","        280.00","        266.05","        266.10","        267.75","        269.71","       4082","             1100972.60","-","       2750","         67.37"
"ASIANPAINT","EQ","08-Jan-2002","        267.75","        266.00","        270.25","        262.05","        265.00","        265.45","        266.09","       3673","              977348.60","-","       2413","         65.70"
"ASIANPAINT","EQ","09-Jan-2002","        265.45","        268.95","        268.95","        264.25","        265.10","        265.75","        266.09","       3138","              834975.40","-","       2164","         68.96"
"ASIANPAINT","EQ","10-Jan-2002","        265.75","        273.20","        273.20","        263.00","        270.00","        270.35","        266.83","       2680","              715092.25","-","       1525","         56.90"
"ASIANPAINT","EQ","11-Jan-2002","        270.35","        266.50","        269.60","        265.00","        269.00","        268.70","        266.61","       2831","              754778.85","-","       2211","         78.10"
"ASIANPAINT","EQ","14-Jan-2002","        268.70","        275.00","        275.00","        269.00","        272.20","        272.15","        270.47","       2043","              552567.55","-","       1614","         79.00"
"ASIANPAINT","EQ","15-Jan-2002","        272.15","        270.00","        272.00","        270.00","        271.00","        271.30","        270.87","       1860","              503809.20","-","       1416","         76.13"
"ASIANPAINT","EQ","16-Jan-2002","        271.30","        264.25","        273.50","        264.25","        268.50","        268.95","        270.02","       4734","             1278268.70","-","       4016","         84.83"
"ASIANPAINT","EQ","17-Jan-2002","        268.95","        272.00","        274.75","        266.00","        274.60","        271.70","        271.22","      12256","             3324112.05","-","       8348","         68.11"
"ASIANPAINT","EQ","18-Jan-2002","        271.70","        265.00","        275.95","        265.00","        273.05","        273.15","        271.92","       2505","              681167.50","-","       1845","         73.65"
"ASIANPAINT","EQ","21-Jan-2002","        273.15","        279.95","        279.95","        270.10","        270.10","        271.00","        272.23","       2155","              586656.50","-","       1081","         50.16"
"ASIANPAINT","EQ","22-Jan-2002","        271.00","        272.00","        273.50","        270.10","        270.35","        270.45","        271.46","       1970","              534770.00","-","       1502","         76.24"
"ASIANPAINT","EQ","23-Jan-2002","        270.45","        273.00","        273.00","        266.20","        272.00","        271.50","        270.43","       2710","              732878.05","-","       2091","         77.16"
"ASIANPAINT","EQ","24-Jan-2002","        271.50","        278.00","        280.90","        271.00","        271.80","        271.30","        274.81","       8387","             2304816.10","-","       4856","         57.90"
"ASIANPAINT","EQ","25-Jan-2002","        271.30","        271.15","        274.95","        271.15","        272.35","        274.05","        273.34","       2839","              775998.70","-","       1465","         51.60"
"ASIANPAINT","EQ","28-Jan-2002","        274.05","        275.00","        275.00","        272.00","        272.30","        273.15","        272.94","       3206","              875039.60","-","       2492","         77.73"
"ASIANPAINT","EQ","29-Jan-2002","        273.15","        272.00","        274.00","        270.10","        273.00","        272.50","        273.02","       3860","             1053843.30","-","       2416","         62.59"
"ASIANPAINT","EQ","30-Jan-2002","        272.50","        270.50","        273.00","        269.05","        271.00","        271.45","        271.32","       4925","             1336235.05","-","       4090","         83.05"
"ASIANPAINT","EQ","31-Jan-2002","        271.45","        269.05","        275.00","        255.05","        265.00","        262.05","        268.45","      12176","             3268627.70","-","       9617","         78.98"
"ASIANPAINT","EQ","01-Feb-2002","        262.05","        267.90","        274.00","        265.60","        273.00","        272.70","        271.30","       4546","             1233332.15","-","       3569","         78.51"
"ASIANPAINT","EQ","04-Feb-2002","        272.70","        270.60","        274.00","        270.60","        273.00","        272.40","        272.30","       4141","             1127594.25","-","       3137","         75.75"
"ASIANPAINT","EQ","05-Feb-2002","        272.40","        272.50","        272.90","        270.10","        271.75","        270.70","        271.59","       4933","             1339749.95","-","       2968","         60.17"
"ASIANPAINT","EQ","06-Feb-2002","        270.70","        271.60","        282.00","        271.60","        279.00","        279.45","        276.98","      94859","            26274093.00","-","      54546","         57.50"
"ASIANPAINT","EQ","07-Feb-2002","        279.45","        262.00","        279.00","        262.00","        273.50","        272.00","        272.86","       9677","             2640494.30","-","       6604","         68.24"
"ASIANPAINT","EQ","08-Feb-2002","        272.00","        270.15","        278.00","        270.15","        277.00","        276.50","        275.29","       3154","              868254.45","-","       2039","         64.65"
"ASIANPAINT","EQ","11-Feb-2002","        276.50","        280.00","        299.40","        278.30","        299.40","        293.85","        289.27","      37206","            10762649.60","-","      29040","         78.05"
"ASIANPAINT","EQ","12-Feb-2002","        293.85","        300.00","        308.50","        299.00","        304.00","        303.85","        304.35","      23079","             7024163.70","-","      16677","         72.26"
"ASIANPAINT","EQ","13-Feb-2002","        303.85","        309.00","        310.00","        303.15","        308.00","        307.80","        307.23","      25840","             7938807.25","-","      17472","         67.62"
"ASIANPAINT","EQ","14-Feb-2002","        307.80","        306.00","        309.90","        296.85","        297.00","        298.45","        304.04","       9699","             2948920.25","-","       6608","         68.13"
"ASIANPAINT","EQ","15-Feb-2002","        298.45","        305.00","        305.00","        295.10","        295.10","        295.90","        299.36","       7151","             2140733.45","-","       4484","         62.70"
"ASIANPAINT","EQ","18-Feb-2002","        295.90","        297.00","        300.00","        292.00","        293.10","        295.30","        295.40","      16642","             4916102.70","-","      12756","         76.65"
"ASIANPAINT","EQ","19-Feb-2002","        295.30","        293.10","        303.00","        290.00","        297.55","        300.25","        299.24","      82077","            24560429.30","-","      69731","         84.96"
"ASIANPAINT","EQ","20-Feb-2002","        300.25","        300.00","        301.00","        297.50","        298.00","        298.45","        298.88","       8875","             2652534.05","-","-","-"
"ASIANPAINT","EQ","21-Feb-2002","        298.45","        281.10","        302.00","        281.10","        301.20","        300.35","        300.18","      43488","            13054267.45","-","      41038","         94.37"
"ASIANPAINT","EQ","22-Feb-2002","        300.35","        301.00","        304.50","        297.00","        301.00","        302.35","        300.95","      15721","             4731188.25","-","      13099","         83.32"
"ASIANPAINT","EQ","25-Feb-2002","        302.35","        300.00","        302.00","        296.00","        299.90","        298.35","        297.99","       2802","              834968.25","-","       2112","         75.37"
"ASIANPAINT","EQ","26-Feb-2002","        298.35","        295.00","        310.00","        295.00","        301.00","        303.35","        301.42","      24487","             7380956.75","-","      21048","         85.96"
