"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AXISBANK","EQ","01-Jan-2020","        754.10","        754.90","        759.95","        747.20","        748.75","        748.70","        751.81","    4917748","          3697221320.00","      80824","     988375","         20.10"
"AXISBANK","EQ","02-Jan-2020","        748.70","        750.00","        759.00","        747.60","        756.00","        756.95","        753.82","    5156046","          3886739008.45","      88337","    1572942","         30.51"
"AXISBANK","EQ","03-Jan-2020","        756.95","        753.15","        756.25","        740.50","        742.40","        742.95","        746.33","    8489729","          6336165102.45","     139161","    3834757","         45.17"
"AXISBANK","EQ","06-Jan-2020","        742.95","        739.45","        739.60","        721.70","        722.00","        723.25","        728.66","    6356198","          4631502050.60","     117943","    2157855","         33.95"
"AXISBANK","EQ","07-Jan-2020","        723.25","        728.00","        738.00","        721.05","        726.95","        725.75","        728.40","    9103360","          6630906924.00","     123724","    2595354","         28.51"
"AXISBANK","EQ","08-Jan-2020","        725.75","        715.25","        725.75","        709.10","        723.50","        724.50","        719.43","    8973215","          6455643808.55","     139364","    2228579","         24.84"
"AXISBANK","EQ","09-Jan-2020","        724.50","        733.55","        745.00","        731.00","        740.80","        742.85","        740.73","    7559853","          5599831301.40","      92453","    3069651","         40.60"
"AXISBANK","EQ","10-Jan-2020","        742.85","        743.00","        751.80","        734.80","        739.50","        740.05","        742.36","    8550490","          6347553264.65","     108489","    3281100","         38.37"
"AXISBANK","EQ","13-Jan-2020","        740.05","        740.00","        746.75","        735.35","        737.80","        737.40","        740.28","    6423758","          4755349709.00","      91988","    2693541","         41.93"
"AXISBANK","EQ","14-Jan-2020","        737.40","        740.00","        751.40","        734.20","        746.05","        747.90","        742.83","    7237665","          5376379490.10","     140321","    3010798","         41.60"
"AXISBANK","EQ","15-Jan-2020","        747.90","        747.05","        749.00","        738.00","        745.25","        746.30","        742.81","    7911661","          5876864173.40","     121234","    3813166","         48.20"
"AXISBANK","EQ","16-Jan-2020","        746.30","        746.50","        750.40","        735.10","        737.40","        737.30","        741.20","    6487613","          4808640439.55","      83509","    2181756","         33.63"
"AXISBANK","EQ","17-Jan-2020","        737.30","        734.85","        742.45","        730.85","        737.70","        739.90","        738.36","    7678864","          5669734244.95","     117330","    3270942","         42.60"
"AXISBANK","EQ","20-Jan-2020","        739.90","        742.95","        746.20","        725.00","        727.10","        727.20","        732.55","   10677371","          7821698419.45","     115171","    5483317","         51.35"
