"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","03-Jan-2011","       1541.00","       1557.00","       1564.65","       1470.00","       1474.95","       1476.50","       1499.50","     982492","          1473250396.30","-","     577454","         58.77"
"BAJAJ-AUTO","EQ","04-Jan-2011","       1476.50","       1479.00","       1484.80","       1420.65","       1433.05","       1429.80","       1436.34","    1781719","          2559147350.70","-","    1036859","         58.19"
"BAJAJ-AUTO","EQ","05-Jan-2011","       1429.80","       1430.00","       1430.00","       1368.30","       1380.00","       1374.50","       1388.79","    1518567","          2108977187.65","-","     936532","         61.67"
"BAJAJ-AUTO","EQ","06-Jan-2011","       1374.50","       1383.20","       1391.25","       1321.70","       1324.50","       1327.85","       1337.20","    2462539","          3292912886.85","-","    1330644","         54.04"
"BAJAJ-AUTO","EQ","07-Jan-2011","       1327.85","       1330.00","       1352.00","       1302.00","       1311.00","       1316.60","       1320.40","    2314796","          3056445716.65","-","    1184020","         51.15"
"BAJAJ-AUTO","EQ","10-Jan-2011","       1316.60","       1327.90","       1331.85","       1256.00","       1266.40","       1261.75","       1291.65","    1396888","          1804296974.15","-","     629472","         45.06"
"BAJAJ-AUTO","EQ","11-Jan-2011","       1261.75","       1273.00","       1321.00","       1273.00","       1320.50","       1305.70","       1297.50","    1530693","          1986076344.60","-","     895982","         58.53"
"BAJAJ-AUTO","EQ","12-Jan-2011","       1305.70","       1316.00","       1322.50","       1265.00","       1285.00","       1286.95","       1283.13","    1263340","          1621031032.00","-","     709596","         56.17"
"BAJAJ-AUTO","EQ","13-Jan-2011","       1286.95","       1292.00","       1310.00","       1277.45","       1282.05","       1286.55","       1295.14","     633826","           820892610.75","-","     277560","         43.79"
"BAJAJ-AUTO","EQ","14-Jan-2011","       1286.55","       1286.10","       1295.20","       1237.20","       1250.00","       1246.80","       1264.39","     582403","           736383822.80","-","     287849","         49.42"
"BAJAJ-AUTO","EQ","17-Jan-2011","       1246.80","       1244.00","       1276.00","       1223.45","       1276.00","       1268.40","       1252.12","     563657","           705767454.25","-","     277251","         49.19"
"BAJAJ-AUTO","EQ","18-Jan-2011","       1268.40","       1270.25","       1299.00","       1267.20","       1298.00","       1294.70","       1282.64","     508333","           652006049.40","-","     275244","         54.15"
"BAJAJ-AUTO","EQ","19-Jan-2011","       1294.70","       1293.00","       1325.00","       1275.00","       1323.95","       1321.80","       1303.55","    2156558","          2811172186.70","-","     974197","         45.17"
"BAJAJ-AUTO","EQ","20-Jan-2011","       1321.80","       1322.10","       1340.00","       1287.60","       1302.45","       1300.20","       1307.17","    1113436","          1455454388.65","-","     493306","         44.30"
"BAJAJ-AUTO","EQ","21-Jan-2011","       1300.20","       1302.00","       1329.30","       1295.30","       1313.00","       1313.30","       1314.53","     739175","           971665362.40","-","     491322","         66.47"
"BAJAJ-AUTO","EQ","24-Jan-2011","       1313.30","       1327.00","       1338.70","       1305.05","       1309.40","       1307.35","       1311.32","     262029","           343604958.25","-","     136379","         52.05"
"BAJAJ-AUTO","EQ","25-Jan-2011","       1307.35","       1315.00","       1320.10","       1286.50","       1300.00","       1294.35","       1306.06","     335407","           438063102.65","-","     176477","         52.62"
"BAJAJ-AUTO","EQ","27-Jan-2011","       1294.35","       1310.00","       1318.40","       1275.00","       1279.00","       1286.15","       1301.60","     816579","          1062862523.35","-","     535091","         65.53"
"BAJAJ-AUTO","EQ","28-Jan-2011","       1286.15","       1289.00","       1289.00","       1245.00","       1261.00","       1260.65","       1261.02","     476550","           600939416.90","-","     279245","         58.60"
"BAJAJ-AUTO","EQ","31-Jan-2011","       1260.65","       1250.00","       1263.80","       1165.65","       1257.00","       1245.95","       1239.95","     444674","           551372315.80","-","     218644","         49.17"
"BAJAJ-AUTO","EQ","01-Feb-2011","       1245.95","       1269.60","       1274.40","       1236.00","       1250.00","       1246.10","       1248.21","     387073","           483147446.45","-","     271294","         70.09"
"BAJAJ-AUTO","EQ","02-Feb-2011","       1246.10","       1254.00","       1262.00","       1205.00","       1208.00","       1214.30","       1239.05","     644948","           799123835.35","-","     361143","         56.00"
"BAJAJ-AUTO","EQ","03-Feb-2011","       1214.30","       1214.00","       1229.80","       1201.20","       1210.50","       1209.55","       1215.14","     663136","           805805160.95","-","     367900","         55.48"
"BAJAJ-AUTO","EQ","04-Feb-2011","       1209.55","       1214.00","       1250.00","       1212.00","       1221.50","       1226.80","       1236.50","     796378","           984720022.60","-","     422172","         53.01"
"BAJAJ-AUTO","EQ","07-Feb-2011","       1226.80","       1230.00","       1233.40","       1204.40","       1221.00","       1217.80","       1217.35","     197837","           240836514.35","-","      63721","         32.21"
"BAJAJ-AUTO","EQ","08-Feb-2011","       1217.80","       1230.00","       1254.00","       1212.10","       1239.90","       1239.20","       1240.15","     501472","           621899162.45","-","     241208","         48.10"
"BAJAJ-AUTO","EQ","09-Feb-2011","       1239.20","       1226.00","       1231.15","       1190.00","       1205.20","       1204.15","       1203.05","     819790","           986248139.55","-","     522706","         63.76"
"BAJAJ-AUTO","EQ","10-Feb-2011","       1204.15","       1190.00","       1228.30","       1190.00","       1213.00","       1209.90","       1208.36","     482022","           582457764.30","-","     315948","         65.55"
"BAJAJ-AUTO","EQ","11-Feb-2011","       1209.90","       1200.00","       1269.00","       1200.00","       1257.90","       1255.90","       1235.05","     441480","           545249706.50","-","     230600","         52.23"
"BAJAJ-AUTO","EQ","14-Feb-2011","       1255.90","       1265.00","       1304.90","       1261.35","       1298.10","       1298.50","       1287.73","     451725","           581698994.65","-","     270773","         59.94"
"BAJAJ-AUTO","EQ","15-Feb-2011","       1298.50","       1307.40","       1558.15","       1291.90","       1325.60","       1328.10","       1321.62","    1026155","          1356188914.40","-","     616244","         60.05"
"BAJAJ-AUTO","EQ","16-Feb-2011","       1328.10","       1335.00","       1350.00","       1318.00","       1329.05","       1332.10","       1333.13","     267440","           356532556.05","-","     129416","         48.39"
"BAJAJ-AUTO","EQ","17-Feb-2011","       1332.10","       1335.00","       1359.20","       1330.05","       1350.25","       1351.25","       1348.23","     499086","           672880506.85","-","     309479","         62.01"
"BAJAJ-AUTO","EQ","18-Feb-2011","       1351.25","       1351.25","       1362.90","       1325.20","       1342.50","       1339.10","       1343.31","    1018163","          1367703736.70","-","     853274","         83.81"
"BAJAJ-AUTO","EQ","21-Feb-2011","       1339.10","       1330.00","       1345.00","       1322.85","       1340.90","       1335.75","       1332.48","     555142","           739714205.15","-","     399538","         71.97"
"BAJAJ-AUTO","EQ","22-Feb-2011","       1335.75","       1336.00","       1352.20","       1321.10","       1327.20","       1329.80","       1336.36","     687636","           918926993.25","-","     473207","         68.82"
"BAJAJ-AUTO","EQ","23-Feb-2011","       1329.80","       1326.00","       1330.00","       1304.00","       1309.00","       1307.20","       1314.55","     598564","           786840726.40","-","     433588","         72.44"
"BAJAJ-AUTO","EQ","24-Feb-2011","       1307.20","       1306.00","       1306.00","       1255.30","       1259.05","       1264.30","       1281.15","     833565","          1067922683.35","-","     558765","         67.03"
"BAJAJ-AUTO","EQ","25-Feb-2011","       1264.30","       1292.00","       1294.90","       1245.25","       1292.00","       1282.25","       1271.18","     643336","           817798705.10","-","     381927","         59.37"
"BAJAJ-AUTO","EQ","28-Feb-2011","       1282.25","       1285.00","       1320.00","       1258.50","       1266.00","       1269.15","       1287.22","     460075","           592215755.25","-","     190665","         41.44"
"BAJAJ-AUTO","EQ","01-Mar-2011","       1269.15","       1276.70","       1340.00","       1276.70","       1337.40","       1335.50","       1327.38","     725413","           962898121.45","-","     403046","         55.56"
"BAJAJ-AUTO","EQ","03-Mar-2011","       1335.50","       1335.00","       1369.00","       1324.45","       1351.80","       1350.10","       1353.22","     693914","           939015361.70","-","     413573","         59.60"
"BAJAJ-AUTO","EQ","04-Mar-2011","       1350.10","       1384.80","       1389.00","       1367.40","       1375.00","       1376.90","       1379.25","     828802","          1143126797.10","-","     557625","         67.28"
"BAJAJ-AUTO","EQ","07-Mar-2011","       1376.90","       1368.00","       1374.90","       1344.60","       1370.00","       1365.45","       1363.72","     391399","           533758848.25","-","     243383","         62.18"
"BAJAJ-AUTO","EQ","08-Mar-2011","       1365.45","       1372.00","       1396.50","       1366.05","       1392.00","       1390.60","       1390.35","     429662","           597381212.60","-","     261477","         60.86"
"BAJAJ-AUTO","EQ","09-Mar-2011","       1390.60","       1399.00","       1419.90","       1392.00","       1415.00","       1417.05","       1408.98","     696814","           981795609.30","-","     488098","         70.05"
"BAJAJ-AUTO","EQ","10-Mar-2011","       1417.05","       1409.70","       1413.15","       1393.35","       1404.00","       1401.30","       1402.03","     216107","           302988638.35","-","      93540","         43.28"
