"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAUTOFIN","EQ","01-Jan-2002","         33.55","         33.60","         34.00","         33.00","         34.00","         34.00","         33.84","        500","               16917.50","-","        450","         90.00"
"BAJAUTOFIN","EQ","02-Jan-2002","         34.00","         34.85","         34.85","         33.85","         34.20","         34.20","         33.97","       1448","               49186.60","-","       1348","         93.09"
"BAJAUTOFIN","EQ","03-Jan-2002","         34.20","         35.00","         35.00","         34.05","         34.50","         34.50","         34.28","        600","               20570.00","-","        600","        100.00"
"BAJAUTOFIN","EQ","07-Jan-2002","         34.50","         34.05","         35.00","         34.05","         34.25","         34.25","         34.24","        145","                4965.00","-","        145","        100.00"
"BAJAUTOFIN","EQ","08-Jan-2002","         34.25","         34.05","         34.50","         34.00","         34.00","         34.00","         34.07","        800","               27255.00","-","        800","        100.00"
"BAJAUTOFIN","EQ","09-Jan-2002","         34.00","         34.25","         35.95","         34.25","         34.55","         34.75","         34.93","       1303","               45516.00","-","       1101","         84.50"
"BAJAUTOFIN","EQ","10-Jan-2002","         34.75","         35.40","         35.50","         34.25","         34.25","         34.40","         34.98","       1050","               36725.00","-","        450","         42.86"
"BAJAUTOFIN","EQ","11-Jan-2002","         34.40","         34.35","         34.75","         34.35","         34.35","         34.35","         34.36","        675","               23196.25","-","        675","        100.00"
"BAJAUTOFIN","EQ","14-Jan-2002","         34.35","         35.10","         36.35","         34.20","         34.20","         34.20","         35.18","       2888","              101609.60","-","       2588","         89.61"
"BAJAUTOFIN","EQ","15-Jan-2002","         34.20","         35.50","         36.75","         35.50","         36.00","         36.00","         36.33","        950","               34510.00","-","        950","        100.00"
"BAJAUTOFIN","EQ","16-Jan-2002","         36.00","         38.75","         38.90","         36.00","         38.90","         38.65","         37.46","      19969","              747941.05","-","      16870","         84.48"
"BAJAUTOFIN","EQ","17-Jan-2002","         38.65","         39.05","         41.60","         38.25","         39.00","         39.00","         39.75","       6938","              275793.65","-","       4942","         71.23"
"BAJAUTOFIN","EQ","18-Jan-2002","         39.00","         38.50","         40.85","         38.50","         38.75","         38.95","         38.97","       5697","              221991.25","-","       4861","         85.33"
"BAJAUTOFIN","EQ","21-Jan-2002","         38.95","         38.25","         39.10","         37.50","         39.00","         38.70","         38.60","       1270","               49020.50","-","       1020","         80.31"
"BAJAUTOFIN","EQ","22-Jan-2002","         38.70","         38.75","         39.00","         38.00","         38.00","         38.20","         38.35","       3580","              137282.50","-","       3380","         94.41"
"BAJAUTOFIN","EQ","23-Jan-2002","         38.20","         38.75","         41.25","         38.75","         40.50","         40.45","         40.37","       6500","              262418.50","-","       6400","         98.46"
"BAJAUTOFIN","EQ","24-Jan-2002","         40.45","         41.20","         41.70","         39.20","         40.25","         40.55","         40.59","       5719","              232108.95","-","       4869","         85.14"
"BAJAUTOFIN","EQ","25-Jan-2002","         40.55","         39.10","         40.80","         39.10","         39.50","         39.50","         39.72","       2225","               88382.00","-","       2125","         95.51"
"BAJAUTOFIN","EQ","28-Jan-2002","         39.50","         40.30","         40.30","         39.55","         40.30","         40.00","         39.84","       2195","               87440.75","-","       1885","         85.88"
"BAJAUTOFIN","EQ","29-Jan-2002","         40.00","         39.55","         40.00","         39.55","         39.80","         39.80","         39.80","       1750","               69657.00","-","       1750","        100.00"
"BAJAUTOFIN","EQ","30-Jan-2002","         39.80","         39.00","         40.90","         39.00","         40.70","         40.40","         39.89","       3200","              127660.70","-","       2100","         65.63"
"BAJAUTOFIN","EQ","31-Jan-2002","         40.40","         40.65","         40.70","         40.30","         40.35","         40.35","         40.51","       1130","               45776.00","-","       1130","        100.00"
"BAJAUTOFIN","EQ","01-Feb-2002","         40.35","         38.55","         40.45","         38.55","         40.45","         40.45","         39.96","       2905","              116079.00","-","       2805","         96.56"
"BAJAUTOFIN","EQ","04-Feb-2002","         40.45","         40.05","         40.50","         40.00","         40.45","         40.45","         40.36","        900","               36327.50","-","        850","         94.44"
"BAJAUTOFIN","EQ","05-Feb-2002","         40.45","         39.30","         40.50","         38.00","         39.10","         39.50","         39.53","       5865","              231859.50","-","       5145","         87.72"
"BAJAUTOFIN","EQ","06-Feb-2002","         39.50","         40.00","         40.10","         40.00","         40.05","         40.05","         40.03","       1151","               46075.05","-","       1149","         99.83"
"BAJAUTOFIN","EQ","07-Feb-2002","         40.05","         39.80","         40.65","         39.75","         40.50","         40.50","         40.42","       2550","              103060.00","-","       2400","         94.12"
"BAJAUTOFIN","EQ","08-Feb-2002","         40.50","         40.00","         40.95","         40.00","         40.95","         40.95","         40.53","       1375","               55731.65","-","       1375","        100.00"
"BAJAUTOFIN","EQ","11-Feb-2002","         40.95","         48.25","         48.25","         40.55","         41.45","         41.45","         41.13","       2200","               90490.00","-","       1800","         81.82"
"BAJAUTOFIN","EQ","12-Feb-2002","         41.45","         41.50","         43.50","         41.50","         43.10","         43.10","         42.65","       6650","              283629.80","-","       6250","         93.98"
"BAJAUTOFIN","EQ","13-Feb-2002","         43.10","         43.05","         45.95","         43.05","         44.85","         44.90","         44.97","       7955","              357731.75","-","       7680","         96.54"
"BAJAUTOFIN","EQ","14-Feb-2002","         44.90","         44.85","         46.65","         44.05","         46.65","         46.50","         45.50","       2829","              128707.80","-","       2689","         95.05"
"BAJAUTOFIN","EQ","15-Feb-2002","         46.50","         48.90","         49.00","         46.50","         48.75","         47.95","         47.89","       4725","              226292.00","-","       4475","         94.71"
"BAJAUTOFIN","EQ","18-Feb-2002","         47.95","         49.20","         56.95","         49.20","         54.40","         54.70","         52.30","      17494","              914863.80","-","      15839","         90.54"
"BAJAUTOFIN","EQ","19-Feb-2002","         54.70","         55.00","         57.00","         50.10","         50.50","         50.95","         53.29","      16304","              868875.05","-","      10921","         66.98"
"BAJAUTOFIN","EQ","20-Feb-2002","         50.95","         51.50","         51.50","         46.90","         47.00","         46.95","         48.03","      10431","              501020.35","-","-","-"
"BAJAUTOFIN","EQ","21-Feb-2002","         46.95","         49.85","         50.55","         48.05","         50.00","         49.60","         49.54","       4197","              207937.75","-","       3450","         82.20"
"BAJAUTOFIN","EQ","22-Feb-2002","         49.60","         49.60","         50.00","         48.00","         48.15","         48.30","         48.48","       2650","              128459.95","-","       2200","         83.02"
"BAJAUTOFIN","EQ","25-Feb-2002","         48.30","         46.70","         48.00","         46.10","         47.90","         47.65","         47.00","       1150","               54045.00","-","       1000","         86.96"
"BAJAUTOFIN","EQ","26-Feb-2002","         47.65","         48.00","         48.00","         46.00","         46.55","         46.55","         46.62","       3600","              167839.55","-","       3500","         97.22"
"BAJAUTOFIN","EQ","27-Feb-2002","         46.55","         46.50","         47.05","         45.50","         47.05","         47.05","         46.50","       4093","              190304.50","-","       4093","        100.00"
"BAJAUTOFIN","EQ","28-Feb-2002","         47.05","         40.00","         49.95","         40.00","         43.75","         44.25","         45.03","       9100","              409797.50","-","       8375","         92.03"
"BAJAUTOFIN","EQ","01-Mar-2002","         44.25","         46.00","         47.40","         44.55","         46.00","         46.80","         45.82","       3474","              159161.55","-","       3448","         99.25"
"BAJAUTOFIN","EQ","04-Mar-2002","         46.80","         45.00","         49.90","         44.10","         47.80","         47.80","         46.81","       2628","              123007.20","-","       2126","         80.90"
"BAJAUTOFIN","EQ","05-Mar-2002","         47.80","         48.00","         49.00","         47.25","         48.50","         48.50","         47.84","       2857","              136692.05","-","       2807","         98.25"
"BAJAUTOFIN","EQ","06-Mar-2002","         48.50","         47.50","         48.30","         47.25","         48.00","         48.15","         47.81","       4625","              221117.50","-","       4575","         98.92"
"BAJAUTOFIN","EQ","07-Mar-2002","         48.15","         48.75","         48.90","         47.50","         47.50","         47.50","         47.97","       2025","               97132.50","-","       1750","         86.42"
"BAJAUTOFIN","EQ","08-Mar-2002","         47.50","         47.00","         48.00","         47.00","         47.40","         47.50","         47.65","       1700","               81012.50","-","       1700","        100.00"
"BAJAUTOFIN","EQ","11-Mar-2002","         47.50","         47.00","         47.50","         47.00","         47.35","         47.15","         47.17","       3125","              147393.75","-","-","-"
"BAJAUTOFIN","EQ","12-Mar-2002","         47.15","         49.00","         56.60","         48.75","         52.85","         53.40","         53.05","      23924","             1269247.15","-","      18371","         67.92"
"BAJAUTOFIN","EQ","13-Mar-2002","         53.40","         52.00","         53.00","         48.00","         49.00","         49.00","         50.83","       5731","              291332.20","-","       3430","         59.85"
"BAJAUTOFIN","EQ","14-Mar-2002","         49.00","         50.00","         50.90","         49.10","         50.10","         50.10","         50.08","       1395","               69862.25","-","       1395","        100.00"
"BAJAUTOFIN","EQ","15-Mar-2002","         50.10","         51.00","         52.45","         50.25","         52.45","         52.45","         51.36","       5275","              270910.45","-","       4525","         85.78"
"BAJAUTOFIN","EQ","18-Mar-2002","         52.45","         52.50","         53.70","         50.50","         50.50","         51.10","         52.23","       8085","              422304.25","-","       7000","         86.58"
"BAJAUTOFIN","EQ","19-Mar-2002","         51.10","         50.50","         51.00","         48.75","         49.00","         49.00","         49.62","        955","               47391.25","-","        950","         99.48"
"BAJAUTOFIN","EQ","20-Mar-2002","         49.00","         48.65","         50.00","         48.20","         50.00","         49.50","         48.96","       2850","              139526.25","-","       2450","         85.96"
"BAJAUTOFIN","EQ","21-Mar-2002","         49.50","         47.75","         48.90","         47.00","         48.90","         48.00","         47.58","       2025","               96341.25","-","       1925","         95.06"
"BAJAUTOFIN","EQ","22-Mar-2002","         48.00","         47.10","         48.75","         47.00","         47.00","         47.40","         47.59","       1850","               88045.80","-","       1245","         67.30"
"BAJAUTOFIN","EQ","26-Mar-2002","         47.40","         45.30","         47.45","         45.25","         47.45","         47.05","         46.91","       2932","              137538.30","-","       2007","         68.45"
"BAJAUTOFIN","EQ","27-Mar-2002","         47.05","         46.50","         46.50","         46.50","         46.50","         46.50","         46.50","          6","                 279.00","-","          6","        100.00"
"BAJAUTOFIN","EQ","28-Mar-2002","         46.50","         45.05","         48.20","         45.05","         48.20","         48.15","         47.72","       1880","               89707.50","-","       1370","         72.87"
"BAJAUTOFIN","EQ","01-Apr-2002","         48.15","         47.05","         47.25","         47.00","         47.25","         47.25","         47.06","       1000","               47055.00","-","       1000","        100.00"
"BAJAUTOFIN","EQ","02-Apr-2002","         47.25","         47.80","         47.95","         45.60","         47.00","         47.05","         47.08","       1760","               82854.25","-","       1505","         85.51"
"BAJAUTOFIN","EQ","03-Apr-2002","         47.05","         47.95","         47.95","         45.55","         47.05","         47.10","         46.93","        620","               29095.05","-","        420","         67.74"
"BAJAUTOFIN","EQ","04-Apr-2002","         47.10","         45.30","         52.50","         45.25","         49.00","         48.50","         48.89","       6350","              310432.50","-","       5375","         84.65"
"BAJAUTOFIN","EQ","05-Apr-2002","         48.50","         49.35","         49.35","         48.25","         49.10","         48.55","         48.80","       2163","              105547.00","-","       2080","         96.16"
"BAJAUTOFIN","EQ","08-Apr-2002","         48.55","         48.05","         49.50","         47.00","         47.00","         47.50","         48.16","       4751","              228805.75","-","       4726","         99.47"
