"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTI","EQ","01-Jan-2003","         22.80","         23.35","         23.35","         22.55","         22.70","         22.65","         22.78","      84093","             1915824.80","-","      53487","         63.60"
"BHARTI","EQ","02-Jan-2003","         22.65","         23.00","         23.25","         22.50","         22.80","         22.65","         22.75","     274675","             6249875.40","-","     165124","         60.12"
"BHARTI","EQ","03-Jan-2003","         22.65","         23.20","         24.00","         22.50","         22.60","         22.55","         22.93","     267472","             6133908.40","-","     139923","         52.31"
"BHARTI","EQ","06-Jan-2003","         22.55","         22.75","         23.00","         22.10","         22.15","         22.20","         22.37","     134294","             3004526.35","-","      88128","         65.62"
"BHARTI","EQ","07-Jan-2003","         22.20","         22.15","         22.40","         22.05","         22.15","         22.10","         22.23","     168471","             3744994.60","-","     119240","         70.78"
"BHARTI","EQ","08-Jan-2003","         22.10","         22.85","         22.85","         21.55","         21.70","         21.65","         21.83","     193741","             4229784.35","-","     132677","         68.48"
"BHARTI","EQ","09-Jan-2003","         21.65","         21.10","         22.00","         21.10","         21.60","         21.50","         21.71","     176988","             3843172.70","-","     110429","         62.39"
"BHARTI","EQ","10-Jan-2003","         21.50","         21.55","         21.60","         20.65","         20.70","         20.75","         20.96","     225764","             4730985.95","-","     164190","         72.73"
"BHARTI","EQ","13-Jan-2003","         20.75","         21.15","         21.75","         21.00","         21.35","         21.35","         21.44","     371484","             7964302.50","-","     243761","         65.62"
"BHARTI","EQ","14-Jan-2003","         21.35","         21.70","         21.90","         21.10","         21.30","         21.25","         21.59","     678901","            14656183.35","-","     600370","         88.43"
"BHARTI","EQ","15-Jan-2003","         21.25","         21.25","         21.95","         21.25","         21.45","         21.70","         21.61","     301680","             6519924.60","-","     228001","         75.58"
"BHARTI","EQ","16-Jan-2003","         21.70","         21.45","         21.65","         20.80","         21.30","         21.30","         21.26","     247376","             5258089.55","-","     173960","         70.32"
"BHARTI","EQ","17-Jan-2003","         21.30","         21.95","         21.95","         21.00","         21.35","         21.40","         21.30","     136707","             2911382.20","-","     102285","         74.82"
"BHARTI","EQ","20-Jan-2003","         21.40","         21.75","         25.00","         21.40","         24.95","         24.90","         24.11","    3114316","            75077173.15","-","    1333539","         42.82"
"BHARTI","EQ","21-Jan-2003","         24.90","         25.45","         27.25","         23.40","         24.50","         24.30","         25.33","    3134118","            79392425.85","-","    1437920","         45.88"
"BHARTI","EQ","22-Jan-2003","         24.30","         23.95","         25.70","         23.95","         25.15","         25.10","         25.03","     737997","            18474989.30","-","     411816","         55.80"
"BHARTI","EQ","23-Jan-2003","         25.10","         25.50","         25.50","         24.10","         24.40","         24.25","         24.46","     303349","             7419876.60","-","     162619","         53.61"
"BHARTI","EQ","24-Jan-2003","         24.25","         23.40","         24.30","         23.40","         23.90","         23.90","         23.96","     383982","             9198623.90","-","     199009","         51.83"
"BHARTI","EQ","27-Jan-2003","         23.90","         24.35","         26.40","         24.35","         25.50","         25.30","         25.39","    1430606","            36323933.75","-","     886994","         62.00"
"BHARTI","EQ","28-Jan-2003","         25.30","         25.95","         27.20","         25.50","         27.00","         26.95","         26.40","    1118081","            29518525.10","-","     644895","         57.68"
"BHARTI","EQ","29-Jan-2003","         26.95","         27.50","         29.80","         27.50","         29.00","         29.05","         29.11","    2267634","            66012344.65","-","    1189199","         52.44"
"BHARTI","EQ","30-Jan-2003","         29.05","         29.00","         30.00","         28.00","         28.60","         28.50","         28.65","     696014","            19940255.35","-","     345513","         49.64"
"BHARTI","EQ","31-Jan-2003","         28.50","         31.10","         31.10","         27.20","         27.70","         27.80","         28.05","     405100","            11361588.90","-","     214816","         53.03"
"BHARTI","EQ","03-Feb-2003","         27.80","         27.50","         31.50","         27.50","         31.25","         30.65","         29.69","     873800","            25940245.10","-","     494819","         56.63"
