"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BPCL","EQ","02-Jan-1997","        287.50","        284.05","        293.90","        283.05","-","        286.05","        286.01","        400","              114405.00","-","-","-"
"BPCL","EQ","03-Jan-1997","        286.05","        285.00","        287.95","        285.00","-","        286.00","        287.43","       1200","              344910.00","-","-","-"
"BPCL","EQ","06-Jan-1997","        286.00","        292.50","        292.50","        292.00","-","        292.50","        292.33","        600","              175400.00","-","-","-"
"BPCL","EQ","07-Jan-1997","        292.50","        289.95","        291.00","        289.00","-","        289.70","        290.23","       1700","              493395.00","-","-","-"
"BPCL","EQ","08-Jan-1997","        289.70","        293.00","        310.00","        293.00","-","        305.35","        299.21","       2000","              598420.00","-","-","-"
"BPCL","EQ","09-Jan-1997","        305.35","        303.90","        304.00","        302.50","-","        304.00","        303.40","        800","              242720.00","-","-","-"
"BPCL","EQ","10-Jan-1997","        304.00","        310.00","        310.25","        308.00","-","        308.00","        309.84","       1500","              464765.00","-","-","-"
"BPCL","EQ","13-Jan-1997","        308.00","        305.00","        312.50","        305.00","-","        311.15","        311.01","      21700","             6748860.00","-","-","-"
"BPCL","EQ","14-Jan-1997","        311.15","        307.05","        316.50","        307.05","-","        315.00","        314.84","      12600","             3966950.00","-","-","-"
"BPCL","EQ","15-Jan-1997","        315.00","        315.00","        337.05","        315.00","-","        332.20","        327.48","       2400","              785950.00","-","-","-"
"BPCL","EQ","16-Jan-1997","        332.20","        347.00","        355.00","        335.05","-","        351.30","        351.35","      13300","             4672890.00","-","-","-"
"BPCL","EQ","17-Jan-1997","        351.30","        340.00","        355.00","        340.00","-","        352.80","        349.88","       8200","             2869025.00","-","-","-"
"BPCL","EQ","20-Jan-1997","        352.80","        350.00","        352.00","        348.05","-","        350.55","        350.28","       1600","              560455.00","-","-","-"
"BPCL","EQ","21-Jan-1997","        350.55","        350.00","        355.00","        348.00","-","        351.50","        351.38","       2700","              948735.00","-","-","-"
"BPCL","EQ","22-Jan-1997","        351.50","        355.00","        359.00","        345.55","-","        358.05","        354.54","       3800","             1347265.00","-","-","-"
"BPCL","EQ","24-Jan-1997","        358.05","        335.15","        370.00","        335.15","-","        370.00","        362.31","       3500","             1268070.00","-","-","-"
"BPCL","EQ","27-Jan-1997","        370.00","        369.00","        384.90","        363.30","-","        377.00","        374.12","      16100","             6023270.00","-","-","-"
"BPCL","EQ","28-Jan-1997","        377.00","        379.05","        387.75","        374.00","-","        377.50","        378.13","      78200","            29570070.00","-","-","-"
"BPCL","EQ","29-Jan-1997","        377.50","        382.00","        382.00","        367.30","-","        369.20","        373.00","       1100","              410295.00","-","-","-"
"BPCL","EQ","30-Jan-1997","        369.20","        370.00","        370.00","        361.85","-","        365.00","        369.87","      44900","            16606970.00","-","-","-"
"BPCL","EQ","31-Jan-1997","        365.00","        360.00","        370.00","        355.00","-","        355.00","        367.65","       1900","              698535.00","-","-","-"
"BPCL","EQ","03-Feb-1997","        355.00","        350.00","        350.25","        349.85","-","        349.85","        350.09","        700","              245060.00","-","-","-"
"BPCL","EQ","04-Feb-1997","        349.85","        342.00","        346.00","        342.00","-","        345.35","        350.90","      25400","             8912800.00","-","-","-"
"BPCL","EQ","05-Feb-1997","        345.35","        355.00","        355.00","        345.85","-","        353.00","        351.06","        900","              315950.00","-","-","-"
"BPCL","EQ","06-Feb-1997","        353.00","        358.90","        358.90","        349.50","-","        351.90","        350.05","      50800","            17782445.00","-","-","-"
"BPCL","EQ","07-Feb-1997","        351.90","        354.75","        354.75","        351.25","-","        351.25","        352.55","        500","              176275.00","-","-","-"
"BPCL","EQ","10-Feb-1997","        351.25","        353.95","        354.00","        341.00","-","        348.50","        351.34","      45000","            15810170.00","-","-","-"
"BPCL","EQ","11-Feb-1997","        348.50","        358.00","        365.00","        348.05","-","        357.50","        357.63","      29800","            10657390.00","-","-","-"
"BPCL","EQ","12-Feb-1997","        357.50","        354.75","        380.00","        354.75","-","        376.50","        371.94","     223900","            83278020.00","-","-","-"
"BPCL","EQ","13-Feb-1997","        376.50","        370.00","        382.95","        370.00","-","        382.05","        382.24","     178300","            68152905.00","-","-","-"
"BPCL","EQ","14-Feb-1997","        382.05","        370.20","        386.00","        370.20","-","        385.55","        383.96","      86500","            33212920.00","-","-","-"
"BPCL","EQ","17-Feb-1997","        385.55","        381.15","        386.25","        380.65","-","        384.50","        384.22","       4000","             1536875.00","-","-","-"
"BPCL","EQ","18-Feb-1997","        384.50","        386.00","        386.00","        378.60","-","        380.65","        381.82","       5000","             1909105.00","-","-","-"
"BPCL","EQ","19-Feb-1997","        380.65","        381.55","        384.00","        379.90","-","        381.30","        382.92","      54900","            21022430.00","-","-","-"
"BPCL","EQ","20-Feb-1997","        381.30","        380.35","        381.75","        380.25","-","        380.25","        380.66","        400","              152265.00","-","-","-"
"BPCL","EQ","21-Feb-1997","        380.25","        381.00","        381.00","        376.55","-","        377.55","        379.96","      53900","            20479975.00","-","-","-"
"BPCL","EQ","24-Feb-1997","        377.55","        363.00","        364.50","        359.00","-","        359.00","        361.38","       1600","              578210.00","-","-","-"
"BPCL","EQ","25-Feb-1997","        359.00","        360.00","        362.00","        354.10","-","        354.10","        357.61","       1600","              572180.00","-","-","-"
"BPCL","EQ","26-Feb-1997","        354.10","        357.05","        361.50","        357.05","-","        360.50","        359.55","        800","              287640.00","-","-","-"
"BPCL","EQ","27-Feb-1997","        360.50","        363.95","        367.95","        363.00","-","        365.00","        365.45","       1700","              621260.00","-","-","-"
"BPCL","EQ","28-Feb-1997","        365.00","        389.00","        389.90","        370.00","-","        380.25","        379.66","      12500","             4745730.00","-","-","-"
"BPCL","EQ","01-Mar-1997","        364.95","        390.00","        395.00","        377.40","-","        387.45","        381.54","      15000","             5723060.00","-","-","-"
"BPCL","EQ","03-Mar-1997","        387.45","        397.75","        409.90","        397.55","-","        399.35","        401.08","      15200","             6096385.00","-","-","-"
"BPCL","EQ","04-Mar-1997","        399.35","        390.05","        397.75","        387.45","-","        393.20","        393.18","       4700","             1847955.00","-","-","-"
"BPCL","EQ","05-Mar-1997","        393.20","        402.00","        404.50","        390.00","-","        390.20","        401.37","      12200","             4896700.00","-","-","-"
"BPCL","EQ","06-Mar-1997","        390.20","        390.00","        395.90","        386.00","-","        386.00","        390.47","      63200","            24677605.00","-","-","-"
"BPCL","EQ","10-Mar-1997","        386.00","        367.00","        373.05","        367.00","-","        370.00","        371.14","       1200","              445365.00","-","-","-"
"BPCL","EQ","11-Mar-1997","        370.00","        345.00","        374.95","        345.00","-","        362.45","        363.00","       3800","             1379415.00","-","-","-"
"BPCL","EQ","12-Mar-1997","        362.45","        366.05","        370.00","        366.05","-","        370.00","        368.34","        600","              221005.00","-","-","-"
"BPCL","EQ","13-Mar-1997","        370.00","        372.50","        375.00","        369.00","-","        369.35","        374.94","      37800","            14172650.00","-","-","-"
"BPCL","EQ","14-Mar-1997","        369.35","        370.00","        383.00","        370.00","-","        381.05","        381.48","      15400","             5874800.00","-","-","-"
"BPCL","EQ","17-Mar-1997","        381.05","        374.00","        394.75","        374.00","-","        383.00","        388.21","       9100","             3532705.00","-","-","-"
"BPCL","EQ","18-Mar-1997","        383.00","        380.00","        385.00","        374.30","-","        385.00","        384.58","      58600","            22536160.00","-","-","-"
"BPCL","EQ","19-Mar-1997","        385.00","        380.00","        385.00","        377.30","-","        377.30","        384.99","     131500","            50626230.00","-","-","-"
"BPCL","EQ","20-Mar-1997","        377.30","        372.05","        378.00","        372.00","-","        376.95","        374.98","        600","              224990.00","-","-","-"
"BPCL","EQ","21-Mar-1997","        376.95","        377.00","        377.00","        374.50","-","        374.50","        376.17","        300","              112850.00","-","-","-"
"BPCL","EQ","25-Mar-1997","        374.50","        375.00","        378.00","        367.30","-","        373.30","        375.63","      35400","            13297125.00","-","-","-"
"BPCL","EQ","26-Mar-1997","        373.30","        377.00","        380.00","        377.00","-","        380.00","        389.98","     275400","           107401600.00","-","-","-"
"BPCL","EQ","27-Mar-1997","        380.00","        383.00","        385.00","        380.05","-","        380.05","        383.07","       5900","             2260135.00","-","-","-"
"BPCL","EQ","31-Mar-1997","        380.05","        355.10","        382.00","        354.95","-","        368.45","        362.60","       5600","             2030560.00","-","-","-"
"BPCL","EQ","01-Apr-1997","        368.45","        365.00","        378.00","        365.00","-","        369.95","        369.71","       1400","              517600.00","-","-","-"
"BPCL","EQ","02-Apr-1997","        369.95","        375.00","        380.00","        372.05","-","        379.50","        379.24","      40700","            15434910.00","-","-","-"
"BPCL","EQ","03-Apr-1997","        379.50","        383.00","        390.00","        381.00","-","        386.50","        387.71","      95100","            36871630.00","-","-","-"
"BPCL","EQ","04-Apr-1997","        386.50","        381.50","        384.00","        380.00","-","        382.25","        383.09","      13500","             5171650.00","-","-","-"
"BPCL","EQ","07-Apr-1997","        382.25","        379.00","        379.90","        375.00","-","        376.10","        377.24","       1000","              377240.00","-","-","-"
