"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BRITANNIA","EQ","02-Jan-2007","       1094.35","       1140.00","       1140.00","       1092.05","       1100.05","       1100.45","       1100.41","       1480","             1628604.30","-","        848","         57.30"
"BRITANNIA","EQ","03-Jan-2007","       1100.45","       1114.00","       1114.95","       1094.00","       1094.00","       1095.85","       1100.82","       3544","             3901295.30","-","       2454","         69.24"
"BRITANNIA","EQ","04-Jan-2007","       1095.85","       1100.00","       1121.00","       1090.00","       1119.95","       1107.65","       1095.43","      53107","            58175000.80","-","      52171","         98.24"
"BRITANNIA","EQ","05-Jan-2007","       1107.65","       1106.95","       1125.00","       1100.00","       1101.00","       1102.90","       1112.72","       4943","             5500179.45","-","       3677","         74.39"
"BRITANNIA","EQ","08-Jan-2007","       1102.90","       1139.00","       1139.00","       1091.20","       1091.30","       1096.80","       1104.81","       3114","             3440386.15","-","       2158","         69.30"
"BRITANNIA","EQ","09-Jan-2007","       1096.80","       1055.00","       1107.95","       1055.00","       1095.00","       1095.45","       1097.11","       2885","             3165158.50","-","       1867","         64.71"
"BRITANNIA","EQ","10-Jan-2007","       1095.45","       1041.50","       1120.00","       1041.50","       1110.00","       1110.05","       1109.01","       3879","             4301861.80","-","       2903","         74.84"
"BRITANNIA","EQ","11-Jan-2007","       1110.05","       1037.00","       1128.50","       1037.00","       1120.00","       1120.30","       1120.24","       5516","             6179235.15","-","       4874","         88.36"
"BRITANNIA","EQ","12-Jan-2007","       1120.30","       1130.00","       1130.00","       1100.00","       1101.00","       1107.00","       1121.27","       5803","             6506717.60","-","       4074","         70.21"
"BRITANNIA","EQ","15-Jan-2007","       1107.00","       1120.00","       1123.95","       1105.10","       1120.00","       1120.80","       1117.95","       3356","             3751837.40","-","       2710","         80.75"
"BRITANNIA","EQ","16-Jan-2007","       1120.80","       1180.00","       1180.00","       1108.00","       1120.00","       1117.95","       1118.85","       1248","             1396323.25","-","        671","         53.77"
"BRITANNIA","EQ","17-Jan-2007","       1117.95","       1136.95","       1136.95","       1115.00","       1125.00","       1123.65","       1121.42","       4719","             5291968.75","-","       4035","         85.51"
"BRITANNIA","EQ","18-Jan-2007","       1123.65","       1139.00","       1139.00","       1115.50","       1118.00","       1120.70","       1123.37","       3512","             3945291.45","-","       2219","         63.18"
"BRITANNIA","EQ","19-Jan-2007","       1120.70","       1133.80","       1133.80","       1105.00","       1105.00","       1115.70","       1117.87","       3116","             3483293.25","-","       2639","         84.69"
"BRITANNIA","EQ","22-Jan-2007","       1115.70","       1140.00","       1157.70","       1090.55","       1129.95","       1125.20","       1119.57","       3654","             4090904.35","-","       2581","         70.63"
"BRITANNIA","EQ","23-Jan-2007","       1125.20","       1130.00","       1140.00","       1115.95","       1140.00","       1129.45","       1126.14","       2660","             2995524.65","-","       2001","         75.23"
"BRITANNIA","EQ","24-Jan-2007","       1129.45","       1140.00","       1144.00","       1125.40","       1137.00","       1136.50","       1135.64","       2093","             2376886.85","-","       1694","         80.94"
"BRITANNIA","EQ","25-Jan-2007","       1136.50","       1130.00","       1149.00","       1105.55","       1140.00","       1136.40","       1127.27","       5373","             6056810.50","-","       3543","         65.94"
"BRITANNIA","EQ","29-Jan-2007","       1136.40","       1135.00","       1149.00","       1124.00","       1144.95","       1139.75","       1134.27","       3662","             4153693.95","-","       2075","         56.66"
"BRITANNIA","EQ","31-Jan-2007","       1139.75","       1114.10","       1184.00","       1110.00","       1174.00","       1154.90","       1138.50","      12422","            14142491.40","-","       9293","         74.81"
"BRITANNIA","EQ","01-Feb-2007","       1154.90","       1166.00","       1166.00","       1135.00","       1145.00","       1146.85","       1146.63","      32855","            37672682.80","-","      31585","         96.13"
"BRITANNIA","EQ","02-Feb-2007","       1146.85","       1160.00","       1188.00","       1140.60","       1150.00","       1148.60","       1156.76","      11157","            12905933.50","-","       8414","         75.41"
"BRITANNIA","EQ","05-Feb-2007","       1148.60","       1132.00","       1159.00","       1090.20","       1090.20","       1112.60","       1127.18","       6095","             6870148.55","-","       4316","         70.81"
"BRITANNIA","EQ","06-Feb-2007","       1112.60","       1144.00","       1175.00","       1116.60","       1160.00","       1161.65","       1141.93","      10583","            12085065.35","-","       8282","         78.26"
"BRITANNIA","EQ","07-Feb-2007","       1161.65","       1170.00","       1180.00","       1155.00","       1170.00","       1172.90","       1166.34","       6473","             7549747.45","-","       4672","         72.18"
"BRITANNIA","EQ","08-Feb-2007","       1172.90","       1155.30","       1195.00","       1155.30","       1186.00","       1187.00","       1177.67","       4456","             5247686.90","-","       3208","         71.99"
"BRITANNIA","EQ","09-Feb-2007","       1187.00","       1185.00","       1193.00","       1176.50","       1190.00","       1187.25","       1184.04","       4376","             5181378.00","-","       3221","         73.61"
"BRITANNIA","EQ","12-Feb-2007","       1187.25","       1198.00","       1198.00","       1161.05","       1179.00","       1177.45","       1172.85","       3059","             3587757.10","-","       2642","         86.37"
"BRITANNIA","EQ","13-Feb-2007","       1177.45","       1121.00","       1198.00","       1121.00","       1195.00","       1191.40","       1188.93","       6152","             7314303.05","-","       5552","         90.25"
"BRITANNIA","EQ","14-Feb-2007","       1191.40","       1159.00","       1275.00","       1159.00","       1268.00","       1263.15","       1241.77","      11119","            13807185.25","-","       8786","         79.02"
"BRITANNIA","EQ","15-Feb-2007","       1263.15","       1220.20","       1281.25","       1220.20","       1275.00","       1272.45","       1259.93","       7112","             8960635.05","-","       5188","         72.95"
"BRITANNIA","EQ","19-Feb-2007","       1272.45","       1279.80","       1290.00","       1250.05","       1267.00","       1271.10","       1272.94","       6212","             7907526.95","-","       4717","         75.93"
"BRITANNIA","EQ","20-Feb-2007","       1271.10","       1234.00","       1260.00","       1212.05","       1260.00","       1252.25","       1242.21","       4315","             5360143.05","-","       2378","         55.11"
"BRITANNIA","EQ","21-Feb-2007","       1252.25","       1227.00","       1280.00","       1215.30","       1270.00","       1278.65","       1266.62","     129266","           163731527.40","-","     116943","         90.47"
"BRITANNIA","EQ","22-Feb-2007","       1278.65","       1309.00","       1309.00","       1260.00","       1265.00","       1265.15","       1267.89","       1967","             2493933.15","-","       1325","         67.36"
"BRITANNIA","EQ","23-Feb-2007","       1265.15","       1241.00","       1257.95","       1195.00","       1195.00","       1202.95","       1214.41","       6188","             7514741.55","-","       4191","         67.73"
"BRITANNIA","EQ","26-Feb-2007","       1202.95","       1239.00","       1239.00","       1194.95","       1195.00","       1199.90","       1201.07","       8256","             9916062.50","-","       6856","         83.04"
"BRITANNIA","EQ","27-Feb-2007","       1199.90","       1244.00","       1299.90","       1196.30","       1278.00","       1273.20","       1246.97","       8958","            11170388.45","-","       5892","         65.77"
"BRITANNIA","EQ","28-Feb-2007","       1273.20","       1200.00","       1295.00","       1127.00","       1239.00","       1236.55","       1249.15","       9169","            11453424.00","-","       3751","         40.91"
"BRITANNIA","EQ","01-Mar-2007","       1236.55","       1230.00","       1265.00","       1226.00","       1250.00","       1242.65","       1243.38","       4466","             5552946.25","-","       3324","         74.43"
"BRITANNIA","EQ","02-Mar-2007","       1242.65","       1240.00","       1314.00","       1240.00","       1309.00","       1297.70","       1295.94","      64145","            83127758.45","-","      58121","         90.61"
"BRITANNIA","EQ","05-Mar-2007","       1297.70","       1250.10","       1313.80","       1250.10","       1305.00","       1306.40","       1293.06","      62017","            80191404.90","-","      56609","         91.28"
"BRITANNIA","EQ","06-Mar-2007","       1306.40","       1314.50","       1350.00","       1270.00","       1275.00","       1275.70","       1304.08","       4280","             5581476.60","-","       2301","         53.76"
"BRITANNIA","EQ","07-Mar-2007","       1275.70","       1280.00","       1310.00","       1215.00","       1219.00","       1223.85","       1253.82","       4083","             5119360.10","-","       2220","         54.37"
"BRITANNIA","EQ","08-Mar-2007","       1223.85","       1247.95","       1250.00","       1222.00","       1231.10","       1238.50","       1238.09","       3438","             4256560.40","-","       2372","         68.99"
"BRITANNIA","EQ","09-Mar-2007","       1238.50","       1240.00","       1249.20","       1212.00","       1234.00","       1228.65","       1226.34","       4746","             5820197.80","-","       3892","         82.01"
"BRITANNIA","EQ","12-Mar-2007","       1228.65","       1247.00","       1291.30","       1235.10","       1290.00","       1284.15","       1287.63","      73935","            95200580.50","-","      72439","         97.98"
"BRITANNIA","EQ","13-Mar-2007","       1284.15","       1289.65","       1330.00","       1270.55","       1280.00","       1282.55","       1298.78","       4294","             5576949.80","-","       1917","         44.64"
"BRITANNIA","EQ","14-Mar-2007","       1282.55","       1275.00","       1275.00","       1240.00","       1270.00","       1259.75","       1251.70","       5248","             6568903.95","-","       3722","         70.92"
"BRITANNIA","EQ","15-Mar-2007","       1259.75","       1260.00","       1334.00","       1250.00","       1275.00","       1264.35","       1270.48","       2570","             3265145.05","-","       1227","         47.74"
"BRITANNIA","EQ","16-Mar-2007","       1264.35","       1292.00","       1292.00","       1250.00","       1255.05","       1257.75","       1253.91","       1921","             2408755.05","-","       1298","         67.57"
"BRITANNIA","EQ","19-Mar-2007","       1257.75","       1280.00","       1298.00","       1242.00","       1290.50","       1290.60","       1271.70","       3630","             4616280.95","-","       2505","         69.01"
"BRITANNIA","EQ","20-Mar-2007","       1290.60","       1265.20","       1319.00","       1260.00","       1268.55","       1279.30","       1275.54","       3256","             4153148.40","-","       2085","         64.04"
"BRITANNIA","EQ","21-Mar-2007","       1279.30","       1270.00","       1274.95","       1255.00","       1261.00","       1265.65","       1267.18","       1359","             1722103.15","-","        826","         60.78"
"BRITANNIA","EQ","22-Mar-2007","       1265.65","       1270.00","       1277.70","       1222.00","       1240.00","       1239.15","       1253.60","       6439","             8071916.85","-","       4620","         71.75"
"BRITANNIA","EQ","23-Mar-2007","       1239.15","       1223.20","       1270.00","       1223.20","       1231.00","       1239.05","       1243.00","       3292","             4091960.40","-","       2415","         73.36"
"BRITANNIA","EQ","26-Mar-2007","       1239.05","       1260.00","       1299.00","       1240.00","       1271.95","       1265.55","       1256.00","       3110","             3906172.55","-","       2153","         69.23"
"BRITANNIA","EQ","28-Mar-2007","       1265.55","       1203.55","       1280.55","       1180.20","       1240.00","       1235.20","       1238.90","       1516","             1878170.55","-","        924","         60.95"
"BRITANNIA","EQ","29-Mar-2007","       1235.20","       1230.00","       1246.60","       1185.00","       1203.00","       1196.00","       1205.17","       4969","             5988508.70","-","       3429","         69.01"
"BRITANNIA","EQ","30-Mar-2007","       1196.00","       1222.95","       1256.00","       1210.05","       1256.00","       1254.45","       1234.83","       3868","             4776334.05","-","       2662","         68.82"
"BRITANNIA","EQ","02-Apr-2007","       1254.45","       1244.95","       1244.95","       1206.20","       1210.00","       1213.65","       1219.93","        916","             1117458.75","-","        480","         52.40"
"BRITANNIA","EQ","03-Apr-2007","       1213.65","       1211.00","       1235.00","       1201.15","       1235.00","       1229.85","       1223.59","       1911","             2338289.75","-","       1232","         64.47"
"BRITANNIA","EQ","04-Apr-2007","       1229.85","       1235.00","       1235.00","       1205.00","       1210.00","       1220.70","       1226.91","       1979","             2428061.60","-","        961","         48.56"
"BRITANNIA","EQ","05-Apr-2007","       1220.70","       1220.00","       1255.00","       1215.00","       1255.00","       1234.20","       1231.06","       1750","             2154354.55","-","       1416","         80.91"
