"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CIPLA","EQ","01-Jan-2014","        400.80","        402.50","        405.90","        400.80","        401.25","        401.75","        403.26","     429074","           173026650.70","       7293","     169973","         39.61"
"CIPLA","EQ","02-Jan-2014","        401.75","        402.00","        406.35","        391.50","        392.45","        392.30","        399.11","     734194","           293025455.05","      10816","     353540","         48.15"
"CIPLA","EQ","03-Jan-2014","        392.30","        391.55","        394.00","        386.00","        393.95","        391.75","        389.48","     998001","           388702978.20","      20508","     483980","         48.49"
"CIPLA","EQ","06-Jan-2014","        391.75","        393.90","        395.95","        387.65","        391.00","        391.60","        391.71","     752348","           294700425.70","      11352","     331617","         44.08"
"CIPLA","EQ","07-Jan-2014","        391.60","        393.90","        394.90","        389.00","        390.15","        390.85","        390.73","     955034","           373162148.30","      15121","     623386","         65.27"
"CIPLA","EQ","08-Jan-2014","        390.85","        391.10","        405.00","        389.10","        404.00","        404.20","        400.16","    1768447","           707663553.50","      45513","    1032523","         58.39"
"CIPLA","EQ","09-Jan-2014","        404.20","        404.00","        407.40","        400.00","        403.30","        403.10","        403.61","    1161659","           468853594.15","      29914","     711916","         61.28"
"CIPLA","EQ","10-Jan-2014","        403.10","        401.20","        406.70","        397.00","        399.00","        399.10","        401.73","     875765","           351825151.40","      13696","     441738","         50.44"
"CIPLA","EQ","13-Jan-2014","        399.10","        396.35","        403.45","        396.35","        402.75","        402.25","        400.20","     770671","           308426068.65","       9495","     496575","         64.43"
"CIPLA","EQ","14-Jan-2014","        402.25","        400.90","        412.25","        400.90","        410.50","        411.15","        407.57","    1375742","           560713847.55","      17393","     821348","         59.70"
"CIPLA","EQ","15-Jan-2014","        411.15","        414.35","        423.90","        414.35","        417.25","        418.05","        418.91","    2737981","          1146959926.65","      46348","    1602686","         58.54"
"CIPLA","EQ","16-Jan-2014","        418.05","        419.00","        420.95","        412.00","        412.05","        412.65","        415.86","    1332490","           554132359.55","      16470","     741689","         55.66"
