"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","01-Jan-1999","        487.75","        488.20","        495.00","        488.20","        492.50","        492.50","        491.62","     116200","            57125920.00","-","-","-"
"DRREDDY","AE","04-Jan-1999","        477.00","        511.00","        511.00","        511.00","        511.00","        511.00","        511.00","        400","              204400.00","-","-","-"
"DRREDDY","BE","04-Jan-1999","        463.00","        520.00","        520.00","        520.00","        520.00","        520.00","        520.00","          1","                 520.00","-","-","-"
"DRREDDY","EQ","04-Jan-1999","        492.50","        499.00","        514.90","        497.00","        505.65","        505.65","        508.18","     369700","           187874725.00","-","-","-"
"DRREDDY","EQ","05-Jan-1999","        505.65","        509.00","        514.50","        500.75","        513.00","        513.00","        507.66","     334100","           169608840.00","-","-","-"
"DRREDDY","EQ","06-Jan-1999","        513.00","        524.00","        527.00","        510.75","        518.50","        518.50","        516.95","     203300","           105095280.00","-","-","-"
"DRREDDY","AE","07-Jan-1999","        511.00","        545.00","        545.00","        515.00","        545.00","        545.00","        544.70","      10100","             5501500.00","-","-","-"
"DRREDDY","BE","07-Jan-1999","        520.00","        540.00","        540.00","        540.00","        540.00","        540.00","        540.00","          4","                2160.00","-","-","-"
"DRREDDY","EQ","07-Jan-1999","        518.50","        520.00","        548.80","        519.00","        544.00","        544.00","        537.77","     753300","           405104640.00","-","-","-"
"DRREDDY","BE","08-Jan-1999","        540.00","        565.00","        569.00","        565.00","        569.00","        569.00","        567.00","          2","                1134.00","-","-","-"
"DRREDDY","EQ","08-Jan-1999","        544.00","        548.00","        581.00","        546.00","        581.00","        581.00","        558.92","     556900","           311261900.00","-","-","-"
"DRREDDY","BE","11-Jan-1999","        569.00","        580.00","        580.00","        580.00","        580.00","        580.00","        580.00","          1","                 580.00","-","-","-"
"DRREDDY","EQ","11-Jan-1999","        581.00","        589.00","        589.00","        551.00","        551.55","        551.55","        565.42","     456700","           258227105.00","-","-","-"
"DRREDDY","EQ","12-Jan-1999","        551.55","        550.00","        554.00","        520.10","        525.00","        525.00","        538.01","     375200","           201860565.00","-","-","-"
"DRREDDY","BE","13-Jan-1999","        580.00","        540.00","        540.00","        540.00","        540.00","        540.00","        540.00","         50","               27000.00","-","-","-"
"DRREDDY","EQ","13-Jan-1999","        525.00","        537.00","        560.00","        533.05","        548.50","        548.50","        544.71","     261700","           142551465.00","-","-","-"
"DRREDDY","EQ","14-Jan-1999","        548.50","        540.00","        554.00","        534.00","        537.00","        537.00","        544.53","     193100","           105148565.00","-","-","-"
"DRREDDY","BE","15-Jan-1999","        540.00","        538.00","        538.00","        538.00","        538.00","        538.00","        538.00","         50","               26900.00","-","-","-"
"DRREDDY","EQ","15-Jan-1999","        537.00","        539.00","        549.90","        514.00","        518.00","        518.00","        534.77","     256400","           137115120.00","-","-","-"
"DRREDDY","EQ","18-Jan-1999","        518.00","        525.00","        527.40","        511.00","        527.40","        527.40","        521.13","     121200","            63160595.00","-","-","-"
"DRREDDY","AE","19-Jan-1999","        545.00","        527.00","        527.00","        527.00","        527.00","        527.00","        527.00","       1000","              527000.00","-","-","-"
"DRREDDY","EQ","19-Jan-1999","        527.40","        530.00","        530.00","        506.10","        507.00","        507.00","        514.66","     251100","           129230910.00","-","-","-"
"DRREDDY","EQ","21-Jan-1999","        507.00","        516.90","        539.00","        511.00","        539.00","        539.00","        525.81","     195500","           102795135.00","-","-","-"
"DRREDDY","EQ","22-Jan-1999","        539.00","        542.85","        542.95","        519.10","        521.00","        521.00","        528.51","     173500","            91697305.00","-","-","-"
"DRREDDY","AE","25-Jan-1999","        527.00","        540.00","        540.00","        540.00","        540.00","        540.00","        540.00","        100","               54000.00","-","-","-"
