"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EICHERMOT","EQ","02-Jan-2012","       1488.00","       1509.85","       1519.90","       1471.00","       1489.95","       1495.30","       1494.22","      21832","            32621753.00","        940","      17392","         79.66"
"EICHERMOT","EQ","03-Jan-2012","       1495.30","       1515.00","       1577.90","       1481.00","       1561.00","       1565.60","       1536.64","       4378","             6727413.15","        598","       2006","         45.82"
"EICHERMOT","EQ","04-Jan-2012","       1565.60","       1539.00","       1606.00","       1515.00","       1515.00","       1525.80","       1552.86","       5485","             8517428.20","       1138","       2123","         38.71"
"EICHERMOT","EQ","05-Jan-2012","       1525.80","       1545.00","       1558.95","       1500.00","       1514.90","       1512.35","       1532.02","       3639","             5575019.20","        480","       1585","         43.56"
"EICHERMOT","EQ","06-Jan-2012","       1512.35","       1529.95","       1529.95","       1486.10","       1486.10","       1493.70","       1503.14","       1984","             2982223.60","        328","       1000","         50.40"
"EICHERMOT","EQ","07-Jan-2012","       1493.70","       1507.90","       1507.90","       1490.00","       1507.00","       1498.05","       1496.83","        129","              193090.55","         28","         74","         57.36"
"EICHERMOT","EQ","09-Jan-2012","       1498.05","       1494.00","       1509.95","       1453.00","       1481.00","       1480.70","       1470.99","       5991","             8812710.60","       1022","       3789","         63.24"
"EICHERMOT","EQ","10-Jan-2012","       1480.70","       1495.00","       1510.00","       1481.00","       1499.95","       1500.05","       1499.40","      19725","            29575695.70","       1456","      17667","         89.57"
"EICHERMOT","EQ","11-Jan-2012","       1500.05","       1505.00","       1559.80","       1485.10","       1499.90","       1499.85","       1523.17","       3900","             5940357.75","        538","       1745","         44.74"
"EICHERMOT","EQ","12-Jan-2012","       1499.85","       1516.30","       1538.75","       1505.00","       1525.00","       1522.70","       1519.31","       1122","             1704661.55","        177","        529","         47.15"
"EICHERMOT","EQ","13-Jan-2012","       1522.70","       1529.95","       1540.00","       1520.00","       1538.75","       1533.20","       1531.04","       1820","             2786493.45","        181","       1460","         80.22"
"EICHERMOT","EQ","16-Jan-2012","       1533.20","       1540.00","       1548.40","       1501.10","       1540.00","       1535.95","       1532.86","       1026","             1572709.90","        173","        616","         60.04"
"EICHERMOT","EQ","17-Jan-2012","       1535.95","       1519.95","       1616.85","       1519.95","       1601.00","       1604.15","       1582.04","      21043","            33290788.05","        588","      18984","         90.22"
"EICHERMOT","EQ","18-Jan-2012","       1604.15","       1570.50","       1610.00","       1570.50","       1585.00","       1584.95","       1584.99","      26323","            41721808.20","        259","      25621","         97.33"
