"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRASIM","EQ","01-Jan-2016","       3754.85","       3743.20","       3790.10","       3735.00","       3769.95","       3767.75","       3765.01","      23045","            86764768.45","       3157","       6782","         29.43"
"GRASIM","EQ","04-Jan-2016","       3767.75","       3760.05","       3783.00","       3633.10","       3665.00","       3657.25","       3697.69","      66212","           244831501.20","       5124","      39182","         59.18"
"GRASIM","EQ","05-Jan-2016","       3657.25","       3662.50","       3691.70","       3626.50","       3657.45","       3659.10","       3663.54","      33048","           121072823.05","       5033","      11700","         35.40"
"GRASIM","EQ","06-Jan-2016","       3659.10","       3659.00","       3687.00","       3602.65","       3650.10","       3652.40","       3646.49","      51689","           188483571.95","       4016","      25498","         49.33"
"GRASIM","EQ","07-Jan-2016","       3652.40","       3631.00","       3649.95","       3540.00","       3560.00","       3557.20","       3578.33","      83869","           300111329.40","       6557","      60746","         72.43"
"GRASIM","EQ","08-Jan-2016","       3557.20","       3570.10","       3596.80","       3514.85","       3570.00","       3575.70","       3568.33","      26761","            95492026.00","       2789","       9352","         34.95"
"GRASIM","EQ","11-Jan-2016","       3575.70","       3557.00","       3642.55","       3530.85","       3641.80","       3622.10","       3570.77","      51634","           184372884.10","       4374","      17727","         34.33"
"GRASIM","EQ","12-Jan-2016","       3622.10","       3624.00","       3650.70","       3502.35","       3550.00","       3549.65","       3551.93","      90923","           322951734.35","       7128","      54460","         59.90"
"GRASIM","EQ","13-Jan-2016","       3549.65","       3570.00","       3594.95","       3496.00","       3523.10","       3527.00","       3527.01","      58396","           205963422.50","       6614","      25666","         43.95"
"GRASIM","EQ","14-Jan-2016","       3527.00","       3518.00","       3523.85","       3475.00","       3504.85","       3499.20","       3491.92","      83465","           291452943.15","       7549","      51661","         61.90"
"GRASIM","EQ","15-Jan-2016","       3499.20","       3502.00","       3522.00","       3439.00","       3514.85","       3503.70","       3500.49","      57726","           202069363.10","       5373","      34761","         60.22"
"GRASIM","EQ","18-Jan-2016","       3503.70","       3510.00","       3544.45","       3480.70","       3500.00","       3501.00","       3505.19","      63221","           221601734.25","       4649","      40865","         64.64"
"GRASIM","EQ","19-Jan-2016","       3501.00","       3490.20","       3533.15","       3485.65","       3505.10","       3522.70","       3518.87","      55695","           195983487.95","       6752","      34333","         61.64"
"GRASIM","EQ","20-Jan-2016","       3522.70","       3469.70","       3569.55","       3458.00","       3475.00","       3476.15","       3477.01","      87662","           304801383.65","       7390","      58204","         66.40"
