"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","03-Jan-2005","        343.95","        347.00","        351.00","        343.05","        349.55","        349.80","        346.93","     324686","           112642203.85","-","     168817","         51.99"
"HCLTECH","EQ","04-Jan-2005","        349.80","        350.00","        352.00","        345.30","        347.20","        347.30","        349.16","     226760","            79174450.25","-","      51864","         22.87"
"HCLTECH","EQ","05-Jan-2005","        347.30","        346.10","        348.00","        325.00","        334.80","        334.85","        338.21","     225119","            76138058.60","-","      57252","         25.43"
"HCLTECH","EQ","06-Jan-2005","        334.85","        340.00","        340.00","        318.00","        322.00","        321.85","        325.82","     463177","           150911309.70","-","     157453","         33.99"
"HCLTECH","EQ","07-Jan-2005","        321.85","        329.80","        329.80","        321.50","        325.00","        326.40","        325.66","     235475","            76683647.40","-","      73226","         31.10"
"HCLTECH","EQ","10-Jan-2005","        326.40","        329.90","        330.00","        309.10","        311.75","        312.15","        320.92","     538317","           172754806.70","-","     305005","         56.66"
"HCLTECH","EQ","11-Jan-2005","        312.15","        313.20","        325.90","        309.50","        311.10","        313.00","        317.83","     853463","           271256346.65","-","     405584","         47.52"
"HCLTECH","EQ","12-Jan-2005","        313.00","        324.80","        324.80","        307.50","        310.00","        311.40","        316.42","     647680","           204938388.80","-","     238094","         36.76"
"HCLTECH","EQ","13-Jan-2005","        311.40","        313.10","        318.90","        312.00","        315.30","        314.95","        315.44","     320558","           101116149.70","-","     120932","         37.73"
"HCLTECH","EQ","14-Jan-2005","        314.95","        315.00","        316.90","        304.00","        306.50","        305.95","        309.32","     460085","           142312530.35","-","     179788","         39.08"
"HCLTECH","EQ","17-Jan-2005","        305.95","        306.10","        308.00","        294.50","        304.00","        302.20","        299.34","     500516","           149824407.75","-","     201827","         40.32"
"HCLTECH","EQ","18-Jan-2005","        302.20","        302.10","        315.05","        302.10","        315.00","        311.15","        310.53","    1239585","           384932430.35","-","     755860","         60.98"
"HCLTECH","EQ","19-Jan-2005","        311.15","        314.80","        317.75","        307.20","        310.50","        309.50","        313.72","     385207","           120847347.25","-","     118321","         30.72"
"HCLTECH","EQ","20-Jan-2005","        309.50","        301.10","        318.95","        301.10","        316.00","        315.10","        310.92","     639321","           198780677.90","-","     374835","         58.63"
"HCLTECH","EQ","24-Jan-2005","        315.10","        318.00","        323.00","        313.50","        321.00","        320.60","        320.20","     786173","           251733211.15","-","     529829","         67.39"
"HCLTECH","EQ","25-Jan-2005","        320.60","        320.10","        325.80","        313.15","        322.15","        323.60","        319.62","     671867","           214743268.15","-","     320695","         47.73"
"HCLTECH","EQ","27-Jan-2005","        323.60","        321.00","        332.00","        318.00","        325.90","        322.85","        325.15","    1873412","           609131184.30","-","     762442","         40.70"
