"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","01-Jan-2002","        225.60","        228.00","        230.00","        222.75","        226.00","        225.05","        225.02","      58641","            13195432.50","-","      46718","         79.67"
"HDFCBANK","EQ","02-Jan-2002","        225.05","        224.00","        225.75","        223.00","        225.00","        225.00","        224.53","      62109","            13945638.90","-","      56233","         90.54"
"HDFCBANK","EQ","03-Jan-2002","        225.00","        225.00","        227.95","        222.20","        227.75","        226.25","        224.70","      49582","            11141123.45","-","      38261","         77.17"
"HDFCBANK","EQ","04-Jan-2002","        226.25","        225.00","        228.00","        223.50","        223.75","        223.95","        224.49","      21331","             4788542.85","-","      10730","         50.30"
"HDFCBANK","EQ","07-Jan-2002","        223.95","        224.00","        226.35","        221.55","        224.15","        223.95","        223.79","      81273","            18188128.40","-","      72188","         88.82"
"HDFCBANK","EQ","08-Jan-2002","        223.95","        225.00","        225.00","        220.05","        222.15","        222.75","        222.66","      58901","            13114848.70","-","      44006","         74.71"
"HDFCBANK","EQ","09-Jan-2002","        222.75","        221.50","        225.00","        221.50","        224.00","        224.35","        224.46","      43375","             9735814.15","-","      35788","         82.51"
"HDFCBANK","EQ","10-Jan-2002","        224.35","        225.00","        226.50","        222.00","        226.45","        225.55","        224.81","      70669","            15886867.50","-","      52304","         74.01"
"HDFCBANK","EQ","11-Jan-2002","        225.55","        225.90","        231.50","        224.00","        225.65","        226.35","        228.42","      82187","            18773207.60","-","      52626","         64.03"
"HDFCBANK","EQ","14-Jan-2002","        226.35","        226.50","        237.00","        226.50","        234.00","        233.70","        233.99","     118558","            27741734.55","-","      65997","         55.67"
"HDFCBANK","EQ","15-Jan-2002","        233.70","        234.00","        254.00","        232.00","        240.15","        239.85","        241.27","     220783","            53268946.65","-","     133719","         60.57"
"HDFCBANK","EQ","16-Jan-2002","        239.85","        248.00","        249.00","        229.00","        229.50","        230.90","        234.42","      63250","            14827006.05","-","      28467","         45.01"
"HDFCBANK","EQ","17-Jan-2002","        230.90","        229.65","        235.00","        227.00","        234.00","        233.05","        232.33","      63836","            14830850.45","-","      39310","         61.58"
"HDFCBANK","EQ","18-Jan-2002","        233.05","        233.50","        238.90","        233.50","        236.80","        237.30","        235.46","      65984","            15536455.05","-","      45371","         68.76"
"HDFCBANK","EQ","21-Jan-2002","        237.30","        238.00","        243.00","        234.25","        236.00","        238.95","        237.84","      54630","            12993115.55","-","      36389","         66.61"
"HDFCBANK","EQ","22-Jan-2002","        238.95","        238.95","        242.00","        237.00","        242.00","        240.70","        239.30","      53554","            12815395.65","-","      41259","         77.04"
"HDFCBANK","EQ","23-Jan-2002","        240.70","        241.00","        243.00","        240.10","        242.50","        242.50","        242.13","      53197","            12880554.50","-","      38553","         72.47"
"HDFCBANK","EQ","24-Jan-2002","        242.50","        242.50","        243.75","        233.10","        235.50","        234.95","        238.64","      30165","             7198555.05","-","      18759","         62.19"
"HDFCBANK","EQ","25-Jan-2002","        234.95","        235.00","        235.00","        228.10","        229.10","        229.15","        230.32","      25436","             5858517.50","-","      17344","         68.19"
"HDFCBANK","EQ","28-Jan-2002","        229.15","        226.10","        231.95","        226.10","        230.55","        229.80","        229.90","      10748","             2470911.90","-","       6104","         56.79"
"HDFCBANK","EQ","29-Jan-2002","        229.80","        230.50","        230.95","        225.60","        227.95","        226.60","        227.43","      26046","             5923751.35","-","      14102","         54.14"
"HDFCBANK","EQ","30-Jan-2002","        226.60","        228.00","        228.00","        224.00","        224.75","        224.80","        224.77","      56571","            12715229.75","-","      48798","         86.26"
"HDFCBANK","EQ","31-Jan-2002","        224.80","        224.20","        227.00","        220.10","        224.50","        224.70","        224.87","      46595","            10477634.60","-","      40678","         87.30"
"HDFCBANK","EQ","01-Feb-2002","        224.70","        226.00","        226.00","        223.65","        224.80","        224.80","        224.71","      13668","             3071375.55","-","       9282","         67.91"
"HDFCBANK","EQ","04-Feb-2002","        224.80","        226.00","        227.90","        224.00","        224.85","        225.15","        225.25","      40232","             9062405.80","-","      29836","         74.16"
"HDFCBANK","EQ","05-Feb-2002","        225.15","        224.00","        226.95","        220.00","        220.00","        222.70","        223.43","     219675","            49081237.35","-","     190644","         86.78"
"HDFCBANK","EQ","06-Feb-2002","        222.70","        222.55","        228.95","        222.15","        226.00","        225.20","        224.15","     170975","            38323595.80","-","     152399","         89.14"
"HDFCBANK","EQ","07-Feb-2002","        225.20","        225.10","        232.00","        224.40","        224.55","        226.65","        228.34","      66729","            15237067.00","-","      42295","         63.38"
"HDFCBANK","EQ","08-Feb-2002","        226.65","        227.75","        228.00","        220.00","        225.00","        225.05","        224.18","     162488","            36426496.05","-","     139212","         85.68"
"HDFCBANK","EQ","11-Feb-2002","        225.05","        226.95","        230.00","        226.05","        229.50","        228.75","        229.14","      30073","             6890872.50","-","      18810","         62.55"
"HDFCBANK","EQ","12-Feb-2002","        228.75","        230.70","        234.00","        229.60","        232.50","        230.90","        231.50","      41637","             9638905.90","-","      29075","         69.83"
"HDFCBANK","EQ","13-Feb-2002","        230.90","        231.50","        232.00","        227.05","        229.00","        229.90","        230.67","      31274","             7213946.25","-","      22304","         71.32"
"HDFCBANK","EQ","14-Feb-2002","        229.90","        228.50","        232.00","        227.05","        227.05","        228.35","        228.83","      54011","            12359536.65","-","      45479","         84.20"
"HDFCBANK","EQ","15-Feb-2002","        228.35","        230.00","        237.00","        229.00","        233.00","        233.55","        233.11","     197790","            46107037.15","-","     126266","         63.84"
"HDFCBANK","EQ","18-Feb-2002","        233.55","        244.70","        254.90","        239.00","        246.00","        248.45","        248.21","     298846","            74175855.05","-","     190830","         63.86"
"HDFCBANK","EQ","19-Feb-2002","        248.45","        248.50","        249.80","        235.00","        235.00","        235.20","        237.31","      98278","            23321993.70","-","      55554","         56.53"
"HDFCBANK","EQ","20-Feb-2002","        235.20","        235.00","        245.00","        233.50","        238.00","        236.30","        236.47","      45199","            10688074.50","-","-","-"
"HDFCBANK","EQ","21-Feb-2002","        236.30","        240.85","        242.50","        235.00","        236.95","        236.65","        237.39","      33929","             8054287.00","-","      19382","         57.13"
"HDFCBANK","EQ","22-Feb-2002","        236.65","        238.05","        248.40","        238.00","        244.70","        246.90","        243.48","     119642","            29130499.00","-","      81616","         68.22"
"HDFCBANK","EQ","25-Feb-2002","        246.90","        255.00","        255.00","        240.05","        241.10","        242.55","        246.34","      89132","            21956395.60","-","      61719","         69.24"
"HDFCBANK","EQ","26-Feb-2002","        242.55","        241.20","        245.80","        234.10","        236.00","        236.20","        238.30","     107678","            25659776.40","-","      82264","         76.40"
"HDFCBANK","EQ","27-Feb-2002","        236.20","        236.00","        240.95","        233.10","        235.00","        236.90","        237.35","      89796","            21312648.05","-","      65558","         73.01"
"HDFCBANK","EQ","28-Feb-2002","        236.90","        239.10","        244.90","        229.00","        235.85","        233.60","        238.22","     170760","            40678670.00","-","      93058","         54.50"
"HDFCBANK","EQ","01-Mar-2002","        233.60","        232.00","        239.00","        231.00","        238.00","        236.50","        235.17","      58519","            13761869.50","-","      38849","         66.39"
"HDFCBANK","EQ","04-Mar-2002","        236.50","        240.75","        240.75","        231.00","        236.10","        236.20","        235.68","      58075","            13686918.20","-","      51211","         88.18"
"HDFCBANK","EQ","05-Mar-2002","        236.20","        234.10","        239.90","        234.10","        238.00","        237.05","        235.73","     156703","            36939675.50","-","     141612","         90.37"
"HDFCBANK","EQ","06-Mar-2002","        237.05","        236.00","        241.00","        234.05","        235.00","        235.15","        237.27","      44240","            10496865.15","-","      23513","         53.15"
"HDFCBANK","EQ","07-Mar-2002","        235.15","        235.70","        240.00","        235.30","        235.30","        236.65","        237.27","      65958","            15649999.30","-","      46743","         70.87"
"HDFCBANK","EQ","08-Mar-2002","        236.65","        237.35","        238.50","        231.30","        235.00","        234.45","        233.99","     102427","            23966765.30","-","      84189","         82.19"
"HDFCBANK","EQ","11-Mar-2002","        234.45","        233.10","        236.90","        231.60","        232.75","        232.75","        233.15","      26114","             6088412.85","-","-","-"
"HDFCBANK","EQ","12-Mar-2002","        232.75","        229.10","        233.00","        229.10","        230.65","        230.75","        231.17","      76830","            17760408.80","-","      78374","         76.13"
"HDFCBANK","EQ","13-Mar-2002","        230.75","        229.25","        235.00","        229.20","        234.55","        234.75","        233.86","      86655","            20264797.80","-","      79110","         91.29"
"HDFCBANK","EQ","14-Mar-2002","        234.75","        235.90","        235.95","        232.25","        235.00","        234.85","        234.52","      40695","             9543808.10","-","      31618","         77.70"
"HDFCBANK","EQ","15-Mar-2002","        234.85","        234.95","        236.00","        233.55","        234.10","        234.95","        235.00","      33543","             7882756.05","-","      28920","         86.22"
"HDFCBANK","EQ","18-Mar-2002","        234.95","        238.00","        240.00","        232.10","        238.95","        239.30","        237.33","      42694","            10132743.40","-","      34144","         79.97"
