"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDALCO","EQ","03-Jan-2011","        247.00","        248.00","        249.75","        245.40","        245.65","        246.10","        247.52","    3842790","           951157622.40","-","    1184216","         30.82"
"HINDALCO","EQ","04-Jan-2011","        246.10","        247.35","        247.90","        241.30","        243.80","        244.10","        244.05","    6877660","          1678465204.45","-","    2772501","         40.31"
"HINDALCO","EQ","05-Jan-2011","        244.10","        243.00","        249.45","        242.10","        246.75","        246.50","        246.48","    8279087","          2040641854.60","-","    2935260","         35.45"
"HINDALCO","EQ","06-Jan-2011","        246.50","        249.00","        252.85","        246.50","        250.30","        251.35","        249.11","   11312988","          2818153816.70","-","    4461365","         39.44"
"HINDALCO","EQ","07-Jan-2011","        251.35","        251.45","        251.45","        230.60","        232.70","        233.30","        239.71","   19294019","          4624978460.80","-","    8690644","         45.04"
"HINDALCO","EQ","10-Jan-2011","        233.30","        234.65","        234.65","        220.80","        221.65","        222.10","        228.07","   16700765","          3808957651.00","-","    7247799","         43.40"
"HINDALCO","EQ","11-Jan-2011","        222.10","        222.00","        234.00","        222.00","        233.95","        230.60","        229.49","   11698426","          2684626247.55","-","    3435969","         29.37"
"HINDALCO","EQ","12-Jan-2011","        230.60","        233.75","        238.80","        226.45","        237.25","        237.50","        233.11","   10778556","          2512554188.10","-","    3652097","         33.88"
"HINDALCO","EQ","13-Jan-2011","        237.50","        237.25","        240.95","        232.10","        235.10","        234.25","        236.84","    7929497","          1878020368.15","-","    2871103","         36.21"
"HINDALCO","EQ","14-Jan-2011","        234.25","        233.90","        238.75","        228.70","        228.95","        230.00","        232.98","    7434960","          1732225996.20","-","    1219678","         16.40"
"HINDALCO","EQ","17-Jan-2011","        230.00","        228.80","        232.05","        223.75","        224.80","        224.85","        227.13","    8379481","          1903220311.60","-","    3199830","         38.19"
"HINDALCO","EQ","18-Jan-2011","        224.85","        225.65","        230.60","        225.65","        229.80","        229.45","        228.64","    5802374","          1326683225.55","-","    2108515","         36.34"
"HINDALCO","EQ","19-Jan-2011","        229.45","        230.00","        237.70","        229.00","        236.40","        235.60","        234.65","    9212642","          2161716333.10","-","    3894918","         42.28"
"HINDALCO","EQ","20-Jan-2011","        235.60","        232.25","        239.75","        232.00","        236.25","        236.50","        236.23","    8696988","          2054490054.85","-","    3775128","         43.41"
"HINDALCO","EQ","21-Jan-2011","        236.50","        233.10","        237.00","        233.10","        234.40","        234.45","        234.96","    5496192","          1291408366.05","-","    2487939","         45.27"
"HINDALCO","EQ","24-Jan-2011","        234.45","        234.50","        235.90","        230.20","        232.15","        232.05","        232.89","    4656651","          1084475559.95","-","    1480823","         31.80"
"HINDALCO","EQ","25-Jan-2011","        232.05","        233.20","        238.70","        232.50","        234.50","        235.10","        235.97","    6623592","          1562999407.10","-","    1934670","         29.21"
"HINDALCO","EQ","27-Jan-2011","        235.10","        236.05","        238.00","        231.55","        233.00","        232.95","        235.25","   11947821","          2810732012.25","-","    7580673","         63.45"
"HINDALCO","EQ","28-Jan-2011","        232.95","        232.70","        234.15","        217.60","        226.30","        223.55","        225.04","   12714864","          2861340039.40","-","    5769724","         45.38"
"HINDALCO","EQ","31-Jan-2011","        223.55","        220.00","        231.40","        217.40","        231.15","        229.65","        225.00","   10647154","          2395662259.90","-","    4128064","         38.77"
"HINDALCO","EQ","01-Feb-2011","        229.65","        230.50","        233.75","        227.70","        229.20","        229.90","        230.74","    8599323","          1984216621.85","-","    2696133","         31.35"
"HINDALCO","EQ","02-Feb-2011","        229.90","        232.00","        237.90","        231.15","        234.70","        234.80","        234.77","    9229394","          2166798834.45","-","    4365555","         47.30"
"HINDALCO","EQ","03-Feb-2011","        234.80","        235.05","        247.00","        234.70","        246.85","        246.05","        242.34","   11916127","          2887753412.20","-","    5422842","         45.51"
"HINDALCO","EQ","04-Feb-2011","        246.05","        246.55","        251.25","        234.55","        235.75","        236.55","        244.41","   11477428","          2805219424.75","-","    4693140","         40.89"
"HINDALCO","EQ","07-Feb-2011","        236.55","        236.80","        238.70","        227.95","        233.45","        232.25","        233.20","   11771926","          2745206240.45","-","    3786785","         32.17"
"HINDALCO","EQ","08-Feb-2011","        232.25","        234.65","        238.95","        231.05","        234.00","        233.85","        235.26","   10511581","          2472949716.00","-","    3112785","         29.61"
"HINDALCO","EQ","09-Feb-2011","        233.85","        231.90","        232.20","        217.30","        219.70","        219.35","        224.71","   12632074","          2838547111.05","-","    4988684","         39.49"
"HINDALCO","EQ","10-Feb-2011","        219.35","        219.00","        220.05","        211.80","        214.55","        215.75","        216.17","    9826787","          2124209808.60","-","    3722644","         37.88"
"HINDALCO","EQ","11-Feb-2011","        215.75","        216.00","        216.95","        201.55","        211.45","        210.95","        208.65","   15181005","          3167452254.55","-","    4973732","         32.76"
