"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDLEVER","EQ","03-Jan-2000","       2136.60","       2300.00","       2307.55","       2300.00","       2307.55","       2307.55","       2307.08","      24903","            57453298.90","-","-","-"
"HINDLEVER","EQ","04-Jan-2000","       2307.55","       2381.00","       2381.00","       2250.00","       2270.00","       2281.05","       2298.15","      58514","           134474005.25","-","-","-"
"HINDLEVER","EQ","05-Jan-2000","       2281.05","       2200.00","       2250.00","       2105.00","       2183.50","       2199.90","       2211.17","      80296","           177548194.45","-","-","-"
"HINDLEVER","EQ","06-Jan-2000","       2199.90","       2224.90","       2360.00","       2210.00","       2300.00","       2288.20","       2301.80","     190032","           437415701.35","-","-","-"
"HINDLEVER","EQ","07-Jan-2000","       2288.20","       2300.00","       2452.00","       2282.25","       2395.00","       2412.95","       2380.24","     192582","           458391944.85","-","-","-"
"HINDLEVER","BE","10-Jan-2000","       2338.00","          0.00","          0.00","          0.00","       2338.00","       2400.00","       2400.00","        750","             1800000.00","-","-","-"
"HINDLEVER","EQ","10-Jan-2000","       2412.95","       2445.00","       2499.00","       2410.00","       2440.00","       2431.25","       2464.07","      86591","           213365852.80","-","-","-"
"HINDLEVER","AE","11-Jan-2000","       2290.00","       2244.00","       2400.00","       2244.00","       2400.00","       2400.00","       2322.00","         20","               46440.00","-","-","-"
"HINDLEVER","EQ","11-Jan-2000","       2431.25","       2450.00","       2529.00","       2390.00","       2450.00","       2485.80","       2460.27","     134411","           330687577.25","-","-","-"
"HINDLEVER","AE","12-Jan-2000","       2400.00","       2510.00","       2510.00","       2510.00","       2510.00","       2510.00","       2510.00","         10","               25100.00","-","-","-"
"HINDLEVER","BE","12-Jan-2000","       2400.00","       2510.00","       2510.00","       2510.00","       2510.00","       2510.00","       2510.00","         60","              150600.00","-","-","-"
"HINDLEVER","EQ","12-Jan-2000","       2485.80","       2500.00","       2684.70","       2490.00","       2684.70","       2647.80","       2579.17","     177057","           456660112.60","-","-","-"
"HINDLEVER","BE","13-Jan-2000","       2510.00","          0.00","          0.00","          0.00","       2510.00","       2570.00","       2570.00","        500","             1285000.00","-","-","-"
"HINDLEVER","EQ","13-Jan-2000","       2647.80","       2699.00","       2859.65","       2650.00","       2783.00","       2786.65","       2804.40","     254508","           713743230.65","-","-","-"
"HINDLEVER","EQ","14-Jan-2000","       2786.65","       2750.00","       2777.00","       2650.00","       2697.05","       2702.10","       2706.88","     120240","           325475132.05","-","-","-"
"HINDLEVER","AE","17-Jan-2000","       2510.00","       2630.00","       2630.00","       2500.00","       2625.00","       2625.00","       2625.25","        101","              265150.00","-","-","-"
"HINDLEVER","EQ","17-Jan-2000","       2702.10","       2748.90","       2750.00","       2545.10","       2600.00","       2598.25","       2609.45","      96539","           251913523.40","-","-","-"
"HINDLEVER","AE","18-Jan-2000","       2625.00","       2550.00","       2590.00","       2550.00","       2590.00","       2590.00","       2570.20","         50","              128510.00","-","-","-"
"HINDLEVER","EQ","18-Jan-2000","       2598.25","       2597.00","       2608.00","       2546.00","       2570.00","       2561.45","       2569.03","      89439","           229771284.25","-","-","-"
"HINDLEVER","AE","19-Jan-2000","       2590.00","       2560.00","       2560.00","       2525.00","       2525.00","       2525.00","       2551.56","         80","              204125.00","-","-","-"
"HINDLEVER","EQ","19-Jan-2000","       2561.45","       2575.00","       2600.00","       2501.00","       2522.00","       2528.95","       2544.73","     118666","           301973209.85","-","-","-"
"HINDLEVER","BE","20-Jan-2000","       2570.00","       2527.25","       2527.25","       2527.25","       2527.25","       2527.25","       2527.25","      25000","            63181250.00","-","-","-"
"HINDLEVER","EQ","20-Jan-2000","       2528.95","       2525.00","       2535.00","       2515.00","       2525.00","       2524.40","       2527.08","     121559","           307189199.90","-","-","-"
"HINDLEVER","EQ","21-Jan-2000","       2524.40","       2540.00","       2595.00","       2536.60","       2550.00","       2548.10","       2551.42","      75012","           191387277.20","-","-","-"
"HINDLEVER","EQ","24-Jan-2000","       2548.10","       2550.00","       2649.00","       2541.00","       2575.00","       2578.50","       2587.48","      71199","           184225886.00","-","-","-"
"HINDLEVER","EQ","25-Jan-2000","       2578.50","       2597.70","       2597.70","       2546.00","       2550.00","       2552.05","       2558.39","      54093","           138391162.05","-","-","-"
"HINDLEVER","EQ","27-Jan-2000","       2552.05","       2620.00","       2680.00","       2539.00","       2560.00","       2559.65","       2571.43","      92647","           238235185.80","-","-","-"
"HINDLEVER","EQ","28-Jan-2000","       2559.65","       2525.00","       2564.80","       2490.00","       2496.00","       2523.75","       2546.01","      46421","           118188470.10","-","-","-"
"HINDLEVER","BE","31-Jan-2000","       2527.25","       2500.00","       2500.00","       2500.00","       2500.00","       2500.00","       2500.00","       3486","             8715000.00","-","-","-"
"HINDLEVER","EQ","31-Jan-2000","       2523.75","       2445.00","       2494.00","       2401.00","       2433.50","       2440.00","       2445.59","      69079","           168939220.60","-","-","-"
"HINDLEVER","EQ","01-Feb-2000","       2440.00","       2415.00","       2415.00","       2285.00","       2315.00","       2326.70","       2328.27","     117442","           273436182.30","-","-","-"
"HINDLEVER","EQ","02-Feb-2000","       2326.70","       2400.00","       2499.00","       2375.00","       2427.00","       2406.95","       2422.46","      98325","           238188438.20","-","-","-"
"HINDLEVER","EQ","03-Feb-2000","       2406.95","       2428.00","       2451.00","       2359.00","       2430.00","       2437.90","       2431.79","      58365","           141931147.95","-","-","-"
"HINDLEVER","EQ","04-Feb-2000","       2437.90","       2439.80","       2439.80","       2325.00","       2340.00","       2346.75","       2371.86","      33380","            79172850.80","-","-","-"
"HINDLEVER","EQ","07-Feb-2000","       2346.75","       2345.00","       2355.00","       2275.00","       2309.00","       2308.95","       2325.87","      36764","            85508323.20","-","-","-"
"HINDLEVER","EQ","08-Feb-2000","       2308.95","       2300.00","       2334.50","       2300.00","       2303.00","       2306.95","       2317.10","      41790","            96831815.65","-","-","-"
"HINDLEVER","EQ","09-Feb-2000","       2306.95","       2440.00","       2480.00","       2365.00","       2419.00","       2418.10","       2405.02","      67504","           162348313.70","-","-","-"
"HINDLEVER","EQ","10-Feb-2000","       2418.10","       2381.25","       2445.00","       2320.00","       2320.00","       2331.10","       2359.98","      87892","           207423396.60","-","-","-"
"HINDLEVER","EQ","11-Feb-2000","       2331.10","       2395.00","       2449.90","       2307.00","       2370.00","       2376.50","       2359.10","     156867","           370064340.70","-","-","-"
