"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","01-Jan-2009","        448.10","        450.00","        466.95","        450.00","        465.00","        464.15","        461.51","    5096416","          2352034470.10","-","    1052166","         20.65"
"ICICIBANK","EQ","02-Jan-2009","        464.15","        465.00","        479.80","        462.25","        472.55","        471.25","        472.40","    6463217","          3053219552.20","-","    1741027","         26.94"
"ICICIBANK","EQ","05-Jan-2009","        471.25","        475.50","        504.00","        474.15","        500.90","        499.90","        493.43","    8585791","          4236493792.00","-","    2799476","         32.61"
"ICICIBANK","EQ","06-Jan-2009","        499.90","        480.00","        530.70","        480.00","        526.00","        523.45","        514.80","   14115209","          7266483004.40","-","    4118177","         29.18"
"ICICIBANK","EQ","07-Jan-2009","        523.45","        528.00","        538.60","        454.05","        462.50","        467.85","        490.97","   19189173","          9421280980.40","-","    7766090","         40.47"
"ICICIBANK","EQ","09-Jan-2009","        467.85","        458.70","        483.00","        441.00","        445.80","        456.60","        461.40","   12660721","          5841637163.00","-","    4159269","         32.85"
"ICICIBANK","EQ","12-Jan-2009","        456.60","        440.00","        463.30","        428.20","        442.00","        438.00","        444.05","    8168155","          3627032473.70","-","    2105949","         25.78"
"ICICIBANK","EQ","13-Jan-2009","        438.00","        435.00","        448.40","        418.05","        428.85","        425.45","        430.81","    9939485","          4282053194.20","-","    3199159","         32.19"
"ICICIBANK","EQ","14-Jan-2009","        425.45","        428.65","        451.00","        428.65","        443.35","        441.10","        441.77","    6292884","          2780013839.05","-","    1688516","         26.83"
"ICICIBANK","EQ","15-Jan-2009","        441.10","        429.00","        429.00","        398.30","        410.55","        408.65","        406.50","    9696693","          3941728331.50","-","    2714651","         28.00"
"ICICIBANK","EQ","16-Jan-2009","        408.65","        415.00","        427.70","        408.65","        420.40","        423.75","        419.35","    5004035","          2098438276.55","-","     868955","         17.37"
"ICICIBANK","EQ","19-Jan-2009","        423.75","        425.00","        444.40","        408.50","        412.35","        412.60","        414.21","    6020627","          2493781858.80","-","    1705981","         28.34"
"ICICIBANK","EQ","20-Jan-2009","        412.60","        403.00","        407.80","        390.25","        395.80","        396.30","        396.46","    6954114","          2756993727.30","-","    1979384","         28.46"
"ICICIBANK","EQ","21-Jan-2009","        396.30","        389.70","        389.70","        360.00","        366.60","        369.35","        376.23","   11918570","          4484131068.70","-","    4039438","         33.89"
"ICICIBANK","EQ","22-Jan-2009","        369.35","        381.95","        385.90","        358.75","        380.05","        378.05","        374.30","    9534927","          3568956480.35","-","    2092574","         21.95"
"ICICIBANK","EQ","23-Jan-2009","        378.05","        331.55","        391.00","        331.55","        365.90","        363.85","        373.25","   10743196","          4009852883.30","-","    1675860","         15.60"
"ICICIBANK","EQ","27-Jan-2009","        363.85","        372.95","        389.00","        359.10","        380.00","        381.10","        372.67","    9849131","          3670494849.30","-","    1930036","         19.60"
"ICICIBANK","EQ","28-Jan-2009","        381.10","        386.95","        412.50","        382.45","        410.90","        408.05","        395.99","   11795297","          4670812494.50","-","    4158174","         35.25"
"ICICIBANK","EQ","29-Jan-2009","        408.05","        430.00","        433.70","        402.60","        404.00","        410.10","        417.05","    9100850","          3795501155.40","-","    2655828","         29.18"
"ICICIBANK","EQ","30-Jan-2009","        410.10","        402.00","        418.90","        395.00","        415.25","        416.25","        406.88","    9010507","          3666179886.40","-","    2021049","         22.43"
"ICICIBANK","EQ","02-Feb-2009","        416.25","        402.55","        412.10","        383.00","        384.50","        385.10","        395.90","    6766101","          2678719306.35","-","    1669858","         24.68"
"ICICIBANK","EQ","03-Feb-2009","        385.10","        390.00","        404.70","        383.10","        391.00","        392.00","        392.83","    7152145","          2809554740.10","-","     992994","         13.88"
"ICICIBANK","EQ","04-Feb-2009","        392.00","        395.00","        405.25","        386.30","        388.00","        389.70","        395.64","    6257756","          2475839831.40","-","    1023641","         16.36"
"ICICIBANK","EQ","05-Feb-2009","        389.70","        390.10","        396.55","        385.05","        393.00","        390.55","        389.62","    5065666","          1973706998.50","-","    1084524","         21.41"
"ICICIBANK","EQ","06-Feb-2009","        390.55","        399.00","        408.85","        396.00","        406.35","        407.10","        403.82","    5741796","          2318666206.45","-","    1450989","         25.27"
"ICICIBANK","EQ","09-Feb-2009","        407.10","        406.35","        429.80","        406.35","        428.00","        428.35","        420.11","    6792015","          2853425864.95","-","    2024202","         29.80"
"ICICIBANK","EQ","10-Feb-2009","        428.35","        428.00","        442.00","        420.20","        429.50","        428.70","        432.37","    7735275","          3344504057.90","-","    1750261","         22.63"
"ICICIBANK","EQ","11-Feb-2009","        428.70","        420.10","        437.90","        400.60","        436.90","        435.20","        426.41","    7677090","          3273550193.95","-","    1419409","         18.49"
"ICICIBANK","EQ","12-Feb-2009","        435.20","        433.70","        434.40","        416.70","        420.50","        421.40","        425.84","    6836380","          2911193560.80","-","    1538282","         22.50"
"ICICIBANK","EQ","13-Feb-2009","        421.40","        423.05","        438.40","        423.05","        434.20","        434.40","        433.55","    6447178","          2795192049.35","-","    2578677","         40.00"
"ICICIBANK","EQ","16-Feb-2009","        434.40","        433.50","        439.90","        405.95","        411.90","        409.00","        416.89","    6908268","          2879977245.00","-","    1731262","         25.06"
