"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IOC","EQ","01-Jan-2016","        428.55","        428.10","        434.70","        428.00","        432.00","        433.25","        432.55","     625734","           270659216.15","       8591","     222457","         35.55"
"IOC","EQ","04-Jan-2016","        433.25","        433.00","        433.25","        422.00","        424.70","        426.45","        426.43","    1002958","           427693558.40","      16848","     479576","         47.82"
"IOC","EQ","05-Jan-2016","        426.45","        427.85","        446.00","        426.50","        444.90","        442.65","        437.51","    1321074","           577982534.65","      24111","     630907","         47.76"
"IOC","EQ","06-Jan-2016","        442.65","        444.90","        456.00","        441.00","        448.50","        450.85","        450.18","    2421177","          1089966833.60","      61066","    1423722","         58.80"
"IOC","EQ","07-Jan-2016","        450.85","        444.40","        452.35","        435.30","        440.50","        441.55","        443.73","    2252684","           999574705.00","      44198","    1437739","         63.82"
"IOC","EQ","08-Jan-2016","        441.55","        441.25","        451.00","        441.25","        446.55","        446.80","        446.79","    1441127","           643877157.05","      17058","     961273","         66.70"
"IOC","EQ","11-Jan-2016","        446.80","        445.00","        448.70","        438.45","        441.90","        442.90","        443.62","    1091832","           484354424.65","      17798","     670965","         61.45"
"IOC","EQ","12-Jan-2016","        442.90","        444.40","        449.00","        438.35","        441.00","        440.00","        444.12","    1320122","           586290549.85","      29183","     853069","         64.62"
"IOC","EQ","13-Jan-2016","        440.00","        444.80","        446.25","        429.55","        438.50","        439.20","        437.82","     951563","           416613877.65","      13935","     517086","         54.34"
"IOC","EQ","14-Jan-2016","        439.20","        435.15","        441.90","        432.50","        435.00","        435.40","        438.24","    1385054","           606989715.85","      18315","     893877","         64.54"
"IOC","EQ","15-Jan-2016","        435.40","        438.90","        441.70","        424.25","        426.80","        426.65","        434.39","    1134027","           492612615.30","      21492","     643378","         56.73"
"IOC","EQ","18-Jan-2016","        426.65","        426.50","        434.35","        415.05","        417.00","        416.90","        425.44","    1216661","           517611715.50","      18632","     635866","         52.26"
"IOC","EQ","19-Jan-2016","        416.90","        420.00","        420.00","        410.30","        414.60","        415.00","        415.43","     780098","           324075312.90","      11246","     444413","         56.97"
"IOC","EQ","20-Jan-2016","        415.00","        412.50","        414.70","        398.25","        407.30","        403.20","        406.65","    1328658","           540296726.75","      35927","     737638","         55.52"
"IOC","EQ","21-Jan-2016","        403.20","        406.15","        412.40","        393.25","        397.50","        396.15","        401.41","     926582","           371941450.20","      26441","     409907","         44.24"
