"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LT","EQ","01-Jan-2013","       1607.15","       1616.20","       1632.75","       1615.65","       1623.60","       1624.90","       1626.20","     765187","          1244347633.70","      20339","     459025","         59.99"
"LT","EQ","02-Jan-2013","       1624.90","       1639.40","       1655.00","       1631.55","       1650.00","       1649.55","       1647.15","    1169511","          1926359365.75","      64396","     615716","         52.65"
"LT","EQ","03-Jan-2013","       1649.55","       1655.00","       1661.30","       1630.00","       1633.00","       1636.85","       1643.04","    1261957","          2073449778.25","      50341","     746023","         59.12"
"LT","EQ","04-Jan-2013","       1636.85","       1631.00","       1635.90","       1618.90","       1624.50","       1628.00","       1627.40","     989950","          1611046031.20","      37766","     618200","         62.45"
"LT","EQ","07-Jan-2013","       1628.00","       1632.20","       1633.00","       1585.00","       1586.00","       1588.15","       1600.26","    1833606","          2934253614.70","      89387","    1183662","         64.55"
"LT","EQ","08-Jan-2013","       1588.15","       1587.00","       1587.75","       1558.70","       1564.95","       1566.90","       1566.10","    2653802","          4156106169.10","     104040","    1793550","         67.58"
"LT","EQ","09-Jan-2013","       1566.90","       1561.00","       1582.80","       1545.50","       1547.00","       1549.70","       1566.71","    2436193","          3816819997.55","     115229","    1286217","         52.80"
"LT","EQ","10-Jan-2013","       1549.70","       1558.00","       1561.40","       1530.25","       1541.00","       1546.60","       1544.57","    2127756","          3286470763.55","      82515","    1011086","         47.52"
"LT","EQ","11-Jan-2013","       1546.60","       1547.00","       1549.35","       1525.00","       1532.05","       1531.95","       1535.26","    1536216","          2358496068.20","      65858","     786985","         51.23"
"LT","EQ","14-Jan-2013","       1531.95","       1536.00","       1558.00","       1530.00","       1555.00","       1554.80","       1545.89","    1116099","          1725371253.30","      50151","     508476","         45.56"
"LT","EQ","15-Jan-2013","       1554.80","       1555.70","       1575.70","       1549.65","       1559.55","       1560.00","       1566.03","    1901916","          2978459820.10","      55158","    1268861","         66.71"
"LT","EQ","16-Jan-2013","       1560.00","       1550.20","       1569.00","       1537.00","       1540.05","       1544.20","       1553.86","     924607","          1436709505.20","      39647","     416590","         45.06"
"LT","EQ","17-Jan-2013","       1544.20","       1538.00","       1549.25","       1521.15","       1532.00","       1527.70","       1532.07","    1091843","          1672778403.05","      54039","     459566","         42.09"
"LT","EQ","18-Jan-2013","       1527.70","       1531.35","       1556.50","       1530.55","       1535.70","       1537.20","       1544.77","    1073167","          1657794629.80","      51961","     544809","         50.77"
"LT","EQ","21-Jan-2013","       1537.20","       1540.00","       1570.00","       1535.35","       1567.90","       1567.35","       1555.90","     890166","          1385008367.55","      43096","     385648","         43.32"
"LT","EQ","22-Jan-2013","       1567.35","       1567.10","       1575.65","       1548.20","       1552.00","       1553.40","       1563.32","    1214751","          1899040066.00","      48372","     607996","         50.05"
"LT","EQ","23-Jan-2013","       1553.40","       1556.50","       1569.85","       1545.40","       1562.60","       1561.10","       1560.14","     974207","          1519897163.00","      60164","     505080","         51.85"
"LT","EQ","24-Jan-2013","       1561.10","       1562.00","       1603.00","       1499.00","       1589.00","       1585.00","       1573.84","    6238654","          9818674126.05","     186314","    1985923","         31.83"
"LT","EQ","25-Jan-2013","       1585.00","       1589.95","       1616.60","       1577.60","       1607.00","       1611.30","       1599.81","    2335105","          3735719086.20","      77984","    1078823","         46.20"
"LT","EQ","28-Jan-2013","       1611.30","       1612.00","       1614.45","       1590.50","       1593.10","       1597.00","       1601.24","    1016169","          1627133651.90","      57110","     540277","         53.17"
"LT","EQ","29-Jan-2013","       1597.00","       1596.00","       1607.90","       1585.00","       1591.50","       1594.60","       1597.33","     989140","          1579980099.95","      41341","     466752","         47.19"
"LT","EQ","30-Jan-2013","       1594.60","       1595.00","       1606.00","       1559.10","       1560.00","       1563.75","       1579.34","    1014513","          1602264374.25","      47060","     512669","         50.53"
"LT","EQ","31-Jan-2013","       1563.75","       1556.35","       1561.80","       1538.70","       1543.90","       1541.85","       1547.58","    1083440","          1676709304.10","      57994","     629412","         58.09"
"LT","EQ","01-Feb-2013","       1541.85","       1547.90","       1555.45","       1528.05","       1533.45","       1533.35","       1538.72","     990384","          1523920218.55","      58917","     552565","         55.79"
"LT","EQ","04-Feb-2013","       1533.35","       1533.35","       1549.80","       1527.00","       1529.00","       1534.95","       1540.68","    1044775","          1609658902.40","      50834","     584098","         55.91"
"LT","EQ","05-Feb-2013","       1534.95","       1531.25","       1540.00","       1521.20","       1538.35","       1534.25","       1530.91","    1014045","          1552415895.30","      53590","     597102","         58.88"
"LT","EQ","06-Feb-2013","       1534.25","       1544.85","       1544.85","       1504.50","       1507.05","       1513.00","       1525.61","     933027","          1423430859.45","      42174","     512178","         54.89"
"LT","EQ","07-Feb-2013","       1513.00","       1501.00","       1510.95","       1486.05","       1500.10","       1496.40","       1498.19","    1057900","          1584939427.85","      59105","     402280","         38.03"
"LT","EQ","08-Feb-2013","       1496.40","       1490.00","       1526.90","       1490.00","       1505.00","       1511.10","       1514.41","     894209","          1354198499.90","      45160","     412025","         46.08"
"LT","EQ","11-Feb-2013","       1511.10","       1513.90","       1515.05","       1486.00","       1488.20","       1489.85","       1495.57","     693598","          1037322119.90","      33191","     262434","         37.84"
"LT","EQ","12-Feb-2013","       1489.85","       1486.00","       1503.00","       1477.55","       1497.00","       1495.00","       1493.77","     774209","          1156493456.65","      41438","     269686","         34.83"
"LT","EQ","13-Feb-2013","       1495.00","       1491.50","       1510.00","       1478.00","       1483.25","       1482.05","       1496.20","     613817","           918391670.50","      30575","     220097","         35.86"
"LT","EQ","14-Feb-2013","       1482.05","       1482.35","       1489.00","       1433.25","       1440.15","       1441.10","       1456.98","    1349103","          1965612699.35","      65487","     723321","         53.61"
"LT","EQ","15-Feb-2013","       1441.10","       1436.40","       1454.65","       1427.55","       1435.00","       1444.00","       1442.89","    1154828","          1666284271.90","      62987","     531633","         46.04"
"LT","EQ","18-Feb-2013","       1444.00","       1441.10","       1473.40","       1441.00","       1470.00","       1468.95","       1461.72","     899151","          1314303286.15","      34160","     447296","         49.75"
"LT","EQ","19-Feb-2013","       1468.95","       1469.00","       1476.75","       1448.15","       1465.90","       1462.90","       1460.22","     842090","          1229638837.10","      35335","     390997","         46.43"
"LT","EQ","20-Feb-2013","       1462.90","       1470.00","       1475.00","       1454.30","       1456.50","       1457.20","       1463.11","     787737","          1152546429.60","      31045","     437401","         55.53"
"LT","EQ","21-Feb-2013","       1457.20","       1446.00","       1449.00","       1421.15","       1422.20","       1425.85","       1429.51","    1456329","          2081843602.55","      75423","     907417","         62.31"
"LT","EQ","22-Feb-2013","       1425.85","       1426.30","       1442.00","       1416.00","       1435.45","       1435.30","       1432.50","     980810","          1405008957.25","      66448","     484977","         49.45"
"LT","EQ","25-Feb-2013","       1435.30","       1436.35","       1442.85","       1398.20","       1400.00","       1401.85","       1414.70","    1204181","          1703555077.35","      63104","     675556","         56.10"
"LT","EQ","26-Feb-2013","       1401.85","       1398.00","       1398.00","       1360.05","       1364.00","       1365.70","       1374.41","    1677668","          2305800286.80","      90171","     938658","         55.95"
"LT","EQ","27-Feb-2013","       1365.70","       1380.00","       1421.40","       1374.00","       1406.05","       1409.65","       1398.61","    1936884","          2708953171.05","      77324","    1062711","         54.87"
"LT","EQ","28-Feb-2013","       1409.65","       1431.00","       1447.25","       1351.25","       1370.00","       1367.80","       1396.35","    3809174","          5318930557.00","     131219","    1995390","         52.38"
"LT","EQ","01-Mar-2013","       1367.80","       1372.00","       1409.90","       1368.10","       1401.45","       1400.45","       1396.09","    1854319","          2588794667.35","      90601","     953892","         51.44"
"LT","EQ","04-Mar-2013","       1400.45","       1390.00","       1391.25","       1360.00","       1364.20","       1364.75","       1368.72","    1119940","          1532881035.50","      55537","     625911","         55.89"
"LT","EQ","05-Mar-2013","       1364.75","       1377.65","       1398.80","       1358.05","       1396.10","       1395.60","       1382.38","    1602826","          2215721647.70","      77950","     824824","         51.46"
"LT","EQ","06-Mar-2013","       1395.60","       1405.00","       1440.95","       1405.00","       1436.05","       1432.30","       1429.64","    1508184","          2156163626.90","      64762","     849118","         56.30"
"LT","EQ","07-Mar-2013","       1432.30","       1433.40","       1468.80","       1431.65","       1466.35","       1463.80","       1454.92","    1774421","          2581645265.25","     126493","     941656","         53.07"
"LT","EQ","08-Mar-2013","       1463.80","       1468.00","       1508.95","       1460.35","       1497.00","       1497.55","       1484.56","    2231165","          3312309236.90","     108676","    1139628","         51.08"
"LT","EQ","11-Mar-2013","       1497.55","       1460.00","       1518.25","       1456.25","       1514.00","       1510.20","       1498.26","    3859143","          5782013066.10","     150005","    2058346","         53.34"
"LT","EQ","12-Mar-2013","       1510.20","       1510.55","       1521.50","       1487.20","       1505.00","       1500.70","       1506.36","    2899610","          4367850457.70","     143321","    1686999","         58.18"
"LT","EQ","13-Mar-2013","       1500.70","       1490.00","       1512.00","       1483.90","       1492.00","       1495.45","       1497.95","    1641792","          2459326504.10","      63163","     793211","         48.31"
"LT","EQ","14-Mar-2013","       1495.45","       1489.25","       1531.80","       1478.20","       1524.50","       1522.05","       1504.90","    2348815","          3534726728.00","      90590","    1191847","         50.74"
"LT","EQ","15-Mar-2013","       1522.05","       1527.70","       1532.30","       1498.90","       1507.90","       1508.15","       1514.30","    1863442","          2821816689.60","      63848","     874777","         46.94"
"LT","EQ","18-Mar-2013","       1508.15","       1489.00","       1521.60","       1477.95","       1511.00","       1510.35","       1507.41","    1443680","          2176214920.15","      57384","     752297","         52.11"
"LT","EQ","19-Mar-2013","       1510.35","       1512.30","       1517.50","       1462.00","       1473.35","       1470.65","       1484.87","    2370597","          3520038950.70","      98773","    1259238","         53.12"
"LT","EQ","20-Mar-2013","       1470.65","       1468.00","       1479.30","       1411.00","       1445.05","       1436.10","       1443.31","    1878229","          2710873125.55","      78200","     749326","         39.90"
"LT","EQ","21-Mar-2013","       1436.10","       1442.30","       1455.00","       1387.00","       1393.00","       1394.40","       1425.31","    1468486","          2093046971.75","      70997","     442088","         30.11"
"LT","EQ","22-Mar-2013","       1394.40","       1395.00","       1413.50","       1385.10","       1396.25","       1399.15","       1400.53","    1275525","          1786417271.95","      62735","     446040","         34.97"
"LT","EQ","25-Mar-2013","       1399.15","       1419.95","       1420.85","       1361.20","       1363.15","       1366.45","       1392.23","    1268183","          1765601008.90","      54718","     598856","         47.22"
"LT","EQ","26-Mar-2013","       1366.45","       1359.80","       1373.90","       1333.50","       1338.80","       1337.45","       1345.58","    1246715","          1677554582.80","      80213","     553623","         44.41"
"LT","EQ","28-Mar-2013","       1337.45","       1339.35","       1371.20","       1339.35","       1368.00","       1366.20","       1350.62","    1737880","          2347209890.85","      94850","    1042989","         60.02"
"LT","EQ","01-Apr-2013","       1366.20","       1375.00","       1404.90","       1370.00","       1396.45","       1398.65","       1394.27","    1208454","          1684905727.10","      35019","     553974","         45.84"
"LT","EQ","02-Apr-2013","       1398.65","       1398.65","       1432.00","       1395.00","       1422.05","       1425.40","       1417.79","    1134712","          1608779455.75","      45655","     454084","         40.02"
"LT","EQ","03-Apr-2013","       1425.40","       1415.00","       1427.45","       1366.65","       1387.00","       1379.60","       1403.17","    2004398","          2812515099.10","      77845","    1102986","         55.03"
"LT","EQ","04-Apr-2013","       1379.60","       1377.50","       1386.10","       1353.15","       1358.00","       1361.85","       1366.78","    1587929","          2170354512.35","      60258","     729488","         45.94"
"LT","EQ","05-Apr-2013","       1361.85","       1361.00","       1371.95","       1341.50","       1352.50","       1349.80","       1354.85","    1454570","          1970728501.00","      56046","     579897","         39.87"
"LT","EQ","08-Apr-2013","       1349.80","       1348.00","       1348.00","       1320.00","       1326.00","       1325.65","       1334.13","    1211262","          1615985522.90","      56317","     529012","         43.67"
"LT","EQ","09-Apr-2013","       1325.65","       1335.00","       1364.45","       1313.00","       1320.20","       1320.30","       1338.80","    1658276","          2220099496.75","      79587","     731823","         44.13"
"LT","EQ","10-Apr-2013","       1320.30","       1330.30","       1360.00","       1321.00","       1345.00","       1353.90","       1337.67","    1817348","          2431008742.70","      71654","     825599","         45.43"
"LT","EQ","11-Apr-2013","       1353.90","       1370.00","       1387.00","       1352.85","       1378.00","       1379.60","       1368.64","    1631716","          2233224391.45","      85865","     822929","         50.43"
"LT","EQ","12-Apr-2013","       1379.60","       1366.00","       1382.00","       1353.20","       1362.00","       1359.75","       1366.17","     823634","          1125221921.50","      41564","     284558","         34.55"
"LT","EQ","15-Apr-2013","       1359.75","       1352.55","       1390.70","       1342.20","       1375.80","       1382.00","       1374.52","    1017924","          1399159160.65","      59196","     348824","         34.27"
"LT","EQ","16-Apr-2013","       1382.00","       1379.90","       1430.00","       1375.80","       1429.00","       1427.00","       1413.89","    1222189","          1728045790.05","      75401","     452262","         37.00"
"LT","EQ","17-Apr-2013","       1427.00","       1430.00","       1447.60","       1408.00","       1426.00","       1424.15","       1425.23","    1161619","          1655574169.55","      42302","     491859","         42.34"
"LT","EQ","18-Apr-2013","       1424.15","       1425.00","       1484.85","       1420.45","       1477.00","       1475.45","       1455.38","    1526346","          2221417417.85","      88851","     743062","         48.68"
"LT","EQ","22-Apr-2013","       1475.45","       1480.00","       1539.00","       1478.15","       1538.00","       1533.85","       1510.53","    1648919","          2490737046.80","     110792","     909735","         55.17"
"LT","EQ","23-Apr-2013","       1533.85","       1532.30","       1533.10","       1489.05","       1508.00","       1504.70","       1506.02","    1564431","          2356060499.10","     129694","     874697","         55.91"
"LT","EQ","25-Apr-2013","       1504.70","       1511.00","       1528.00","       1501.00","       1512.00","       1519.25","       1516.86","    1770553","          2685675278.70","      76070","    1139257","         64.34"
"LT","EQ","26-Apr-2013","       1519.25","       1516.00","       1545.75","       1505.20","       1537.05","       1540.85","       1532.18","    1247078","          1910746310.55","      51107","     652664","         52.34"
"LT","EQ","29-Apr-2013","       1540.85","       1538.20","       1547.00","       1521.10","       1529.00","       1529.80","       1531.44","     737109","          1128840776.10","      33830","     322421","         43.74"
"LT","EQ","30-Apr-2013","       1529.80","       1535.00","       1540.00","       1481.05","       1514.00","       1512.20","       1503.18","    1229960","          1848851332.90","      61406","     577071","         46.92"
"LT","EQ","02-May-2013","       1512.20","       1505.10","       1561.00","       1501.00","       1552.55","       1552.05","       1546.14","    1837368","          2840819595.70","      98385","    1098735","         59.80"
"LT","EQ","03-May-2013","       1552.05","       1547.45","       1584.00","       1531.70","       1569.00","       1570.40","       1563.43","    1462399","          2286361663.25","      60793","     586114","         40.08"
"LT","EQ","06-May-2013","       1570.40","       1563.00","       1574.75","       1548.10","       1559.25","       1559.55","       1559.29","     874922","          1364261408.30","      46902","     411089","         46.99"
"LT","EQ","07-May-2013","       1559.55","       1565.00","       1585.00","       1560.00","       1577.05","       1578.05","       1576.65","    1272810","          2006774055.80","      53107","     729701","         57.33"
"LT","EQ","08-May-2013","       1578.05","       1580.10","       1583.95","       1542.75","       1563.45","       1562.50","       1561.01","     918862","          1434354860.40","      58065","     432444","         47.06"
"LT","EQ","09-May-2013","       1562.50","       1558.00","       1575.00","       1540.00","       1563.00","       1562.65","       1558.00","     765105","          1192031704.45","      34542","     215716","         28.19"
"LT","EQ","10-May-2013","       1562.65","       1553.65","       1575.00","       1550.25","       1557.50","       1562.05","       1563.09","     979892","          1531657163.75","      46583","     429423","         43.82"
"LT","EQ","11-May-2013","       1562.05","       1554.60","       1570.00","       1554.60","       1562.00","       1563.55","       1563.57","      55697","            87085923.20","       2308","      14114","         25.34"
"LT","EQ","13-May-2013","       1563.55","       1555.25","       1563.00","       1512.15","       1517.40","       1517.40","       1535.11","    1115099","          1711800274.60","      52090","     503821","         45.18"
"LT","EQ","14-May-2013","       1517.40","       1520.00","       1529.35","       1501.85","       1521.35","       1521.35","       1517.93","     963395","          1462369182.20","      54089","     307980","         31.97"
"LT","EQ","15-May-2013","       1521.35","       1530.00","       1583.95","       1526.00","       1583.00","       1580.55","       1566.75","    1561533","          2446533448.85","      62243","     896781","         57.43"
"LT","EQ","16-May-2013","       1580.55","       1576.10","       1604.90","       1567.95","       1597.00","       1592.75","       1594.96","    2050595","          3270618988.30","     100841","    1203407","         58.69"
"LT","EQ","17-May-2013","       1592.75","       1599.00","       1630.75","       1580.65","       1629.10","       1623.40","       1604.84","    1528877","          2453602430.05","      55028","     744957","         48.73"
"LT","EQ","20-May-2013","       1623.40","       1623.40","       1642.60","       1612.50","       1622.00","       1622.45","       1629.43","    1379145","          2247214810.75","      70951","     819232","         59.40"
"LT","EQ","21-May-2013","       1622.45","       1613.35","       1626.00","       1590.80","       1608.00","       1605.55","       1607.02","    1074523","          1726774743.10","      45838","     323971","         30.15"
"LT","EQ","22-May-2013","       1605.55","       1613.75","       1652.00","       1500.10","       1508.40","       1513.90","       1564.76","    7058493","         11044853468.50","     249423","    1661843","         23.54"
"LT","EQ","23-May-2013","       1513.90","       1500.00","       1502.55","       1405.00","       1425.90","       1418.20","       1448.72","    4175838","          6049603082.55","     156059","    1910928","         45.76"
"LT","EQ","24-May-2013","       1418.20","       1443.85","       1467.85","       1421.00","       1459.30","       1456.80","       1450.98","    2901565","          4210115768.05","     101615","    1393914","         48.04"
"LT","EQ","27-May-2013","       1456.80","       1462.00","       1473.95","       1442.00","       1461.50","       1467.55","       1458.30","    1105751","          1612519585.60","      50253","     382079","         34.55"
"LT","EQ","28-May-2013","       1467.55","       1471.00","       1478.20","       1443.55","       1452.00","       1454.85","       1457.63","    1348553","          1965688195.35","      59209","     605937","         44.93"
"LT","EQ","29-May-2013","       1454.85","       1450.35","       1453.95","       1435.00","       1447.00","       1446.20","       1443.03","     995456","          1436471112.30","      67897","     434403","         43.64"
"LT","EQ","30-May-2013","       1446.20","       1442.20","       1453.70","       1418.00","       1422.10","       1427.45","       1433.08","    1552661","          2225087497.95","      64319","     897376","         57.80"
"LT","EQ","31-May-2013","       1427.45","       1417.00","       1422.85","       1398.00","       1405.00","       1400.75","       1405.18","    1596474","          2243335659.20","      89787","     921907","         57.75"
"LT","EQ","03-Jun-2013","       1400.75","       1393.00","       1403.35","       1375.25","       1390.00","       1387.30","       1387.14","    1153331","          1599828393.65","      54400","     488745","         42.38"
"LT","EQ","04-Jun-2013","       1387.30","       1388.45","       1432.00","       1388.45","       1412.05","       1409.50","       1415.75","    1937113","          2742462443.55","      87494","     965001","         49.82"
"LT","EQ","05-Jun-2013","       1409.50","       1405.00","       1425.80","       1396.00","       1420.00","       1419.75","       1414.43","    1442166","          2039838432.80","      65024","     627104","         43.48"
"LT","EQ","06-Jun-2013","       1419.75","       1412.00","       1444.95","       1407.60","       1426.70","       1431.55","       1433.93","    1473998","          2113611059.35","      64707","     606211","         41.13"
"LT","EQ","07-Jun-2013","       1431.55","       1423.50","       1439.80","       1407.10","       1411.00","       1412.30","       1424.82","    1475944","          2102958909.00","      61235","     542329","         36.74"
"LT","EQ","10-Jun-2013","       1412.30","       1420.00","       1431.50","       1400.00","       1408.20","       1404.45","       1416.31","    1177211","          1667297871.55","      48093","     551403","         46.84"
