"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","03-Jan-2005","        461.90","        465.00","        472.45","        463.10","        470.50","        470.35","        469.09","    1538102","           721505885.65","-","     249782","         16.24"
"MARUTI","EQ","04-Jan-2005","        470.35","        472.90","        474.00","        462.00","        462.55","        463.85","        467.16","    2312917","          1080504361.45","-","    1017902","         44.01"
"MARUTI","EQ","05-Jan-2005","        463.85","        465.00","        480.00","        430.00","        445.00","        446.65","        452.04","    2394444","          1082381893.60","-","     312262","         13.04"
"MARUTI","EQ","06-Jan-2005","        446.65","        451.00","        454.00","        432.00","        436.15","        436.55","        441.37","    2399370","          1059003843.80","-","     339076","         14.13"
"MARUTI","EQ","07-Jan-2005","        436.55","        440.00","        443.80","        436.00","        440.45","        440.65","        440.39","    1223939","           539014450.85","-","     165078","         13.49"
"MARUTI","EQ","10-Jan-2005","        440.65","        444.00","        444.00","        420.50","        421.60","        423.85","        431.36","    1549423","           668362017.25","-","     353650","         22.82"
"MARUTI","EQ","11-Jan-2005","        423.85","        424.00","        434.70","        422.05","        426.10","        427.35","        428.60","    2085983","           894052353.65","-","     242553","         11.63"
"MARUTI","EQ","12-Jan-2005","        427.35","        430.90","        435.50","        408.00","        417.00","        412.80","        423.17","    2284901","           966902907.80","-","     357704","         15.66"
"MARUTI","EQ","13-Jan-2005","        412.80","        417.50","        443.80","        417.50","        440.50","        437.30","        432.17","    3121027","          1348822146.30","-","     636134","         20.38"
"MARUTI","EQ","14-Jan-2005","        437.30","        439.90","        439.90","        417.00","        422.50","        419.75","        423.85","    2958265","          1253864336.85","-","     520627","         17.60"
"MARUTI","EQ","17-Jan-2005","        419.75","        428.00","        428.00","        414.70","        420.00","        420.65","        418.55","    1719245","           719588895.35","-","     313015","         18.21"
"MARUTI","EQ","18-Jan-2005","        420.65","        423.00","        427.70","        415.65","        418.00","        418.55","        420.30","    2553295","          1073148238.40","-","     751616","         29.44"
"MARUTI","EQ","19-Jan-2005","        418.55","        419.30","        422.10","        405.15","        409.00","        408.15","        414.79","    1721974","           714261508.50","-","     321656","         18.68"
"MARUTI","EQ","20-Jan-2005","        408.15","        406.00","        406.00","        389.15","        393.50","        394.75","        395.18","    3320697","          1312280254.75","-","    1111270","         33.46"
"MARUTI","EQ","24-Jan-2005","        394.75","        396.00","        412.00","        395.00","        410.00","        410.35","        405.59","    4570076","          1853592516.25","-","     606908","         13.28"
"MARUTI","EQ","25-Jan-2005","        410.35","        408.00","        423.00","        407.10","        423.00","        421.70","        415.41","    3039705","          1262735754.00","-","     462408","         15.21"
"MARUTI","EQ","27-Jan-2005","        421.70","        424.00","        439.90","        423.15","        438.10","        437.95","        432.15","    5011692","          2165785827.45","-","    1000588","         19.97"
"MARUTI","EQ","28-Jan-2005","        437.95","        438.60","        450.40","        430.00","        446.00","        448.70","        443.89","    3131902","          1390215308.50","-","     474154","         15.14"
"MARUTI","EQ","31-Jan-2005","        448.70","        452.00","        455.50","        448.55","        454.00","        453.75","        453.25","    1944413","           881309522.15","-","     517604","         26.62"
"MARUTI","EQ","01-Feb-2005","        453.75","        457.00","        457.00","        442.10","        453.00","        449.55","        448.96","    2634893","          1182973384.20","-","     279697","         10.62"
"MARUTI","EQ","02-Feb-2005","        449.55","        445.00","        454.50","        445.00","        454.00","        450.15","        449.25","    1877102","           843281365.25","-","     266094","         14.18"
"MARUTI","EQ","03-Feb-2005","        450.15","        450.10","        462.00","        450.10","        461.00","        460.25","        458.82","    1702495","           781133168.05","-","     200343","         11.77"
"MARUTI","EQ","04-Feb-2005","        460.25","        462.65","        465.70","        452.15","        462.00","        463.05","        460.10","    2084505","           959072758.60","-","     260931","         12.52"
"MARUTI","EQ","07-Feb-2005","        463.05","        464.00","        467.50","        455.00","        455.40","        459.15","        462.48","    1154572","           533963463.00","-","      99242","          8.60"
"MARUTI","EQ","08-Feb-2005","        459.15","        461.00","        470.30","        453.60","        462.00","        465.55","        464.19","    2738393","          1271135328.50","-","     683270","         24.95"
