"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","01-Jan-2019","        803.85","        805.00","        805.85","        771.30","        773.00","        773.35","        779.59","    3442903","          2684066367.55","      77276","    1174665","         34.12"
"M&amp;M","EQ","02-Jan-2019","        773.35","        772.80","        772.80","        735.10","        740.55","        741.70","        746.60","   10596260","          7911210686.50","     216753","    5107791","         48.20"
"M&amp;M","EQ","03-Jan-2019","        741.70","        743.40","        744.85","        716.20","        718.00","        718.30","        727.46","   11084172","          8063346041.50","     213800","    5426021","         48.95"
"M&amp;M","EQ","04-Jan-2019","        718.30","        720.00","        728.30","        712.50","        726.70","        725.60","        721.99","    5919404","          4273724187.25","     151647","    1964823","         33.19"
"M&amp;M","EQ","07-Jan-2019","        725.60","        734.55","        735.90","        723.55","        730.00","        729.55","        729.45","    2792255","          2036816712.50","      78129","    1223471","         43.82"
"M&amp;M","EQ","08-Jan-2019","        729.55","        720.00","        733.20","        717.50","        723.00","        723.40","        724.84","    4764487","          3453494869.75","     132319","    2446879","         51.36"
"M&amp;M","EQ","09-Jan-2019","        723.40","        729.00","        729.95","        720.15","        725.80","        726.30","        724.68","    2569424","          1862012367.35","      87297","    1467717","         57.12"
"M&amp;M","EQ","10-Jan-2019","        726.30","        728.00","        734.85","        722.80","        732.50","        733.20","        731.85","    2550750","          1866759028.50","      84683","    1236805","         48.49"
"M&amp;M","EQ","11-Jan-2019","        733.20","        735.00","        735.00","        721.25","        725.40","        727.90","        725.77","    2215240","          1607760996.45","      51923","     937456","         42.32"
"M&amp;M","EQ","14-Jan-2019","        727.90","        725.00","        726.40","        714.30","        726.00","        724.55","        721.22","    1713221","          1235609268.00","      54020","     659461","         38.49"
"M&amp;M","EQ","15-Jan-2019","        724.55","        727.50","        730.00","        723.35","        726.75","        726.90","        726.92","    2138402","          1554439626.20","      72011","    1287796","         60.22"
"M&amp;M","EQ","16-Jan-2019","        726.90","        727.30","        732.50","        724.55","        726.60","        726.25","        728.21","    1288969","           938635406.50","      37499","     605336","         46.96"
