"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NTPC","EQ","01-Jan-2014","        137.00","        137.50","        138.65","        136.60","        138.05","        138.20","        137.53","    1213227","           166858408.65","       7992","     625986","         51.60"
"NTPC","N4","01-Jan-2014","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","        100","              102500.00","          4","        100","        100.00"
"NTPC","N6","01-Jan-2014","       1010.61","       1011.00","       1012.50","       1009.31","       1009.31","       1009.78","       1011.23","       3903","             3946840.50","         34","       3803","         97.44"
"NTPC","EQ","02-Jan-2014","        138.20","        138.80","        138.80","        134.65","        134.80","        134.90","        136.49","    4764799","           650338884.75","      30661","    3528700","         74.06"
"NTPC","N6","02-Jan-2014","       1009.78","       1013.50","       1013.50","       1010.05","       1012.00","       1012.00","       1012.40","       4647","             4704618.62","         30","       4172","         89.78"
"NTPC","EQ","03-Jan-2014","        134.90","        135.00","        135.50","        131.50","        132.05","        131.75","        132.93","    7228862","           960902555.30","      51709","    5613128","         77.65"
"NTPC","N4","03-Jan-2014","       1025.00","       1025.00","       1025.00","       1024.00","       1024.00","       1024.00","       1024.91","        130","              133238.00","          4","        130","        100.00"
"NTPC","N6","03-Jan-2014","       1012.00","       1012.80","       1013.00","       1012.80","       1012.99","       1012.96","       1012.98","       1705","             1727128.50","         12","       1705","        100.00"
"NTPC","EQ","06-Jan-2014","        131.75","        132.80","        133.00","        130.35","        132.20","        132.15","        131.92","    3035769","           400477198.80","      20584","    1724998","         56.82"
"NTPC","N6","06-Jan-2014","       1012.96","       1013.00","       1016.50","       1013.00","       1015.50","       1015.96","       1015.78","       5628","             5716816.61","         71","       5148","         91.47"
"NTPC","EQ","07-Jan-2014","        132.15","        132.15","        132.80","        129.50","        130.00","        129.85","        130.43","    3445366","           449381369.40","      29290","    2459549","         71.39"
"NTPC","N4","07-Jan-2014","       1024.00","       1024.00","       1024.00","       1024.00","       1024.00","       1024.00","       1024.00","         10","               10240.00","          1","         10","        100.00"
"NTPC","N6","07-Jan-2014","       1015.96","       1014.00","       1016.77","       1014.00","       1015.00","       1015.00","       1016.02","       2522","             2562414.48","         28","       2512","         99.60"
"NTPC","EQ","08-Jan-2014","        129.85","        130.65","        132.90","        129.10","        129.30","        129.55","        130.61","    5938919","           775705229.10","      64402","    3625301","         61.04"
"NTPC","N4","08-Jan-2014","       1024.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","         12","               12300.00","          1","         12","        100.00"
"NTPC","N6","08-Jan-2014","       1015.00","       1016.00","       1016.99","       1015.50","       1016.95","       1016.95","       1016.50","       1117","             1135429.00","         10","       1117","        100.00"
"NTPC","EQ","09-Jan-2014","        129.55","        129.80","        134.00","        129.50","        133.50","        133.65","        133.18","    7315773","           974312053.70","      43439","    5022328","         68.65"
"NTPC","N4","09-Jan-2014","       1025.00","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","         20","               20700.00","          3","         20","        100.00"
"NTPC","N5","09-Jan-2014","       1000.00","       1011.00","       1017.00","       1011.00","       1017.00","       1017.00","       1015.00","         13","               13195.00","          6","         12","         92.31"
"NTPC","N6","09-Jan-2014","       1016.95","       1017.21","       1021.75","       1016.95","       1021.75","       1018.10","       1017.98","       1625","             1654222.07","         26","       1525","         93.85"
"NTPC","EQ","10-Jan-2014","        133.65","        133.75","        133.90","        131.00","        131.10","        131.40","        132.58","    2480925","           328929292.20","      18407","    1370782","         55.25"
"NTPC","N4","10-Jan-2014","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","       1035.00","          8","                8280.00","          2","          8","        100.00"
"NTPC","N6","10-Jan-2014","       1018.10","       1025.00","       1025.00","       1023.00","       1023.99","       1023.98","       1024.69","       1145","             1173272.75","          8","       1145","        100.00"
"NTPC","EQ","13-Jan-2014","        131.40","        130.50","        133.40","        130.40","        132.50","        132.75","        132.27","    2283443","           302040321.85","      11981","    1591846","         69.71"
"NTPC","N6","13-Jan-2014","       1023.98","       1023.99","       1032.75","       1023.99","       1028.10","       1028.56","       1028.01","       3658","             3760454.53","         18","       3658","        100.00"
"NTPC","EQ","14-Jan-2014","        132.75","        131.70","        132.50","        130.80","        131.30","        131.25","        131.37","    2715535","           356752102.50","      27700","    2066626","         76.10"
"NTPC","N4","14-Jan-2014","       1035.00","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","         20","               20400.00","          5","         20","        100.00"
"NTPC","N6","14-Jan-2014","       1028.56","       1030.00","       1034.00","       1030.00","       1034.00","       1032.63","       1032.64","        950","              981005.00","          8","        950","        100.00"
"NTPC","EQ","15-Jan-2014","        131.25","        132.25","        132.85","        131.45","        132.10","        132.25","        132.17","    5583147","           737899278.00","      51008","    4604947","         82.48"
"NTPC","EQ","16-Jan-2014","        132.25","        132.55","        134.20","        132.55","        133.05","        133.15","        133.79","    5238158","           700806217.75","      24330","    4341721","         82.89"
"NTPC","N4","16-Jan-2014","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","       1020.00","         42","               42840.00","          4","         42","        100.00"
"NTPC","N5","16-Jan-2014","       1017.00","       1023.00","       1111.00","       1023.00","       1111.00","       1111.00","       1059.40","          5","                5297.00","          3","          5","        100.00"
"NTPC","N6","16-Jan-2014","       1032.63","       1035.99","       1036.00","       1034.99","       1035.99","       1035.99","       1035.98","       2125","             2201459.75","          6","       2125","        100.00"
"NTPC","EQ","17-Jan-2014","        133.15","        133.20","        133.75","        131.15","        132.00","        131.60","        132.99","    9686445","          1288199153.70","      41462","    8321097","         85.90"
"NTPC","N6","17-Jan-2014","       1035.99","       1036.95","       1037.90","       1027.00","       1037.90","       1037.90","       1037.36","       2231","             2314343.20","          6","       2231","        100.00"
"NTPC","EQ","20-Jan-2014","        131.60","        132.00","        133.50","        131.50","        131.55","        131.85","        132.33","    2288260","           302798798.45","      10282","    1576076","         68.88"
"NTPC","N6","20-Jan-2014","       1037.90","       1037.00","       1038.90","       1037.00","       1038.90","       1038.89","       1038.70","        963","             1000270.45","          3","        963","        100.00"
"NTPC","EQ","21-Jan-2014","        131.85","        131.60","        133.00","        129.75","        130.70","        130.75","        130.68","    9067857","          1184945918.00","      19701","    7949817","         87.67"
"NTPC","N6","21-Jan-2014","       1038.89","       1038.85","       1040.00","       1038.85","       1040.00","       1040.00","       1038.99","        225","              233772.32","          3","        200","         88.89"
"NTPC","EQ","22-Jan-2014","        130.75","        130.50","        133.20","        130.50","        132.40","        132.65","        132.61","    4438582","           588611492.00","      22067","    3588703","         80.85"
"NTPC","N6","22-Jan-2014","       1040.00","       1044.10","       1050.00","       1044.10","       1049.90","       1049.90","       1049.02","        200","              209804.75","         12","        200","        100.00"
"NTPC","EQ","23-Jan-2014","        132.65","        131.75","        132.40","        130.75","        131.30","        131.10","        131.62","    3964418","           521805665.20","      14937","    2918028","         73.61"
"NTPC","N6","23-Jan-2014","       1049.90","       1044.99","       1049.00","       1040.11","       1049.00","       1042.76","       1043.02","        745","              777052.65","         15","        745","        100.00"
"NTPC","EQ","24-Jan-2014","        131.10","        130.80","        131.90","        130.65","        131.65","        131.50","        131.16","    3080062","           403977460.25","      19052","    2518696","         81.77"
"NTPC","N4","24-Jan-2014","       1020.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","       1025.00","         91","               93275.00","          3","         91","        100.00"
