"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","02-Jan-2006","       1174.25","       1183.00","       1197.50","       1166.00","       1193.00","       1191.65","       1182.65","     831613","           983510348.05","-","     428227","         51.49"
"ONGC","EQ","03-Jan-2006","       1191.65","       1191.00","       1215.00","       1172.20","       1201.50","       1210.80","       1194.92","     829943","           991711848.90","-","     351311","         42.33"
"ONGC","EQ","04-Jan-2006","       1210.80","       1209.00","       1215.75","       1175.35","       1186.10","       1185.85","       1190.13","     825936","           982969776.85","-","     357798","         43.32"
"ONGC","EQ","05-Jan-2006","       1185.85","       1198.75","       1198.75","       1175.00","       1182.75","       1180.05","       1184.09","    1095861","          1297596318.85","-","     554502","         50.60"
"ONGC","EQ","06-Jan-2006","       1180.05","       1187.00","       1208.00","       1177.00","       1205.00","       1203.10","       1195.31","    1402052","          1675890545.85","-","     828792","         59.11"
"ONGC","EQ","09-Jan-2006","       1203.10","       1200.00","       1230.00","       1191.00","       1230.00","       1219.95","       1206.71","    1511092","          1823443853.00","-","     975672","         64.57"
"ONGC","EQ","10-Jan-2006","       1219.95","       1224.00","       1224.00","       1200.00","       1210.00","       1208.40","       1210.30","    1056073","          1278161954.40","-","     676897","         64.10"
"ONGC","EQ","12-Jan-2006","       1208.40","       1200.00","       1203.90","       1180.00","       1199.00","       1187.80","       1189.19","     747966","           889473143.15","-","     420869","         56.27"
"ONGC","EQ","13-Jan-2006","       1187.80","       1188.50","       1229.00","       1181.00","       1218.10","       1216.95","       1211.72","    1319024","          1598282257.40","-","     713887","         54.12"
"ONGC","EQ","16-Jan-2006","       1216.95","       1205.55","       1230.00","       1200.00","       1230.00","       1223.85","       1215.91","     708807","           861846061.90","-","     322397","         45.48"
"ONGC","EQ","17-Jan-2006","       1223.85","       1223.85","       1236.00","       1208.00","       1217.00","       1223.70","       1222.12","     915954","          1119403836.15","-","     515796","         56.31"
"ONGC","EQ","18-Jan-2006","       1223.70","       1219.00","       1224.70","       1180.00","       1182.75","       1194.75","       1197.40","     874855","          1047548102.65","-","     336732","         38.49"
"ONGC","EQ","19-Jan-2006","       1194.75","       1198.00","       1212.70","       1191.10","       1202.00","       1201.75","       1203.49","     654891","           788157314.15","-","     328938","         50.23"
"ONGC","EQ","20-Jan-2006","       1201.75","       1212.70","       1276.00","       1207.00","       1241.95","       1245.75","       1247.03","    1565357","          1952039488.70","-","     698586","         44.63"
"ONGC","EQ","23-Jan-2006","       1245.75","       1250.00","       1270.00","       1235.00","       1254.00","       1253.50","       1255.64","    1425957","          1790485451.30","-","     732981","         51.40"
"ONGC","EQ","24-Jan-2006","       1253.50","       1260.00","       1264.70","       1240.00","       1244.00","       1248.25","       1250.11","     753915","           942475020.15","-","     449925","         59.68"
"ONGC","EQ","25-Jan-2006","       1248.25","       1250.20","       1298.00","       1050.00","       1255.00","       1277.50","       1269.94","    1737444","          2206457072.95","-","     799699","         46.03"
"ONGC","EQ","27-Jan-2006","       1277.50","       1275.00","       1285.50","       1237.00","       1261.95","       1265.60","       1265.22","    1296241","          1640027666.20","-","     686211","         52.94"
"ONGC","EQ","30-Jan-2006","       1265.60","       1285.00","       1285.00","       1232.00","       1232.00","       1236.65","       1256.66","    1344718","          1689852011.75","-","     864108","         64.26"
"ONGC","EQ","31-Jan-2006","       1236.65","       1241.00","       1256.00","       1233.25","       1238.00","       1237.30","       1244.22","     695629","           865513784.00","-","     313296","         45.04"
"ONGC","EQ","01-Feb-2006","       1237.30","       1249.70","       1249.70","       1218.10","       1223.00","       1224.05","       1229.03","     652441","           801870986.10","-","     326796","         50.09"
"ONGC","EQ","02-Feb-2006","       1224.05","       1240.00","       1240.00","       1180.00","       1186.20","       1184.45","       1201.74","    1598989","          1921568561.70","-","     799638","         50.01"
"ONGC","EQ","03-Feb-2006","       1184.45","       1188.00","       1188.00","       1149.00","       1162.05","       1162.00","       1160.80","    1774191","          2059479259.05","-","    1100881","         62.05"
"ONGC","EQ","06-Feb-2006","       1162.00","       1164.80","       1205.50","       1148.00","       1191.10","       1195.15","       1185.19","    1271367","          1506815657.00","-","     801067","         63.01"
"ONGC","EQ","07-Feb-2006","       1195.15","       1190.00","       1195.00","       1160.00","       1171.05","       1170.60","       1172.99","    1681065","          1971865002.30","-","    1083075","         64.43"
"ONGC","EQ","08-Feb-2006","       1170.60","       1175.00","       1190.00","       1161.00","       1172.00","       1179.10","       1176.69","    1273905","          1498989765.60","-","     649838","         51.01"
"ONGC","EQ","10-Feb-2006","       1179.10","       1178.70","       1183.00","       1171.05","       1171.10","       1176.10","       1175.64","     899938","          1058005274.60","-","     578560","         64.29"
"ONGC","EQ","13-Feb-2006","       1176.10","       1177.00","       1180.00","       1154.50","       1180.00","       1173.55","       1170.37","     943089","          1103760048.50","-","     613008","         65.00"
"ONGC","EQ","14-Feb-2006","       1173.55","       1154.70","       1197.00","       1154.70","       1175.00","       1172.25","       1180.32","    2070541","          2443897928.85","-","    1532301","         74.00"
"ONGC","EQ","15-Feb-2006","       1172.25","       1178.00","       1178.00","       1128.05","       1152.00","       1158.75","       1154.90","    1423716","          1644243617.40","-","     664972","         46.71"
"ONGC","EQ","16-Feb-2006","       1158.75","       1160.00","       1165.00","       1138.25","       1159.90","       1152.65","       1146.62","     983917","          1128176570.70","-","     504209","         51.25"
"ONGC","EQ","17-Feb-2006","       1152.65","       1154.20","       1162.90","       1113.10","       1120.90","       1121.95","       1141.31","     967831","          1104598201.65","-","     536330","         55.42"
"ONGC","EQ","20-Feb-2006","       1121.95","       1122.40","       1150.00","       1110.35","       1150.00","       1145.30","       1132.79","     804992","           911888330.60","-","     377483","         46.89"
"ONGC","EQ","21-Feb-2006","       1145.30","       1150.00","       1170.00","       1140.00","       1161.00","       1161.45","       1158.30","    1193866","          1382858055.35","-","     593413","         49.71"
"ONGC","EQ","22-Feb-2006","       1161.45","       1165.00","       1180.75","       1160.25","       1174.00","       1174.70","       1171.98","    1100269","          1289496465.70","-","     622563","         56.58"
"ONGC","EQ","23-Feb-2006","       1174.70","       1175.00","       1205.00","       1173.35","       1182.05","       1195.75","       1192.89","    2076621","          2477179445.30","-","    1240782","         59.75"
"ONGC","EQ","24-Feb-2006","       1195.75","       1181.10","       1185.00","       1163.25","       1175.00","       1179.75","       1178.59","     389366","           458902716.95","-","     147314","         37.83"
"ONGC","EQ","27-Feb-2006","       1179.75","       1179.00","       1183.00","       1170.00","       1175.15","       1178.35","       1176.27","     534188","           628351296.65","-","     340626","         63.77"
"ONGC","EQ","28-Feb-2006","       1178.35","       1180.00","       1186.00","       1130.20","       1132.80","       1136.40","       1154.50","    1893521","          2186075700.35","-","    1200787","         63.42"
"ONGC","EQ","01-Mar-2006","       1136.40","       1138.00","       1143.00","       1112.00","       1123.05","       1122.10","       1121.92","    1451105","          1628029711.00","-","     915784","         63.11"
"ONGC","EQ","02-Mar-2006","       1122.10","       1112.00","       1154.80","       1111.15","       1149.95","       1149.00","       1144.81","    1084596","          1241661671.45","-","     464880","         42.86"
"ONGC","EQ","03-Mar-2006","       1149.00","       1136.00","       1162.00","       1136.00","       1141.00","       1145.35","       1150.47","     811536","           933644697.95","-","     386826","         47.67"
