"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SHREECEM","EQ","01-Jan-2019","      17236.10","      17260.00","      17356.25","      16656.70","      16997.25","      16973.25","      16971.25","      12171","           206557040.95","       3685","       2709","         22.26"
"SHREECEM","EQ","02-Jan-2019","      16973.25","      16969.75","      17198.00","      16772.00","      16891.30","      16939.95","      16923.11","      13931","           235755808.85","       4433","       7659","         54.98"
"SHREECEM","EQ","03-Jan-2019","      16939.95","      16870.00","      17331.40","      16800.00","      16850.00","      16948.40","      16981.36","      24843","           421867972.05","       4272","      17266","         69.50"
"SHREECEM","EQ","04-Jan-2019","      16948.40","      16850.10","      17020.00","      16609.40","      16730.40","      16737.10","      16752.55","      30506","           511053155.85","       5936","      19293","         63.24"
"SHREECEM","EQ","07-Jan-2019","      16737.10","      16950.00","      16984.90","      16800.10","      16900.00","      16921.70","      16914.17","      11758","           198876842.50","       3566","       8415","         71.57"
"SHREECEM","EQ","08-Jan-2019","      16921.70","      16851.20","      16898.80","      16613.00","      16720.00","      16753.85","      16718.31","      10883","           181945404.55","       3083","       5333","         49.00"
"SHREECEM","EQ","09-Jan-2019","      16753.85","      16875.00","      16940.50","      16220.30","      16350.00","      16345.40","      16461.45","      23593","           388375096.40","       6575","      13559","         57.47"
"SHREECEM","EQ","10-Jan-2019","      16345.40","      16470.00","      16600.00","      16299.80","      16413.15","      16496.15","      16484.29","       9641","           158925038.35","       5040","       5258","         54.54"
"SHREECEM","EQ","11-Jan-2019","      16496.15","      16331.20","      16359.50","      15820.00","      15999.90","      15913.20","      16012.80","      47981","           768310139.60","      15222","      29441","         61.36"
"SHREECEM","EQ","14-Jan-2019","      15913.20","      16080.00","      16080.00","      15401.35","      15499.00","      15496.55","      15502.94","      43144","           668858678.75","      12545","      30324","         70.29"
"SHREECEM","EQ","15-Jan-2019","      15496.55","      15500.00","      15878.00","      15460.15","      15725.05","      15618.70","      15656.16","      23989","           375575563.70","       7892","       8965","         37.37"
"SHREECEM","EQ","16-Jan-2019","      15618.70","      15760.00","      15900.00","      15651.60","      15879.95","      15822.95","      15756.61","      16308","           256958762.05","       5830","      10132","         62.13"
"SHREECEM","EQ","17-Jan-2019","      15822.95","      15900.00","      16240.00","      15726.20","      15979.00","      15914.70","      16022.49","      16720","           267895950.40","       6881","       5822","         34.82"
"SHREECEM","EQ","18-Jan-2019","      15914.70","      15900.00","      15979.00","      15475.00","      15540.00","      15590.25","      15680.71","      16832","           263937733.35","       6165","       3431","         20.38"
"SHREECEM","EQ","21-Jan-2019","      15590.25","      15560.00","      15749.00","      15410.00","      15620.15","      15678.70","      15638.22","       6880","           107590983.90","       3153","       2333","         33.91"
"SHREECEM","EQ","22-Jan-2019","      15678.70","      15620.00","      16199.00","      15225.00","      15889.95","      15917.55","      15733.53","      97794","          1538644402.95","      21468","      39287","         40.17"
"SHREECEM","EQ","23-Jan-2019","      15917.55","      15860.00","      16638.50","      15820.05","      16070.00","      16103.35","      16290.80","      50789","           827393303.70","      15928","      12331","         24.28"
"SHREECEM","EQ","24-Jan-2019","      16103.35","      16005.45","      16250.00","      15611.40","      16235.00","      16170.55","      16012.43","      27535","           440902270.35","       9600","       5944","         21.59"
"SHREECEM","EQ","25-Jan-2019","      16170.55","      16225.00","      16318.30","      15512.05","      15713.45","      15723.20","      15820.48","      34071","           539019670.55","      11419","      14826","         43.52"
"SHREECEM","EQ","28-Jan-2019","      15723.20","      15710.05","      15800.00","      14951.10","      15049.35","      15052.40","      15195.43","      29244","           444375245.00","      10487","      11016","         37.67"
"SHREECEM","EQ","29-Jan-2019","      15052.40","      15030.00","      15525.00","      14855.00","      15487.85","      15456.35","      15279.32","      29614","           452481830.50","       7836","      12206","         41.22"
"SHREECEM","EQ","30-Jan-2019","      15456.35","      15460.00","      15590.25","      15175.30","      15448.00","      15450.35","      15383.64","      16654","           256199067.70","       7240","       5693","         34.18"
"SHREECEM","EQ","31-Jan-2019","      15450.35","      15499.85","      15912.25","      15450.00","      15782.95","      15714.70","      15668.40","      36653","           574293820.50","      12620","      20586","         56.16"
"SHREECEM","EQ","01-Feb-2019","      15714.70","      15802.00","      16140.00","      15600.00","      15800.00","      15782.00","      15921.84","      39190","           623976841.20","      16165","      17531","         44.73"
"SHREECEM","EQ","04-Feb-2019","      15782.00","      15610.00","      15988.90","      15527.65","      15870.00","      15906.90","      15802.83","      13365","           211204834.65","       5607","       3876","         29.00"
"SHREECEM","EQ","05-Feb-2019","      15906.90","      15860.00","      15944.00","      15600.50","      15610.15","      15675.65","      15758.42","      11291","           177928282.40","       4421","       3632","         32.17"
"SHREECEM","EQ","06-Feb-2019","      15675.65","      15800.00","      16150.00","      15614.05","      16150.00","      16031.15","      15877.63","      13200","           209584713.45","       6183","       6491","         49.17"
"SHREECEM","EQ","07-Feb-2019","      16031.15","      16136.50","      16388.85","      15999.90","      16260.00","      16245.70","      16218.25","      15911","           258048640.30","       7511","       6522","         40.99"
"SHREECEM","EQ","08-Feb-2019","      16245.70","      16193.50","      16493.20","      15850.00","      16255.00","      16192.80","      16115.39","      19404","           312702934.45","       5377","      10198","         52.56"
"SHREECEM","EQ","11-Feb-2019","      16192.80","      16100.00","      16190.00","      15825.10","      15920.05","      15963.35","      15953.54","      11517","           183736867.55","       4743","       3729","         32.38"
"SHREECEM","EQ","12-Feb-2019","      15963.35","      15950.00","      16217.95","      15731.00","      15815.05","      15821.35","      15932.71","      14344","           228538722.05","       6143","       5557","         38.74"
"SHREECEM","EQ","13-Feb-2019","      15821.35","      15969.00","      15969.00","      15531.60","      15575.00","      15605.35","      15662.53","      17175","           269003985.90","       6625","       8606","         50.11"
"SHREECEM","EQ","14-Feb-2019","      15605.35","      15556.00","      15650.00","      15250.00","      15565.00","      15607.65","      15437.46","      13582","           209671599.35","       5453","       6279","         46.23"
"SHREECEM","EQ","15-Feb-2019","      15607.65","      15467.05","      15660.00","      15077.65","      15588.00","      15614.65","      15436.70","      17211","           265681100.95","       7648","       6979","         40.55"
