"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNPHARMA","EQ","01-Jan-1998","        223.85","        224.00","        236.20","        224.00","-","        234.65","        232.30","       2700","              627205.00","-","-","-"
"SUNPHARMA","EQ","02-Jan-1998","        234.65","        241.00","        245.00","        236.15","-","        244.85","        241.73","       2300","              555980.00","-","-","-"
"SUNPHARMA","EQ","05-Jan-1998","        244.85","        249.85","        260.00","        249.85","-","        254.50","        255.40","       3500","              893895.00","-","-","-"
"SUNPHARMA","EQ","06-Jan-1998","        254.50","        248.50","        250.60","        241.20","-","        243.50","        247.27","       2200","              543990.00","-","-","-"
"SUNPHARMA","EQ","07-Jan-1998","        243.50","        251.45","        251.50","        249.95","-","        250.00","        250.40","       1100","              275445.00","-","-","-"
"SUNPHARMA","EQ","08-Jan-1998","        250.00","        246.05","        246.85","        242.30","-","        242.30","        245.14","       1700","              416745.00","-","-","-"
"SUNPHARMA","EQ","09-Jan-1998","        242.30","        237.00","        237.00","        227.50","-","        229.90","        231.53","       3000","              694600.00","-","-","-"
"SUNPHARMA","EQ","12-Jan-1998","        229.90","        226.00","        226.00","        220.00","-","        220.00","        222.09","       2000","              444170.00","-","-","-"
"SUNPHARMA","EQ","13-Jan-1998","        220.00","        223.90","        223.90","        217.00","-","        220.05","        219.89","       7600","             1671180.00","-","-","-"
"SUNPHARMA","EQ","14-Jan-1998","        220.05","        225.00","        227.00","        223.90","-","        226.00","        224.83","       2200","              494635.00","-","-","-"
"SUNPHARMA","EQ","15-Jan-1998","        226.00","        222.35","        235.00","        222.35","-","        232.70","        227.18","       3400","              772420.00","-","-","-"
"SUNPHARMA","EQ","16-Jan-1998","        232.70","        231.50","        235.00","        230.80","-","        234.05","        233.11","       1900","              442915.00","-","-","-"
"SUNPHARMA","EQ","19-Jan-1998","        234.05","        232.50","        233.70","        230.00","-","        232.65","        231.97","       1300","              301565.00","-","-","-"
"SUNPHARMA","EQ","20-Jan-1998","        232.65","        228.00","        230.00","        227.00","-","        227.50","        228.21","        900","              205390.00","-","-","-"
"SUNPHARMA","EQ","21-Jan-1998","        227.50","        229.00","        232.95","        229.00","-","        231.10","        230.77","        600","              138460.00","-","-","-"
"SUNPHARMA","EQ","22-Jan-1998","        231.10","        233.00","        233.00","        228.05","-","        228.05","        230.35","        300","               69105.00","-","-","-"
"SUNPHARMA","EQ","23-Jan-1998","        228.05","        223.00","        224.90","        223.00","-","        224.85","        224.05","        500","              112025.00","-","-","-"
"SUNPHARMA","EQ","27-Jan-1998","        224.85","        221.05","        221.70","        220.00","-","        220.00","        220.68","        700","              154475.00","-","-","-"
"SUNPHARMA","EQ","28-Jan-1998","        220.00","        225.00","        225.00","        222.00","-","        222.00","        222.83","        400","               89130.00","-","-","-"
"SUNPHARMA","EQ","29-Jan-1998","        222.00","        222.00","        222.00","        222.00","-","        222.00","        222.00","        300","               66600.00","-","-","-"
"SUNPHARMA","EQ","30-Jan-1998","        222.00","        221.35","        223.90","        221.30","-","        223.00","        222.38","       1300","              289090.00","-","-","-"
"SUNPHARMA","EQ","02-Feb-1998","        223.00","        219.00","        232.00","        219.00","-","        232.00","        225.85","       1300","              293605.00","-","-","-"
"SUNPHARMA","EQ","03-Feb-1998","        232.00","        226.10","        236.50","        226.10","-","        230.50","        233.45","       4600","             1073890.00","-","-","-"
"SUNPHARMA","EQ","04-Feb-1998","        230.50","        237.00","        237.00","        234.10","-","        234.10","        234.40","       2100","              492250.00","-","-","-"
"SUNPHARMA","EQ","05-Feb-1998","        234.10","        228.00","        230.00","        227.00","-","        230.00","        227.80","        500","              113900.00","-","-","-"
"SUNPHARMA","EQ","06-Feb-1998","        230.00","        223.75","        226.00","        223.75","-","        226.00","        224.88","        200","               44975.00","-","-","-"
"SUNPHARMA","EQ","09-Feb-1998","        226.00","        222.75","        226.00","        222.75","-","        225.35","        223.82","        500","              111910.00","-","-","-"
"SUNPHARMA","EQ","10-Feb-1998","        225.35","        220.80","        221.05","        220.50","-","        220.55","        220.74","        700","              154515.00","-","-","-"
"SUNPHARMA","EQ","11-Feb-1998","        220.55","        220.75","        223.00","        220.75","-","        223.00","        222.25","        300","               66675.00","-","-","-"
"SUNPHARMA","EQ","12-Feb-1998","        223.00","        220.00","        220.00","        220.00","-","        220.00","        220.00","        100","               22000.00","-","-","-"
"SUNPHARMA","EQ","13-Feb-1998","        220.00","        223.00","        223.00","        222.00","-","        222.00","        222.80","        500","              111400.00","-","-","-"
"SUNPHARMA","EQ","17-Feb-1998","        222.00","        229.00","        229.00","        223.80","-","        223.80","        225.15","        700","              157605.00","-","-","-"
"SUNPHARMA","EQ","18-Feb-1998","        223.80","        228.00","        229.00","        227.50","-","        227.50","        228.25","        700","              159775.00","-","-","-"
"SUNPHARMA","EQ","19-Feb-1998","        227.50","        227.00","        233.00","        227.00","-","        233.00","        230.82","       1000","              230820.00","-","-","-"
"SUNPHARMA","EQ","20-Feb-1998","        233.00","        234.00","        234.00","        229.25","-","        229.70","        230.49","        900","              207445.00","-","-","-"
"SUNPHARMA","EQ","23-Feb-1998","        229.70","        230.00","        235.40","        230.00","-","        235.40","        233.02","       1300","              302925.00","-","-","-"
"SUNPHARMA","EQ","24-Feb-1998","        235.40","        229.00","        238.70","        228.00","-","        236.00","        234.66","       1800","              422385.00","-","-","-"
