"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TELCO","EQ","01-Jan-1997","        337.35","        343.00","        361.00","        342.00","-","        360.40","        353.00","    2238300","           790115690.00","-","-","-"
"TELCO","EQ","02-Jan-1997","        360.40","        363.00","        363.00","        353.00","-","        356.75","        357.55","    2462600","           880505672.50","-","-","-"
"TELCO","EQ","03-Jan-1997","        356.75","        353.00","        359.95","        352.15","-","        358.55","        356.47","    1532850","           546417067.50","-","-","-"
"TELCO","N1","03-Jan-1997","         93.00","         93.00","         93.00","         93.00","-","         93.00","         93.00","         20","                1860.00","-","-","-"
"TELCO","EQ","06-Jan-1997","        358.55","        355.00","        360.25","        351.10","-","        353.50","        354.70","    1075650","           381529752.50","-","-","-"
"TELCO","EQ","07-Jan-1997","        353.50","        352.75","        352.75","        341.25","-","        343.95","        347.26","    2197250","           763013342.50","-","-","-"
"TELCO","N1","07-Jan-1997","         93.00","         90.00","         90.00","         90.00","-","         90.00","         90.00","         50","                4500.00","-","-","-"
"TELCO","EQ","08-Jan-1997","        343.95","        349.50","        357.00","        347.25","-","        349.65","        350.40","    1005350","           352275477.50","-","-","-"
"TELCO","EQ","09-Jan-1997","        349.65","        349.65","        352.50","        346.00","-","        348.55","        348.34","    1079150","           375913842.50","-","-","-"
"TELCO","N1","09-Jan-1997","         90.00","         94.75","         94.75","         94.75","-","         94.75","         94.75","         30","                2842.50","-","-","-"
"TELCO","EQ","10-Jan-1997","        348.55","        352.00","        359.90","        351.10","-","        357.55","        356.47","    1863750","           664362922.50","-","-","-"
"TELCO","N1","10-Jan-1997","         94.75","         93.25","         93.40","         93.10","-","         93.40","         93.29","        240","               22389.00","-","-","-"
"TELCO","EQ","13-Jan-1997","        357.55","        355.00","        355.00","        349.30","-","        353.00","        352.47","     810700","           285744650.00","-","-","-"
"TELCO","EQ","14-Jan-1997","        353.00","        355.00","        356.70","        343.05","-","        346.50","        349.60","    1247300","           436055012.50","-","-","-"
"TELCO","N1","14-Jan-1997","         93.40","         93.50","         93.50","         93.50","-","         93.50","         93.50","        100","                9350.00","-","-","-"
"TELCO","EQ","15-Jan-1997","        346.50","        350.05","        370.80","        350.00","-","        370.70","        364.98","    1628500","           594376475.00","-","-","-"
"TELCO","N1","15-Jan-1997","         93.50","         93.50","         93.50","         92.80","-","         93.50","         93.25","        140","               13055.00","-","-","-"
"TELCO","EQ","16-Jan-1997","        370.70","        376.00","        395.90","        348.00","-","        353.55","        369.30","    2180700","           805331585.00","-","-","-"
"TELCO","N1","16-Jan-1997","         93.50","         93.00","         93.00","         93.00","-","         93.00","         93.00","         10","                 930.00","-","-","-"
"TELCO","EQ","17-Jan-1997","        353.55","        345.35","        355.95","        335.55","-","        345.55","        345.13","    1989050","           686477572.50","-","-","-"
"TELCO","EQ","20-Jan-1997","        345.55","        345.00","        345.90","        333.25","-","        334.75","        339.33","     977350","           331648802.50","-","-","-"
"TELCO","N1","20-Jan-1997","         93.00","         93.50","         94.00","         93.50","-","         94.00","         93.92","         60","                5635.00","-","-","-"
"TELCO","EQ","21-Jan-1997","        334.75","        332.50","        348.60","        330.30","-","        334.90","        339.80","    1558300","           529508375.00","-","-","-"
"TELCO","N1","21-Jan-1997","         94.00","         93.25","         94.00","         93.25","-","         94.00","         93.58","         90","                8422.50","-","-","-"
"TELCO","EQ","22-Jan-1997","        334.90","        340.85","        345.50","        330.25","-","        333.85","        338.01","    1553300","           525035875.00","-","-","-"
"TELCO","N1","22-Jan-1997","         94.00","         94.00","         94.00","         94.00","-","         94.00","         94.00","         10","                 940.00","-","-","-"
"TELCO","EQ","24-Jan-1997","        333.85","        351.10","        351.10","        326.75","-","        334.90","        333.32","    1788850","           596254400.00","-","-","-"
"TELCO","N1","24-Jan-1997","         94.00","         93.50","         93.50","         93.50","-","         93.50","         93.50","         50","                4675.00","-","-","-"
"TELCO","EQ","27-Jan-1997","        334.90","        358.35","        358.35","        338.10","-","        353.80","        348.95","    2525250","           881198285.00","-","-","-"
"TELCO","N1","27-Jan-1997","         93.50","         93.50","         97.00","         93.50","-","         93.50","         94.10","        110","               10350.50","-","-","-"
"TELCO","EQ","28-Jan-1997","        353.80","        356.90","        360.00","        345.55","-","        352.95","        352.60","    1614200","           569170830.00","-","-","-"
"TELCO","N1","28-Jan-1997","         93.50","         93.75","         93.75","         93.75","-","         93.75","         93.75","         50","                4687.50","-","-","-"
"TELCO","EQ","29-Jan-1997","        352.95","        359.00","        364.45","        341.50","-","        346.85","        352.57","    1283250","           452433112.50","-","-","-"
"TELCO","N1","29-Jan-1997","         93.75","         96.00","         97.00","         96.00","-","         97.00","         96.20","         50","                4810.00","-","-","-"
"TELCO","EQ","30-Jan-1997","        346.85","        345.00","        345.75","        333.05","-","        334.60","        338.16","    1258600","           425609992.50","-","-","-"
"TELCO","N1","30-Jan-1997","         97.00","         94.25","         95.00","         94.25","-","         95.00","         94.93","        100","                9492.50","-","-","-"
"TELCO","EQ","31-Jan-1997","        334.60","        328.00","        330.00","        318.00","-","        320.95","        323.82","    1115750","           361307380.00","-","-","-"
"TELCO","N1","31-Jan-1997","         95.00","         95.00","         95.00","         94.00","-","         94.00","         94.20","        240","               22607.50","-","-","-"
"TELCO","EQ","03-Feb-1997","        320.95","        313.05","        319.60","        305.05","-","        307.75","        312.07","    1063250","           331812085.00","-","-","-"
"TELCO","N1","03-Feb-1997","         94.00","         94.15","         94.90","         94.15","-","         94.20","         94.34","        230","               21698.50","-","-","-"
"TELCO","EQ","04-Feb-1997","        307.75","        306.00","        313.00","        303.10","-","        307.55","        308.52","    1436100","           443070165.00","-","-","-"
"TELCO","N1","04-Feb-1997","         94.20","         94.35","         97.00","         94.35","-","         97.00","         95.62","        110","               10518.50","-","-","-"
"TELCO","EQ","05-Feb-1997","        307.55","        315.95","        321.85","        312.00","-","        312.85","        316.16","     745100","           235572175.00","-","-","-"
"TELCO","EQ","06-Feb-1997","        312.85","        312.45","        319.90","        312.45","-","        317.55","        315.65","     505950","           159701252.50","-","-","-"
"TELCO","N1","06-Feb-1997","         97.00","         94.05","         97.00","         94.05","-","         96.00","         96.44","        270","               26038.50","-","-","-"
"TELCO","EQ","07-Feb-1997","        317.55","        318.95","        326.00","        314.00","-","        319.75","        320.28","     684950","           219372375.00","-","-","-"
"TELCO","EQ","10-Feb-1997","        319.75","        321.00","        321.30","        316.30","-","        318.75","        318.67","     400400","           127596877.50","-","-","-"
"TELCO","N1","10-Feb-1997","         96.00","         94.65","         94.65","         94.65","-","         94.65","         94.65","         20","                1893.00","-","-","-"
"TELCO","EQ","11-Feb-1997","        318.75","        319.50","        334.45","        317.50","-","        331.60","        325.42","     741050","           241151535.00","-","-","-"
"TELCO","N1","11-Feb-1997","         94.65","         95.00","         96.25","         95.00","-","         96.25","         95.32","         70","                6672.50","-","-","-"
