"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TISCO","EQ","01-Jan-1997","        167.40","        172.00","        179.15","        172.00","-","        179.15","        176.69","    4112300","           726585910.00","-","-","-"
"TISCO","N1","01-Jan-1997","        354.20","        354.50","        356.95","        354.50","-","        356.20","        356.24","        670","              238681.00","-","-","-"
"TISCO","EQ","02-Jan-1997","        179.15","        182.60","        185.60","        178.25","-","        180.05","        182.18","   16895500","          3077959042.50","-","-","-"
"TISCO","N1","02-Jan-1997","        356.20","        355.00","        357.00","        355.00","-","        356.00","        356.04","        840","              299070.50","-","-","-"
"TISCO","EQ","03-Jan-1997","        180.05","        178.25","        182.45","        177.80","-","        181.75","        180.35","    6949650","          1253367452.50","-","-","-"
"TISCO","N1","03-Jan-1997","        356.00","        357.50","        357.50","        355.00","-","        356.15","        356.15","       1010","              359712.50","-","-","-"
"TISCO","EQ","06-Jan-1997","        181.75","        182.75","        183.50","        179.30","-","        181.25","        181.30","    4033850","           731331887.50","-","-","-"
"TISCO","N1","06-Jan-1997","        356.15","        355.30","        356.00","        352.00","-","        352.45","        353.21","       1370","              483893.50","-","-","-"
"TISCO","EQ","07-Jan-1997","        181.25","        180.50","        188.55","        179.05","-","        187.65","        185.29","   12217400","          2263703162.50","-","-","-"
"TISCO","N1","07-Jan-1997","        352.45","        353.00","        353.45","        351.55","-","        352.15","        352.35","       3380","             1190932.00","-","-","-"
"TISCO","EQ","08-Jan-1997","        187.65","        192.50","        193.50","        186.25","-","        187.70","        189.41","    9123100","          1728005025.00","-","-","-"
"TISCO","N1","08-Jan-1997","        352.15","        354.00","        354.00","        350.50","-","        352.05","        351.67","        480","              168801.00","-","-","-"
"TISCO","EQ","09-Jan-1997","        187.70","        187.00","        188.90","        185.55","-","        187.10","        187.27","    4472100","           837495862.50","-","-","-"
"TISCO","N1","09-Jan-1997","        352.05","        353.90","        353.90","        352.00","-","        352.15","        352.70","        730","              257467.50","-","-","-"
"TISCO","EQ","10-Jan-1997","        187.10","        189.80","        190.85","        187.00","-","        187.95","        188.81","    5647850","          1066375752.50","-","-","-"
"TISCO","N1","10-Jan-1997","        352.15","        352.50","        352.50","        349.10","-","        349.35","        350.07","       1710","              598616.00","-","-","-"
"TISCO","EQ","13-Jan-1997","        187.95","        186.05","        188.95","        182.30","-","        188.30","        186.44","    6991100","          1303395500.00","-","-","-"
"TISCO","N1","13-Jan-1997","        349.35","        348.00","        348.00","        341.00","-","        345.25","        344.78","       3290","             1134323.50","-","-","-"
"TISCO","EQ","14-Jan-1997","        188.30","        190.00","        191.50","        187.25","-","        190.15","        189.53","    6748750","          1279077490.00","-","-","-"
"TISCO","N1","14-Jan-1997","        345.25","        346.00","        346.00","        344.00","-","        345.00","        345.10","       3280","             1131933.00","-","-","-"
"TISCO","EQ","15-Jan-1997","        190.15","        193.00","        203.50","        192.00","-","        203.50","        199.87","    9423000","          1883361462.50","-","-","-"
"TISCO","N1","15-Jan-1997","        345.00","        345.00","        348.00","        345.00","-","        348.00","        347.20","       1060","              368033.50","-","-","-"
"TISCO","EQ","16-Jan-1997","        203.50","        215.00","        217.75","        191.15","-","        195.35","        203.85","   14187150","          2892009640.00","-","-","-"
"TISCO","N1","16-Jan-1997","        348.00","        346.55","        349.00","        346.55","-","        348.00","        347.46","       1600","              555932.50","-","-","-"
"TISCO","EQ","17-Jan-1997","        195.35","        190.10","        197.85","        188.30","-","        194.20","        192.98","    8038450","          1551247137.50","-","-","-"
"TISCO","N1","17-Jan-1997","        348.00","        347.75","        350.00","        347.75","-","        348.50","        348.95","       1980","              690928.50","-","-","-"
"TISCO","EQ","20-Jan-1997","        194.20","        193.05","        194.90","        186.20","-","        187.45","        190.28","    4294800","           817212560.00","-","-","-"
"TISCO","N1","20-Jan-1997","        348.50","        349.00","        352.00","        348.00","-","        349.25","        350.18","        850","              297655.00","-","-","-"
"TISCO","EQ","21-Jan-1997","        187.45","        186.00","        188.25","        181.20","-","        182.60","        184.69","    5708200","          1054228302.50","-","-","-"
"TISCO","N1","21-Jan-1997","        349.25","        347.50","        350.00","        347.50","-","        349.00","        348.86","       1090","              380259.00","-","-","-"
"TISCO","EQ","22-Jan-1997","        182.60","        186.10","        195.00","        185.60","-","        191.65","        191.29","    8357050","          1598592972.50","-","-","-"
"TISCO","N1","22-Jan-1997","        349.00","        348.00","        350.70","        347.00","-","        349.00","        348.89","       1550","              540779.50","-","-","-"
"TISCO","EQ","24-Jan-1997","        191.65","        192.75","        193.75","        190.10","-","        191.55","        191.61","    4159900","           797089200.00","-","-","-"
"TISCO","N1","24-Jan-1997","        349.00","        349.50","        350.90","        349.50","-","        350.00","        350.08","       1710","              598640.50","-","-","-"
"TISCO","EQ","27-Jan-1997","        191.55","        195.05","        205.00","        195.05","-","        204.80","        203.21","    7108600","          1444522292.50","-","-","-"
"TISCO","N1","27-Jan-1997","        350.00","        350.00","        350.00","        340.00","-","        349.15","        348.84","       1020","              355820.50","-","-","-"
"TISCO","EQ","28-Jan-1997","        204.80","        212.00","        213.40","        203.25","-","        209.50","        207.15","    9461600","          1959986052.50","-","-","-"
"TISCO","N1","28-Jan-1997","        349.15","        348.50","        349.95","        347.55","-","        348.80","        348.70","       3470","             1209991.50","-","-","-"
