"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","04-Jan-2010","       1423.35","       1425.00","       1449.00","       1407.20","       1420.10","       1421.50","       1420.54","      24544","            34865853.40","-","      10302","         41.97"
"TITAN","N1","04-Jan-2010","        263.00","        250.01","        250.01","        250.01","        250.01","        250.01","        250.01","          4","                1000.04","-","          4","        100.00"
"TITAN","EQ","05-Jan-2010","       1421.50","       1449.00","       1462.00","       1424.00","       1447.50","       1450.65","       1449.17","      64133","            92939778.10","-","      22608","         35.25"
"TITAN","N1","05-Jan-2010","        250.01","        250.01","        257.99","        247.26","        257.99","        257.99","        250.53","         11","                2755.80","-","          9","         81.82"
"TITAN","EQ","06-Jan-2010","       1450.65","       1471.00","       1488.00","       1465.00","       1469.80","       1474.00","       1475.48","      65925","            97270988.80","-","      34939","         53.00"
"TITAN","N1","06-Jan-2010","        257.99","        220.00","        258.94","        220.00","        258.94","        258.94","        255.05","         10","                2550.46","-","          9","         90.00"
"TITAN","EQ","07-Jan-2010","       1474.00","       1465.00","       1533.00","       1465.00","       1508.80","       1510.65","       1509.14","     160917","           242846655.45","-","      34715","         21.57"
"TITAN","N1","07-Jan-2010","        258.94","        249.01","        249.01","        249.01","        249.01","        249.01","        249.01","          9","                2241.09","-","          9","        100.00"
"TITAN","EQ","08-Jan-2010","       1510.65","       1525.00","       1525.00","       1456.55","       1498.00","       1496.70","       1497.88","      23912","            35817266.00","-","       6792","         28.40"
"TITAN","N1","08-Jan-2010","        249.01","        247.00","        248.01","        247.00","        248.01","        248.01","        247.61","         10","                2476.06","-","         10","        100.00"
"TITAN","EQ","11-Jan-2010","       1496.70","       1520.00","       1520.00","       1478.90","       1484.70","       1484.60","       1496.04","      20314","            30390458.75","-","       7789","         38.34"
"TITAN","N1","11-Jan-2010","        248.01","        238.01","        250.51","        238.01","        250.51","        250.51","        249.12","          9","                2242.09","-","          9","        100.00"
"TITAN","EQ","12-Jan-2010","       1484.60","       1504.90","       1504.90","       1474.00","       1478.00","       1480.80","       1490.98","      19693","            29361929.25","-","      10337","         52.49"
"TITAN","N1","12-Jan-2010","        250.51","        222.01","        255.00","        222.01","        250.11","        250.11","        244.25","         15","                3663.70","-","          8","         53.33"
"TITAN","EQ","13-Jan-2010","       1480.80","       1480.00","       1491.00","       1460.00","       1465.25","       1469.30","       1471.59","      26264","            38649778.30","-","      10902","         41.51"
"TITAN","N1","13-Jan-2010","        250.11","        235.01","        235.01","        235.01","        235.01","        235.01","        235.01","          1","                 235.01","-","          1","        100.00"
"TITAN","EQ","14-Jan-2010","       1469.30","       1484.50","       1524.90","       1477.00","       1520.00","       1517.30","       1509.02","      56431","            85155553.20","-","      17282","         30.63"
"TITAN","EQ","15-Jan-2010","       1517.30","       1520.00","       1529.90","       1496.60","       1512.10","       1515.65","       1516.45","      32970","            49997288.40","-","      10322","         31.31"
"TITAN","N1","15-Jan-2010","        235.01","        242.11","        242.11","        242.11","        242.11","        242.11","        242.11","         10","                2421.10","-","         10","        100.00"
"TITAN","EQ","18-Jan-2010","       1515.65","       1529.00","       1529.00","       1486.00","       1502.00","       1505.80","       1509.27","      11959","            18049406.45","-","       2712","         22.68"
"TITAN","N1","18-Jan-2010","        242.11","        251.00","        251.00","        251.00","        251.00","        251.00","        251.00","         21","                5271.00","-","         21","        100.00"
"TITAN","EQ","19-Jan-2010","       1505.80","       1476.60","       1568.00","       1411.00","       1531.00","       1534.15","       1550.60","     112559","           174534339.15","-","      14946","         13.28"
"TITAN","N1","19-Jan-2010","        251.00","        240.06","        240.06","        240.06","        240.06","        240.06","        240.06","          2","                 480.12","-","          2","        100.00"
"TITAN","EQ","20-Jan-2010","       1534.15","       1547.00","       1580.00","       1536.00","       1555.00","       1555.55","       1553.95","     127497","           198124352.10","-","      61251","         48.04"
"TITAN","EQ","21-Jan-2010","       1555.55","       1556.50","       1559.70","       1508.00","       1529.00","       1524.10","       1535.94","      43412","            66678433.55","-","      24445","         56.31"
"TITAN","EQ","22-Jan-2010","       1524.10","       1495.00","       1528.90","       1436.00","       1520.05","       1520.65","       1493.89","      27865","            41627207.70","-","       7336","         26.33"
"TITAN","N1","22-Jan-2010","        240.06","        251.00","        261.05","        251.00","        261.05","        261.05","        260.85","        100","               26084.90","-","        100","        100.00"
"TITAN","EQ","25-Jan-2010","       1520.65","       1501.10","       1513.50","       1490.00","       1505.00","       1502.65","       1499.59","      14343","            21508687.65","-","       3331","         23.22"
"TITAN","EQ","27-Jan-2010","       1502.65","       1473.60","       1514.00","       1473.60","       1490.00","       1498.75","       1487.08","      38845","            57765697.75","-","      15847","         40.80"
"TITAN","EQ","28-Jan-2010","       1498.75","       1470.00","       1539.00","       1456.05","       1522.25","       1524.65","       1489.96","      75162","           111988548.50","-","      38320","         50.98"
"TITAN","N1","28-Jan-2010","        261.05","        250.01","        250.51","        250.01","        250.51","        250.51","        250.26","        200","               50052.00","-","        200","        100.00"
"TITAN","EQ","29-Jan-2010","       1524.65","       1515.00","       1530.00","       1475.00","       1500.00","       1500.90","       1495.02","      22107","            33050468.05","-","       8145","         36.84"
"TITAN","N1","29-Jan-2010","        250.51","        245.01","        250.99","        245.01","        250.99","        250.99","        245.26","         24","                5886.22","-","         23","         95.83"
"TITAN","EQ","01-Feb-2010","       1500.90","       1525.00","       1727.00","       1524.75","       1719.00","       1708.50","       1663.38","     373420","           621138288.85","-","      65460","         17.53"
"TITAN","N1","01-Feb-2010","        250.99","        236.01","        236.01","        236.01","        236.01","        236.01","        236.01","         12","                2832.12","-","         12","        100.00"
"TITAN","EQ","02-Feb-2010","       1708.50","       1715.00","       1740.00","       1658.00","       1665.10","       1670.25","       1694.03","     158146","           267904520.75","-","      19089","         12.07"
"TITAN","EQ","03-Feb-2010","       1670.25","       1680.00","       1777.00","       1678.00","       1723.00","       1732.85","       1746.81","     296856","           518551924.85","-","      26546","          8.94"
"TITAN","EQ","04-Feb-2010","       1732.85","       1748.00","       1775.00","       1677.10","       1700.00","       1702.40","       1736.00","     196283","           340746819.35","-","      18644","          9.50"
