"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UNIPHOS","EQ","02-Jan-2012","        126.90","        127.45","        129.60","        126.45","        127.00","        127.00","        127.52","     367110","            46812959.65","       4227","     127154","         34.64"
"UNIPHOS","EQ","03-Jan-2012","        127.00","        127.80","        132.00","        127.30","        130.95","        130.95","        130.74","     571724","            74748938.65","       8605","     256133","         44.80"
"UNIPHOS","EQ","04-Jan-2012","        130.95","        127.05","        133.95","        127.05","        132.20","        132.10","        132.36","     568326","            75225272.75","       9093","     278666","         49.03"
"UNIPHOS","EQ","05-Jan-2012","        132.10","        130.40","        134.70","        130.40","        132.85","        132.75","        133.31","     746586","            99525189.15","       9421","     271474","         36.36"
"UNIPHOS","EQ","06-Jan-2012","        132.75","        131.00","        133.35","        131.00","        132.70","        132.80","        132.34","     236437","            31289305.45","       3832","      90505","         38.28"
"UNIPHOS","EQ","07-Jan-2012","        132.80","        132.50","        136.50","        132.25","        135.75","        134.90","        134.66","     146644","            19746398.90","       1721","      63637","         43.40"
"UNIPHOS","EQ","09-Jan-2012","        134.90","        136.20","        138.00","        133.55","        137.30","        136.90","        135.35","    1045656","           141533109.90","      19397","     648911","         62.06"
"UNIPHOS","EQ","10-Jan-2012","        136.90","        137.70","        146.40","        137.70","        146.00","        145.30","        143.27","    1697541","           243214525.65","      17506","    1025799","         60.43"
"UNIPHOS","EQ","11-Jan-2012","        145.30","        145.90","        147.50","        142.70","        143.00","        143.80","        144.34","    1429326","           206304193.25","      23424","    1013718","         70.92"
"UNIPHOS","EQ","12-Jan-2012","        143.80","        143.75","        143.75","        138.55","        141.25","        141.35","        140.77","    1041815","           146656403.95","      21884","     508768","         48.83"
"UNIPHOS","EQ","13-Jan-2012","        141.35","        140.15","        142.80","        136.10","        136.60","        137.40","        138.83","    1118057","           155217206.40","      15307","     736768","         65.90"
"UNIPHOS","EQ","16-Jan-2012","        137.40","        136.70","        136.70","        133.50","        133.85","        133.85","        134.31","     788614","           105919967.40","      11764","     421031","         53.39"
"UNIPHOS","EQ","17-Jan-2012","        133.85","        134.05","        139.90","        134.00","        139.05","        139.05","        137.37","     995103","           136693925.30","      16063","     516299","         51.88"
"UNIPHOS","EQ","18-Jan-2012","        139.05","        140.05","        140.05","        134.25","        138.00","        136.60","        135.54","    2072024","           280840957.10","      22833","    1528195","         73.75"
"UNIPHOS","EQ","19-Jan-2012","        136.60","        138.50","        143.20","        138.05","        142.50","        142.60","        141.39","    1085643","           153495636.90","      19513","     699656","         64.45"
"UNIPHOS","EQ","20-Jan-2012","        142.60","        144.75","        145.20","        140.00","        141.10","        142.45","        142.96","     375588","            53695015.45","       8088","     222855","         59.33"
"UNIPHOS","EQ","23-Jan-2012","        142.45","        142.25","        143.00","        139.25","        140.00","        140.00","        141.08","     171024","            24128704.20","       3576","      43386","         25.37"
"UNIPHOS","EQ","24-Jan-2012","        140.00","        140.10","        140.90","        138.65","        140.50","        140.05","        139.93","     303479","            42464338.10","       5018","     126761","         41.77"
"UNIPHOS","EQ","25-Jan-2012","        140.05","        141.05","        145.20","        140.50","        143.45","        143.30","        143.45","     729241","           104611903.55","       7919","     364342","         49.96"
"UNIPHOS","EQ","27-Jan-2012","        143.30","        144.15","        150.60","        140.15","        150.45","        149.65","        146.34","    1538222","           225102867.70","      24348","     793378","         51.58"
"UNIPHOS","EQ","30-Jan-2012","        149.65","        150.00","        153.45","        143.05","        143.55","        143.75","        148.78","    2705449","           402528147.85","      42013","     917475","         33.91"
"UNIPHOS","EQ","31-Jan-2012","        143.75","        144.00","        148.40","        144.00","        148.00","        147.60","        146.64","     804717","           118006733.80","      20483","     362198","         45.01"
"UNIPHOS","EQ","01-Feb-2012","        147.60","        150.10","        150.10","        145.20","        147.00","        146.80","        146.57","    1124813","           164858244.70","      17321","     585059","         52.01"
"UNIPHOS","EQ","02-Feb-2012","        146.80","        147.50","        150.00","        143.80","        144.90","        145.05","        146.63","     984029","           144285595.95","      12370","     323557","         32.88"
"UNIPHOS","EQ","03-Feb-2012","        145.05","        145.50","        147.95","        145.50","        146.00","        147.20","        146.70","    1200098","           176059517.65","      15715","     728943","         60.74"
"UNIPHOS","EQ","06-Feb-2012","        147.20","        149.05","        153.45","        147.80","        150.00","        150.15","        151.14","    1616194","           244277612.95","      19293","     757916","         46.90"
"UNIPHOS","EQ","07-Feb-2012","        150.15","        150.15","        152.25","        145.85","        146.35","        147.05","        149.70","     726212","           108713374.20","      10265","     197899","         27.25"
"UNIPHOS","EQ","08-Feb-2012","        147.05","        147.05","        150.45","        147.00","        149.50","        149.45","        149.01","     416878","            62118981.50","       6761","     100761","         24.17"
"UNIPHOS","EQ","09-Feb-2012","        149.45","        148.25","        151.70","        147.75","        150.10","        150.60","        150.04","     583848","            87602436.20","       6549","     211308","         36.19"
"UNIPHOS","EQ","10-Feb-2012","        150.60","        150.05","        154.10","        149.10","        151.90","        151.00","        151.82","    1040461","           157964969.85","      15402","     535118","         51.43"
"UNIPHOS","EQ","13-Feb-2012","        151.00","        153.00","        154.00","        149.25","        153.00","        153.55","        152.18","     675419","           102787206.75","      12391","     202136","         29.93"
"UNIPHOS","EQ","14-Feb-2012","        153.55","        153.95","        159.10","        151.50","        156.90","        157.70","        156.54","    1853406","           290135968.45","      14405","    1034516","         55.82"
"UNIPHOS","EQ","15-Feb-2012","        157.70","        157.95","        164.85","        157.55","        161.45","        160.95","        161.66","    1798143","           290683049.75","      18014","    1028987","         57.22"
"UNIPHOS","EQ","16-Feb-2012","        160.95","        163.00","        169.00","        157.65","        166.00","        167.30","        163.01","    1026140","           167272790.30","      10256","     439922","         42.87"
"UNIPHOS","EQ","17-Feb-2012","        167.30","        168.00","        170.35","        159.50","        160.60","        161.15","        161.94","    3196511","           517638639.55","      43106","    2241935","         70.14"
"UNIPHOS","EQ","21-Feb-2012","        161.15","        161.80","        162.45","        157.30","        158.00","        158.05","        159.86","     907227","           145032702.20","       9507","     589114","         64.94"
"UNIPHOS","EQ","22-Feb-2012","        158.05","        158.85","        158.85","        147.90","        149.00","        151.45","        153.84","    2294038","           352906904.40","      26510","    1123604","         48.98"
"UNIPHOS","EQ","23-Feb-2012","        151.45","        150.60","        158.80","        146.45","        153.00","        152.95","        153.50","    2391638","           367125750.30","      23517","    1339638","         56.01"
"UNIPHOS","EQ","24-Feb-2012","        152.95","        153.40","        154.95","        145.00","        147.00","        147.00","        149.39","    1458700","           217916844.70","      20645","     667143","         45.74"
"UNIPHOS","EQ","27-Feb-2012","        147.00","        147.55","        148.65","        141.40","        144.10","        143.85","        143.44","    1457328","           209037707.65","      17535","     734502","         50.40"
"UNIPHOS","EQ","28-Feb-2012","        143.85","        144.55","        149.90","        143.10","        147.50","        147.40","        147.30","    1046617","           154169066.70","      20200","     476344","         45.51"
"UNIPHOS","EQ","29-Feb-2012","        147.40","        148.50","        156.90","        148.50","        156.50","        155.85","        153.61","    1859341","           285619595.55","      26676","    1134112","         61.00"
"UNIPHOS","EQ","01-Mar-2012","        155.85","        155.00","        157.00","        137.10","        142.50","        142.00","        141.57","    5851269","           828365684.65","      41720","    3072149","         52.50"
"UNIPHOS","EQ","02-Mar-2012","        142.00","        144.00","        144.00","        135.15","        135.90","        135.80","        137.09","    8553826","          1172680423.30","      68070","    6069895","         70.96"
"UNIPHOS","EQ","03-Mar-2012","        135.80","        137.75","        139.40","        135.45","        137.80","        138.10","        137.89","     438724","            60494229.10","       4209","     142598","         32.50"
"UNIPHOS","EQ","05-Mar-2012","        138.10","        137.25","        137.50","        133.60","        134.50","        134.85","        134.94","    2329287","           314321861.80","      45219","    1547450","         66.43"
"UNIPHOS","EQ","06-Mar-2012","        134.85","        134.85","        139.85","        133.50","        137.35","        136.90","        137.58","    3838563","           528119919.00","      38123","    2641014","         68.80"
"UNIPHOS","EQ","07-Mar-2012","        136.90","        136.10","        138.80","        134.55","        137.05","        137.10","        136.56","    2373102","           324078958.60","      22126","    1676947","         70.66"
"UNIPHOS","EQ","09-Mar-2012","        137.10","        136.50","        139.15","        136.00","        137.05","        136.65","        137.07","    2155835","           295504041.90","      45891","    1570044","         72.83"
"UNIPHOS","EQ","12-Mar-2012","        136.65","        135.75","        139.85","        134.35","        136.00","        135.90","        135.93","    1596782","           217050111.45","      35412","    1035066","         64.82"
"UNIPHOS","EQ","13-Mar-2012","        135.90","        136.45","        138.40","        135.30","        136.10","        136.05","        136.55","    1361211","           185875215.10","      16701","     979210","         71.94"
"UNIPHOS","EQ","14-Mar-2012","        136.05","        137.00","        138.00","        136.00","        136.90","        136.95","        136.84","     910564","           124604784.10","      15705","     581850","         63.90"
"UNIPHOS","EQ","15-Mar-2012","        136.95","        136.90","        137.95","        132.30","        132.75","        132.90","        133.86","    1802166","           241236699.75","      23574","    1044681","         57.97"
"UNIPHOS","EQ","16-Mar-2012","        132.90","        132.00","        136.45","        132.00","        134.05","        134.10","        134.88","    1703877","           229821198.75","      20125","     882036","         51.77"
"UNIPHOS","EQ","19-Mar-2012","        134.10","        134.00","        134.95","        131.00","        132.50","        132.45","        132.56","     726269","            96271049.00","      13737","     483180","         66.53"
"UNIPHOS","EQ","20-Mar-2012","        132.45","        133.05","        133.95","        129.00","        131.50","        131.00","        130.80","    1746013","           228373323.75","      17055","    1106258","         63.36"
"UNIPHOS","EQ","21-Mar-2012","        131.00","        130.00","        133.90","        129.25","        132.50","        132.95","        131.73","    1403959","           184946501.80","      17724","     849362","         60.50"
"UNIPHOS","EQ","22-Mar-2012","        132.95","        133.90","        135.95","        130.00","        130.60","        130.60","        133.65","    1656131","           221342874.75","      20146","     910817","         55.00"
"UNIPHOS","EQ","23-Mar-2012","        130.60","        132.70","        133.50","        130.25","        133.00","        132.95","        132.29","    1191816","           157666526.30","       9744","     592297","         49.70"
"UNIPHOS","EQ","26-Mar-2012","        132.95","        133.80","        133.80","        128.60","        129.60","        129.80","        130.28","    1315227","           171343162.60","      16994","     929349","         70.66"
"UNIPHOS","EQ","27-Mar-2012","        129.80","        133.40","        133.40","        128.80","        129.30","        129.55","        130.39","    1994514","           260069351.70","      19507","    1368824","         68.63"
"UNIPHOS","EQ","28-Mar-2012","        129.55","        131.50","        131.80","        128.10","        128.60","        128.85","        129.37","    1282547","           165920512.05","      12963","     773607","         60.32"
"UNIPHOS","EQ","29-Mar-2012","        128.85","        130.70","        130.70","        125.25","        126.75","        127.35","        127.84","    2743212","           350694112.25","      18421","    1744283","         63.59"
"UNIPHOS","EQ","30-Mar-2012","        127.35","        128.55","        131.30","        127.85","        129.80","        130.10","        129.64","    1354884","           175645461.40","      11417","     904347","         66.75"
"UNIPHOS","EQ","02-Apr-2012","        130.10","        130.00","        134.35","        129.50","        132.55","        132.20","        131.63","    4589794","           604175980.10","      19649","    3493722","         76.12"
"UNIPHOS","EQ","03-Apr-2012","        132.20","        133.30","        136.75","        132.15","        135.45","        135.95","        134.71","    1811963","           244097762.90","      17057","     786481","         43.40"
"UNIPHOS","EQ","04-Apr-2012","        135.95","        134.95","        136.50","        134.00","        134.35","        134.40","        135.02","     518198","            69964979.20","      10093","     206008","         39.75"
"UNIPHOS","EQ","09-Apr-2012","        134.40","        134.80","        134.80","        130.65","        133.45","        133.65","        132.67","    1534885","           203625970.75","      17110","    1037952","         67.62"
"UNIPHOS","EQ","10-Apr-2012","        133.65","        134.05","        134.65","        131.45","        132.75","        132.50","        132.53","     427282","            56629448.25","       8915","     262995","         61.55"
"UNIPHOS","EQ","11-Apr-2012","        132.50","        130.30","        132.45","        130.30","        130.75","        131.00","        131.32","     585893","            76939452.30","       8677","     336299","         57.40"
"UNIPHOS","EQ","12-Apr-2012","        131.00","        131.30","        132.30","        130.20","        131.30","        131.05","        131.21","    1367379","           179411710.00","       7468","    1084684","         79.33"
"UNIPHOS","EQ","13-Apr-2012","        131.05","        132.15","        132.50","        127.75","        128.55","        128.50","        130.28","    1046973","           136402534.60","       9294","     777982","         74.31"
"UNIPHOS","EQ","16-Apr-2012","        128.50","        128.55","        128.95","        126.30","        126.95","        126.90","        127.40","    1019532","           129888796.85","       9781","     695567","         68.22"
"UNIPHOS","EQ","17-Apr-2012","        126.90","        127.05","        128.25","        126.00","        127.20","        126.95","        126.87","    1700116","           215686855.10","       8881","    1341361","         78.90"
"UNIPHOS","EQ","18-Apr-2012","        126.95","        127.80","        128.50","        126.05","        126.25","        126.40","        127.35","    1127545","           143595141.55","       7597","     831227","         73.72"
"UNIPHOS","EQ","19-Apr-2012","        126.40","        126.85","        129.20","        126.30","        128.20","        128.00","        128.00","    1738662","           222545438.50","      15569","    1155576","         66.46"
"UNIPHOS","EQ","20-Apr-2012","        128.00","        129.40","        129.40","        126.75","        127.70","        128.00","        127.95","    1822937","           233243749.55","       9856","    1269750","         69.65"
"UNIPHOS","EQ","23-Apr-2012","        128.00","        128.00","        129.45","        127.05","        127.40","        127.75","        128.34","     952294","           122216943.05","       8468","     542949","         57.01"
"UNIPHOS","EQ","24-Apr-2012","        127.75","        123.00","        125.20","        118.80","        120.00","        120.00","        120.16","    5294499","           636162669.75","      28226","    3974594","         75.07"
