"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VEDL","EQ","02-Jan-2017","        216.15","        216.45","        222.00","        214.50","        221.90","        220.95","        219.21","    7344761","          1610031713.65","      38460","    1034471","         14.08"
"VEDL","EQ","03-Jan-2017","        220.95","        222.70","        223.90","        219.10","        219.85","        219.65","        221.04","    6963277","          1539156876.35","      45109","    1406147","         20.19"
"VEDL","EQ","04-Jan-2017","        219.65","        221.55","        222.50","        216.35","        216.80","        216.80","        219.11","    6764527","          1482189790.30","      45549","    2159344","         31.92"
"VEDL","EQ","05-Jan-2017","        216.80","        219.00","        228.70","        218.75","        227.80","        227.65","        224.94","   15074840","          3391004138.40","     115217","    5567721","         36.93"
"VEDL","EQ","06-Jan-2017","        227.65","        228.50","        233.70","        226.45","        231.20","        230.60","        230.56","   11996360","          2765893078.45","      72949","    2944152","         24.54"
"VEDL","EQ","09-Jan-2017","        230.60","        230.90","        233.45","        230.20","        232.10","        232.55","        232.26","    8181314","          1900201032.35","      44591","    3167005","         38.71"
"VEDL","EQ","10-Jan-2017","        232.55","        232.30","        235.35","        229.30","        232.35","        232.60","        232.33","   10164461","          2361534885.30","      77268","    3449060","         33.93"
"VEDL","EQ","11-Jan-2017","        232.60","        234.75","        238.40","        234.10","        237.00","        237.60","        236.93","   13171455","          3120709054.90","      69631","    5227766","         39.69"
"VEDL","EQ","12-Jan-2017","        237.60","        238.10","        241.60","        235.20","        241.15","        240.75","        239.18","    6798463","          1626053042.85","      43475","    1524166","         22.42"
"VEDL","EQ","13-Jan-2017","        240.75","        241.75","        243.40","        237.15","        238.00","        238.30","        239.59","    8225981","          1970852637.40","      43312","    1998393","         24.29"
"VEDL","EQ","16-Jan-2017","        238.30","        239.00","        244.00","        236.70","        243.75","        243.35","        241.18","    7271247","          1753649867.85","      40532","    2277693","         31.32"
"VEDL","EQ","17-Jan-2017","        243.35","        243.95","        244.30","        235.20","        235.50","        236.10","        238.62","    7220520","          1722966733.80","      38265","    1938727","         26.85"
