"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEETELE","EQ","01-Jan-2002","        111.60","        114.85","        116.95","        106.60","        109.00","        108.60","        112.67","    7556406","           851368763.85","-","     773299","         10.23"
"ZEETELE","EQ","02-Jan-2002","        108.60","        107.00","        109.85","        104.50","        109.05","        107.40","        107.12","    7277050","           779540305.75","-","     449322","          6.17"
"ZEETELE","EQ","03-Jan-2002","        107.40","        110.10","        118.15","        110.10","        118.15","        118.15","        114.79","    9444473","          1084086370.45","-","    1615228","         17.10"
"ZEETELE","EQ","04-Jan-2002","        118.15","        121.25","        127.00","        115.30","        119.60","        120.30","        120.93","   21784087","          2634338215.55","-","    2182270","         10.02"
"ZEETELE","EQ","07-Jan-2002","        120.30","        123.00","        131.70","        122.00","        129.40","        128.95","        128.01","   13841306","          1771823199.90","-","    3256663","         23.53"
"ZEETELE","EQ","08-Jan-2002","        128.95","        131.10","        133.05","        124.05","        128.80","        128.90","        128.75","    9622471","          1238849027.75","-","    1294619","         13.45"
"ZEETELE","EQ","09-Jan-2002","        128.90","        130.70","        134.75","        119.25","        123.85","        122.50","        128.77","   12982177","          1671706759.20","-","    1351624","         10.41"
"ZEETELE","EQ","10-Jan-2002","        122.50","        122.25","        130.00","        120.00","        126.50","        126.40","        126.24","    8779127","          1108274425.90","-","     945692","         10.77"
"ZEETELE","EQ","11-Jan-2002","        126.40","        126.00","        129.50","        115.00","        125.15","        122.65","        123.80","    6583173","           814991951.35","-","     982335","         14.92"
"ZEETELE","EQ","14-Jan-2002","        122.65","        128.20","        131.00","        125.75","        127.50","        127.60","        128.14","    4560927","           584443602.50","-","     517612","         11.35"
"ZEETELE","EQ","15-Jan-2002","        127.60","        127.15","        129.70","        124.50","        126.55","        127.80","        127.32","    6640183","           845425780.80","-","     584348","          8.80"
"ZEETELE","EQ","16-Jan-2002","        127.80","        128.50","        129.45","        123.10","        125.50","        124.85","        125.91","    6635954","           835511530.95","-","     558627","          8.42"
"ZEETELE","EQ","17-Jan-2002","        124.85","        122.35","        136.90","        119.10","        135.05","        134.50","        128.82","   12282720","          1582294001.80","-","    1498817","         12.20"
"ZEETELE","EQ","18-Jan-2002","        134.50","        137.20","        138.40","        132.25","        133.30","        134.20","        135.15","    9124761","          1233166165.20","-","    1250505","         13.70"
"ZEETELE","EQ","21-Jan-2002","        134.20","        132.00","        136.00","        127.10","        132.15","        129.40","        131.76","    6331358","           834242767.60","-","     728029","         11.50"
"ZEETELE","EQ","22-Jan-2002","        129.40","        130.35","        131.50","        125.10","        125.10","        125.90","        127.07","    5142326","           653440517.00","-","     730964","         14.21"
"ZEETELE","EQ","23-Jan-2002","        125.90","        125.00","        128.00","        122.25","        122.55","        123.20","        124.64","    4688042","           584333083.75","-","     558175","         11.91"
"ZEETELE","EQ","24-Jan-2002","        123.20","        125.00","        126.85","        123.05","        123.60","        123.70","        124.96","    3454460","           431667817.95","-","     477241","         13.82"
