"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"MUNDRAPORT","01-Mar-2011","31-Mar-2011","138","140.75","134.1","140.05","139.95","140.05","863","2385.28","2326000","62000","        138.95"
"MUNDRAPORT","01-Mar-2011","28-Apr-2011","0","0","0","137.35","137.35","141.15","0","0","10000","0","        138.95"
"MUNDRAPORT","01-Mar-2011","26-May-2011","0","0","0","149.95","0","142.25","0","0","0","0","        138.95"
"MUNDRAPORT","03-Mar-2011","31-Mar-2011","138.5","139.45","136.1","136.75","136.75","136.75","477","1311.46","2454000","128000","        135.60"
"MUNDRAPORT","03-Mar-2011","28-Apr-2011","0","0","0","137.35","137.35","137.7","0","0","10000","0","        135.60"
"MUNDRAPORT","03-Mar-2011","26-May-2011","0","0","0","149.95","0","138.75","0","0","0","0","        135.60"
"MUNDRAPORT","04-Mar-2011","31-Mar-2011","137.7","138.3","133.05","133.6","133.8","133.6","515","1387.59","2550000","96000","        132.80"
"MUNDRAPORT","04-Mar-2011","28-Apr-2011","134.5","134.5","134","134.25","134","134.25","4","10.74","12000","2000","        132.80"
"MUNDRAPORT","04-Mar-2011","26-May-2011","0","0","0","149.95","0","135.85","0","0","0","0","        132.80"
"MUNDRAPORT","07-Mar-2011","31-Mar-2011","132","133.45","130.9","132.45","132.6","132.45","300","791.98","2550000","0","        131.50"
"MUNDRAPORT","07-Mar-2011","28-Apr-2011","134.7","134.7","133.85","133.85","133.85","133.85","2","5.37","12000","0","        131.50"
"MUNDRAPORT","07-Mar-2011","26-May-2011","0","0","0","149.95","0","134.45","0","0","0","0","        131.50"
"MUNDRAPORT","08-Mar-2011","31-Mar-2011","133.2","134.45","133.1","133.85","133.7","133.85","141","377.45","2556000","6000","        132.70"
"MUNDRAPORT","08-Mar-2011","28-Apr-2011","134.3","134.3","134.3","134.3","134.3","134.6","1","2.69","12000","0","        132.70"
"MUNDRAPORT","08-Mar-2011","26-May-2011","0","0","0","149.95","0","135.65","0","0","0","0","        132.70"
"MUNDRAPORT","09-Mar-2011","31-Mar-2011","134.6","135.05","130.55","132.1","132.3","132.1","465","1229.45","2670000","114000","        131.05"
"MUNDRAPORT","09-Mar-2011","28-Apr-2011","135","135","131.75","132.9","132.75","132.9","9","24.06","26000","14000","        131.05"
"MUNDRAPORT","09-Mar-2011","26-May-2011","0","0","0","149.95","0","133.95","0","0","0","0","        131.05"
"MUNDRAPORT","10-Mar-2011","31-Mar-2011","130.3","135.8","130.3","134.35","133.7","134.35","562","1508.35","2424000","-246000","        133.80"
