"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ADANIPORTS","01-Sep-2014","25-Sep-2014","287.95","289.65","278.25","288.6","288.1","288.6","4867","27699.95","8116000","384000","        286.50"
"ADANIPORTS","01-Sep-2014","30-Oct-2014","288.4","290.2","279.05","290.1","289.35","290.1","33","189.24","34000","16000","        286.50"
"ADANIPORTS","01-Sep-2014","27-Nov-2014","0","0","0","289","0","292.65","0","0","0","0","        286.50"
"ADANIPORTS","02-Sep-2014","25-Sep-2014","289","293.15","287.25","290.25","289.8","290.25","2854","16605.74","8112000","-4000","        288.85"
"ADANIPORTS","02-Sep-2014","30-Oct-2014","291.15","293.25","289.1","291.4","291.4","291.4","17","99.28","34000","0","        288.85"
"ADANIPORTS","02-Sep-2014","27-Nov-2014","0","0","0","289","0","295","0","0","0","0","        288.85"
"ADANIPORTS","03-Sep-2014","25-Sep-2014","292","295.9","289.1","290.9","290.95","290.9","3842","22501.52","8132000","20000","        289.10"
"ADANIPORTS","03-Sep-2014","30-Oct-2014","294.5","297","291.7","292.4","292.4","292.4","22","129.38","44000","10000","        289.10"
"ADANIPORTS","03-Sep-2014","27-Nov-2014","0","0","0","289","0","295.2","0","0","0","0","        289.10"
"ADANIPORTS","04-Sep-2014","25-Sep-2014","290.55","294.6","287.55","291.2","291.45","291.2","4857","28289.73","8824000","692000","        289.30"
"ADANIPORTS","04-Sep-2014","30-Oct-2014","290.8","294.25","290","293.4","293.45","293.4","28","163.72","62000","18000","        289.30"
"ADANIPORTS","04-Sep-2014","27-Nov-2014","0","0","0","289","0","295.3","0","0","0","0","        289.30"
"ADANIPORTS","05-Sep-2014","25-Sep-2014","292.05","294.6","287.6","291.25","290.8","291.25","3000","17490.62","8574000","-250000","        290.15"
"ADANIPORTS","05-Sep-2014","30-Oct-2014","293.9","295.55","291.65","293.3","292.6","293.3","16","93.96","68000","6000","        290.15"
"ADANIPORTS","05-Sep-2014","27-Nov-2014","297","297","297","297","297","296.1","1","5.94","2000","2000","        290.15"
"ADANIPORTS","08-Sep-2014","25-Sep-2014","290.55","302.9","290.55","301.3","301.25","301.3","7504","44953.32","8794000","220000","        299.80"
"ADANIPORTS","08-Sep-2014","30-Oct-2014","299.5","304","299","302.85","303.1","302.85","42","253.18","66000","-2000","        299.80"
"ADANIPORTS","08-Sep-2014","27-Nov-2014","301.05","301.05","301.05","301.05","301.05","305.7","1","6.02","4000","2000","        299.80"
"ADANIPORTS","09-Sep-2014","25-Sep-2014","303.4","303.85","295.1","296.95","296.3","296.95","3484","20800.07","9044000","250000","        295.20"
"ADANIPORTS","09-Sep-2014","30-Oct-2014","301.85","303.2","297","298.45","298","298.45","38","227.91","92000","26000","        295.20"
"ADANIPORTS","09-Sep-2014","27-Nov-2014","300","300","300","300","300","300.95","1","6","6000","2000","        295.20"
"ADANIPORTS","10-Sep-2014","25-Sep-2014","292.2","297.95","289.55","294.65","294.55","294.65","3499","20648","8832000","-212000","        293.45"
"ADANIPORTS","10-Sep-2014","30-Oct-2014","294.5","299.5","294.45","296.6","296.5","296.6","68","403.79","120000","28000","        293.45"
"ADANIPORTS","10-Sep-2014","27-Nov-2014","0","0","0","300","300","299.1","0","0","6000","0","        293.45"
"ADANIPORTS","11-Sep-2014","25-Sep-2014","295.5","296.6","292.15","294.5","294.05","294.5","1785","10513.83","8656000","-176000","        293.45"
"ADANIPORTS","11-Sep-2014","30-Oct-2014","297.9","298.15","294.25","296.15","296.9","296.15","20","118.37","132000","12000","        293.45"
"ADANIPORTS","11-Sep-2014","27-Nov-2014","0","0","0","300","300","299.05","0","0","6000","0","        293.45"
"ADANIPORTS","12-Sep-2014","25-Sep-2014","288","301.25","288","295.05","295.7","295.05","3715","22111.97","8742000","86000","        293.50"
"ADANIPORTS","12-Sep-2014","30-Oct-2014","293.3","302.8","293.3","296.8","297.35","296.8","27","161.58","130000","-2000","        293.50"
"ADANIPORTS","12-Sep-2014","27-Nov-2014","0","0","0","300","300","299.05","0","0","6000","0","        293.50"
"ADANIPORTS","15-Sep-2014","25-Sep-2014","292.45","295.1","289.9","292.55","292","292.55","2252","13187.25","8750000","8000","        291.80"
"ADANIPORTS","15-Sep-2014","30-Oct-2014","294.25","296.65","292","294.95","294.5","294.95","50","294.85","166000","36000","        291.80"
"ADANIPORTS","15-Sep-2014","27-Nov-2014","0","0","0","300","300","297.1","0","0","6000","0","        291.80"
"ADANIPORTS","16-Sep-2014","25-Sep-2014","293.8","294.15","279.75","280.9","280","280.9","3249","18646.16","8918000","168000","        279.70"
"ADANIPORTS","16-Sep-2014","30-Oct-2014","295.5","296.5","282","283.2","283.45","283.2","132","765.29","258000","92000","        279.70"
"ADANIPORTS","16-Sep-2014","27-Nov-2014","0","0","0","300","300","284.7","0","0","6000","0","        279.70"
"ADANIPORTS","17-Sep-2014","25-Sep-2014","282","284.45","273","283.2","282.25","283.2","2901","16208.99","8650000","-268000","        282.45"
"ADANIPORTS","17-Sep-2014","30-Oct-2014","285","286.3","275.9","284.95","284","284.95","156","876.02","324000","66000","        282.45"
"ADANIPORTS","17-Sep-2014","27-Nov-2014","0","0","0","300","300","287.45","0","0","6000","0","        282.45"
"ADANIPORTS","18-Sep-2014","25-Sep-2014","280.95","297.25","279.2","295.15","294.95","295.15","4593","26682.49","8626000","-24000","        294.60"
"ADANIPORTS","18-Sep-2014","30-Oct-2014","282.95","299.05","281.6","297.25","296.95","297.25","217","1266.71","342000","18000","        294.60"
"ADANIPORTS","18-Sep-2014","27-Nov-2014","0","0","0","300","300","299.7","0","0","6000","0","        294.60"
"ADANIPORTS","19-Sep-2014","25-Sep-2014","295.2","296.25","284.5","285.8","286.5","285.8","3828","22148.4","8906000","280000","        284.95"
"ADANIPORTS","19-Sep-2014","30-Oct-2014","297","298.85","287","287.85","288.5","287.85","577","3354.12","704000","362000","        284.95"
"ADANIPORTS","19-Sep-2014","27-Nov-2014","0","0","0","300","300","289.8","0","0","6000","0","        284.95"
"ADANIPORTS","22-Sep-2014","25-Sep-2014","293","293","282","286.25","286.35","286.25","2106","12055.93","8148000","-758000","        285.80"
"ADANIPORTS","22-Sep-2014","30-Oct-2014","287.5","290.7","284.05","288.3","288.65","288.3","475","2737.56","1068000","364000","        285.80"
"ADANIPORTS","22-Sep-2014","27-Nov-2014","0","0","0","300","300","290.45","0","0","6000","0","        285.80"
"ADANIPORTS","23-Sep-2014","25-Sep-2014","286.95","288.9","272.65","273.6","274","273.6","4319","24118.86","6814000","-1334000","        273.10"
"ADANIPORTS","23-Sep-2014","30-Oct-2014","290.85","290.95","275","275.6","275.95","275.6","2051","11518.11","3190000","2122000","        273.10"
"ADANIPORTS","23-Sep-2014","27-Nov-2014","283.1","283.1","283.1","283.1","283.1","277.45","1","5.66","8000","2000","        273.10"
"ADANIPORTS","24-Sep-2014","25-Sep-2014","274.85","275","261.85","268.55","269.3","268.55","4844","25947.24","4390000","-2424000","        268.25"
"ADANIPORTS","24-Sep-2014","30-Oct-2014","275.85","277","261","270.45","271.4","270.45","3022","16313.56","5776000","2586000","        268.25"
"ADANIPORTS","24-Sep-2014","27-Nov-2014","270","270","270","270","270","272.5","1","5.4","10000","2000","        268.25"
"ADANIPORTS","25-Sep-2014","25-Sep-2014","271.4","271.5","264.55","267.05","267.85","267.9","4423","23690.01","1288000","-3102000","        267.90"
"ADANIPORTS","25-Sep-2014","30-Oct-2014","272.85","273.35","266.65","271.25","273.35","271.25","3757","20285.91","9014000","3238000","        267.90"
"ADANIPORTS","25-Sep-2014","27-Nov-2014","270","273.9","270","273.85","273.9","273.85","8","43.5","18000","8000","        267.90"
"ADANIPORTS","26-Sep-2014","30-Oct-2014","271","282.9","270","281.15","282.3","281.15","3399","18787.47","8404000","-610000","        279.95"
"ADANIPORTS","26-Sep-2014","27-Nov-2014","277.5","284.25","271.8","283.05","284.1","283.05","26","144.34","42000","24000","        279.95"
"ADANIPORTS","26-Sep-2014","24-Dec-2014","0","0","0","273.9","0","286.1","0","0","0","0","        279.95"
"ADANIPORTS","29-Sep-2014","30-Oct-2014","280.3","286.9","278.3","282.65","283","282.65","2846","16130.75","7948000","-456000","        281.45"
"ADANIPORTS","29-Sep-2014","27-Nov-2014","283.9","286","283.9","283.95","283.95","283.95","8","45.52","36000","-6000","        281.45"
"ADANIPORTS","29-Sep-2014","24-Dec-2014","0","0","0","273.9","0","287.4","0","0","0","0","        281.45"
"ADANIPORTS","30-Sep-2014","30-Oct-2014","278.9","287","276.15","279.35","279.65","279.35","2297","12960.1","7928000","-20000","        277.55"
"ADANIPORTS","30-Sep-2014","27-Nov-2014","285.1","288.35","277.9","281.5","281.5","281.5","21","118.91","54000","18000","        277.55"
"ADANIPORTS","30-Sep-2014","24-Dec-2014","0","0","0","273.9","0","283.4","0","0","0","0","        277.55"
"ADANIPORTS","01-Oct-2014","30-Oct-2014","282","283.75","273.75","276.5","276.7","276.5","1587","8826.14","7992000","64000","        275.15"
"ADANIPORTS","01-Oct-2014","27-Nov-2014","284.95","284.95","277.6","279.1","279.25","279.1","15","84.31","58000","4000","        275.15"
"ADANIPORTS","01-Oct-2014","24-Dec-2014","0","0","0","273.9","0","280.85","0","0","0","0","        275.15"
"ADANIPORTS","07-Oct-2014","30-Oct-2014","273","277","258.6","261.8","264","261.8","3538","18854","9360000","1368000","        259.90"
"ADANIPORTS","07-Oct-2014","27-Nov-2014","277.95","277.95","261","263.2","265.55","263.2","105","562.56","162000","104000","        259.90"
"ADANIPORTS","07-Oct-2014","24-Dec-2014","264","264","264","264","264","264.95","1","5.28","2000","2000","        259.90"
"ADANIPORTS","08-Oct-2014","30-Oct-2014","262.9","266.35","260","263.15","263.65","263.15","2451","12916.45","9700000","340000","        261.15"
"ADANIPORTS","08-Oct-2014","27-Nov-2014","265.05","267.65","262.95","264.6","264.8","264.6","62","330.13","134000","-28000","        261.15"
"ADANIPORTS","08-Oct-2014","24-Dec-2014","0","0","0","264","264","266.15","0","0","2000","0","        261.15"
"ADANIPORTS","09-Oct-2014","30-Oct-2014","264.2","272","264.2","270.8","270.85","270.8","2639","14185.48","9406000","-294000","        269.80"
"ADANIPORTS","09-Oct-2014","27-Nov-2014","268","273.15","267.25","272.15","272.4","272.15","64","345.99","110000","-24000","        269.80"
"ADANIPORTS","09-Oct-2014","24-Dec-2014","0","0","0","264","264","274.85","0","0","2000","0","        269.80"
"ADANIPORTS","10-Oct-2014","30-Oct-2014","266.25","267.45","259.15","260.5","261.2","260.5","2276","11980.4","9880000","474000","        258.90"
"ADANIPORTS","10-Oct-2014","27-Nov-2014","266.85","267.8","262","262.25","262.25","262.25","37","196.07","126000","16000","        258.90"
"ADANIPORTS","10-Oct-2014","24-Dec-2014","0","0","0","264","264","263.7","0","0","2000","0","        258.90"
"ADANIPORTS","13-Oct-2014","30-Oct-2014","257.9","264.9","253.3","261.9","261.4","261.9","2679","13853.37","10032000","152000","        260.50"
"ADANIPORTS","13-Oct-2014","27-Nov-2014","258.05","265.6","255.65","264.05","263.6","264.05","28","145.79","138000","12000","        260.50"
"ADANIPORTS","13-Oct-2014","24-Dec-2014","0","0","0","264","264","265.1","0","0","2000","0","        260.50"
"ADANIPORTS","14-Oct-2014","30-Oct-2014","263.75","265.4","256.3","261.05","261.3","261.05","2763","14443.38","9918000","-114000","        260.15"
"ADANIPORTS","14-Oct-2014","27-Nov-2014","264.7","266.85","261","262.9","262.8","262.9","80","421.48","178000","40000","        260.15"
"ADANIPORTS","14-Oct-2014","24-Dec-2014","0","0","0","264","264","264.7","0","0","2000","0","        260.15"
"ADANIPORTS","16-Oct-2014","30-Oct-2014","259.65","263.4","252.1","253.95","254.4","253.95","2105","10884.3","9688000","-230000","        252.95"
"ADANIPORTS","16-Oct-2014","27-Nov-2014","260.25","265","254.3","255.4","256.55","255.4","52","270.58","204000","26000","        252.95"
"ADANIPORTS","16-Oct-2014","24-Dec-2014","0","0","0","264","264","257.25","0","0","2000","0","        252.95"
"ADANIPORTS","17-Oct-2014","30-Oct-2014","255.5","256.8","245.15","251.7","251.9","251.7","3215","16098.71","10342000","654000","        250.35"
"ADANIPORTS","17-Oct-2014","27-Nov-2014","256","256.95","247.15","253.6","253.6","253.6","150","757.41","318000","114000","        250.35"
"ADANIPORTS","17-Oct-2014","24-Dec-2014","0","0","0","264","264","254.55","3","15.15","8000","6000","        250.35"
"ADANIPORTS","20-Oct-2014","30-Oct-2014","254.1","262.5","254.1","259.25","258.8","259.25","2643","13690.14","9722000","-620000","        258.90"
"ADANIPORTS","20-Oct-2014","27-Nov-2014","256.7","264.3","256.55","260.75","261.55","260.75","151","785.56","374000","56000","        258.90"
"ADANIPORTS","20-Oct-2014","24-Dec-2014","0","0","0","264","264","263.05","0","0","8000","0","        258.90"
"ADANIPORTS","21-Oct-2014","30-Oct-2014","260.4","265.5","257.95","262","261.65","262","2769","14509.12","9014000","-708000","        261.90"
"ADANIPORTS","21-Oct-2014","27-Nov-2014","262.45","267.25","260.1","263.65","263.5","263.65","159","837.57","454000","80000","        261.90"
"ADANIPORTS","21-Oct-2014","24-Dec-2014","0","0","0","264","264","266","1","5.34","6000","-2000","        261.90"
"ADANIPORTS","22-Oct-2014","30-Oct-2014","264.6","269.8","263.2","269.1","269.2","269.1","3194","17038","8434000","-580000","        269.00"
"ADANIPORTS","22-Oct-2014","27-Nov-2014","267","271.55","264.95","270.9","270.95","270.9","494","2649.12","832000","378000","        269.00"
"ADANIPORTS","22-Oct-2014","24-Dec-2014","0","0","0","264","264","273.15","0","0","6000","0","        269.00"
"ADANIPORTS","23-Oct-2014","30-Oct-2014","270.05","270.7","268.2","269.1","268.55","269.1","544","2931.73","8368000","-66000","        270.00"
"ADANIPORTS","23-Oct-2014","27-Nov-2014","272.25","272.35","270","270.6","270.15","270.6","135","732.59","954000","122000","        270.00"
"ADANIPORTS","23-Oct-2014","24-Dec-2014","0","0","0","264","264","274.1","0","0","6000","0","        270.00"
"ADANIPORTS","27-Oct-2014","30-Oct-2014","269.9","270.4","262.65","263.55","263.05","263.55","1841","9778.94","7492000","-876000","        263.85"
"ADANIPORTS","27-Oct-2014","27-Nov-2014","271.6","271.8","264.3","265","264.75","265","935","4993.9","1698000","744000","        263.85"
"ADANIPORTS","27-Oct-2014","24-Dec-2014","0","0","0","264","264","267.6","0","0","6000","0","        263.85"
"ADANIPORTS","28-Oct-2014","30-Oct-2014","262.3","265.9","260.1","261.95","262.35","261.95","2034","10651.28","6270000","-1222000","        261.40"
"ADANIPORTS","28-Oct-2014","27-Nov-2014","264.2","267.25","261.65","263.35","263.9","263.35","1081","5688.46","3028000","1330000","        261.40"
"ADANIPORTS","28-Oct-2014","24-Dec-2014","0","0","0","264","264","265.05","2","10.6","2000","-4000","        261.40"
"ADANIPORTS","29-Oct-2014","30-Oct-2014","263.1","272.3","263.05","271.6","271.75","271.6","4705","25145.63","3138000","-3132000","        271.95"
