"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ASIANPAINT","01-Mar-2012","29-Mar-2012","3196","3199.95","3156.1","3178.5","3190.55","3178.5","147","583.13","113375","-1375","       3149.65"
"ASIANPAINT","01-Mar-2012","26-Apr-2012","3193","3193","3193","3193","3193","3200.7","1","3.99","625","0","       3149.65"
"ASIANPAINT","01-Mar-2012","31-May-2012","0","0","0","3143.05","0","3233.05","0","0","0","0","       3149.65"
"ASIANPAINT","02-Mar-2012","29-Mar-2012","3167.1","3194.95","3159.65","3185.7","3183.5","3185.7","64","254.53","114000","625","       3158.75"
"ASIANPAINT","02-Mar-2012","26-Apr-2012","3155.6","3155.6","3155.6","3155.6","3155.6","3208.75","1","3.94","500","-125","       3158.75"
"ASIANPAINT","02-Mar-2012","31-May-2012","0","0","0","3143.05","0","3241","0","0","0","0","       3158.75"
"ASIANPAINT","03-Mar-2012","29-Mar-2012","3175.9","3177.9","3155","3159.4","3160","3159.4","15","59.32","113875","-125","       3133.95"
"ASIANPAINT","03-Mar-2012","26-Apr-2012","3185","3185","3185","3185","3185","3182.65","1","3.98","500","0","       3133.95"
"ASIANPAINT","03-Mar-2012","31-May-2012","0","0","0","3143.05","0","3214.6","0","0","0","0","       3133.95"
"ASIANPAINT","05-Mar-2012","29-Mar-2012","3187.9","3254","3175.95","3243.65","3240.05","3243.65","341","1375.82","118250","4375","       3234.70"
"ASIANPAINT","05-Mar-2012","26-Apr-2012","3246","3262","3246","3262","3262","3262","3","12.21","625","125","       3234.70"
"ASIANPAINT","05-Mar-2012","31-May-2012","0","0","0","3143.05","0","3318.45","0","0","0","0","       3234.70"
"ASIANPAINT","06-Mar-2012","29-Mar-2012","3220","3237.95","3170","3186.95","3185.1","3186.95","285","1140.19","114625","-3625","       3160.45"
"ASIANPAINT","06-Mar-2012","26-Apr-2012","3230.5","3230.5","3230.5","3230.5","3230.5","3208.45","1","4.04","625","0","       3160.45"
"ASIANPAINT","06-Mar-2012","31-May-2012","0","0","0","3143.05","0","3241.75","0","0","0","0","       3160.45"
"ASIANPAINT","07-Mar-2012","29-Mar-2012","3160","3168","3090.25","3124.85","3130","3124.85","226","881.61","113250","-1375","       3091.75"
"ASIANPAINT","07-Mar-2012","26-Apr-2012","3113","3113","3113","3113","3113","3138.05","1","3.89","500","-125","       3091.75"
"ASIANPAINT","07-Mar-2012","31-May-2012","0","0","0","3143.05","0","3170.9","0","0","0","0","       3091.75"
"ASIANPAINT","09-Mar-2012","29-Mar-2012","3145","3213","3145","3192.35","3189","3192.35","132","526.54","112500","-750","       3171.50"
"ASIANPAINT","09-Mar-2012","26-Apr-2012","0","0","0","3113","3113","3217.4","0","0","500","0","       3171.50"
"ASIANPAINT","09-Mar-2012","31-May-2012","0","0","0","3143.05","0","3251.25","0","0","0","0","       3171.50"
"ASIANPAINT","12-Mar-2012","29-Mar-2012","3200","3228","3175","3188.35","3194.5","3188.35","104","416.04","112500","0","       3160.25"
"ASIANPAINT","12-Mar-2012","26-Apr-2012","3200","3240","3200","3240","3240","3202.5","4","16.09","500","0","       3160.25"
"ASIANPAINT","12-Mar-2012","31-May-2012","0","0","0","3143.05","0","3235.75","0","0","0","0","       3160.25"
"ASIANPAINT","13-Mar-2012","29-Mar-2012","3185.15","3227.95","3185.15","3210.45","3224","3210.45","45","180.42","112875","375","       3186.65"
"ASIANPAINT","13-Mar-2012","26-Apr-2012","3229.9","3229.9","3229.9","3229.9","3229.9","3229.9","1","4.04","625","125","       3186.65"
"ASIANPAINT","13-Mar-2012","31-May-2012","0","0","0","3143.05","0","3262.75","0","0","0","0","       3186.65"
"ASIANPAINT","14-Mar-2012","29-Mar-2012","3246","3260","3220","3226.95","3226","3226.95","74","299.57","113000","125","       3204.20"
"ASIANPAINT","14-Mar-2012","26-Apr-2012","0","0","0","3229.9","3229.9","3246.7","0","0","625","0","       3204.20"
"ASIANPAINT","14-Mar-2012","31-May-2012","0","0","0","3143.05","0","3281.7","0","0","0","0","       3204.20"
"ASIANPAINT","15-Mar-2012","29-Mar-2012","3280","3350","3226.15","3241.75","3242","3241.75","342","1397.91","117250","4250","       3214.95"
"ASIANPAINT","15-Mar-2012","26-Apr-2012","3300.05","3323.2","3254.75","3254.75","3254.75","3254.75","8","32.93","1000","375","       3214.95"
"ASIANPAINT","15-Mar-2012","31-May-2012","0","0","0","3143.05","0","3291.65","0","0","0","0","       3214.95"
"ASIANPAINT","16-Mar-2012","29-Mar-2012","3212.05","3250.05","3197.6","3225.25","3215.25","3225.25","126","507.34","114875","-2375","       3210.10"
"ASIANPAINT","16-Mar-2012","26-Apr-2012","3245","3245","3245","3245","3245","3251.1","1","4.06","875","-125","       3210.10"
"ASIANPAINT","16-Mar-2012","31-May-2012","0","0","0","3143.05","0","3286.5","0","0","0","0","       3210.10"
"ASIANPAINT","19-Mar-2012","29-Mar-2012","3234.75","3234.75","3082","3096.1","3098","3096.1","357","1394.3","117250","2375","       3073.15"
"ASIANPAINT","19-Mar-2012","26-Apr-2012","3203.9","3204","3112","3118.5","3125","3118.5","16","63.18","1625","750","       3073.15"
"ASIANPAINT","19-Mar-2012","31-May-2012","0","0","0","3143.05","0","3143.25","0","0","0","0","       3073.15"
"ASIANPAINT","20-Mar-2012","29-Mar-2012","3055","3068.95","3022.45","3037.65","3043.5","3037.65","266","1010.82","118875","1625","       3015.70"
"ASIANPAINT","20-Mar-2012","26-Apr-2012","3078.4","3078.4","3060","3060","3060","3050.95","2","7.67","1750","125","       3015.70"
"ASIANPAINT","20-Mar-2012","31-May-2012","0","0","0","3143.05","0","3084.65","0","0","0","0","       3015.70"
"ASIANPAINT","21-Mar-2012","29-Mar-2012","3058","3118","3057","3083.4","3107","3083.4","197","760.09","114500","-4375","       3062.85"
"ASIANPAINT","21-Mar-2012","26-Apr-2012","3058","3132.75","3058","3120","3120","3097.45","8","31.07","1500","-250","       3062.85"
"ASIANPAINT","21-Mar-2012","31-May-2012","0","0","0","3143.05","0","3131.45","0","0","0","0","       3062.85"
"ASIANPAINT","22-Mar-2012","29-Mar-2012","3113","3127","3062","3090.05","3097","3090.05","128","496.06","113000","-1500","       3071.25"
"ASIANPAINT","22-Mar-2012","26-Apr-2012","3149","3149","3100","3122.6","3128.4","3122.6","10","38.96","2625","1125","       3071.25"
"ASIANPAINT","22-Mar-2012","31-May-2012","0","0","0","3143.05","0","3138.65","0","0","0","0","       3071.25"
"ASIANPAINT","23-Mar-2012","29-Mar-2012","3091","3159.95","3091","3129.3","3111","3129.3","118","459.88","112875","-125","       3111.60"
"ASIANPAINT","23-Mar-2012","26-Apr-2012","3131.1","3180","3131.1","3163.75","3151","3163.75","13","51.37","3625","1000","       3111.60"
"ASIANPAINT","23-Mar-2012","31-May-2012","0","0","0","3143.05","0","3178.9","0","0","0","0","       3111.60"
"ASIANPAINT","26-Mar-2012","29-Mar-2012","3109.55","3114","3065","3078.2","3070","3078.2","134","517.56","116500","3625","       3060.70"
"ASIANPAINT","26-Mar-2012","26-Apr-2012","3133.25","3133.25","3076.45","3107.05","3103","3107.05","95","369.59","9625","6000","       3060.70"
"ASIANPAINT","26-Mar-2012","31-May-2012","0","0","0","3143.05","0","3124.3","0","0","0","0","       3060.70"
"ASIANPAINT","27-Mar-2012","29-Mar-2012","3080","3125","3080","3108.45","3117.8","3108.45","45","174.52","113750","-2750","       3096.65"
"ASIANPAINT","27-Mar-2012","26-Apr-2012","3126","3142","3110.95","3130.05","3142","3130.05","23","89.81","10250","625","       3096.65"
"ASIANPAINT","27-Mar-2012","31-May-2012","0","0","0","3143.05","0","3159.8","0","0","0","0","       3096.65"
"ASIANPAINT","28-Mar-2012","29-Mar-2012","3091.65","3199.95","3083.1","3108.1","3120.35","3108.1","351","1375.91","88500","-25250","       3104.45"
"ASIANPAINT","28-Mar-2012","26-Apr-2012","3125.6","3225.1","3120","3137.1","3140.7","3137.1","275","1088.18","26500","16250","       3104.45"
"ASIANPAINT","28-Mar-2012","31-May-2012","0","0","0","3143.05","0","3166.35","0","0","0","0","       3104.45"
"ASIANPAINT","29-Mar-2012","29-Mar-2012","3093.6","3198.25","3080.5","3164.65","3186.2","3188.5","568","2220.75","56125","-32375","       3188.50"
"ASIANPAINT","29-Mar-2012","26-Apr-2012","3125.75","3284.9","3115","3227.25","3241.8","3227.25","608","2413.74","71000","44500","       3188.50"
"ASIANPAINT","29-Mar-2012","31-May-2012","0","0","0","3143.05","0","3250.75","0","0","0","0","       3188.50"
"ASIANPAINT","30-Mar-2012","26-Apr-2012","3257","3289","3235","3268.2","3245.95","3268.2","187","765.32","78125","7125","       3242.00"
"ASIANPAINT","30-Mar-2012","31-May-2012","0","0","0","3143.05","0","3303.65","0","0","0","0","       3242.00"
"ASIANPAINT","30-Mar-2012","28-Jun-2012","0","0","0","3278.8","0","3331.9","0","0","0","0","       3242.00"
"ASIANPAINT","02-Apr-2012","26-Apr-2012","3245","3323","3245","3285.9","3295.55","3285.9","172","708.45","77625","-500","       3263.40"
"ASIANPAINT","02-Apr-2012","31-May-2012","0","0","0","3143.05","0","3322.45","0","0","0","0","       3263.40"
"ASIANPAINT","02-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3350.85","0","0","0","0","       3263.40"
"ASIANPAINT","03-Apr-2012","26-Apr-2012","3300","3382","3300","3371.55","3380","3371.55","443","1855.65","79875","2250","       3356.40"
"ASIANPAINT","03-Apr-2012","31-May-2012","3377.35","3377.35","3377.35","3377.35","3377.35","3413.6","2","8.44","250","250","       3356.40"
"ASIANPAINT","03-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3441.55","0","0","0","0","       3356.40"
"ASIANPAINT","04-Apr-2012","26-Apr-2012","3378.9","3415","3332","3355.6","3332","3355.6","440","1860.7","87875","8000","       3323.50"
"ASIANPAINT","04-Apr-2012","31-May-2012","0","0","0","3377.35","3377.35","3380.15","0","0","250","0","       3323.50"
"ASIANPAINT","04-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3408.35","0","0","0","0","       3323.50"
"ASIANPAINT","09-Apr-2012","26-Apr-2012","3329","3329","3293.75","3303.05","3300","3303.05","169","698.84","84125","-3750","       3279.05"
"ASIANPAINT","09-Apr-2012","31-May-2012","0","0","0","3377.35","3377.35","3329.5","0","0","250","0","       3279.05"
"ASIANPAINT","09-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3356.95","0","0","0","0","       3279.05"
"ASIANPAINT","10-Apr-2012","26-Apr-2012","3314.85","3316.9","3272.5","3282.8","3280.1","3282.8","127","522.94","82625","-1500","       3256.55"
"ASIANPAINT","10-Apr-2012","31-May-2012","0","0","0","3377.35","3377.35","3305","0","0","250","0","       3256.55"
"ASIANPAINT","10-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3331.95","0","0","0","0","       3256.55"
"ASIANPAINT","11-Apr-2012","26-Apr-2012","3269.7","3278","3253","3261.6","3266.35","3261.6","111","453.15","82750","125","       3236.85"
"ASIANPAINT","11-Apr-2012","31-May-2012","0","0","0","3377.35","3377.35","3283.8","0","0","250","0","       3236.85"
"ASIANPAINT","11-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3310.4","0","0","0","0","       3236.85"
"ASIANPAINT","12-Apr-2012","26-Apr-2012","3299","3299","3245.45","3282.8","3285.85","3282.8","53","216.82","83375","625","       3255.65"
"ASIANPAINT","12-Apr-2012","31-May-2012","3283.25","3283.25","3283.25","3283.25","3283.25","3301.35","1","4.1","250","0","       3255.65"
"ASIANPAINT","12-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3327.75","0","0","0","0","       3255.65"
"ASIANPAINT","13-Apr-2012","26-Apr-2012","3290","3333.3","3290","3314.65","3319.5","3314.65","199","823.64","82750","-625","       3301.10"
"ASIANPAINT","13-Apr-2012","31-May-2012","0","0","0","3283.25","3283.25","3346","0","0","250","0","       3301.10"
"ASIANPAINT","13-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3372.45","0","0","0","0","       3301.10"
"ASIANPAINT","16-Apr-2012","26-Apr-2012","3333","3375","3322.7","3366.65","3375","3366.65","164","687.99","82000","-750","       3354.55"
"ASIANPAINT","16-Apr-2012","31-May-2012","3363.05","3388","3363.05","3386.65","3388","3386.65","4","16.88","750","500","       3354.55"
"ASIANPAINT","16-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3425.5","0","0","0","0","       3354.55"
"ASIANPAINT","17-Apr-2012","26-Apr-2012","3370","3390","3335","3349.6","3352","3349.6","245","1032.84","83250","1250","       3328.25"
"ASIANPAINT","17-Apr-2012","31-May-2012","3318.55","3401","3318.55","3384.55","3385","3384.55","6","25.35","875","125","       3328.25"
"ASIANPAINT","17-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3394.5","0","0","0","0","       3328.25"
"ASIANPAINT","18-Apr-2012","26-Apr-2012","3355.95","3355.95","3305.1","3321.2","3327","3321.2","123","511.44","80750","-2500","       3311.15"
"ASIANPAINT","18-Apr-2012","31-May-2012","3336.65","3358","3336.6","3358","3358","3349.1","4","16.72","1250","375","       3311.15"
"ASIANPAINT","18-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3374.05","0","0","0","0","       3311.15"
"ASIANPAINT","19-Apr-2012","26-Apr-2012","3330.8","3365","3319.95","3347.3","3356.35","3347.3","95","396.28","82125","1375","       3328.85"
"ASIANPAINT","19-Apr-2012","31-May-2012","3350","3368.05","3342.05","3360","3360","3360","16","67.05","2625","1375","       3328.85"
"ASIANPAINT","19-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3390.85","0","0","0","0","       3328.85"
"ASIANPAINT","20-Apr-2012","26-Apr-2012","3345","3363.95","3330.25","3346.9","3350","3346.9","133","556.44","80250","-1875","       3340.55"
"ASIANPAINT","20-Apr-2012","31-May-2012","3371.65","3379","3356.65","3374.1","3374.1","3376.7","32","134.82","5250","2625","       3340.55"
"ASIANPAINT","20-Apr-2012","28-Jun-2012","0","0","0","3278.8","0","3401.6","0","0","0","0","       3340.55"
"ASIANPAINT","23-Apr-2012","26-Apr-2012","3321","3476.3","3321","3465.9","3471.3","3465.9","805","3459.01","76375","-3875","       3471.00"
"ASIANPAINT","23-Apr-2012","31-May-2012","3375","3498","3375","3489.3","3498","3489.3","333","1442","29375","24125","       3471.00"
"ASIANPAINT","23-Apr-2012","28-Jun-2012","3487","3487","3487","3487","3487","3532.35","1","4.36","125","125","       3471.00"
"ASIANPAINT","24-Apr-2012","26-Apr-2012","3483.8","3497.9","3437.05","3452.4","3440","3452.4","916","3963.22","86125","9750","       3462.00"
"ASIANPAINT","24-Apr-2012","31-May-2012","3500","3522.9","3460","3473.1","3462.1","3473.1","792","3448.37","80375","51000","       3462.00"
"ASIANPAINT","24-Apr-2012","28-Jun-2012","0","0","0","3487","3487","3521.45","0","0","125","0","       3462.00"
"ASIANPAINT","25-Apr-2012","26-Apr-2012","3441","3442","3391.05","3412.35","3407","3412.35","605","2585.85","95875","9750","       3422.30"
"ASIANPAINT","25-Apr-2012","31-May-2012","3440.15","3470","3430","3441.95","3430","3441.95","614","2648.66","116500","36125","       3422.30"
"ASIANPAINT","25-Apr-2012","28-Jun-2012","3466","3466","3466","3466","3466","3480.3","1","4.33","125","0","       3422.30"
"ASIANPAINT","26-Apr-2012","26-Apr-2012","3405","3512.5","3405","3484.5","3482","3482","1030","4483.71","94125","-1750","       3482.00"
"ASIANPAINT","26-Apr-2012","31-May-2012","3470","3541","3435.05","3462.35","3455","3462.35","1729","7560.84","227625","111125","       3482.00"
"ASIANPAINT","26-Apr-2012","28-Jun-2012","0","0","0","3466","3466","3540.15","0","0","125","0","       3482.00"
"ASIANPAINT","27-Apr-2012","31-May-2012","3400","3557.1","3400","3529.5","3530","3529.5","655","2882.99","259875","32250","       3523.30"
"ASIANPAINT","27-Apr-2012","28-Jun-2012","3500","3542.65","3500","3519.9","3519.9","3581.3","4","17.63","375","250","       3523.30"
"ASIANPAINT","27-Apr-2012","26-Jul-2012","0","0","0","3566.3","0","3607.8","0","0","0","0","       3523.30"
"ASIANPAINT","28-Apr-2012","31-May-2012","3530","3545","3522.3","3540.35","3544.9","3540.35","45","198.96","261375","1500","       3548.05"
"ASIANPAINT","28-Apr-2012","28-Jun-2012","0","0","0","3519.9","3519.9","3605.5","0","0","375","0","       3548.05"
"ASIANPAINT","28-Apr-2012","26-Jul-2012","0","0","0","3566.3","0","3632.2","0","0","0","0","       3548.05"
"ASIANPAINT","30-Apr-2012","31-May-2012","3532.95","3550","3512.6","3526.35","3523.9","3526.35","403","1779.68","277750","16375","       3526.80"
"ASIANPAINT","30-Apr-2012","28-Jun-2012","0","0","0","3519.9","3519.9","3582.2","0","0","375","0","       3526.80"
"ASIANPAINT","30-Apr-2012","26-Jul-2012","0","0","0","3566.3","0","3608.8","0","0","0","0","       3526.80"
