"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UTIBANK","02-Jan-2007","25-Jan-2007","468.1","474.5","465.9","472.35","472","472.35","380","1611.15","597600","71100","        467.90"
"UTIBANK","02-Jan-2007","22-Feb-2007","0","0","0","467.55","467.55","474.2","0","0","0","0","        467.90"
"UTIBANK","02-Jan-2007","29-Mar-2007","0","0","0","468.2","0","478.6","0","0","0","0","        467.90"
"UTIBANK","03-Jan-2007","25-Jan-2007","472","481.95","468.5","479.95","481","479.95","1018","4377.21","703800","106200","        474.65"
"UTIBANK","03-Jan-2007","22-Feb-2007","478","478","478","478","478","480.5","1","4.3","900","900","        474.65"
"UTIBANK","03-Jan-2007","29-Mar-2007","0","0","0","468.2","0","484.65","0","0","0","0","        474.65"
"UTIBANK","04-Jan-2007","25-Jan-2007","482.9","487.9","472.05","476.45","472.05","476.45","936","4071.02","684900","-18900","        474.25"
"UTIBANK","04-Jan-2007","22-Feb-2007","481","487","478","478","478","478","3","13.01","1800","900","        474.25"
"UTIBANK","04-Jan-2007","29-Mar-2007","0","0","0","468.2","0","484.25","0","0","0","0","        474.25"
"UTIBANK","05-Jan-2007","25-Jan-2007","473.9","483.05","469.2","474.55","472.95","474.55","465","2001.44","650700","-34200","        472.85"
"UTIBANK","05-Jan-2007","22-Feb-2007","0","0","0","478","478","478.6","0","0","1800","0","        472.85"
"UTIBANK","05-Jan-2007","29-Mar-2007","0","0","0","468.2","0","482.85","0","0","0","0","        472.85"
"UTIBANK","08-Jan-2007","25-Jan-2007","469.4","473","462.7","468.65","472","468.65","288","1211.1","645300","-5400","        465.55"
"UTIBANK","08-Jan-2007","22-Feb-2007","0","0","0","478","478","470.9","0","0","1800","0","        465.55"
"UTIBANK","08-Jan-2007","29-Mar-2007","0","0","0","468.2","0","475.05","0","0","0","0","        465.55"
"UTIBANK","09-Jan-2007","25-Jan-2007","470","477","463.65","469.4","471","469.4","649","2748.86","619200","-26100","        467.25"
"UTIBANK","09-Jan-2007","22-Feb-2007","470.7","470.7","470","470","470","472.5","3","12.7","3600","1800","        467.25"
"UTIBANK","09-Jan-2007","29-Mar-2007","0","0","0","468.2","0","476.7","0","0","0","0","        467.25"
"UTIBANK","10-Jan-2007","25-Jan-2007","467","473.9","459","462.8","463","462.8","319","1341.45","607500","-11700","        461.60"
"UTIBANK","10-Jan-2007","22-Feb-2007","470","470","465","465","465","465","2","8.42","3600","0","        461.60"
"UTIBANK","10-Jan-2007","29-Mar-2007","0","0","0","468.2","0","470.6","0","0","0","0","        461.60"
"UTIBANK","11-Jan-2007","25-Jan-2007","463","484.5","460.35","482.5","484.1","482.5","954","4072.34","603900","-3600","        478.55"
"UTIBANK","11-Jan-2007","22-Feb-2007","470","485","470","485","485","483.7","5","21.34","5400","1800","        478.55"
"UTIBANK","11-Jan-2007","29-Mar-2007","0","0","0","468.2","0","488","0","0","0","0","        478.55"
"UTIBANK","12-Jan-2007","25-Jan-2007","488","503.35","486.5","501.1","503","501.1","2381","10636.41","543600","-60300","        499.80"
"UTIBANK","12-Jan-2007","22-Feb-2007","490","506","490","506","506","506","7","31.48","8100","2700","        499.80"
"UTIBANK","12-Jan-2007","29-Mar-2007","0","0","0","468.2","0","509.4","0","0","0","0","        499.80"
"UTIBANK","15-Jan-2007","25-Jan-2007","505","536.9","505","532.9","535.5","532.9","1815","8556.36","452700","-90900","        533.30"
