"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"AXISBANK","03-Mar-2008","27-Mar-2008","981.25","1000","933.95","938.9","934.05","938.9","1391","3003.08","703800","-20925","        939.45"
"AXISBANK","03-Mar-2008","24-Apr-2008","950","950","940","941.35","941.35","952.6","5","10.62","1125","450","        939.45"
"AXISBANK","03-Mar-2008","29-May-2008","0","0","0","1034.15","0","961.5","0","0","0","0","        939.45"
"AXISBANK","04-Mar-2008","27-Mar-2008","940","959.5","865","908.45","908.95","908.45","2445","4989.4","749250","45450","        910.90"
"AXISBANK","04-Mar-2008","24-Apr-2008","950","950","901","901","901","923.3","4","8.22","1800","675","        910.90"
"AXISBANK","04-Mar-2008","29-May-2008","0","0","0","1034.15","0","931.85","0","0","0","0","        910.90"
"AXISBANK","05-Mar-2008","27-Mar-2008","902.05","926.5","877","901.15","909","901.15","1775","3593.15","766800","17550","        896.60"
"AXISBANK","05-Mar-2008","24-Apr-2008","881.25","881.25","881.25","881.25","881.25","908.55","1","1.98","2025","225","        896.60"
"AXISBANK","05-Mar-2008","29-May-2008","0","0","0","1034.15","0","917","0","0","0","0","        896.60"
"AXISBANK","07-Mar-2008","27-Mar-2008","870","875","808","840.7","826","840.7","1888","3551.18","782100","15300","        840.85"
"AXISBANK","07-Mar-2008","24-Apr-2008","835.5","835.5","818.3","818.3","818.3","851.6","4","7.43","2025","0","        840.85"
"AXISBANK","07-Mar-2008","29-May-2008","0","0","0","1034.15","0","859.55","0","0","0","0","        840.85"
"AXISBANK","10-Mar-2008","27-Mar-2008","808.85","819.7","775.05","810.05","812","810.05","2580","4658.34","840150","58050","        806.70"
"AXISBANK","10-Mar-2008","24-Apr-2008","814.9","815","814.9","815","815","815","2","3.67","2025","0","        806.70"
"AXISBANK","10-Mar-2008","29-May-2008","0","0","0","1034.15","0","824.4","0","0","0","0","        806.70"
"AXISBANK","11-Mar-2008","27-Mar-2008","800","848","793","837.55","835.35","837.55","2236","4173.01","858375","18225","        836.15"
"AXISBANK","11-Mar-2008","24-Apr-2008","820","849.9","820","837","837","837","11","20.54","3150","1125","        836.15"
"AXISBANK","11-Mar-2008","29-May-2008","0","0","0","1034.15","0","854.45","0","0","0","0","        836.15"
"AXISBANK","12-Mar-2008","27-Mar-2008","875","881.8","845.05","863.15","862.25","863.15","2396","4671.36","903600","45225","        864.00"
"AXISBANK","12-Mar-2008","24-Apr-2008","0","0","0","837","837","874.4","0","0","3150","0","        864.00"
"AXISBANK","12-Mar-2008","29-May-2008","0","0","0","1034.15","0","882.95","0","0","0","0","        864.00"
"AXISBANK","13-Mar-2008","27-Mar-2008","848","859.8","757.25","801.55","805.55","801.55","3346","6052.48","867600","-36000","        806.60"
"AXISBANK","13-Mar-2008","24-Apr-2008","830","830","786.25","808.75","816.25","808.75","21","37.86","5625","2475","        806.60"
"AXISBANK","13-Mar-2008","29-May-2008","0","0","0","1034.15","0","824.25","0","0","0","0","        806.60"
"AXISBANK","14-Mar-2008","27-Mar-2008","801.5","874","783.15","858.9","869","858.9","1511","2810.72","900000","32400","        860.35"
"AXISBANK","14-Mar-2008","24-Apr-2008","830","865","825","861.35","865","861.35","25","46.79","10125","4500","        860.35"
"AXISBANK","14-Mar-2008","29-May-2008","0","0","0","1034.15","0","879","0","0","0","0","        860.35"
"AXISBANK","17-Mar-2008","27-Mar-2008","826","830","780","794.4","798","794.4","2244","4018.2","978300","78300","        793.80"
"AXISBANK","17-Mar-2008","24-Apr-2008","817.5","817.5","793","800","800","802","14","25.23","13275","3150","        793.80"
"AXISBANK","17-Mar-2008","29-May-2008","0","0","0","1034.15","0","809.55","0","0","0","0","        793.80"
"AXISBANK","18-Mar-2008","27-Mar-2008","794","805","753.3","780.45","780","780.45","3506","6126.65","859725","-118575","        782.55"
"AXISBANK","18-Mar-2008","24-Apr-2008","800","800","760","789.65","789.65","789.65","947","1659.96","195975","182700","        782.55"
"AXISBANK","18-Mar-2008","29-May-2008","0","0","0","1034.15","0","798.35","0","0","0","0","        782.55"
"AXISBANK","19-Mar-2008","27-Mar-2008","822","830","740","749.6","749.7","749.6","3958","6826.86","952875","93150","        753.35"
"AXISBANK","19-Mar-2008","24-Apr-2008","805.05","819","742.1","749.95","748.3","749.95","197","337.5","214200","18225","        753.35"
"AXISBANK","19-Mar-2008","29-May-2008","0","0","0","1034.15","0","768.2","0","0","0","0","        753.35"
"AXISBANK","24-Mar-2008","27-Mar-2008","748","770","706.2","720.4","725","720.4","4427","7293.65","620325","-332550","        724.95"
"AXISBANK","24-Mar-2008","24-Apr-2008","748.3","779.9","705","719.65","726.85","719.65","2091","3433.33","604125","389925","        724.95"
"AXISBANK","24-Mar-2008","29-May-2008","0","0","0","1034.15","0","738.15","0","0","0","0","        724.95"
"AXISBANK","25-Mar-2008","27-Mar-2008","739.95","810.1","739.95","794.95","799","794.95","6801","12046.1","367425","-252900","        790.95"
"AXISBANK","25-Mar-2008","24-Apr-2008","743.25","811.45","743.25","797.8","802","797.8","2234","3988.26","686025","81900","        790.95"
"AXISBANK","25-Mar-2008","29-May-2008","0","0","0","1034.15","0","805.1","0","0","0","0","        790.95"
"AXISBANK","26-Mar-2008","27-Mar-2008","806","843","789.45","828.65","827","828.65","2540","4732.71","223425","-144000","        828.80"
"AXISBANK","26-Mar-2008","24-Apr-2008","798","845","790.2","832.95","831.1","832.95","1460","2730.14","846450","160425","        828.80"
"AXISBANK","26-Mar-2008","29-May-2008","0","0","0","1034.15","0","843.6","0","0","0","0","        828.80"
"AXISBANK","27-Mar-2008","27-Mar-2008","817.5","817.5","786","794.55","793","792.45","2343","4221.03","151650","-71775","        792.45"
"AXISBANK","27-Mar-2008","24-Apr-2008","819.95","819.95","792","796.85","795","796.85","1863","3363.71","1000800","154350","        792.45"
"AXISBANK","27-Mar-2008","29-May-2008","0","0","0","1034.15","0","806.25","0","0","0","0","        792.45"
"AXISBANK","28-Mar-2008","24-Apr-2008","803.95","819.85","770","811.5","815","811.5","2322","4144.4","1028925","28125","        807.20"
"AXISBANK","28-Mar-2008","29-May-2008","782","805","774","805","805","820.85","6","10.71","1350","1350","        807.20"
"AXISBANK","28-Mar-2008","26-Jun-2008","0","0","0","812.5","0","827.1","0","0","0","0","        807.20"
"AXISBANK","31-Mar-2008","24-Apr-2008","801.1","803.15","745","787.5","763","787.5","3739","6516.59","965475","-63450","        789.85"
"AXISBANK","31-Mar-2008","29-May-2008","760","775","748","773.75","774","773.75","7","12.09","2025","675","        789.85"
"AXISBANK","31-Mar-2008","26-Jun-2008","0","0","0","812.5","0","808.6","0","0","0","0","        789.85"
"AXISBANK","01-Apr-2008","24-Apr-2008","784.4","789","721.15","726.4","726","726.4","3182","5318.74","1055925","90450","        721.65"
"AXISBANK","01-Apr-2008","29-May-2008","725.1","725.1","725","725.05","725","725.05","2","3.26","2475","450","        721.65"
"AXISBANK","01-Apr-2008","26-Jun-2008","0","0","0","812.5","0","738.55","0","0","0","0","        721.65"
"AXISBANK","02-Apr-2008","24-Apr-2008","749","765","742","744.9","745","744.9","3032","5148.61","938475","-117450","        744.60"
"AXISBANK","02-Apr-2008","29-May-2008","0","0","0","725.05","725","755.95","0","0","2475","0","        744.60"
"AXISBANK","02-Apr-2008","26-Jun-2008","0","0","0","812.5","0","761.55","0","0","0","0","        744.60"
"AXISBANK","03-Apr-2008","24-Apr-2008","745","749","727","745.5","748.6","745.5","1790","2965.85","899325","-39150","        744.20"
"AXISBANK","03-Apr-2008","29-May-2008","726.5","755.95","726.5","755.95","755.95","755.95","2","3.34","2475","0","        744.20"
"AXISBANK","03-Apr-2008","26-Jun-2008","0","0","0","812.5","0","759.7","0","0","0","0","        744.20"
"AXISBANK","04-Apr-2008","24-Apr-2008","745","746.7","711","714.45","714.5","714.45","2356","3819.48","834975","-64350","        714.45"
"AXISBANK","04-Apr-2008","29-May-2008","722","722","715","715","715","724.05","7","11.34","4050","1575","        714.45"
"AXISBANK","04-Apr-2008","26-Jun-2008","0","0","0","812.5","0","729","0","0","0","0","        714.45"
"AXISBANK","07-Apr-2008","24-Apr-2008","708","759","695.25","750.4","758.15","750.4","2476","4070.56","812250","-22725","        751.15"
"AXISBANK","07-Apr-2008","29-May-2008","724.9","730","722","730","730","760.5","5","8.17","4500","450","        751.15"
