"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"AXISBANK","02-May-2016","26-May-2016","470","481.45","470","473.15","473.9","473.15","15291","72508.54","28202000","642000","        471.80"
"AXISBANK","02-May-2016","30-Jun-2016","477.6","483.05","472.75","475.7","476","475.7","566","2698.4","645000","143000","        471.80"
"AXISBANK","02-May-2016","28-Jul-2016","475.95","475.95","475.95","475.95","475.95","480.15","1","5.71","1200","1200","        471.80"
"AXISBANK","03-May-2016","26-May-2016","477.35","477.35","467.55","471.7","472","471.7","13796","65235.84","27779000","-423000","        470.55"
"AXISBANK","03-May-2016","30-Jun-2016","477.3","479","470.25","474.2","474","474.2","294","1395.69","764000","119000","        470.55"
"AXISBANK","03-May-2016","28-Jul-2016","473.55","476.05","473.55","476.05","476.05","478.8","2","11.4","2400","1200","        470.55"
"AXISBANK","04-May-2016","26-May-2016","469.15","472.35","462.2","464.5","466.05","464.5","16629","77423.9","26254000","-1525000","        462.45"
"AXISBANK","04-May-2016","30-Jun-2016","473","474","465","466.3","467.8","466.3","333","1558.96","869000","105000","        462.45"
"AXISBANK","04-May-2016","28-Jul-2016","465.55","465.55","463","464.7","464.7","470.5","5","27.85","3600","1200","        462.45"
"AXISBANK","05-May-2016","26-May-2016","465.2","468.85","459.3","463.9","464.3","463.9","14305","66330.59","25592000","-662000","        461.05"
"AXISBANK","05-May-2016","30-Jun-2016","469.15","470.5","462.25","466.1","466.75","466.1","294","1369.82","920000","51000","        461.05"
"AXISBANK","05-May-2016","28-Jul-2016","463","465.35","461","461","461","468.9","12","66.73","15600","12000","        461.05"
"AXISBANK","06-May-2016","26-May-2016","465.2","465.8","460.8","464.1","464.4","464.1","8061","37346.93","24692000","-900000","        461.45"
"AXISBANK","06-May-2016","30-Jun-2016","465.3","468","463.55","466.5","466.75","466.5","145","675.46","921000","1000","        461.45"
"AXISBANK","06-May-2016","28-Jul-2016","465.9","465.9","465.9","465.9","465.9","465.9","1","5.59","16800","1200","        461.45"
"AXISBANK","09-May-2016","26-May-2016","467.95","480","463.8","479.25","480","479.25","14210","67276.91","24005000","-687000","        477.10"
"AXISBANK","09-May-2016","30-Jun-2016","470","482.5","468","481.75","482.5","481.75","198","943.72","924000","3000","        477.10"
"AXISBANK","09-May-2016","28-Jul-2016","468.65","477.4","468.65","477.4","477.4","484.8","20","113.38","28800","12000","        477.10"
"AXISBANK","10-May-2016","26-May-2016","480.05","489.7","479.35","488.85","487.8","488.85","17452","84638.19","25310000","1305000","        487.95"
"AXISBANK","10-May-2016","30-Jun-2016","483.65","492","482.15","491.5","491.1","491.5","325","1585.1","942000","18000","        487.95"
"AXISBANK","10-May-2016","28-Jul-2016","481","483.5","480.3","483.35","483.35","495.75","7","40.5","30000","1200","        487.95"
"AXISBANK","11-May-2016","26-May-2016","482.2","499.75","481.25","498.8","498.4","498.8","24650","122099.81","25600000","290000","        498.20"
"AXISBANK","11-May-2016","30-Jun-2016","484.4","502.05","483.65","501.35","501.5","501.35","491","2448.5","1064000","122000","        498.20"
"AXISBANK","11-May-2016","28-Jul-2016","490","500","490","496.95","498.9","496.95","11","65.46","28800","-1200","        498.20"
"AXISBANK","12-May-2016","26-May-2016","500","507.45","493","494.9","495.8","494.9","20340","101814.9","26006000","406000","        492.55"
"AXISBANK","12-May-2016","30-Jun-2016","504.7","510","496","498","498.95","498","304","1528.75","1115000","51000","        492.55"
"AXISBANK","12-May-2016","28-Jul-2016","505","505","503","503","503","500.25","6","36.26","27600","-1200","        492.55"
"AXISBANK","13-May-2016","26-May-2016","494.35","496.95","487.55","491.6","492.5","491.6","12087","59419.17","25428000","-578000","        490.65"
"AXISBANK","13-May-2016","30-Jun-2016","496","499.55","490.5","494.15","494.6","494.15","343","1695.95","1173000","58000","        490.65"
"AXISBANK","13-May-2016","28-Jul-2016","494","494","490","490","490","498.2","8","47.32","33600","6000","        490.65"
"AXISBANK","16-May-2016","26-May-2016","493","494.25","478.7","488.75","490.1","488.75","15958","77439.18","23773000","-1655000","        486.45"
"AXISBANK","16-May-2016","30-Jun-2016","495","495","481.5","491.45","493.4","491.45","1118","5439.89","1848000","675000","        486.45"
"AXISBANK","16-May-2016","28-Jul-2016","491","491.45","480.75","489.55","491.45","489.55","7","40.96","39600","6000","        486.45"
"AXISBANK","17-May-2016","26-May-2016","491.7","505.85","491.7","503","502.3","503","20942","104993.12","22964000","-809000","        503.35"
"AXISBANK","17-May-2016","30-Jun-2016","496","508.4","495.9","506.1","505.5","506.1","1606","8104.07","2806000","958000","        503.35"
"AXISBANK","17-May-2016","28-Jul-2016","497.65","505","497.65","503.7","503.7","503.7","8","48.11","37200","-2400","        503.35"
"AXISBANK","18-May-2016","26-May-2016","499.6","503.5","495.4","501.3","501.15","501.3","14058","70199.95","22039000","-925000","        501.10"
"AXISBANK","18-May-2016","30-Jun-2016","503","506.15","498.5","504.45","504.4","504.45","1707","8585.8","3163000","357000","        501.10"
"AXISBANK","18-May-2016","28-Jul-2016","498.2","498.2","498.2","498.2","498.2","508.3","1","5.98","37200","0","        501.10"
"AXISBANK","19-May-2016","26-May-2016","501.9","501.9","488.55","490.1","490.9","490.1","13711","67845.56","20789000","-1250000","        490.50"
"AXISBANK","19-May-2016","30-Jun-2016","505.05","505.05","492","493.3","493.65","493.3","3119","15536.66","5285000","2122000","        490.50"
"AXISBANK","19-May-2016","28-Jul-2016","491.05","491.05","491.05","491.05","491.05","491.05","1","5.89","38400","1200","        490.50"
"AXISBANK","20-May-2016","26-May-2016","490.1","496","489.05","491.75","492.05","491.75","10442","51437.05","19726000","-1063000","        490.60"
"AXISBANK","20-May-2016","30-Jun-2016","494.3","498.85","492.6","494.7","495.7","494.7","1284","6361.34","5604000","319000","        490.60"
"AXISBANK","20-May-2016","28-Jul-2016","491.7","495","491.6","492","492","497.4","4","23.64","40800","2400","        490.60"
"AXISBANK","23-May-2016","26-May-2016","493","495.9","486","487.5","486.9","487.5","10930","53765.88","17489000","-2237000","        486.50"
"AXISBANK","23-May-2016","30-Jun-2016","498","498.35","489.2","490.8","489.85","490.8","4603","22793.93","8528000","2924000","        486.50"
"AXISBANK","23-May-2016","28-Jul-2016","496.65","496.65","491.8","495.6","495.6","492.95","7","41.54","48000","7200","        486.50"
"AXISBANK","24-May-2016","26-May-2016","484.35","491.5","483.05","490.25","491.1","490.25","14381","70178.55","13891000","-3598000","        488.95"
"AXISBANK","24-May-2016","30-Jun-2016","487.3","494.6","487","493.2","494.6","493.2","8103","39779.89","12401000","3873000","        488.95"
"AXISBANK","24-May-2016","28-Jul-2016","487.1","491.7","487.1","491","491","491","23","135.14","64800","16800","        488.95"
"AXISBANK","25-May-2016","26-May-2016","496.85","503.9","494","503.1","502.55","503.1","18699","93613.91","11189000","-2702000","        502.15"
"AXISBANK","25-May-2016","30-Jun-2016","495.3","508","495.3","506.85","506.55","506.85","12799","64500.2","17747000","5346000","        502.15"
"AXISBANK","25-May-2016","28-Jul-2016","499.45","505.35","499.45","504.9","504.6","504.9","58","349.82","105600","40800","        502.15"
"AXISBANK","26-May-2016","26-May-2016","481","519.75","481","517.45","519.1","519","17911","90760.17","8146000","-3043000","        519.00"
"AXISBANK","26-May-2016","30-Jun-2016","505.8","526","504.55","523.35","524.35","523.35","20780","106797.32","22549000","4802000","        519.00"
"AXISBANK","26-May-2016","28-Jul-2016","506.55","523.95","502.05","521.6","523.6","521.6","125","769.14","141600","36000","        519.00"
"AXISBANK","27-May-2016","30-Jun-2016","524.7","529.35","513.25","516.75","517","516.75","15063","78295.81","22592000","43000","        512.40"
"AXISBANK","27-May-2016","28-Jul-2016","522","528.25","512.05","515","515.3","515","227","1415.87","210000","68400","        512.40"
"AXISBANK","27-May-2016","25-Aug-2016","0","0","0","528.45","0","521.65","0","0","0","0","        512.40"
"AXISBANK","30-May-2016","30-Jun-2016","518.4","525","515.75","517.4","517","517.4","8606","44803.03","22704000","112000","        513.70"
"AXISBANK","30-May-2016","28-Jul-2016","518","523.2","514.35","515.2","514.35","515.2","97","604.57","207600","-2400","        513.70"
"AXISBANK","30-May-2016","25-Aug-2016","520.9","520.9","520.9","513.1","520.9","513.1","3","18.57","3600","3600","        513.70"
"AXISBANK","31-May-2016","30-Jun-2016","518.1","521.5","514.4","519.4","519.2","519.4","9138","47352.08","23244000","540000","        515.20"
"AXISBANK","31-May-2016","28-Jul-2016","516.2","519","512.35","517.8","515.95","517.8","98","606.68","229200","21600","        515.20"
"AXISBANK","31-May-2016","25-Aug-2016","517.6","517.6","517.6","517.6","517.6","524.05","1","6.21","4800","1200","        515.20"
"AXISBANK","01-Jun-2016","30-Jun-2016","524","531.9","514.2","516","516.2","516","17413","91180.6","24162000","918000","        511.95"
"AXISBANK","01-Jun-2016","28-Jul-2016","525","529.85","512.8","513.95","514.5","513.95","244","1525.11","319200","90000","        511.95"
"AXISBANK","01-Jun-2016","25-Aug-2016","526.95","526.95","526.95","526.95","526.95","520.65","1","6.32","6000","1200","        511.95"
"AXISBANK","02-Jun-2016","30-Jun-2016","512.65","529.3","510.45","528.4","528.9","528.4","15233","79333.1","24965000","803000","        524.35"
"AXISBANK","02-Jun-2016","28-Jul-2016","511.4","527","509.05","526.3","526.35","526.3","174","1080.79","314400","-4800","        524.35"
"AXISBANK","02-Jun-2016","25-Aug-2016","526.95","526.95","526.95","526.95","526.95","526.95","3","18.77","4800","-1200","        524.35"
"AXISBANK","03-Jun-2016","30-Jun-2016","530","547.4","529.55","544.4","544","544.4","21508","116733.62","24209000","-756000","        542.65"
