"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"UTIBANK","01-Nov-2006","30-Nov-2006","437.45","446.6","436.05","442.1","442.5","442.1","1053","4190.21","435600","-12600","        441.35"
"UTIBANK","01-Nov-2006","28-Dec-2006","443.25","446","443.25","446","446","446.75","2","8","2700","1800","        441.35"
"UTIBANK","01-Nov-2006","25-Jan-2007","0","0","0","425.35","0","449.4","0","0","0","0","        441.35"
"UTIBANK","02-Nov-2006","30-Nov-2006","440","448","439.15","444.65","444.15","444.65","397","1588.19","391500","-44100","        445.75"
"UTIBANK","02-Nov-2006","28-Dec-2006","446","447","446","447","447","451.05","4","16.08","3600","900","        445.75"
"UTIBANK","02-Nov-2006","25-Jan-2007","0","0","0","425.35","0","453.75","0","0","0","0","        445.75"
"UTIBANK","03-Nov-2006","30-Nov-2006","445.5","445.5","439.2","441.55","441.7","441.55","239","950.96","385200","-6300","        440.55"
"UTIBANK","03-Nov-2006","28-Dec-2006","441.3","441.3","441.3","441.3","441.3","445.7","2","7.94","3600","0","        440.55"
"UTIBANK","03-Nov-2006","25-Jan-2007","0","0","0","425.35","0","448.35","0","0","0","0","        440.55"
"UTIBANK","06-Nov-2006","30-Nov-2006","441.1","443.4","438.05","439.3","439","439.3","126","499.2","365400","-19800","        438.05"
"UTIBANK","06-Nov-2006","28-Dec-2006","0","0","0","441.3","441.3","442.9","0","0","3600","0","        438.05"
"UTIBANK","06-Nov-2006","25-Jan-2007","0","0","0","425.35","0","445.55","0","0","0","0","        438.05"
"UTIBANK","07-Nov-2006","30-Nov-2006","441.9","442","422","427.15","429.9","427.15","373","1448.91","389700","24300","        424.85"
"UTIBANK","07-Nov-2006","28-Dec-2006","436","436","431.5","431.5","431.5","429.45","9","35.15","3600","0","        424.85"
"UTIBANK","07-Nov-2006","25-Jan-2007","0","0","0","425.35","0","432","0","0","0","0","        424.85"
"UTIBANK","08-Nov-2006","30-Nov-2006","425","436.95","420.1","432.85","436","432.85","444","1714.09","332100","-57600","        432.35"
"UTIBANK","08-Nov-2006","28-Dec-2006","423","428","423","428","428","437","2","7.66","2700","-900","        432.35"
"UTIBANK","08-Nov-2006","25-Jan-2007","0","0","0","425.35","0","439.6","0","0","0","0","        432.35"
"UTIBANK","09-Nov-2006","30-Nov-2006","438","441","433","437.7","437.5","437.7","249","981.71","339300","7200","        437.80"
"UTIBANK","09-Nov-2006","28-Dec-2006","441","441.4","441","441.4","441.4","442.35","2","7.94","3600","900","        437.80"
"UTIBANK","09-Nov-2006","25-Jan-2007","0","0","0","425.35","0","444.95","0","0","0","0","        437.80"
"UTIBANK","10-Nov-2006","30-Nov-2006","437","449.5","437","444","445.7","444","651","2609.57","399600","60300","        445.00"
"UTIBANK","10-Nov-2006","28-Dec-2006","442","450","442","443","443","449.55","7","28.13","3600","0","        445.00"
"UTIBANK","10-Nov-2006","25-Jan-2007","0","0","0","425.35","0","452.2","0","0","0","0","        445.00"
"UTIBANK","13-Nov-2006","30-Nov-2006","447.4","458","446.1","453.65","454.5","453.65","880","3591.21","446400","46800","        451.90"
"UTIBANK","13-Nov-2006","28-Dec-2006","455","458","452.5","455","455","456.2","5","20.47","6300","2700","        451.90"
