"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"AXISBANK","01-Sep-2014","25-Sep-2014","398.75","408.5","396","407.45","408.4","407.45","10995","55480.37","26272500","1775000","        405.40"
"AXISBANK","01-Sep-2014","30-Oct-2014","401.15","410.5","400.35","409.9","410.35","409.9","87","440.94","147500","36250","        405.40"
"AXISBANK","01-Sep-2014","27-Nov-2014","411","411","411","411","411","414.1","1","5.14","1250","1250","        405.40"
"AXISBANK","02-Sep-2014","25-Sep-2014","408.3","413.1","407.3","410.4","410","410.4","11088","56853.69","26038750","-233750","        409.25"
"AXISBANK","02-Sep-2014","30-Oct-2014","411.25","415","410.3","412.4","411.8","412.4","84","433.16","166250","18750","        409.25"
"AXISBANK","02-Sep-2014","27-Nov-2014","415","415","414.2","414.55","414.55","418","4","20.73","3750","2500","        409.25"
"AXISBANK","03-Sep-2014","25-Sep-2014","411.75","416.2","409.25","414.7","415.05","414.7","11220","57962.51","25371250","-667500","        413.70"
"AXISBANK","03-Sep-2014","30-Oct-2014","414.2","418.25","411.5","417.2","417","417.2","104","539.99","178750","12500","        413.70"
"AXISBANK","03-Sep-2014","27-Nov-2014","414.75","420.35","414.75","418.7","418.7","422.4","3","15.67","3750","0","        413.70"
"AXISBANK","04-Sep-2014","25-Sep-2014","410.45","418.3","410","417.7","417.55","417.7","11393","58980.6","25778750","407500","        416.40"
"AXISBANK","04-Sep-2014","30-Oct-2014","413.95","420.25","412.7","419.9","420.2","419.9","88","458.3","218750","40000","        416.40"
"AXISBANK","04-Sep-2014","27-Nov-2014","417.05","422.9","417.05","422.9","422.9","422.9","2","10.5","5000","1250","        416.40"
"AXISBANK","05-Sep-2014","25-Sep-2014","418.3","420.35","414.3","416.15","415.9","416.15","8517","44384.12","24870000","-908750","        415.95"
"AXISBANK","05-Sep-2014","30-Oct-2014","421","422.25","417","418.5","418.45","418.5","90","471.55","230000","11250","        415.95"
"AXISBANK","05-Sep-2014","27-Nov-2014","422.6","422.6","422.6","422.6","422.6","424.45","1","5.28","6250","1250","        415.95"
"AXISBANK","08-Sep-2014","25-Sep-2014","417.55","424.4","414.75","422","421.55","422","8673","45473.32","25465000","595000","        420.75"
"AXISBANK","08-Sep-2014","30-Oct-2014","422.45","426.1","417.25","424.8","424.3","424.8","107","564.16","242500","12500","        420.75"
"AXISBANK","08-Sep-2014","27-Nov-2014","0","0","0","422.6","422.6","429.05","0","0","6250","0","        420.75"
"AXISBANK","09-Sep-2014","25-Sep-2014","420.85","422.45","416.25","420.05","420.35","420.05","5916","31007.45","25306250","-158750","        418.70"
"AXISBANK","09-Sep-2014","30-Oct-2014","422.25","424.75","419.4","422.6","422.05","422.6","94","495.72","276250","33750","        418.70"
"AXISBANK","09-Sep-2014","27-Nov-2014","425.5","425.5","425.5","425.5","425.5","425.5","1","5.32","7500","1250","        418.70"
"AXISBANK","10-Sep-2014","25-Sep-2014","420","420","415.1","418.55","419.65","418.55","6101","31807.73","25433750","127500","        416.50"
"AXISBANK","10-Sep-2014","30-Oct-2014","418.1","422.3","417.55","421.3","422.2","421.3","1170","6133.98","1606250","1330000","        416.50"
"AXISBANK","10-Sep-2014","27-Nov-2014","420.8","422","420.4","421.2","421.2","424.55","7","36.88","11250","3750","        416.50"
"AXISBANK","11-Sep-2014","25-Sep-2014","419.95","424.7","417.1","419.55","419.65","419.55","8865","46616.81","24997500","-436250","        418.50"
"AXISBANK","11-Sep-2014","30-Oct-2014","425","427.3","419.8","421.65","421.85","421.65","192","1016.91","1680000","73750","        418.50"
