"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BAJAJ-AUTO","01-Jul-2015","30-Jul-2015","2495.2","2508.5","2475","2484.6","2487","2484.6","3716","11554.61","1518875","36500","       2526.25"
"BAJAJ-AUTO","01-Jul-2015","27-Aug-2015","2510","2510","2490","2497.7","2496","2497.7","55","171.86","12875","1500","       2526.25"
"BAJAJ-AUTO","01-Jul-2015","24-Sep-2015","0","0","0","2555.4","0","2574.45","0","0","0","0","       2526.25"
"BAJAJ-AUTO","02-Jul-2015","30-Jul-2015","2490.25","2544.4","2483.1","2519.95","2522","2519.95","7207","22726.8","1489750","-29125","       2566.20"
"BAJAJ-AUTO","02-Jul-2015","27-Aug-2015","2500.8","2554","2500.8","2532.6","2530.85","2532.6","115","364.62","17625","4750","       2566.20"
"BAJAJ-AUTO","02-Jul-2015","24-Sep-2015","0","0","0","2555.4","0","2614.3","0","0","0","0","       2566.20"
"BAJAJ-AUTO","03-Jul-2015","30-Jul-2015","2528.5","2567.55","2528.5","2546.55","2548.4","2546.55","4377","13953.34","1531750","42000","       2588.00"
"BAJAJ-AUTO","03-Jul-2015","27-Aug-2015","2551.85","2576.35","2550","2560.2","2560.15","2560.2","68","218.07","19250","1625","       2588.00"
"BAJAJ-AUTO","03-Jul-2015","24-Sep-2015","0","0","0","2555.4","0","2635.9","0","0","0","0","       2588.00"
"BAJAJ-AUTO","06-Jul-2015","30-Jul-2015","2528","2562.9","2524","2556.1","2555.45","2556.1","3412","10871.09","1518750","-13000","       2595.35"
"BAJAJ-AUTO","06-Jul-2015","27-Aug-2015","2545","2573.9","2536.85","2567.85","2569.75","2567.85","40","127.9","19625","375","       2595.35"
"BAJAJ-AUTO","06-Jul-2015","24-Sep-2015","2575","2575","2572","2572","2572","2641.2","2","6.43","250","250","       2595.35"
"BAJAJ-AUTO","07-Jul-2015","30-Jul-2015","2581.85","2581.85","2539.8","2557.35","2561.6","2557.35","2322","7414.91","1487125","-31625","       2603.70"
"BAJAJ-AUTO","07-Jul-2015","27-Aug-2015","2576","2576.15","2561.35","2569.9","2575","2569.9","24","77.08","19875","250","       2603.70"
"BAJAJ-AUTO","07-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2648.7","0","0","250","0","       2603.70"
"BAJAJ-AUTO","08-Jul-2015","30-Jul-2015","2546.05","2562.15","2522","2533.3","2536.1","2533.3","3922","12453.45","1507875","20750","       2571.45"
"BAJAJ-AUTO","08-Jul-2015","27-Aug-2015","2550.65","2573","2540","2545.2","2543.95","2545.2","70","223.47","20375","500","       2571.45"
"BAJAJ-AUTO","08-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2615.55","0","0","250","0","       2571.45"
"BAJAJ-AUTO","09-Jul-2015","30-Jul-2015","2540.2","2563","2511.3","2522.2","2523.45","2522.2","3617","11485.17","1508875","1000","       2511.25"
"BAJAJ-AUTO","09-Jul-2015","27-Aug-2015","2555.45","2572.7","2524.75","2532.8","2532.75","2532.8","55","175.63","21375","1000","       2511.25"
"BAJAJ-AUTO","09-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2553.8","0","0","250","0","       2511.25"
"BAJAJ-AUTO","10-Jul-2015","30-Jul-2015","2530.6","2533.8","2466.35","2479","2479.35","2479","4464","13876.5","1534000","25125","       2466.80"
"BAJAJ-AUTO","10-Jul-2015","27-Aug-2015","2529.35","2529.35","2480","2492.75","2492.2","2492.75","67","208.98","23500","2125","       2466.80"
"BAJAJ-AUTO","10-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2508.1","0","0","250","0","       2466.80"
"BAJAJ-AUTO","13-Jul-2015","30-Jul-2015","2498","2519","2451.1","2508.1","2510.25","2508.1","4417","13750.69","1538500","4500","       2496.85"
"BAJAJ-AUTO","13-Jul-2015","27-Aug-2015","2488.55","2530.3","2466.2","2518","2520.95","2518","56","175.23","22750","-750","       2496.85"
"BAJAJ-AUTO","13-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2536.9","0","0","250","0","       2496.85"
"BAJAJ-AUTO","14-Jul-2015","30-Jul-2015","2520","2530.2","2496.7","2507.75","2508","2507.75","2340","7353.27","1548500","10000","       2498.70"
"BAJAJ-AUTO","14-Jul-2015","27-Aug-2015","2523","2539.25","2513","2521.65","2519.6","2521.65","72","227.26","25375","2625","       2498.70"
"BAJAJ-AUTO","14-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2538.4","0","0","250","0","       2498.70"
"BAJAJ-AUTO","15-Jul-2015","30-Jul-2015","2511.9","2552","2511","2543","2542","2543","4470","14181.61","1590500","42000","       2532.25"
"BAJAJ-AUTO","15-Jul-2015","27-Aug-2015","2524.85","2562.3","2524.85","2557.4","2555.6","2557.4","184","587.2","34250","8875","       2532.25"
"BAJAJ-AUTO","15-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2572.05","0","0","250","0","       2532.25"
"BAJAJ-AUTO","16-Jul-2015","30-Jul-2015","2546","2568.9","2546","2556.65","2553","2556.65","2974","9505.02","1619625","29125","       2545.85"
"BAJAJ-AUTO","16-Jul-2015","27-Aug-2015","2571","2580","2561.45","2567.9","2563.2","2567.9","42","134.89","35250","1000","       2545.85"
"BAJAJ-AUTO","16-Jul-2015","24-Sep-2015","0","0","0","2572","2572","2585.1","0","0","250","0","       2545.85"
"BAJAJ-AUTO","17-Jul-2015","30-Jul-2015","2560","2574.4","2515","2538.15","2543.5","2538.15","2984","9494.9","1647375","27750","       2529.45"
"BAJAJ-AUTO","17-Jul-2015","27-Aug-2015","2584","2584","2526.8","2552.45","2555","2552.45","123","392.05","35750","500","       2529.45"
"BAJAJ-AUTO","17-Jul-2015","24-Sep-2015","2594","2594","2594","2594","2594","2567.85","1","3.24","375","125","       2529.45"
"BAJAJ-AUTO","20-Jul-2015","30-Jul-2015","2530.15","2558.6","2521.1","2529.85","2531.65","2529.85","2491","7894.39","1684875","37500","       2520.95"
