"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BHARTIARTL","01-Nov-2016","24-Nov-2016","318.65","321.65","317.3","317.85","318.75","317.85","1934","9246.9","22633500","-40500","        317.45"
"BHARTIARTL","01-Nov-2016","29-Dec-2016","320","320","317.4","317.8","317.55","317.8","18","86.08","394500","7500","        317.45"
"BHARTIARTL","01-Nov-2016","25-Jan-2017","319.7","319.75","318.75","318.75","318.75","318.75","3","16.29","153000","5100","        317.45"
"BHARTIARTL","02-Nov-2016","24-Nov-2016","316.25","316.85","309.8","310.8","310.25","310.8","2231","10511.11","22300500","-333000","        309.60"
"BHARTIARTL","02-Nov-2016","29-Dec-2016","316","316.1","310","310.45","310.85","310.45","93","439.08","459000","64500","        309.60"
"BHARTIARTL","02-Nov-2016","25-Jan-2017","316.7","316.7","310.7","311","311.15","311","33","176.86","209100","56100","        309.60"
"BHARTIARTL","03-Nov-2016","24-Nov-2016","308.25","316.55","306.6","310.3","310.95","310.3","3714","17353.91","22549500","249000","        308.95"
"BHARTIARTL","03-Nov-2016","29-Dec-2016","308.1","316","307.25","310.1","310.5","310.1","33","153.5","471000","12000","        308.95"
"BHARTIARTL","03-Nov-2016","25-Jan-2017","307.8","307.8","307.8","307.8","307.8","313.7","2","10.47","212500","3400","        308.95"
"BHARTIARTL","04-Nov-2016","24-Nov-2016","308.45","311.95","305.45","307.6","306.55","307.6","2066","9548.21","22608000","58500","        306.70"
"BHARTIARTL","04-Nov-2016","29-Dec-2016","308.1","309.2","305.8","307.4","307.4","307.4","70","323.1","504000","33000","        306.70"
"BHARTIARTL","04-Nov-2016","25-Jan-2017","0","0","0","307.8","307.8","311.35","0","0","212500","0","        306.70"
"BHARTIARTL","07-Nov-2016","24-Nov-2016","308.1","308.35","305","306.45","305","306.45","1464","6748.15","22429500","-178500","        305.60"
"BHARTIARTL","07-Nov-2016","29-Dec-2016","307","308.3","305","306.05","305","306.05","90","415.16","532500","28500","        305.60"
"BHARTIARTL","07-Nov-2016","25-Jan-2017","308.25","308.25","306.25","306.25","306.25","310.1","3","15.68","214200","1700","        305.60"
"BHARTIARTL","08-Nov-2016","24-Nov-2016","305.05","307.5","302.25","305.8","304.3","305.8","1868","8546.29","22522500","93000","        304.90"
"BHARTIARTL","08-Nov-2016","29-Dec-2016","304.85","306.55","302.2","305.1","304.4","305.1","115","525.37","595500","63000","        304.90"
"BHARTIARTL","08-Nov-2016","25-Jan-2017","0","0","0","306.25","306.25","309.3","0","0","214200","0","        304.90"
"BHARTIARTL","09-Nov-2016","24-Nov-2016","295.35","305.55","283.45","302","301.3","302","4337","19359.94","22317000","-205500","        301.00"
"BHARTIARTL","09-Nov-2016","29-Dec-2016","288.05","304.15","284","302.25","302.85","302.25","81","359.34","589500","-6000","        301.00"
"BHARTIARTL","09-Nov-2016","25-Jan-2017","300","300","300","300","300","305.3","2","10.2","214200","0","        301.00"
"BHARTIARTL","10-Nov-2016","24-Nov-2016","303.6","313.9","303.6","309.55","310.85","309.55","2763","12867.11","22213500","-103500","        308.65"
"BHARTIARTL","10-Nov-2016","29-Dec-2016","307.85","313.1","307.7","308.75","307.7","308.75","117","543.9","685500","96000","        308.65"
"BHARTIARTL","10-Nov-2016","25-Jan-2017","311.5","311.5","310.1","310.1","310.1","312.95","2","10.57","215900","1700","        308.65"
"BHARTIARTL","11-Nov-2016","24-Nov-2016","305.25","309.15","299.35","302.05","302.5","302.05","2505","11362.49","22539000","325500","        301.40"
"BHARTIARTL","11-Nov-2016","29-Dec-2016","305.05","305.05","300","301.55","300.8","301.55","126","570.99","766500","81000","        301.40"
"BHARTIARTL","11-Nov-2016","25-Jan-2017","0","0","0","310.1","310.1","305.55","0","0","215900","0","        301.40"
"BHARTIARTL","15-Nov-2016","24-Nov-2016","302.25","306.1","295.05","304.25","305.5","304.25","2742","12365.46","22783500","244500","        302.65"
"BHARTIARTL","15-Nov-2016","29-Dec-2016","301.5","305.75","293.2","303.65","305.75","303.65","137","615.03","850500","84000","        302.65"
"BHARTIARTL","15-Nov-2016","25-Jan-2017","0","0","0","310.1","310.1","306.55","0","0","215900","0","        302.65"
"BHARTIARTL","16-Nov-2016","24-Nov-2016","304","310.85","304","308.9","307.25","308.9","2566","11857","22674000","-109500","        309.65"
"BHARTIARTL","16-Nov-2016","29-Dec-2016","305.15","310","303.7","307.95","306.35","307.95","336","1547.84","1044000","193500","        309.65"
"BHARTIARTL","16-Nov-2016","25-Jan-2017","0","0","0","310.1","310.1","313.55","0","0","215900","0","        309.65"
"BHARTIARTL","17-Nov-2016","24-Nov-2016","310.9","315","296.35","297.95","299.5","297.95","3859","17667.87","22744500","70500","        297.15"
"BHARTIARTL","17-Nov-2016","29-Dec-2016","310.3","314.25","295.75","297.05","298.8","297.05","955","4378","1720500","676500","        297.15"
"BHARTIARTL","17-Nov-2016","25-Jan-2017","0","0","0","310.1","310.1","300.8","0","0","215900","0","        297.15"
"BHARTIARTL","18-Nov-2016","24-Nov-2016","298.9","304.6","295.65","304","304","304","3301","14902.43","22267500","-477000","        303.75"
"BHARTIARTL","18-Nov-2016","29-Dec-2016","298.3","303.3","295.1","302.8","302.65","302.8","1054","4744.53","2776500","1056000","        303.75"
"BHARTIARTL","18-Nov-2016","25-Jan-2017","300","302.75","299.95","299.95","299.95","307.4","3","15.35","215900","0","        303.75"
"BHARTIARTL","21-Nov-2016","24-Nov-2016","304.45","306.1","298.5","299.9","300.6","299.9","6559","29532.15","17794500","-4473000","        299.50"
"BHARTIARTL","21-Nov-2016","29-Dec-2016","301.2","305.35","297.5","298.75","299.3","298.75","5352","23985.82","7516500","4740000","        299.50"
"BHARTIARTL","21-Nov-2016","25-Jan-2017","303.8","303.8","297.65","298.4","298.4","298.4","4","20.44","221000","5100","        299.50"
"BHARTIARTL","22-Nov-2016","24-Nov-2016","300.9","304.2","294.95","303.25","302.5","303.25","8030","36033.19","12565500","-5229000","        303.95"
"BHARTIARTL","22-Nov-2016","29-Dec-2016","299.3","303.9","294.9","302.9","302","302.9","7004","31347.74","14359500","6843000","        303.95"
"BHARTIARTL","22-Nov-2016","25-Jan-2017","296.25","302.2","296.25","302.2","302.2","307.4","4","20.34","226100","5100","        303.95"
"BHARTIARTL","23-Nov-2016","24-Nov-2016","305","307.4","299.35","300.95","302.75","300.95","9298","42161.16","8566500","-3999000","        300.55"
"BHARTIARTL","23-Nov-2016","29-Dec-2016","305.05","306.7","298.5","300.25","302.75","300.25","8392","37962.51","21445500","7086000","        300.55"
