"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BHARTIARTL","01-Sep-2010","30-Sep-2010","330","340.25","329.55","338.65","338.3","338.65","10881","36567.85","23468000","1424000","        337.65"
"BHARTIARTL","01-Sep-2010","28-Oct-2010","333.4","340.95","331.45","339.3","339.05","339.3","312","1050.39","340000","139000","        337.65"
"BHARTIARTL","01-Sep-2010","25-Nov-2010","332","341","332","341","341","343.2","8","27","14000","6000","        337.65"
"BHARTIARTL","02-Sep-2010","30-Sep-2010","341.15","341.75","334.7","335.9","335.5","335.9","6660","22532.07","22503000","-965000","        334.10"
"BHARTIARTL","02-Sep-2010","28-Oct-2010","342.2","342.3","335.7","336.7","337","336.7","167","565.68","377000","37000","        334.10"
"BHARTIARTL","02-Sep-2010","25-Nov-2010","337.5","339.3","337.5","339.3","339.3","339.5","2","6.77","13000","-1000","        334.10"
"BHARTIARTL","03-Sep-2010","30-Sep-2010","336","341.25","335.5","339.55","339.8","339.55","5457","18510.5","22494000","-9000","        339.25"
"BHARTIARTL","03-Sep-2010","28-Oct-2010","337.4","342","337","340.4","340.4","340.4","107","363.72","440000","63000","        339.25"
"BHARTIARTL","03-Sep-2010","25-Nov-2010","0","0","0","339.3","339.3","344.65","0","0","13000","0","        339.25"
"BHARTIARTL","06-Sep-2010","30-Sep-2010","342","344.9","338.2","343.75","344","343.75","5163","17642.56","22145000","-349000","        343.40"
"BHARTIARTL","06-Sep-2010","28-Oct-2010","342.8","345.45","339","344.55","344.25","344.55","157","537.81","499000","59000","        343.40"
"BHARTIARTL","06-Sep-2010","25-Nov-2010","0","0","0","339.3","339.3","348.65","0","0","13000","0","        343.40"
"BHARTIARTL","07-Sep-2010","30-Sep-2010","344.5","347.5","341.5","343.25","343","343.25","4337","14942.42","22431000","286000","        343.55"
"BHARTIARTL","07-Sep-2010","28-Oct-2010","345.55","347.9","342.6","343.85","343.55","343.85","144","496.89","567000","68000","        343.55"
"BHARTIARTL","07-Sep-2010","25-Nov-2010","347.5","347.5","347.5","347.5","347.5","348.8","1","3.48","13000","0","        343.55"
"BHARTIARTL","08-Sep-2010","30-Sep-2010","340.75","352.8","338.5","351.75","352.6","351.75","9864","34254.62","23475000","1044000","        352.00"
