"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","01-Jul-2013","25-Jul-2013","370","376","362.5","374.45","375","374.45","1636","6041.42","2433000","-129000","        374.35"
"BPCL","01-Jul-2013","29-Aug-2013","366.2","376.95","364.5","375.4","376.8","375.4","56","206.96","136000","39000","        374.35"
"BPCL","01-Jul-2013","26-Sep-2013","358.4","358.4","356","356","356","382.05","2","7.14","2000","0","        374.35"
"BPCL","02-Jul-2013","25-Jul-2013","375.9","378.4","371","372.4","372.3","372.4","1210","4539.37","2347000","-86000","        371.55"
"BPCL","02-Jul-2013","29-Aug-2013","377.85","380.45","374.5","374.5","374.5","374.5","12","45.25","138000","2000","        371.55"
"BPCL","02-Jul-2013","26-Sep-2013","0","0","0","356","356","379","0","0","2000","0","        371.55"
"BPCL","03-Jul-2013","25-Jul-2013","370","370","355.25","358.55","359.1","358.55","1360","4901.11","2311000","-36000","        357.40"
"BPCL","03-Jul-2013","29-Aug-2013","366.6","366.6","357.8","359.9","360.8","359.9","64","231.29","174000","36000","        357.40"
"BPCL","03-Jul-2013","26-Sep-2013","352.5","352.5","349.55","349.55","349.55","364.4","2","7.02","4000","2000","        357.40"
"BPCL","04-Jul-2013","25-Jul-2013","360.1","368.6","357.3","366.25","368.3","366.25","1083","3939.25","2493000","182000","        366.60"
"BPCL","04-Jul-2013","29-Aug-2013","359.7","368.5","359.7","368","368.5","368","9","32.78","175000","1000","        366.60"
"BPCL","04-Jul-2013","26-Sep-2013","0","0","0","349.55","349.55","373.65","0","0","4000","0","        366.60"
"BPCL","05-Jul-2013","25-Jul-2013","368","369.7","362.3","366.8","368","366.8","1004","3671.28","2503000","10000","        365.40"
"BPCL","05-Jul-2013","29-Aug-2013","369.6","369.6","364.7","368.4","369.4","368.4","20","73.5","176000","1000","        365.40"
"BPCL","05-Jul-2013","26-Sep-2013","0","0","0","349.55","349.55","372.25","0","0","4000","0","        365.40"
"BPCL","08-Jul-2013","25-Jul-2013","362","362.25","346.55","347.65","347.3","347.65","2072","7257.06","2779000","276000","        345.70"
"BPCL","08-Jul-2013","29-Aug-2013","361.7","361.7","347.8","349","348.5","349","138","483.38","260000","84000","        345.70"
"BPCL","08-Jul-2013","26-Sep-2013","346.15","346.15","342.65","342.65","342.65","352","3","10.34","7000","3000","        345.70"
"BPCL","09-Jul-2013","25-Jul-2013","351.1","355","346.25","347.4","346.5","347.4","1231","4311.94","2695000","-84000","        345.60"
"BPCL","09-Jul-2013","29-Aug-2013","353.55","356.05","349","349.5","349","349.5","35","123.3","260000","0","        345.60"
"BPCL","09-Jul-2013","26-Sep-2013","0","0","0","342.65","342.65","351.85","0","0","7000","0","        345.60"
"BPCL","10-Jul-2013","25-Jul-2013","347.55","347.55","335.5","336.55","337.4","336.55","1388","4725.82","2844000","149000","        335.05"
"BPCL","10-Jul-2013","29-Aug-2013","347.3","347.3","338","338.45","338.8","338.45","48","164.63","243000","-17000","        335.05"
