"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","02-May-2006","25-May-2006","431","444.7","423.05","438.25","442.2","438.25","896","2129.06","1145650","31900","        441.70"
"BPCL","02-May-2006","29-Jun-2006","430","438.8","425","433.6","438.8","433.6","7","16.55","3300","2200","        441.70"
"BPCL","02-May-2006","27-Jul-2006","0","0","0","443.35","0","448.9","0","0","0","0","        441.70"
"BPCL","03-May-2006","25-May-2006","447","448.9","439","445.85","446.5","445.85","1101","2696.88","1189650","44000","        453.70"
"BPCL","03-May-2006","29-Jun-2006","444","444","440.5","440.5","440.5","458.65","2","4.86","3300","0","        453.70"
"BPCL","03-May-2006","27-Jul-2006","0","0","0","443.35","0","461.05","0","0","0","0","        453.70"
"BPCL","04-May-2006","25-May-2006","447.9","489","445.05","476.1","487.05","476.1","2680","6843.62","1283150","93500","        481.55"
"BPCL","04-May-2006","29-Jun-2006","451","477","451","471.95","477","471.95","27","69.05","11000","7700","        481.55"
"BPCL","04-May-2006","27-Jul-2006","0","0","0","443.35","0","489.3","0","0","0","0","        481.55"
"BPCL","05-May-2006","25-May-2006","495","502","478","486.55","489","486.55","2555","6861.31","1339250","56100","        484.30"
"BPCL","05-May-2006","29-Jun-2006","481.05","497","478.95","482.9","485","482.9","15","39.82","13750","2750","        484.30"
"BPCL","05-May-2006","27-Jul-2006","0","0","0","443.35","0","492.05","0","0","0","0","        484.30"
"BPCL","08-May-2006","25-May-2006","493","494.25","483","484.6","485","484.6","864","2315.93","1369500","30250","        483.45"
"BPCL","08-May-2006","29-Jun-2006","480.5","484.95","480","484.95","484.95","488.3","5","13.23","13200","-550","        483.45"
"BPCL","08-May-2006","27-Jul-2006","0","0","0","443.35","0","490.95","0","0","0","0","        483.45"
"BPCL","09-May-2006","25-May-2006","487.3","487.3","462.5","474.45","474.9","474.45","982","2559.75","1388750","19250","        471.80"
"BPCL","09-May-2006","29-Jun-2006","485","485","463","470.45","470.5","470.45","19","49.17","16500","3300","        471.80"
"BPCL","09-May-2006","27-Jul-2006","0","0","0","443.35","0","479.05","0","0","0","0","        471.80"
"BPCL","10-May-2006","25-May-2006","466","476.5","464.35","468","468.25","468","1071","2762.42","1544400","155650","        464.10"
"BPCL","10-May-2006","29-Jun-2006","464","472","464","466.5","466","466.5","15","38.44","22550","6050","        464.10"
"BPCL","10-May-2006","27-Jul-2006","0","0","0","443.35","0","471.1","0","0","0","0","        464.10"
