"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","02-Sep-2013","26-Sep-2013","267","271.8","262.3","268.6","268.5","268.6","2455","6547.91","3352000","240000","        276.40"
"BPCL","02-Sep-2013","31-Oct-2013","267.85","270.15","267","269.95","269.85","269.95","12","32.27","24000","6000","        276.40"
"BPCL","02-Sep-2013","28-Nov-2013","0","0","0","277.85","0","284","0","0","0","0","        276.40"
"BPCL","03-Sep-2013","26-Sep-2013","269.75","271","252.1","257.7","257.45","257.7","2716","7137.26","3378000","26000","        266.95"
"BPCL","03-Sep-2013","31-Oct-2013","272.15","272.15","255","259","259.1","259","28","73.7","39000","15000","        266.95"
"BPCL","03-Sep-2013","28-Nov-2013","0","0","0","277.85","0","274.15","0","0","0","0","        266.95"
"BPCL","04-Sep-2013","26-Sep-2013","254.5","264.5","254.5","261.5","260.6","261.5","2094","5453.4","3627000","249000","        270.85"
"BPCL","04-Sep-2013","31-Oct-2013","260.75","264.95","259.6","263.7","263.45","263.7","22","57.7","40000","1000","        270.85"
"BPCL","04-Sep-2013","28-Nov-2013","0","0","0","277.85","0","278.3","0","0","0","0","        270.85"
"BPCL","05-Sep-2013","26-Sep-2013","264.35","279.45","264.35","277.95","279.1","277.95","3101","8490.01","3724000","97000","        287.30"
"BPCL","05-Sep-2013","31-Oct-2013","267.95","280.95","267.95","280.85","280.75","280.85","42","115.86","46000","6000","        287.30"
"BPCL","05-Sep-2013","28-Nov-2013","0","0","0","277.85","0","295","0","0","0","0","        287.30"
"BPCL","06-Sep-2013","26-Sep-2013","282.15","305.3","277","301.95","300","301.95","5380","15741.21","3463000","-261000","        299.65"
"BPCL","06-Sep-2013","31-Oct-2013","283.45","305.1","278.7","304.3","301","304.3","77","226.17","69000","23000","        299.65"
"BPCL","06-Sep-2013","28-Nov-2013","0","0","0","277.85","0","307.45","0","0","0","0","        299.65"
"BPCL","10-Sep-2013","26-Sep-2013","303.45","308.1","295.4","299.1","298","299.1","2694","8055.19","3152000","-311000","        298.45"
"BPCL","10-Sep-2013","31-Oct-2013","301","305.15","298","300.95","299","300.95","74","222.68","82000","13000","        298.45"
"BPCL","10-Sep-2013","28-Nov-2013","0","0","0","277.85","0","305.65","0","0","0","0","        298.45"
"BPCL","11-Sep-2013","26-Sep-2013","297.1","316.8","297.1","313.65","314.25","313.65","3346","10324.64","3238000","86000","        312.40"
"BPCL","11-Sep-2013","31-Oct-2013","301.7","317.1","301.5","315.9","316.25","315.9","69","214.14","93000","11000","        312.40"
"BPCL","11-Sep-2013","28-Nov-2013","0","0","0","277.85","0","319.85","0","0","0","0","        312.40"
"BPCL","12-Sep-2013","26-Sep-2013","313.95","317.95","302.5","304","304.35","304","2206","6799.94","3020000","-218000","        303.80"
"BPCL","12-Sep-2013","31-Oct-2013","319.55","319.55","306","306.35","306","306.35","75","233.02","92000","-1000","        303.80"
"BPCL","12-Sep-2013","28-Nov-2013","0","0","0","277.85","0","311","0","0","0","0","        303.80"
"BPCL","13-Sep-2013","26-Sep-2013","300.5","308.65","297.7","306.85","307","306.85","2312","7040.37","2971000","-49000","        305.15"
"BPCL","13-Sep-2013","31-Oct-2013","300.65","311","300.65","309.6","310.25","309.6","70","215.62","114000","22000","        305.15"
"BPCL","13-Sep-2013","28-Nov-2013","0","0","0","277.85","0","312.3","0","0","0","0","        305.15"
"BPCL","16-Sep-2013","26-Sep-2013","315.5","323","306.7","318.7","318.35","318.7","3605","11375.44","2968000","-3000","        317.85"
"BPCL","16-Sep-2013","31-Oct-2013","315.3","325.2","308.9","321.4","321.95","321.4","108","341.47","112000","-2000","        317.85"
"BPCL","16-Sep-2013","28-Nov-2013","0","0","0","277.85","0","325.1","0","0","0","0","        317.85"
