"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BRITANNIA","01-Jul-2015","30-Jul-2015","2754.4","2789","2718","2731.75","2740.1","2731.75","1783","6148.95","314500","29125","       2731.55"
"BRITANNIA","01-Jul-2015","27-Aug-2015","2787.7","2787.7","2741.25","2744.2","2741.25","2744.2","5","17.23","375","-125","       2731.55"
"BRITANNIA","01-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2783.65","0","0","0","0","       2731.55"
"BRITANNIA","02-Jul-2015","30-Jul-2015","2755","2763.85","2730.95","2743.4","2748","2743.4","869","2983.33","312375","-2125","       2746.25"
"BRITANNIA","02-Jul-2015","27-Aug-2015","0","0","0","2744.2","2741.25","2780.5","0","0","375","0","       2746.25"
"BRITANNIA","02-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2797.75","0","0","0","0","       2746.25"
"BRITANNIA","03-Jul-2015","30-Jul-2015","2759.35","2784","2742","2762.3","2767","2762.3","1373","4747.59","306750","-5625","       2770.70"
"BRITANNIA","03-Jul-2015","27-Aug-2015","2768","2770.65","2768","2770.65","2770.65","2804.6","10","34.61","1625","1250","       2770.70"
"BRITANNIA","03-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2821.95","0","0","0","0","       2770.70"
"BRITANNIA","06-Jul-2015","30-Jul-2015","2746.6","2815","2746.45","2783.9","2787.05","2783.9","2543","8869.85","342375","35625","       2785.65"
"BRITANNIA","06-Jul-2015","27-Aug-2015","2795.05","2815","2795.05","2803","2803","2817.55","9","31.57","2250","625","       2785.65"
"BRITANNIA","06-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2834.9","0","0","0","0","       2785.65"
"BRITANNIA","07-Jul-2015","30-Jul-2015","2800","2824","2761","2776.65","2780","2776.65","1730","6051.1","332625","-9750","       2787.50"
"BRITANNIA","07-Jul-2015","27-Aug-2015","2806.85","2830","2788.6","2788.6","2788.6","2788.6","14","49.27","2250","0","       2787.50"
"BRITANNIA","07-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2835.65","0","0","0","0","       2787.50"
"BRITANNIA","08-Jul-2015","30-Jul-2015","2770.45","2797","2752.55","2780.55","2784","2780.55","1167","4053.9","328125","-4500","       2791.90"
"BRITANNIA","08-Jul-2015","27-Aug-2015","2782.55","2808.15","2780","2798.9","2798.9","2822.5","6","20.92","2500","250","       2791.90"
"BRITANNIA","08-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2839.75","0","0","0","0","       2791.90"
"BRITANNIA","09-Jul-2015","30-Jul-2015","2791.2","2824","2785.6","2817.35","2822.5","2817.35","1849","6502.62","338875","10750","       2823.90"
"BRITANNIA","09-Jul-2015","27-Aug-2015","2817.7","2836.85","2817.65","2828.35","2828.35","2854.25","8","28.25","3000","500","       2823.90"
"BRITANNIA","09-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2871.75","0","0","0","0","       2823.90"
"BRITANNIA","10-Jul-2015","30-Jul-2015","2832.85","2847","2814.5","2832.5","2830.95","2832.5","1270","4494.18","342500","3625","       2839.05"
"BRITANNIA","10-Jul-2015","27-Aug-2015","2852.05","2852.05","2831","2848.35","2848.35","2848.35","5","17.77","3375","375","       2839.05"
"BRITANNIA","10-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2886.6","0","0","0","0","       2839.05"
"BRITANNIA","13-Jul-2015","30-Jul-2015","2821","2854.9","2821","2834.3","2831","2834.3","833","2960.4","343375","875","       2845.60"
"BRITANNIA","13-Jul-2015","27-Aug-2015","2841","2865","2835.05","2848","2846","2848","18","64.1","4000","625","       2845.60"
"BRITANNIA","13-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2891.25","0","0","0","0","       2845.60"
"BRITANNIA","14-Jul-2015","30-Jul-2015","2843.95","2848.95","2817","2829.5","2835","2829.5","691","2445.39","350875","7500","       2831.30"
"BRITANNIA","14-Jul-2015","27-Aug-2015","2838.65","2853.1","2838.65","2844.95","2847.75","2844.95","33","117.41","5250","1250","       2831.30"
"BRITANNIA","14-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2876.3","0","0","0","0","       2831.30"
"BRITANNIA","15-Jul-2015","30-Jul-2015","2846.95","2847","2817.5","2829.95","2835","2829.95","572","2023.75","350375","-500","       2832.90"
"BRITANNIA","15-Jul-2015","27-Aug-2015","2859","2859","2836","2844.45","2846.2","2844.45","100","355.59","15625","10375","       2832.90"
"BRITANNIA","15-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2877.4","0","0","0","0","       2832.90"
"BRITANNIA","16-Jul-2015","30-Jul-2015","2836","2852","2826.5","2838.55","2843","2838.55","637","2261.21","359250","8875","       2842.10"
"BRITANNIA","16-Jul-2015","27-Aug-2015","2849.25","2860","2844","2848.95","2848.95","2868.3","30","106.86","18625","3000","       2842.10"
"BRITANNIA","16-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2885.9","0","0","0","0","       2842.10"
"BRITANNIA","17-Jul-2015","30-Jul-2015","2852.95","2915.6","2832.2","2874.3","2870.95","2874.3","2074","7478.33","385625","26375","       2878.45"
"BRITANNIA","17-Jul-2015","27-Aug-2015","2859.65","2928","2847.3","2887.35","2882","2887.35","62","223.99","20500","1875","       2878.45"
"BRITANNIA","17-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2922.15","0","0","0","0","       2878.45"
"BRITANNIA","20-Jul-2015","30-Jul-2015","2879.95","2889","2861.5","2875.2","2873.1","2875.2","595","2139.58","376375","-9250","       2881.90"
"BRITANNIA","20-Jul-2015","27-Aug-2015","2897.5","2902","2880","2889.95","2884.7","2889.95","58","209.61","21750","1250","       2881.90"
"BRITANNIA","20-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2923.2","0","0","0","0","       2881.90"
"BRITANNIA","21-Jul-2015","30-Jul-2015","2873","2878","2837.55","2859.6","2858","2859.6","575","2054.86","364625","-11750","       2875.15"
"BRITANNIA","21-Jul-2015","27-Aug-2015","2881","2883.4","2855","2875.85","2877.05","2875.85","59","211.63","24000","2250","       2875.15"
"BRITANNIA","21-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2916.1","0","0","0","0","       2875.15"
"BRITANNIA","22-Jul-2015","30-Jul-2015","2859.95","2860","2836","2851.85","2853","2851.85","501","1784.92","376875","12250","       2856.90"
"BRITANNIA","22-Jul-2015","27-Aug-2015","2860","2875","2853","2864.4","2865","2864.4","110","393.76","32625","8625","       2856.90"
"BRITANNIA","22-Jul-2015","24-Sep-2015","0","0","0","2748.55","0","2897","0","0","0","0","       2856.90"
