"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","02-Jan-2012","25-Jan-2012","320.1","325.9","319.05","322.85","323.2","322.85","623","2015.39","2996000","-10000","        320.75"
"CIPLA","02-Jan-2012","23-Feb-2012","324.35","326.85","324.35","326.15","326.15","325.25","3","9.77","18000","2000","        320.75"
"CIPLA","02-Jan-2012","29-Mar-2012","0","0","0","329.45","0","328.35","0","0","0","0","        320.75"
"CIPLA","03-Jan-2012","25-Jan-2012","324.25","331","324.25","329.8","330.15","329.8","824","2704.71","3046000","50000","        327.95"
"CIPLA","03-Jan-2012","23-Feb-2012","327.05","332.1","327.05","331.85","331.95","331.85","28","92.25","39000","21000","        327.95"
"CIPLA","03-Jan-2012","29-Mar-2012","0","0","0","329.45","0","335.6","0","0","0","0","        327.95"
"CIPLA","04-Jan-2012","25-Jan-2012","330","333.95","327","332.05","331.8","332.05","1108","3669.41","2968000","-78000","        330.85"
"CIPLA","04-Jan-2012","23-Feb-2012","330.95","335.85","330.7","333.85","334","333.85","21","70.04","46000","7000","        330.85"
"CIPLA","04-Jan-2012","29-Mar-2012","0","0","0","329.45","0","338.55","0","0","0","0","        330.85"
"CIPLA","05-Jan-2012","25-Jan-2012","334.75","340.3","332.75","337.35","337.35","337.35","1743","5879.24","3500000","532000","        335.00"
"CIPLA","05-Jan-2012","23-Feb-2012","333.3","341","333.3","339","339","339","54","182.52","77000","31000","        335.00"
"CIPLA","05-Jan-2012","29-Mar-2012","0","0","0","329.45","0","342.65","0","0","0","0","        335.00"
"CIPLA","06-Jan-2012","25-Jan-2012","337.25","341.45","334.15","340.1","340.85","340.1","1448","4897.56","3605000","105000","        338.45"
"CIPLA","06-Jan-2012","23-Feb-2012","339.7","342.8","336.15","342.25","342.05","342.25","68","230.9","102000","25000","        338.45"
"CIPLA","06-Jan-2012","29-Mar-2012","0","0","0","329.45","0","346.1","0","0","0","0","        338.45"
"CIPLA","07-Jan-2012","25-Jan-2012","339.5","339.5","337.1","337.7","338.1","337.7","169","571.15","3580000","-25000","        335.80"
"CIPLA","07-Jan-2012","23-Feb-2012","340.6","340.6","339.8","339.9","339.9","339.9","4","13.6","102000","0","        335.80"
"CIPLA","07-Jan-2012","29-Mar-2012","0","0","0","329.45","0","343.3","0","0","0","0","        335.80"
"CIPLA","09-Jan-2012","25-Jan-2012","337","347.4","334.75","346.15","347.25","346.15","1959","6698.28","3749000","169000","        344.65"
"CIPLA","09-Jan-2012","23-Feb-2012","338.1","349.55","337.1","348.85","349.55","348.85","91","313.46","135000","33000","        344.65"
"CIPLA","09-Jan-2012","29-Mar-2012","0","0","0","329.45","0","352.2","0","0","0","0","        344.65"
"CIPLA","10-Jan-2012","25-Jan-2012","347","350.45","345","347.6","348","347.6","1460","5083.18","3760000","11000","        345.80"
"CIPLA","10-Jan-2012","23-Feb-2012","349.5","352.3","348","349.75","350","349.75","54","189.14","161000","26000","        345.80"
"CIPLA","10-Jan-2012","29-Mar-2012","0","0","0","329.45","0","353.25","0","0","0","0","        345.80"
"CIPLA","11-Jan-2012","25-Jan-2012","347.7","348.05","341.5","342.35","342.35","342.35","995","3420.56","3599000","-161000","        340.55"
"CIPLA","11-Jan-2012","23-Feb-2012","350","350","344","344.6","345.25","344.6","58","200.64","173000","12000","        340.55"
"CIPLA","11-Jan-2012","29-Mar-2012","0","0","0","329.45","0","347.75","0","0","0","0","        340.55"
"CIPLA","12-Jan-2012","25-Jan-2012","341.65","346.6","339.25","341.6","343.4","341.6","1109","3802.32","3640000","41000","        338.95"
"CIPLA","12-Jan-2012","23-Feb-2012","344","347.7","343","345.2","345.2","345.2","34","117.43","183000","10000","        338.95"
"CIPLA","12-Jan-2012","29-Mar-2012","0","0","0","329.45","0","346","0","0","0","0","        338.95"
"CIPLA","13-Jan-2012","25-Jan-2012","342.5","343.85","336.9","340.3","340","340.3","1240","4221.42","3534000","-106000","        338.50"
"CIPLA","13-Jan-2012","23-Feb-2012","343","345.9","339.75","341.95","341.95","342.25","132","452.45","259000","76000","        338.50"
"CIPLA","13-Jan-2012","29-Mar-2012","0","0","0","329.45","0","345.45","0","0","0","0","        338.50"
"CIPLA","16-Jan-2012","25-Jan-2012","339","339","333.6","334.65","334.05","334.65","882","2953.98","3479000","-55000","        332.45"
"CIPLA","16-Jan-2012","23-Feb-2012","340","340","336.3","337.3","336.8","337.3","121","407.79","340000","81000","        332.45"
"CIPLA","16-Jan-2012","29-Mar-2012","0","0","0","329.45","0","339.05","0","0","0","0","        332.45"
"CIPLA","17-Jan-2012","25-Jan-2012","334","341.8","333.05","340.05","340.5","340.05","1074","3639.23","3505000","26000","        338.30"
"CIPLA","17-Jan-2012","23-Feb-2012","337.4","344.15","337.4","342.55","342.9","342.55","124","424.46","427000","87000","        338.30"
"CIPLA","17-Jan-2012","29-Mar-2012","342.55","342.55","342.55","342.55","342.55","344.95","1","3.43","0","0","        338.30"
"CIPLA","18-Jan-2012","25-Jan-2012","339.9","344.5","332.6","333.7","332.6","333.7","1578","5337.42","3333000","-172000","        332.40"
"CIPLA","18-Jan-2012","23-Feb-2012","343.15","346.7","335.55","336.2","335.55","336.2","272","925.56","624000","197000","        332.40"
"CIPLA","18-Jan-2012","29-Mar-2012","0","0","0","342.55","342.55","338.8","0","0","0","0","        332.40"
"CIPLA","19-Jan-2012","25-Jan-2012","336","336.7","329","333.35","333.9","333.35","1169","3886.59","3019000","-314000","        332.00"
"CIPLA","19-Jan-2012","23-Feb-2012","337.75","338.45","331.95","336.05","336.7","336.05","381","1276.74","889000","265000","        332.00"
"CIPLA","19-Jan-2012","29-Mar-2012","0","0","0","342.55","342.55","338.35","0","0","0","0","        332.00"
"CIPLA","20-Jan-2012","25-Jan-2012","333.2","340.9","332.1","338.7","340.8","338.7","1609","5405.49","2539000","-480000","        337.85"
"CIPLA","20-Jan-2012","23-Feb-2012","337","343.65","335.45","341.65","342.55","341.65","820","2772.37","1509000","620000","        337.85"
"CIPLA","20-Jan-2012","29-Mar-2012","0","0","0","342.55","342.55","344.15","0","0","0","0","        337.85"
"CIPLA","23-Jan-2012","25-Jan-2012","341.75","344.35","338.5","341.95","342.4","341.95","1233","4217.6","2136000","-403000","        341.65"
"CIPLA","23-Jan-2012","23-Feb-2012","344.6","347.3","341.35","344.85","345","344.85","684","2360","1935000","426000","        341.65"
"CIPLA","23-Jan-2012","29-Mar-2012","0","0","0","342.55","342.55","347.8","0","0","0","0","        341.65"
"CIPLA","24-Jan-2012","25-Jan-2012","344.25","346.45","342","344.4","344.15","344.4","2104","7247.77","1297000","-839000","        344.60"
"CIPLA","24-Jan-2012","23-Feb-2012","345.8","349.4","345","347.35","347.15","347.35","1279","4442.96","2777000","842000","        344.60"
