"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","02-Jul-2007","26-Jul-2007","211","214.4","211","211.8","211.75","211.8","3124","8306.18","10495000","228750","        210.05"
"CIPLA","02-Jul-2007","30-Aug-2007","214.05","214.75","212","212.4","212.7","212.4","34","90.59","43750","7500","        210.05"
"CIPLA","02-Jul-2007","27-Sep-2007","0","0","0","207.4","0","214.8","0","0","0","0","        210.05"
"CIPLA","03-Jul-2007","26-Jul-2007","212.9","217.75","212.5","215.3","215","215.3","5409","14575.74","10672500","177500","        213.75"
"CIPLA","03-Jul-2007","30-Aug-2007","213.5","217.95","213.15","216.1","215.65","216.1","32","86.5","57500","13750","        213.75"
"CIPLA","03-Jul-2007","27-Sep-2007","0","0","0","207.4","0","218.4","0","0","0","0","        213.75"
"CIPLA","04-Jul-2007","26-Jul-2007","215.9","221.4","214.5","219.9","219.5","219.9","8564","23422.33","10333750","-338750","        218.20"
"CIPLA","04-Jul-2007","30-Aug-2007","216","221","215.1","220.1","219.55","220.1","44","120.32","71250","13750","        218.20"
"CIPLA","04-Jul-2007","27-Sep-2007","0","0","0","207.4","0","222.7","0","0","0","0","        218.20"
"CIPLA","05-Jul-2007","26-Jul-2007","220.8","222.5","216.5","218.2","218","218.2","5950","16318.61","11053750","720000","        216.35"
"CIPLA","05-Jul-2007","30-Aug-2007","220.75","222.35","216.15","218.4","218.5","218.4","50","137.28","92500","21250","        216.35"
"CIPLA","05-Jul-2007","27-Sep-2007","0","0","0","207.4","0","220.7","0","0","0","0","        216.35"
"CIPLA","06-Jul-2007","26-Jul-2007","219.75","220.8","213.5","214.15","214.7","214.15","5127","13891.16","12716250","1662500","        212.25"
"CIPLA","06-Jul-2007","30-Aug-2007","201.6","221","201.15","214.15","214.4","214.15","93","250.62","167500","75000","        212.25"
"CIPLA","06-Jul-2007","27-Sep-2007","0","0","0","207.4","0","216.4","0","0","0","0","        212.25"
"CIPLA","09-Jul-2007","26-Jul-2007","216","217.25","212.15","212.9","212.9","212.9","2331","6251.04","13478750","762500","        211.40"
"CIPLA","09-Jul-2007","30-Aug-2007","214","217.5","212.9","213.45","213.15","213.45","47","126.04","197500","30000","        211.40"
"CIPLA","09-Jul-2007","27-Sep-2007","0","0","0","207.4","0","215.15","0","0","0","0","        211.40"
"CIPLA","10-Jul-2007","26-Jul-2007","213.25","215.2","212.1","212.95","212.9","212.95","2663","7107.97","13468750","-10000","        212.20"
"CIPLA","10-Jul-2007","30-Aug-2007","215","215.35","213","213.45","213.2","213.45","87","232.68","260000","62500","        212.20"
"CIPLA","10-Jul-2007","27-Sep-2007","0","0","0","207.4","0","215.95","0","0","0","0","        212.20"
"CIPLA","11-Jul-2007","26-Jul-2007","211.45","214.7","210.1","212.8","212.75","212.8","1789","4767.49","13550000","81250","        211.80"
"CIPLA","11-Jul-2007","30-Aug-2007","213.35","214.9","213.15","213.5","213.85","213.5","76","203.07","325000","65000","        211.80"
"CIPLA","11-Jul-2007","27-Sep-2007","0","0","0","207.4","0","215.55","0","0","0","0","        211.80"
"CIPLA","12-Jul-2007","26-Jul-2007","214","218.95","214","215.05","215","215.05","3382","9142.58","13796250","246250","        213.30"
"CIPLA","12-Jul-2007","30-Aug-2007","216.5","217.8","215","215.35","215","215.35","200","541.19","420000","95000","        213.30"
"CIPLA","12-Jul-2007","27-Sep-2007","0","0","0","207.4","0","217.05","0","0","0","0","        213.30"
"CIPLA","13-Jul-2007","26-Jul-2007","217","217.1","212.15","212.55","212.95","212.55","2471","6609.47","13786250","-10000","        211.85"
"CIPLA","13-Jul-2007","30-Aug-2007","215.95","216.3","212.55","212.95","213","212.95","228","609.92","607500","187500","        211.85"
"CIPLA","13-Jul-2007","27-Sep-2007","0","0","0","207.4","0","215.5","0","0","0","0","        211.85"
"CIPLA","16-Jul-2007","26-Jul-2007","215.6","216","209.55","209.9","209.85","209.9","2051","5417.35","14097500","311250","        208.55"
"CIPLA","16-Jul-2007","30-Aug-2007","214","214","209.9","210.2","210.4","210.2","314","830.01","910000","302500","        208.55"
"CIPLA","16-Jul-2007","27-Sep-2007","0","0","0","207.4","0","211.95","0","0","0","0","        208.55"
"CIPLA","17-Jul-2007","26-Jul-2007","210.95","212","206.4","207.45","208","207.45","2945","7706.13","14347500","250000","        206.45"
"CIPLA","17-Jul-2007","30-Aug-2007","211.35","212.55","207.05","208.05","208.35","208.05","599","1570.3","1448750","538750","        206.45"
"CIPLA","17-Jul-2007","27-Sep-2007","0","0","0","207.4","0","209.7","0","0","0","0","        206.45"
"CIPLA","18-Jul-2007","26-Jul-2007","207.15","208.3","206.05","207.05","207.1","207.05","1975","5108.17","14173750","-173750","        205.85"
"CIPLA","18-Jul-2007","30-Aug-2007","208.3","208.8","206.55","207.6","207.9","207.6","645","1672.72","1990000","541250","        205.85"
"CIPLA","18-Jul-2007","27-Sep-2007","0","0","0","207.4","0","208.9","0","0","0","0","        205.85"
"CIPLA","19-Jul-2007","26-Jul-2007","207.9","208","206.2","206.7","206.6","206.7","2645","6844.07","13841250","-332500","        205.75"
"CIPLA","19-Jul-2007","30-Aug-2007","207.7","208.45","206.45","206.85","206.85","206.85","1404","3637.58","3207500","1217500","        205.75"
"CIPLA","19-Jul-2007","27-Sep-2007","0","0","0","207.4","0","208.8","0","0","0","0","        205.75"
"CIPLA","20-Jul-2007","26-Jul-2007","207","207.65","200.1","201.15","201","201.15","5455","13836.13","14437500","596250","        200.95"
"CIPLA","20-Jul-2007","30-Aug-2007","207","208.3","201.7","202.45","202","202.45","2343","5975.6","5122500","1915000","        200.95"
"CIPLA","20-Jul-2007","27-Sep-2007","205.05","205.05","204","204","204","203.95","4","10.23","5000","5000","        200.95"
"CIPLA","23-Jul-2007","26-Jul-2007","197.9","198.4","191.65","192.3","192","192.3","8172","19863.48","9981250","-4456250","        191.55"
"CIPLA","23-Jul-2007","30-Aug-2007","194.85","199","191.25","191.9","191.8","191.9","6647","16125.41","10161250","5038750","        191.55"
"CIPLA","23-Jul-2007","27-Sep-2007","196.5","196.5","194","194","194","194","6","14.66","12500","7500","        191.55"
"CIPLA","24-Jul-2007","26-Jul-2007","192","193.4","187.55","188.4","187.9","188.4","4664","11097.76","6795000","-3186250","        188.30"
"CIPLA","24-Jul-2007","30-Aug-2007","191.8","193.2","187.5","188.1","188","188.1","3836","9110.26","12896250","2735000","        188.30"
"CIPLA","24-Jul-2007","27-Sep-2007","191","191","190","190.05","190","190.05","10","23.81","23750","11250","        188.30"
"CIPLA","25-Jul-2007","26-Jul-2007","186","187.65","184.7","186.55","186.7","186.55","3166","7369.7","4556250","-2238750","        186.10"
"CIPLA","25-Jul-2007","30-Aug-2007","185","187","184.2","186.3","186.3","186.3","3419","7945.1","14868750","1972500","        186.10"
"CIPLA","25-Jul-2007","27-Sep-2007","187","191.9","187","190.2","191.9","190.2","6","14.16","30000","6250","        186.10"
"CIPLA","26-Jul-2007","26-Jul-2007","186.6","194.85","186.6","193.55","194.3","194.3","4738","11373.4","1520000","-3036250","        194.30"
"CIPLA","26-Jul-2007","30-Aug-2007","187.5","194.7","186.5","193.9","194.3","193.9","6103","14668.37","17043750","2175000","        194.30"
"CIPLA","26-Jul-2007","27-Sep-2007","191.9","198.9","191.9","194","194","196.9","6","14.64","35000","5000","        194.30"
