"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","01-Mar-2013","28-Mar-2013","361.05","373","357","371.55","371.6","371.55","2919","10712.94","7893000","-92000","        370.10"
"CIPLA","01-Mar-2013","25-Apr-2013","359.1","374.8","359.05","373.95","373.75","373.95","15","55.52","52000","10000","        370.10"
"CIPLA","01-Mar-2013","30-May-2013","0","0","0","368.6","0","378.95","0","0","0","0","        370.10"
"CIPLA","04-Mar-2013","28-Mar-2013","371","374.9","365","373.35","373.75","373.35","1974","7298.36","7574000","-319000","        371.60"
"CIPLA","04-Mar-2013","25-Apr-2013","370.3","376.25","368","375.3","375.3","375.3","20","74.3","53000","1000","        371.60"
"CIPLA","04-Mar-2013","30-May-2013","0","0","0","368.6","0","380","0","0","0","0","        371.60"
"CIPLA","05-Mar-2013","28-Mar-2013","374.4","386","370.9","383.75","381.5","383.75","3156","11967.01","6858000","-716000","        382.30"
"CIPLA","05-Mar-2013","25-Apr-2013","376.5","388","374.5","385.45","383.4","385.45","45","171.16","66000","13000","        382.30"
"CIPLA","05-Mar-2013","30-May-2013","0","0","0","368.6","0","391.25","0","0","0","0","        382.30"
"CIPLA","06-Mar-2013","28-Mar-2013","384.15","385.5","379.55","383.5","383.95","383.5","1503","5757.24","6882000","24000","        382.00"
"CIPLA","06-Mar-2013","25-Apr-2013","384.05","387.5","382.5","386.3","386.5","386.3","29","111.78","82000","16000","        382.00"
"CIPLA","06-Mar-2013","30-May-2013","0","0","0","368.6","0","390.6","0","0","0","0","        382.00"
"CIPLA","07-Mar-2013","28-Mar-2013","382.65","389.1","380.3","388.2","388.45","388.2","1967","7600.52","6785000","-97000","        386.40"
"CIPLA","07-Mar-2013","25-Apr-2013","385.25","390.6","384.25","390.55","390.55","390.55","33","128.3","86000","4000","        386.40"
"CIPLA","07-Mar-2013","30-May-2013","0","0","0","368.6","0","395","0","0","0","0","        386.40"
"CIPLA","08-Mar-2013","28-Mar-2013","388.5","394.2","388.5","393.3","393.8","393.3","2032","7958.22","6447000","-338000","        391.80"
"CIPLA","08-Mar-2013","25-Apr-2013","394","395","393.5","394.95","394.95","396.75","7","27.6","87000","1000","        391.80"
"CIPLA","08-Mar-2013","30-May-2013","0","0","0","368.6","0","400.35","0","0","0","0","        391.80"
"CIPLA","11-Mar-2013","28-Mar-2013","394.3","396.85","390.4","392.6","391","392.6","1428","5628.71","6366000","-81000","        393.35"
"CIPLA","11-Mar-2013","25-Apr-2013","399.3","399.3","393.4","395.15","393.4","395.15","15","59.42","95000","8000","        393.35"
"CIPLA","11-Mar-2013","30-May-2013","0","0","0","368.6","0","401.75","0","0","0","0","        393.35"
"CIPLA","12-Mar-2013","28-Mar-2013","391.6","393.6","388.3","389.3","389.15","389.3","1211","4733.13","6289000","-77000","        387.35"
