"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","01-Nov-2012","29-Nov-2012","368.2","378.9","367.55","377.7","377.75","377.7","3707","13853.37","11000000","103000","        375.30"
"CIPLA","01-Nov-2012","27-Dec-2012","373","380.35","373","380.15","379.75","380.15","13","49.04","38000","6000","        375.30"
"CIPLA","01-Nov-2012","31-Jan-2013","0","0","0","370.5","0","383.55","0","0","0","0","        375.30"
"CIPLA","02-Nov-2012","29-Nov-2012","379","383","377.25","380.4","380.5","380.4","3072","11688.91","11111000","111000","        377.00"
"CIPLA","02-Nov-2012","27-Dec-2012","381.95","385.15","380.5","382.35","382.25","382.35","25","95.74","42000","4000","        377.00"
"CIPLA","02-Nov-2012","31-Jan-2013","385","385","385","385","385","385.2","1","3.85","1000","1000","        377.00"
"CIPLA","05-Nov-2012","29-Nov-2012","381.9","388.4","380","383.6","384.3","383.6","7053","27124.67","11930000","819000","        380.20"
"CIPLA","05-Nov-2012","27-Dec-2012","388","390.2","382.9","385.55","387.1","385.55","49","189.28","54000","12000","        380.20"
"CIPLA","05-Nov-2012","31-Jan-2013","0","0","0","385","385","388.15","0","0","1000","0","        380.20"
"CIPLA","06-Nov-2012","29-Nov-2012","395.2","400.8","390.1","398.5","397.8","398.5","15260","60315.26","10141000","-1789000","        396.85"
"CIPLA","06-Nov-2012","27-Dec-2012","398.75","403.35","393.05","400.75","400.5","400.75","127","505.04","98000","44000","        396.85"
"CIPLA","06-Nov-2012","31-Jan-2013","410.95","410.95","410.95","410.95","410.95","405.05","1","4.11","2000","1000","        396.85"
"CIPLA","07-Nov-2012","29-Nov-2012","398.45","402","395.25","397.5","397.5","397.5","4424","17659.58","9715000","-426000","        396.35"
"CIPLA","07-Nov-2012","27-Dec-2012","400.1","404.45","398","399.95","399.6","399.95","84","337.17","94000","-4000","        396.35"
"CIPLA","07-Nov-2012","31-Jan-2013","404.75","404.75","404","404","404","404.4","3","12.13","4000","2000","        396.35"
"CIPLA","08-Nov-2012","29-Nov-2012","394.7","402.8","392.5","394.8","394.85","394.8","5026","19966.54","9548000","-167000","        393.40"
"CIPLA","08-Nov-2012","27-Dec-2012","398","404.65","396","397.4","397.4","397.4","63","251.43","101000","7000","        393.40"
"CIPLA","08-Nov-2012","31-Jan-2013","402.5","402.8","400.55","400.55","400.55","401.35","4","16.08","6000","2000","        393.40"
"CIPLA","09-Nov-2012","29-Nov-2012","393.25","399.3","393.25","395.15","395.6","395.15","1955","7752.29","9428000","-120000","        393.40"
"CIPLA","09-Nov-2012","27-Dec-2012","399.25","401.45","397.3","397.95","398.35","397.95","48","191.58","103000","2000","        393.40"
"CIPLA","09-Nov-2012","31-Jan-2013","0","0","0","400.55","400.55","401.25","0","0","6000","0","        393.40"
"CIPLA","12-Nov-2012","29-Nov-2012","394.55","397.6","393.2","393.7","393.95","393.7","1227","4842.4","9278000","-150000","        392.05"
"CIPLA","12-Nov-2012","27-Dec-2012","399.45","399.45","396.7","396.7","396.7","396.7","37","147.11","107000","4000","        392.05"
"CIPLA","12-Nov-2012","31-Jan-2013","399.75","399.75","399.75","399.75","399.75","399.6","1","4","6000","0","        392.05"
"CIPLA","13-Nov-2012","29-Nov-2012","393.7","396.55","393.2","394.95","395.2","394.95","575","2271.6","9238000","-40000","        394.15"
"CIPLA","13-Nov-2012","27-Dec-2012","397.9","398.2","396.7","397.4","396.7","397.4","11","43.72","108000","1000","        394.15"
"CIPLA","13-Nov-2012","31-Jan-2013","0","0","0","399.75","399.75","401.65","0","0","6000","0","        394.15"
"CIPLA","15-Nov-2012","29-Nov-2012","392.8","399.4","388.2","391.2","391.6","391.2","2740","10780.47","9556000","318000","        388.80"
"CIPLA","15-Nov-2012","27-Dec-2012","397.15","401.5","391.25","393.85","394.4","393.85","88","348","110000","2000","        388.80"
"CIPLA","15-Nov-2012","31-Jan-2013","397","397.5","397","397.5","397.5","396","3","11.92","7000","1000","        388.80"
"CIPLA","16-Nov-2012","29-Nov-2012","390.65","391.85","380","381.3","380","381.3","2713","10451.63","9526000","-30000","        379.55"
"CIPLA","16-Nov-2012","27-Dec-2012","393.8","393.8","383.25","384.25","383.5","384.25","155","601.27","179000","69000","        379.55"
"CIPLA","16-Nov-2012","31-Jan-2013","388.55","388.55","387","387","387","387","2","7.76","7000","0","        379.55"
"CIPLA","19-Nov-2012","29-Nov-2012","383.85","386.1","381.1","384.8","385.85","384.8","1596","6129.93","9407000","-119000","        382.70"
"CIPLA","19-Nov-2012","27-Dec-2012","385.25","388","384.1","387.5","388","387.5","87","336.5","196000","17000","        382.70"
"CIPLA","19-Nov-2012","31-Jan-2013","390.55","390.55","390.55","390.55","390.55","390.55","1","3.91","7000","0","        382.70"
"CIPLA","20-Nov-2012","29-Nov-2012","385.25","386","378.35","380.85","380.8","380.85","1290","4921.56","9206000","-201000","        379.85"
"CIPLA","20-Nov-2012","27-Dec-2012","388.3","388.3","381.35","383.35","383.7","383.35","109","418.58","228000","32000","        379.85"
"CIPLA","20-Nov-2012","31-Jan-2013","0","0","0","390.55","390.55","386.45","0","0","7000","0","        379.85"
"CIPLA","21-Nov-2012","29-Nov-2012","381.5","394.15","381.5","391.8","393.05","391.8","5978","23247.28","10479000","1273000","        389.40"
"CIPLA","21-Nov-2012","27-Dec-2012","386","396.4","385.1","393.7","394.25","393.7","890","3483.66","795000","567000","        389.40"
"CIPLA","21-Nov-2012","31-Jan-2013","394","394","394","394","394","394","1","3.94","7000","0","        389.40"
"CIPLA","22-Nov-2012","29-Nov-2012","396.5","397.35","385.2","388.05","387.5","388.05","4496","17580.52","9991000","-488000","        387.25"
"CIPLA","22-Nov-2012","27-Dec-2012","399.15","399.15","388.25","390.45","390.75","390.45","450","1767.89","818000","23000","        387.25"
"CIPLA","22-Nov-2012","31-Jan-2013","392.75","392.75","392.75","392.75","392.75","393.8","1","3.93","8000","1000","        387.25"
"CIPLA","23-Nov-2012","29-Nov-2012","388","388","378.9","382.5","382.55","382.5","2677","10238.22","9406000","-585000","        381.70"
