"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"COALINDIA","01-Jan-2020","30-Jan-2020","207.3","208.25","204.2","207.1","206.8","207.1","3303","18376.18","14077800","594000","        211.95"
"COALINDIA","01-Jan-2020","27-Feb-2020","205.55","205.65","202","204.8","204.15","204.8","131","720.59","1579500","113400","        211.95"
"COALINDIA","01-Jan-2020","26-Mar-2020","198.65","201","197.25","200.8","200.7","200.8","50","268.98","299700","75600","        211.95"
"COALINDIA","02-Jan-2020","30-Jan-2020","207.3","207.6","202.75","206.55","206.4","206.55","2902","16099.71","14661000","583200","        211.10"
"COALINDIA","02-Jan-2020","27-Feb-2020","202.5","204.3","200.35","203.85","203.75","203.85","222","1214.79","1817100","237600","        211.10"
"COALINDIA","02-Jan-2020","26-Mar-2020","200","200.75","198.35","200.25","200.45","200.25","57","306.97","418500","118800","        211.10"
"COALINDIA","03-Jan-2020","30-Jan-2020","206.1","207.25","203.25","206.7","206.1","206.7","2966","16455.31","14790600","129600","        211.85"
"COALINDIA","03-Jan-2020","27-Feb-2020","202.5","204.15","200.7","203.7","203.3","203.7","188","1028.39","1860300","43200","        211.85"
"COALINDIA","03-Jan-2020","26-Mar-2020","198.1","200.55","197.25","200.4","200.25","200.4","22","118.45","434700","16200","        211.85"
"COALINDIA","06-Jan-2020","30-Jan-2020","204.6","205.4","199.5","201.8","201.4","201.8","2521","13702.37","14593500","-197100","        205.70"
"COALINDIA","06-Jan-2020","27-Feb-2020","200.4","200.4","196.95","198.6","198.75","198.6","89","476.34","1965600","105300","        205.70"
"COALINDIA","06-Jan-2020","26-Mar-2020","196","196.85","193.05","195","195","195","37","194.48","507600","72900","        205.70"
"COALINDIA","07-Jan-2020","30-Jan-2020","202","204.95","202","204","203.75","204","1830","10069.84","13926600","-666900","        205.70"
"COALINDIA","07-Jan-2020","27-Feb-2020","200","201.8","199.3","200.9","200.75","200.9","92","498.72","2049300","83700","        205.70"
"COALINDIA","07-Jan-2020","26-Mar-2020","196.65","198.2","195.45","197.5","197.25","197.5","25","133.22","526500","18900","        205.70"
"COALINDIA","08-Jan-2020","30-Jan-2020","202","203.35","197.5","199.95","200","199.95","4042","21887.47","14528700","602100","        200.20"
"COALINDIA","08-Jan-2020","27-Feb-2020","199.6","199.65","194.2","196.45","196.55","196.45","150","798.84","2114100","64800","        200.20"
"COALINDIA","08-Jan-2020","26-Mar-2020","196","196.2","191","192.95","193.2","192.95","37","193.61","561600","35100","        200.20"
"COALINDIA","09-Jan-2020","30-Jan-2020","202.1","202.75","197.8","198.7","198.5","198.7","3400","18290.42","15797700","1269000","        198.00"
"COALINDIA","09-Jan-2020","27-Feb-2020","198.8","198.8","194.95","195.6","195.4","195.6","180","952.09","2270700","156600","        198.00"
"COALINDIA","09-Jan-2020","26-Mar-2020","193.8","193.8","191.45","192.15","191.45","192.15","34","176.84","629100","67500","        198.00"
"COALINDIA","10-Jan-2020","30-Jan-2020","199.1","206.6","199.1","205.2","204.6","205.2","5878","32437.81","15365700","-432000","        205.30"
"COALINDIA","10-Jan-2020","27-Feb-2020","196.15","203.1","196.15","201.7","201.25","201.7","232","1256.66","2205900","-64800","        205.30"
"COALINDIA","10-Jan-2020","26-Mar-2020","193.25","199.45","192.6","198.25","197.45","198.25","46","244.58","580500","-48600","        205.30"
"COALINDIA","13-Jan-2020","30-Jan-2020","205.45","211.45","205.3","211.05","211.1","211.05","3797","21491.11","15643800","278100","        211.55"
"COALINDIA","13-Jan-2020","27-Feb-2020","202.9","207.75","202.9","207.55","207.5","207.55","182","1013.24","2232900","27000","        211.55"
"COALINDIA","13-Jan-2020","26-Mar-2020","200.4","204.05","200.4","203.75","202.9","203.75","32","175.36","585900","5400","        211.55"
"COALINDIA","14-Jan-2020","30-Jan-2020","210.75","213.15","209.5","212.75","213","212.75","2257","12885.19","16121700","477900","        212.95"
"COALINDIA","14-Jan-2020","27-Feb-2020","207.5","210","206.95","209.5","209.75","209.5","95","535.54","2330100","97200","        212.95"
"COALINDIA","14-Jan-2020","26-Mar-2020","203.3","205.5","202.5","205.4","205.5","205.4","20","110.19","585900","0","        212.95"
"COALINDIA","15-Jan-2020","30-Jan-2020","212","214.25","211.55","212.55","212.6","212.55","1795","10323.14","16486200","364500","        212.45"
"COALINDIA","15-Jan-2020","27-Feb-2020","208.05","210.7","208.05","209.35","209.2","209.35","92","520.95","2408400","78300","        212.45"
"COALINDIA","15-Jan-2020","26-Mar-2020","205.45","207","205.4","205.75","205.75","205.75","22","122.37","612900","27000","        212.45"
"COALINDIA","16-Jan-2020","30-Jan-2020","211.8","212.3","206.85","210.1","210.05","210.1","2908","16479.58","17298900","812700","        210.25"
"COALINDIA","16-Jan-2020","27-Feb-2020","207.75","208.65","203.8","207.35","207.45","207.35","282","1573.5","2465100","56700","        210.25"
"COALINDIA","16-Jan-2020","26-Mar-2020","204.45","205.2","201","202.95","202.95","202.95","39","213.77","639900","27000","        210.25"
"COALINDIA","17-Jan-2020","30-Jan-2020","209.65","210.7","206.45","208.3","208.55","208.3","2226","12521.83","17987400","688500","        207.90"
"COALINDIA","17-Jan-2020","27-Feb-2020","207","207.8","203.85","205.35","205.55","205.35","123","683.27","2567700","102600","        207.90"
"COALINDIA","17-Jan-2020","26-Mar-2020","203.25","204","200.7","201.95","202.1","201.95","24","130.94","648000","8100","        207.90"
