"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"COALINDIA","02-Nov-2015","26-Nov-2015","320.1","327.5","318.25","326.1","325.25","326.1","3010","11669.34","17127600","374400","        325.00"
"COALINDIA","02-Nov-2015","31-Dec-2015","325.3","326.5","319.35","326.15","326.5","326.15","226","875.89","234000","97200","        325.00"
"COALINDIA","02-Nov-2015","28-Jan-2016","322.85","323.75","317.9","317.9","317.9","330.75","60","231.62","69600","67200","        325.00"
"COALINDIA","03-Nov-2015","26-Nov-2015","326.5","329.5","325.9","327.2","326.75","327.2","2180","8577.18","16894800","-232800","        325.85"
"COALINDIA","03-Nov-2015","31-Dec-2015","327.2","329.5","326.75","328.5","327","328.5","121","477.3","336000","102000","        325.85"
"COALINDIA","03-Nov-2015","28-Jan-2016","326","327.75","326","327.75","327.75","331.55","2","7.85","68400","-1200","        325.85"
"COALINDIA","04-Nov-2015","26-Nov-2015","328.75","331.45","326.4","330.6","329.95","330.6","2498","9883.66","16522800","-372000","        330.45"
"COALINDIA","04-Nov-2015","31-Dec-2015","330","331.85","327.2","330.8","331.3","330.8","62","245.66","363600","27600","        330.45"
"COALINDIA","04-Nov-2015","28-Jan-2016","330.15","330.15","330.15","330.15","330.15","330.15","1","3.96","69600","1200","        330.45"
"COALINDIA","05-Nov-2015","26-Nov-2015","329.75","339.35","328.3","337","336","337","4122","16616.28","15822000","-700800","        337.10"
"COALINDIA","05-Nov-2015","31-Dec-2015","332.4","339.75","332.05","336.9","336.2","336.9","99","398.19","398400","34800","        337.10"
"COALINDIA","05-Nov-2015","28-Jan-2016","330","335","327.95","332.5","332.5","332.5","64","253.83","140400","70800","        337.10"
"COALINDIA","06-Nov-2015","26-Nov-2015","336.7","343.7","333.15","341","341.5","341","3445","13995.14","15006000","-816000","        342.20"
"COALINDIA","06-Nov-2015","31-Dec-2015","339.4","344","334.05","341.35","342.45","341.35","73","296.84","411600","13200","        342.20"
"COALINDIA","06-Nov-2015","28-Jan-2016","334.2","338","333.4","337.85","338","337.85","7","28.28","140400","0","        342.20"
