"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"DRREDDY","01-Jan-2009","29-Jan-2009","474.9","475.45","466","470.8","470.5","470.8","169","317.71","386800","12800","        467.60"
"DRREDDY","01-Jan-2009","26-Feb-2009","0","0","0","475.5","475.5","474.15","0","0","1200","0","        467.60"
"DRREDDY","01-Jan-2009","26-Mar-2009","0","0","0","482.8","0","477.45","0","0","0","0","        467.60"
"DRREDDY","02-Jan-2009","29-Jan-2009","461.25","475","461.25","471","470","471","148","279.36","388400","1600","        468.00"
"DRREDDY","02-Jan-2009","26-Feb-2009","0","0","0","475.5","475.5","474.4","0","0","1200","0","        468.00"
"DRREDDY","02-Jan-2009","26-Mar-2009","0","0","0","482.8","0","477.65","0","0","0","0","        468.00"
"DRREDDY","05-Jan-2009","29-Jan-2009","476","479.95","471.15","473.8","473.8","473.8","215","408.91","399600","11200","        471.25"
"DRREDDY","05-Jan-2009","26-Feb-2009","0","0","0","475.5","475.5","476.8","0","0","1200","0","        471.25"
"DRREDDY","05-Jan-2009","26-Mar-2009","0","0","0","482.8","0","479.8","0","0","0","0","        471.25"
"DRREDDY","06-Jan-2009","29-Jan-2009","471.15","492.8","470.05","487.15","490","487.15","769","1496.15","328000","-71600","        486.70"
"DRREDDY","06-Jan-2009","26-Feb-2009","0","0","0","475.5","475.5","492.1","0","0","1200","0","        486.70"
"DRREDDY","06-Jan-2009","26-Mar-2009","0","0","0","482.8","0","495.1","0","0","0","0","        486.70"
"DRREDDY","07-Jan-2009","29-Jan-2009","498","506.5","455.2","465.6","462","465.6","834","1612.92","344400","16400","        464.90"
"DRREDDY","07-Jan-2009","26-Feb-2009","0","0","0","475.5","475.5","469.85","0","0","1200","0","        464.90"
"DRREDDY","07-Jan-2009","26-Mar-2009","0","0","0","482.8","0","472.6","0","0","0","0","        464.90"
"DRREDDY","09-Jan-2009","29-Jan-2009","454.8","479","454.8","462.25","458","462.25","329","610.23","370400","26000","        459.90"
"DRREDDY","09-Jan-2009","26-Feb-2009","0","0","0","475.5","475.5","464.7","0","0","1200","0","        459.90"
"DRREDDY","09-Jan-2009","26-Mar-2009","0","0","0","482.8","0","467.5","0","0","0","0","        459.90"
