"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"DRREDDY","01-Jul-2009","30-Jul-2009","785","796.55","771.6","781.85","788","781.85","721","2266.31","390000","-16400","        787.25"
"DRREDDY","01-Jul-2009","27-Aug-2009","0","0","0","783.85","783.85","793.1","0","0","800","0","        787.25"
"DRREDDY","01-Jul-2009","24-Sep-2009","0","0","0","766.1","0","795.95","0","0","0","0","        787.25"
"DRREDDY","02-Jul-2009","30-Jul-2009","793.1","803.95","773.6","785.15","788.25","785.15","627","1979.13","399200","9200","        787.35"
"DRREDDY","02-Jul-2009","27-Aug-2009","0","0","0","783.85","783.85","793.05","0","0","800","0","        787.35"
"DRREDDY","02-Jul-2009","24-Sep-2009","0","0","0","766.1","0","795.9","0","0","0","0","        787.35"
"DRREDDY","03-Jul-2009","30-Jul-2009","799","807.45","794.65","801.75","801.1","801.75","690","2212.15","414400","15200","        797.45"
"DRREDDY","03-Jul-2009","27-Aug-2009","0","0","0","783.85","783.85","803.05","0","0","800","0","        797.45"
"DRREDDY","03-Jul-2009","24-Sep-2009","0","0","0","766.1","0","805.9","0","0","0","0","        797.45"
"DRREDDY","06-Jul-2009","30-Jul-2009","797.95","797.95","730","763.35","765","763.35","550","1696.56","411200","-3200","        766.65"
"DRREDDY","06-Jul-2009","27-Aug-2009","0","0","0","783.85","783.85","771.75","0","0","800","0","        766.65"
"DRREDDY","06-Jul-2009","24-Sep-2009","0","0","0","766.1","0","774.45","0","0","0","0","        766.65"
"DRREDDY","07-Jul-2009","30-Jul-2009","767","796.95","767","789.4","793.5","789.4","515","1622.59","424800","13600","        784.80"
"DRREDDY","07-Jul-2009","27-Aug-2009","0","0","0","783.85","783.85","790","0","0","800","0","        784.80"
"DRREDDY","07-Jul-2009","24-Sep-2009","0","0","0","766.1","0","792.85","0","0","0","0","        784.80"
"DRREDDY","08-Jul-2009","30-Jul-2009","788","810","786.45","805.45","810","805.45","703","2250.58","440800","16000","        806.55"
"DRREDDY","08-Jul-2009","27-Aug-2009","0","0","0","783.85","783.85","811.75","0","0","800","0","        806.55"
"DRREDDY","08-Jul-2009","24-Sep-2009","0","0","0","766.1","0","814.65","0","0","0","0","        806.55"
"DRREDDY","09-Jul-2009","30-Jul-2009","811.25","826","805.75","809.65","811","809.65","520","1695.31","396400","-44400","        808.50"
"DRREDDY","09-Jul-2009","27-Aug-2009","0","0","0","783.85","783.85","813.75","0","0","800","0","        808.50"
"DRREDDY","09-Jul-2009","24-Sep-2009","0","0","0","766.1","0","816.75","0","0","0","0","        808.50"
"DRREDDY","10-Jul-2009","30-Jul-2009","812.55","817.9","793.25","798.55","805","798.55","627","2015.38","388000","-8400","        798.75"
"DRREDDY","10-Jul-2009","27-Aug-2009","799","802","799","802","802","803.8","2","6.4","800","0","        798.75"
"DRREDDY","10-Jul-2009","24-Sep-2009","0","0","0","766.1","0","806.75","0","0","0","0","        798.75"
"DRREDDY","13-Jul-2009","30-Jul-2009","787.5","788","761","768.95","767.4","768.95","454","1405.29","397600","9600","        766.55"
"DRREDDY","13-Jul-2009","27-Aug-2009","785.75","785.75","785.75","785.75","785.75","771","1","3.14","400","-400","        766.55"
"DRREDDY","13-Jul-2009","24-Sep-2009","0","0","0","766.1","0","773.8","0","0","0","0","        766.55"
"DRREDDY","14-Jul-2009","30-Jul-2009","779.5","779.5","763","769.7","770.05","769.7","195","600.67","390000","-7600","        769.35"
"DRREDDY","14-Jul-2009","27-Aug-2009","0","0","0","785.75","785.75","773.75","0","0","400","0","        769.35"
"DRREDDY","14-Jul-2009","24-Sep-2009","0","0","0","766.1","0","776.6","0","0","0","0","        769.35"
"DRREDDY","15-Jul-2009","30-Jul-2009","767.05","774.45","756.1","767.7","769.95","767.7","480","1469.83","421600","31600","        765.85"
"DRREDDY","15-Jul-2009","27-Aug-2009","0","0","0","785.75","785.75","770.15","0","0","400","0","        765.85"
"DRREDDY","15-Jul-2009","24-Sep-2009","0","0","0","766.1","0","772.9","0","0","0","0","        765.85"
"DRREDDY","16-Jul-2009","30-Jul-2009","775.05","776","753.05","756.85","755.6","756.85","280","859.15","432800","11200","        755.35"
"DRREDDY","16-Jul-2009","27-Aug-2009","0","0","0","785.75","785.75","759.4","0","0","400","0","        755.35"
"DRREDDY","16-Jul-2009","24-Sep-2009","0","0","0","766.1","0","762.1","0","0","0","0","        755.35"
"DRREDDY","17-Jul-2009","30-Jul-2009","765","778","764.05","771.1","774.9","771.1","255","785.5","418400","-14400","        768.60"
"DRREDDY","17-Jul-2009","27-Aug-2009","0","0","0","785.75","785.75","772.6","0","0","400","0","        768.60"
"DRREDDY","17-Jul-2009","24-Sep-2009","0","0","0","766.1","0","775.3","0","0","0","0","        768.60"
"DRREDDY","20-Jul-2009","30-Jul-2009","779.85","800","773.5","795.3","794.1","795.3","245","773.58","420400","2000","        790.25"
"DRREDDY","20-Jul-2009","27-Aug-2009","0","0","0","785.75","785.75","793.9","0","0","400","0","        790.25"
"DRREDDY","20-Jul-2009","24-Sep-2009","0","0","0","766.1","0","796.6","0","0","0","0","        790.25"
"DRREDDY","21-Jul-2009","30-Jul-2009","798","814.5","790","792.65","794.9","792.65","345","1104.41","406000","-14400","        791.60"
"DRREDDY","21-Jul-2009","27-Aug-2009","799","799","795.1","795.1","795.1","795.2","2","6.38","400","0","        791.60"
"DRREDDY","21-Jul-2009","24-Sep-2009","0","0","0","766.1","0","797.9","0","0","0","0","        791.60"
"DRREDDY","22-Jul-2009","30-Jul-2009","799.9","819.8","749.95","753.7","757","753.7","1464","4590.73","505600","99600","        751.05"
"DRREDDY","22-Jul-2009","27-Aug-2009","874","874","752","756.6","760","756.6","13","40.13","4800","4400","        751.05"
"DRREDDY","22-Jul-2009","24-Sep-2009","0","0","0","766.1","0","757.2","0","0","0","0","        751.05"
"DRREDDY","23-Jul-2009","30-Jul-2009","755.5","793.9","731.5","786.5","789","786.5","1109","3394.39","459200","-46400","        784.95"
"DRREDDY","23-Jul-2009","27-Aug-2009","760","785","726.1","785","785","785","27","82.12","8000","3200","        784.95"
"DRREDDY","23-Jul-2009","24-Sep-2009","0","0","0","766.1","0","791.2","0","0","0","0","        784.95"
"DRREDDY","24-Jul-2009","30-Jul-2009","795","822.55","790","813","813.3","813","1126","3648.79","430400","-28800","        814.95"
"DRREDDY","24-Jul-2009","27-Aug-2009","806","823","803.5","812.6","810","812.6","37","120.32","12400","4400","        814.95"
"DRREDDY","24-Jul-2009","24-Sep-2009","0","0","0","766.1","0","821.25","0","0","0","0","        814.95"
"DRREDDY","27-Jul-2009","30-Jul-2009","810.1","821.95","795.5","813.55","814.95","813.55","595","1934.3","374400","-56000","        816.00"
"DRREDDY","27-Jul-2009","27-Aug-2009","805.6","820.5","798","813.25","811.9","813.25","179","583.33","70400","58000","        816.00"
"DRREDDY","27-Jul-2009","24-Sep-2009","0","0","0","766.1","0","822.1","0","0","0","0","        816.00"
"DRREDDY","28-Jul-2009","30-Jul-2009","809","814","792","804.35","803.95","804.35","371","1190.41","290000","-84400","        802.60"
"DRREDDY","28-Jul-2009","27-Aug-2009","808.3","808.3","792","804.75","806.9","804.75","148","474.79","106400","36000","        802.60"
"DRREDDY","28-Jul-2009","24-Sep-2009","0","0","0","766.1","0","808.55","0","0","0","0","        802.60"
"DRREDDY","29-Jul-2009","30-Jul-2009","800","819.95","791","802.3","808","802.3","387","1240.5","208000","-82000","        805.30"
"DRREDDY","29-Jul-2009","27-Aug-2009","809","818.85","791","805.35","810","805.35","307","984.6","178400","72000","        805.30"
"DRREDDY","29-Jul-2009","24-Sep-2009","0","0","0","766.1","0","811.05","0","0","0","0","        805.30"
"DRREDDY","30-Jul-2009","30-Jul-2009","872.1","872.1","803.25","824.05","824.05","824.75","292","957.48","169200","-38800","        824.75"
"DRREDDY","30-Jul-2009","27-Aug-2009","809.05","839","806.65","827.6","827.35","827.6","437","1440.36","233600","55200","        824.75"
"DRREDDY","30-Jul-2009","24-Sep-2009","0","0","0","766.1","0","830.55","0","0","0","0","        824.75"
"DRREDDY","31-Jul-2009","27-Aug-2009","825","828.95","815.5","819.8","819.2","819.8","310","1019.47","235600","2000","        820.30"
"DRREDDY","31-Jul-2009","24-Sep-2009","0","0","0","766.1","0","825.95","0","0","0","0","        820.30"
"DRREDDY","31-Jul-2009","29-Oct-2009","0","0","0","834.2","0","829.5","0","0","0","0","        820.30"
