"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"DRREDDY","01-Mar-2004","25-Mar-2004","1200","1200","1000","1020","1023.75","1020","3159","12923.68","464800","281200","       1015.15"
"DRREDDY","01-Mar-2004","29-Apr-2004","1032","1042.65","1010","1010","1010","1023.4","21","86.56","2000","2000","       1015.15"
"DRREDDY","01-Mar-2004","27-May-2004","0","0","0","1269.65","0","1027.35","0","0","0","0","       1015.15"
"DRREDDY","03-Mar-2004","25-Mar-2004","1031","1048","1004","1027.15","1028","1027.15","1587","6532.91","494800","30000","       1022.50"
"DRREDDY","03-Mar-2004","29-Apr-2004","1035","1039","1019","1039","1039","1039","4","16.5","3600","1600","       1022.50"
"DRREDDY","03-Mar-2004","27-May-2004","0","0","0","1269.65","0","1034.5","0","0","0","0","       1022.50"
"DRREDDY","04-Mar-2004","25-Mar-2004","1008","1040","1008","1018.4","1017.05","1018.4","1017","4171.04","534000","39200","       1014.60"
"DRREDDY","04-Mar-2004","29-Apr-2004","0","0","0","1039","1039","1022.5","0","0","3600","0","       1014.60"
"DRREDDY","04-Mar-2004","27-May-2004","0","0","0","1269.65","0","1026.45","0","0","0","0","       1014.60"
"DRREDDY","05-Mar-2004","25-Mar-2004","1020","1028.95","1014.3","1026.15","1025.1","1026.15","530","2167.49","536400","2400","       1020.45"
"DRREDDY","05-Mar-2004","29-Apr-2004","0","0","0","1039","1039","1028.25","0","0","3600","0","       1020.45"
"DRREDDY","05-Mar-2004","27-May-2004","0","0","0","1269.65","0","1032.25","0","0","0","0","       1020.45"
"DRREDDY","08-Mar-2004","25-Mar-2004","1024.9","1041.9","1020","1034.6","1035.5","1034.6","699","2889.24","496000","-40400","       1029.20"
"DRREDDY","08-Mar-2004","29-Apr-2004","0","0","0","1039","1039","1036.55","0","0","3600","0","       1029.20"
"DRREDDY","08-Mar-2004","27-May-2004","0","0","0","1269.65","0","1040.55","0","0","0","0","       1029.20"
"DRREDDY","09-Mar-2004","25-Mar-2004","1033.7","1056.9","1026","1051.55","1049","1051.55","803","3346.72","404400","-91600","       1048.90"
"DRREDDY","09-Mar-2004","29-Apr-2004","0","0","0","1039","1039","1056.4","0","0","3600","0","       1048.90"
"DRREDDY","09-Mar-2004","27-May-2004","0","0","0","1269.65","0","1060.5","0","0","0","0","       1048.90"
"DRREDDY","10-Mar-2004","25-Mar-2004","1053","1069","1041","1048.1","1047.8","1048.1","709","2997.35","354000","-50400","       1048.60"
"DRREDDY","10-Mar-2004","29-Apr-2004","1062","1069.45","1057.1","1057.1","1057.1","1055.85","15","63.75","4800","1200","       1048.60"
"DRREDDY","10-Mar-2004","27-May-2004","0","0","0","1269.65","0","1059.95","0","0","0","0","       1048.60"
"DRREDDY","11-Mar-2004","25-Mar-2004","1048","1076.25","1048","1060.7","1055","1060.7","889","3793.38","331600","-22400","       1065.50"
"DRREDDY","11-Mar-2004","29-Apr-2004","1072","1081.9","1065","1065","1065","1065","9","38.53","4400","-400","       1065.50"
"DRREDDY","11-Mar-2004","27-May-2004","0","0","0","1269.65","0","1076.9","0","0","0","0","       1065.50"
"DRREDDY","12-Mar-2004","25-Mar-2004","1050","1053.8","1020","1034.85","1036","1034.85","427","1761.34","358400","26800","       1029.90"
"DRREDDY","12-Mar-2004","29-Apr-2004","1040.2","1040.2","1036","1036","1036","1036.75","3","12.46","4400","0","       1029.90"
"DRREDDY","12-Mar-2004","27-May-2004","0","0","0","1269.65","0","1040.8","0","0","0","0","       1029.90"
"DRREDDY","15-Mar-2004","25-Mar-2004","1042","1042","1006","1016.2","1014","1016.2","493","1008.8","339400","-19000","       1019.70"
"DRREDDY","15-Mar-2004","29-Apr-2004","1030","1034.95","1020","1028","1028","1026.1","14","28.69","5400","1000","       1019.70"
"DRREDDY","15-Mar-2004","27-May-2004","0","0","0","1269.65","0","1030.05","0","0","0","0","       1019.70"
"DRREDDY","16-Mar-2004","25-Mar-2004","1013","1021","989.5","998.75","1002.8","998.75","661","1328.42","322400","-17000","        995.90"
"DRREDDY","16-Mar-2004","29-Apr-2004","1017.5","1017.5","1005","1005","1005","1002","6","12.13","6600","1200","        995.90"
"DRREDDY","16-Mar-2004","27-May-2004","0","0","0","1269.65","0","1005.85","0","0","0","0","        995.90"
"DRREDDY","17-Mar-2004","25-Mar-2004","996","1004.8","962","996.05","986","996.05","1259","2469.12","314800","-7600","        992.65"
"DRREDDY","17-Mar-2004","29-Apr-2004","996.05","1010","896","1004.8","995","1004.8","117","229.06","20200","13600","        992.65"
"DRREDDY","17-Mar-2004","27-May-2004","0","0","0","1269.65","0","1002.5","0","0","0","0","        992.65"
"DRREDDY","18-Mar-2004","25-Mar-2004","998","1008.25","988.5","1000.3","1003","1000.3","489","977.5","292600","-22200","       1001.15"
"DRREDDY","18-Mar-2004","29-Apr-2004","1010","1012","1005.1","1009","1008","1009","18","36.32","19000","-1200","       1001.15"
"DRREDDY","18-Mar-2004","27-May-2004","0","0","0","1269.65","0","1010.85","0","0","0","0","       1001.15"
"DRREDDY","19-Mar-2004","25-Mar-2004","1000","1015","996.15","1010.7","1012","1010.7","250","502.32","276000","-16600","       1010.85"
"DRREDDY","19-Mar-2004","29-Apr-2004","1010","1020","1006.1","1019.5","1020","1019.5","30","60.76","21600","2600","       1010.85"
"DRREDDY","19-Mar-2004","27-May-2004","0","0","0","1269.65","0","1020.55","0","0","0","0","       1010.85"
"DRREDDY","22-Mar-2004","25-Mar-2004","1009.5","1021","1002","1008.9","1010","1008.9","337","680.84","255800","-20200","       1009.20"
"DRREDDY","22-Mar-2004","29-Apr-2004","1024.8","1026","1010.25","1014.45","1014.95","1014.45","101","205.36","33000","11400","       1009.20"
"DRREDDY","22-Mar-2004","27-May-2004","0","0","0","1269.65","0","1018.5","0","0","0","0","       1009.20"
"DRREDDY","23-Mar-2004","25-Mar-2004","998","1012.5","997.1","1007.55","999","1007.55","324","651","236000","-19800","       1006.65"
"DRREDDY","23-Mar-2004","29-Apr-2004","1022","1022","1004","1010.85","1004.05","1010.85","171","345.19","54600","21600","       1006.65"
"DRREDDY","23-Mar-2004","27-May-2004","0","0","0","1269.65","0","1015.75","0","0","0","0","       1006.65"
"DRREDDY","24-Mar-2004","25-Mar-2004","1009","1009","977.5","983.6","982.5","983.6","555","1104.39","183800","-52200","        984.15"
"DRREDDY","24-Mar-2004","29-Apr-2004","1014","1015","980","984.8","985","984.8","492","982.57","115600","61000","        984.15"
"DRREDDY","24-Mar-2004","27-May-2004","0","0","0","1269.65","0","992.9","0","0","0","0","        984.15"
"DRREDDY","25-Mar-2004","25-Mar-2004","935.6","991.75","930","961.8","965.1","965.8","816","1588.19","120600","-63200","        965.80"
"DRREDDY","25-Mar-2004","29-Apr-2004","991","998.7","965","972.85","979.95","972.85","676","1324.24","197000","0","        965.80"
"DRREDDY","25-Mar-2004","27-May-2004","0","0","0","1269.65","0","974.25","0","0","0","0","        965.80"
"DRREDDY","26-Mar-2004","29-Apr-2004","1000","1000","972.25","976.25","980","976.25","512","1001.99","213000","16000","        976.15"
"DRREDDY","26-Mar-2004","27-May-2004","936","1024","936","1024","1024","984.55","50","98","0","0","        976.15"
"DRREDDY","26-Mar-2004","24-Jun-2004","0","0","0","978.05","0","988.4","0","0","0","0","        976.15"
"DRREDDY","29-Mar-2004","29-Apr-2004","978","983","971.2","981.55","981.9","981.55","233","455.8","219200","0","        976.85"
"DRREDDY","29-Mar-2004","27-May-2004","994.9","994.9","981","981","981","984.8","20","39.52","0","0","        976.85"
"DRREDDY","29-Mar-2004","24-Jun-2004","0","0","0","978.05","0","988.6","0","0","0","0","        976.85"
"DRREDDY","30-Mar-2004","29-Apr-2004","980","992.9","969.5","972.5","973","972.5","342","671.12","235600","16400","        971.05"
"DRREDDY","30-Mar-2004","27-May-2004","1000","1000","977","977","977","977","2","3.95","400","400","        971.05"
"DRREDDY","30-Mar-2004","24-Jun-2004","0","0","0","978.05","0","982.6","0","0","0","0","        971.05"
"DRREDDY","31-Mar-2004","29-Apr-2004","968.1","980","968.1","975","975.9","975","217","423.84","237200","1600","        974.35"
"DRREDDY","31-Mar-2004","27-May-2004","0","0","0","977","977","982.1","0","0","400","0","        974.35"
"DRREDDY","31-Mar-2004","24-Jun-2004","0","0","0","978.05","0","985.9","0","0","0","0","        974.35"
"DRREDDY","01-Apr-2004","29-Apr-2004","979.5","985","973","983.9","984","983.9","717","1407.81","308400","71200","        979.65"
"DRREDDY","01-Apr-2004","27-May-2004","0","0","0","977","977","987.3","0","0","400","0","        979.65"
"DRREDDY","01-Apr-2004","24-Jun-2004","0","0","0","978.05","0","991.1","0","0","0","0","        979.65"
"DRREDDY","02-Apr-2004","29-Apr-2004","988","1004.95","986.1","995.45","994.5","995.45","1049","2086.07","325000","16600","        991.20"
"DRREDDY","02-Apr-2004","27-May-2004","0","0","0","977","977","998.7","0","0","400","0","        991.20"
"DRREDDY","02-Apr-2004","24-Jun-2004","0","0","0","978.05","0","1002.55","0","0","0","0","        991.20"
"DRREDDY","05-Apr-2004","29-Apr-2004","1000","1004","980.1","983.6","984.8","983.6","925","1837.73","370200","45200","        978.05"
"DRREDDY","05-Apr-2004","27-May-2004","0","0","0","977","977","985.1","0","0","400","0","        978.05"
"DRREDDY","05-Apr-2004","24-Jun-2004","0","0","0","978.05","0","988.9","0","0","0","0","        978.05"
"DRREDDY","06-Apr-2004","29-Apr-2004","993","993","962","972.5","977.9","972.5","1202","2344.46","404000","33800","        966.90"
"DRREDDY","06-Apr-2004","27-May-2004","970","970","970","970","970","973.75","1","1.94","600","200","        966.90"
"DRREDDY","06-Apr-2004","24-Jun-2004","0","0","0","978.05","0","977.5","0","0","0","0","        966.90"
"DRREDDY","07-Apr-2004","29-Apr-2004","975","980.95","935.6","954.3","955","954.3","1433","2738.29","448200","44200","        950.85"
"DRREDDY","07-Apr-2004","27-May-2004","980.05","980.05","944","958.6","958.6","957.4","17","32.62","2000","1400","        950.85"
"DRREDDY","07-Apr-2004","24-Jun-2004","965","965","965","965","965","961.1","1","1.93","200","200","        950.85"
"DRREDDY","08-Apr-2004","29-Apr-2004","956.4","965","942","961.95","964.95","961.95","1039","1978.89","470400","22200","        956.35"
"DRREDDY","08-Apr-2004","27-May-2004","958.6","969","958.6","966.9","969","966.9","5","9.64","2600","600","        956.35"
"DRREDDY","08-Apr-2004","24-Jun-2004","965","965","965","965","965","966.5","1","1.93","400","200","        956.35"
"DRREDDY","12-Apr-2004","29-Apr-2004","966.6","975.5","962.05","965","968.8","965","662","1281.7","457600","-12800","        962.75"
"DRREDDY","12-Apr-2004","27-May-2004","967.05","977.05","967.05","968.6","968.6","968.7","6","11.66","3000","400","        962.75"
"DRREDDY","12-Apr-2004","24-Jun-2004","0","0","0","965","965","972.4","0","0","400","0","        962.75"
"DRREDDY","13-Apr-2004","29-Apr-2004","966","972.9","953","966.1","966.5","966.1","540","1042.62","473400","15800","        962.10"
"DRREDDY","13-Apr-2004","27-May-2004","968.6","968.6","968","968","968","967.9","2","3.87","3400","400","        962.10"
"DRREDDY","13-Apr-2004","24-Jun-2004","975","975","975","975","975","975","1","1.95","200","-200","        962.10"
"DRREDDY","15-Apr-2004","29-Apr-2004","955.2","959","901.35","903.9","905","903.9","2632","4848.25","722200","248800","        900.15"
"DRREDDY","15-Apr-2004","27-May-2004","959.6","959.6","910","910.7","910","910.7","53","98.62","11400","8000","        900.15"
"DRREDDY","15-Apr-2004","24-Jun-2004","930","930","930","930","930","908.7","1","1.86","200","0","        900.15"
"DRREDDY","16-Apr-2004","29-Apr-2004","908","928.75","903","910.8","914","910.8","1955","3581.44","790800","68600","        906.90"
"DRREDDY","16-Apr-2004","27-May-2004","935","935","910.1","917.05","916.05","917.05","27","49.77","14600","3200","        906.90"
"DRREDDY","16-Apr-2004","24-Jun-2004","0","0","0","930","930","915.4","0","0","200","0","        906.90"
"DRREDDY","17-Apr-2004","29-Apr-2004","918","924","916.75","921.2","923.05","921.2","513","944.18","772000","-18800","        917.65"
"DRREDDY","17-Apr-2004","27-May-2004","928.8","929.9","927","928","927.1","928","18","33.4","18000","3400","        917.65"
"DRREDDY","17-Apr-2004","24-Jun-2004","0","0","0","930","930","926.1","0","0","200","0","        917.65"
"DRREDDY","19-Apr-2004","29-Apr-2004","924","924.75","902","905.2","905","905.2","1227","2233.09","806800","34800","        906.00"
"DRREDDY","19-Apr-2004","27-May-2004","925.05","930","910","911.65","912","911.65","100","183.07","30400","12400","        906.00"
"DRREDDY","19-Apr-2004","24-Jun-2004","0","0","0","930","930","914.2","0","0","200","0","        906.00"
"DRREDDY","20-Apr-2004","29-Apr-2004","905","913","901.8","904.85","903.25","904.85","823","1493.87","825400","18600","        904.55"
"DRREDDY","20-Apr-2004","27-May-2004","911","917","907","909.4","909","909.4","66","120.4","36200","5800","        904.55"
"DRREDDY","20-Apr-2004","24-Jun-2004","0","0","0","930","930","912.55","0","0","200","0","        904.55"
"DRREDDY","21-Apr-2004","29-Apr-2004","907","913","904.4","909.5","909","909.5","661","1201.61","797400","-28000","        907.10"
"DRREDDY","21-Apr-2004","27-May-2004","915.9","920.5","910.2","916.35","913.5","916.35","160","292.51","56400","20200","        907.10"
"DRREDDY","21-Apr-2004","24-Jun-2004","0","0","0","930","930","915","0","0","200","0","        907.10"
"DRREDDY","22-Apr-2004","29-Apr-2004","910","923","910","913.05","914.5","913.05","1236","2266.7","798400","1000","        912.95"
"DRREDDY","22-Apr-2004","27-May-2004","919","929","915.1","917.85","915.1","917.85","339","625.14","97200","40800","        912.95"
"DRREDDY","22-Apr-2004","24-Jun-2004","0","0","0","930","930","920.65","0","0","200","0","        912.95"
"DRREDDY","23-Apr-2004","29-Apr-2004","916","941","913","932.7","934","932.7","2807","5220.74","713200","-85200","        933.25"
"DRREDDY","23-Apr-2004","27-May-2004","925.85","949.65","920","937.95","935.5","937.95","924","1728.52","179200","82000","        933.25"
"DRREDDY","23-Apr-2004","24-Jun-2004","940","945","940","945","945","940.95","3","5.65","600","400","        933.25"
"DRREDDY","27-Apr-2004","29-Apr-2004","834","934.6","832","922.75","922","922.75","2346","4331.85","522600","-190600","        928.80"
"DRREDDY","27-Apr-2004","27-May-2004","845","940.7","845","922.15","922","922.15","1437","2663.19","323400","144200","        928.80"
"DRREDDY","27-Apr-2004","24-Jun-2004","940","940","940","940","940","936.1","2","3.76","1000","400","        928.80"
"DRREDDY","28-Apr-2004","29-Apr-2004","899","904.9","893","899.7","899.8","899.7","998","1796.7","439800","-82800","        903.85"
"DRREDDY","28-Apr-2004","27-May-2004","904","909.9","899","901.4","901.65","901.4","1469","2655.75","517600","194200","        903.85"
"DRREDDY","28-Apr-2004","24-Jun-2004","0","0","0","940","940","910.8","0","0","1000","0","        903.85"
"DRREDDY","29-Apr-2004","29-Apr-2004","895","895","858","863.6","864.75","864.95","1864","3274.01","393600","-46200","        864.95"
"DRREDDY","29-Apr-2004","27-May-2004","898","898","862","870.35","875","870.35","3013","5298.29","871800","354200","        864.95"
"DRREDDY","29-Apr-2004","24-Jun-2004","0","0","0","940","940","871.45","0","0","1000","0","        864.95"
"DRREDDY","30-Apr-2004","27-May-2004","878.75","879.9","865","868.25","868","868.25","1268","2212.99","879800","8000","        869.25"
"DRREDDY","30-Apr-2004","24-Jun-2004","916.5","916.5","916.5","916.5","916.5","875.7","1","1.83","1200","200","        869.25"
"DRREDDY","30-Apr-2004","29-Jul-2004","0","0","0","875.55","0","879.85","0","0","0","0","        869.25"
